bowler,team,islegal,match_id,WII,DPI,COI,BER,MIQ_B,ERS,Choke_Rate,PBI,recent_form,DCI,wkt_pt,score,rank
M Prasidh Krishna,DC,599,25,0.19432387312186977,1.7414023372287146,0.22036727879799667,-0.16514047756067457,4.216586341489567,2.5359969664397193,0.09015025041736227,0.8,1.8273910303708147,0.8896683673469388,3.6,15.950745967652308,15
A Nortje,RCB,309,14,0.2485436893203884,1.0533980582524272,0.36893203883495146,0.08697148052315935,4.683442532761627,3.0379803771063,0.11650485436893204,0.7142857142857142,1.651630127376639,0.8333333333333333,2.4,15.195022206163472,16
M Siddharth,CSK,298,13,0.33020134228187914,1.387248322147651,0.4429530201342282,0.1994616581462884,3.8381287256358294,3.050320307294853,0.18120805369127516,0.9615384615384616,0.7901506157009022,1.0097977243994942,3.0,15.191008230970862,17
MP Yadav,CSK,332,15,0.4048192771084337,2.1593373493975907,0.6506024096385542,0.4001199547240197,3.6347806934135702,1.4882532418001537,0.21686746987951808,0.8333333333333333,0.4197779700068025,0.7714285714285714,4.2,15.179320270730546,18
JR Hazlewood,RR,486,22,0.3283950617283951,1.4893004115226338,0.41975308641975306,0.06617380058061466,1.8227012363376476,0.2448641688359641,0.12345679012345678,0.7954545454545454,3.2081316819976897,1.016281512605042,4.8,14.314512295605741,19
MA Starc,KKR,576,27,0.4583333333333333,2.897916666666667,0.3020833333333333,0.22366147612419207,0.08025945743423014,-1.1760090401900483,0.16666666666666666,1.1111111111111112,0.6914857715610808,0.956043956043956,8.4,14.111552732084522,20
DS Rathi,KKR,288,12,0.25416666666666665,0.6828125,0.3125,-0.09539890863854616,4.002985046558112,4.2103510626428,0.14583333333333334,0.8333333333333333,0.13997089825980022,1.303088803088803,2.2,13.989642735244303,21
R Sai Kishore,GT,235,11,0.2706382978723404,0.9993617021276596,0.20425531914893616,0.2918558462307519,3.3016570035822426,2.446371632751483,0.10212765957446808,0.2272727272727273,3.033430390189029,0.8035714285714285,2.0,13.680542007321067,22
HH Pandya,MI,578,28,0.33217993079584773,2.125432525951557,0.2698961937716263,0.007914144148878206,1.4039043873403785,0.558163963260554,0.15570934256055363,1.25,-0.1601476199615905,0.9796966731898238,6.4,13.322749541057629,23
Mustafizur Rahman,DC,504,23,0.34523809523809523,1.3244047619047619,0.44047619047619047,0.2093991365518923,2.555548135003853,0.48468220156539304,0.19047619047619047,1.4130434782608694,-0.35584830684916324,1.0331632653061222,5.4,13.040583147934205,24
C Sakariya,SRH,392,18,0.2785714285714285,1.229464285714286,0.22959183673469388,0.044818899367753906,3.739289730220309,2.339227916779569,0.10714285714285714,1.1111111111111112,0.002537180876103789,,3.4,12.481755246518112,25
I Sharma,GT,120,5,0.5,0.7441666666666666,0.3,0.611142162395317,2.606472809208621,0.4455692908262847,0.2,1.5,3.5185624389807706,,1.8,12.225913368077661,26
Arshdeep Singh,LSG,600,26,0.25,2.09625,0.31,-0.04694495449708375,1.076391976717123,-0.007373696266531291,0.09,0.38461538461538464,1.6315797331030315,0.7894736842105263,4.6,11.17399212788245,27
TA Boult,MI,592,26,0.22499999999999998,2.359712837837838,0.34459459459459457,0.0045143728669797545,2.260604892011612,0.6480535600128028,0.07094594594594594,0.576923076923077,-0.4135604828049219,0.8928571428571428,4.2,11.169645940245072,28
Suryansh Shedge,CSK,565,25,0.37168141592920356,1.8159292035398231,0.1592920353982301,-0.08568827055710762,0.7338757664393419,-0.6264100214503485,0.12743362831858407,1.1,-0.301214113611045,0.9864532019704433,6.8,11.081352845977126,29
Sandeep Sharma,RR,610,27,0.24196721311475414,1.5934426229508198,0.26557377049180325,0.013591938184302522,1.620562844722645,0.3263941622162917,0.10819672131147541,1.0185185185185184,0.30866617629857257,0.9675655976676384,4.6,11.064479565476821,30
WG Jacks,LSG,174,14,0.24827586206896549,0.913793103448276,0.4827586206896552,0.0829898202037132,3.1405569505055126,2.622401592215834,0.13793103448275862,0.8928571428571429,1.0733767565258021,,1.4,10.99494088299766,31
PWH de Silva,DC,384,17,0.171875,1.2860677083333334,0.28125,0.0650098063774421,3.2052422406241217,1.6003878215362883,0.046875,0.5882352941176471,0.4197779700068025,1.060030395136778,2.0,10.724751236132413,32
Sikandar Raza,DC,425,19,0.1891764705882353,0.8670588235294119,0.24,-0.10918263767659386,3.8253673918583417,1.8052145351370672,0.11294117647058824,0.39473684210526316,-0.3229585721646986,1.1126373626373627,2.6,10.714991392484977,33
Rasikh Salam,GT,259,12,0.49111969111969106,1.1258687258687259,0.2548262548262548,0.3319415663257769,1.3438946573344503,-0.5076405076275927,0.2084942084942085,1.4583333333333335,0.9621093440588772,1.0,4.0,10.668947273733725,34
Noor Ahmad,KKR,120,5,0.47000000000000003,0.9008333333333333,0.65,0.27269840843103155,2.3310398152795715,0.8327010804321716,0.25,2.0,-0.1099216471457951,0.9964285714285713,1.8,10.393779561758887,35
M Markande,PBKS,360,16,0.22666666666666668,1.469444444444444,0.21666666666666667,-0.2293048096276416,2.9691804786414346,1.2931625053867715,0.15,0.9375,-0.4135604828049219,0.9291294642857142,2.8,10.348884933659134,36
Akash Deep,SRH,143,6,0.24335664335664334,0.6594405594405593,0.2097902097902098,0.13723566245382518,3.9533522650198365,3.3680759029275436,0.1258741258741259,0.41666666666666663,0.22369833405110276,,1.0,10.337490369580513,37
B Kumar,KKR,627,28,0.39617224880382773,2.1854066985645932,0.35406698564593303,-0.003106912091491304,-2.00548941665113,-3.1932859433014475,0.15311004784688995,1.5178571428571428,2.114232824057309,0.7938898450946643,8.0,10.312853520826291,38
R Ashwin,KKR,515,24,0.1421359223300971,1.7947572815533983,0.13980582524271845,-0.18954717497315104,2.49540791115902,2.4569099210663046,0.08155339805825243,0.41666666666666663,-0.31993850847669114,1.0563804173354736,2.2,10.274131659962087,39
