batter,team,runs,balls,num_innings,PPI,MDI,DFI,HOI,CCI,ERI,TBI,PVA,ORI,SAI,recent_form,RCI,BHI,DAI,BER,WR,partners,MIQ,score,rank
PD Salt,RCB,1035.0,657.0,27.0,0.1271750802725038,0.04104048228363366,0.10872913715366406,0.2831050228310502,0.05043513789581189,1.7936733285466129,0.0,1.8518518518518516,0.5844412877002938,0.0,0.4339304960139503,0.4679424520471993,0.16137266177732346,0.0639406113287393,0.29619381422497604,5.39,0.7407407407407407,7.079965275166263,19.474537379834615,11
RD Gaikwad,RCB,986.0,630.0,28.0,0.026605270195411812,0.3457065669293524,0.02832940763390046,0.22857142857142856,0.0,1.2748498877789007,0.0,1.7857142857142858,1.0781570774332785,0.0,0.6088792335400273,0.400409991357487,0.14193744580472356,0.1554944200838122,0.2562045320808357,6.01,-0.625,7.634688207555317,19.35054775467876,12
Shashank Singh,PBKS,605.0,334.0,26.0,-0.04506580581077724,0.17290561003956073,0.3101327353172918,0.2694610778443114,0.40774689532820796,3.741172496618637,0.34205382955332087,1.0576923076923077,1.0856691249797983,-0.9006780509472861,-0.6748576394031064,0.2694471391217005,0.17488392627704252,0.4983753683343368,0.47857788045369976,2.52,-0.6730769230769229,9.905093978709248,18.939533951031372,13
R Powell,KKR,338.0,202.0,14.0,0.0,-0.05770964346441387,0.19395372769207153,0.2376237623762376,0.21578140960163417,2.9984092860693794,0.0,1.6071428571428572,0.5219394413991125,0.7269203399810575,0.2410130524176608,0.284574107560103,0.21414366143729024,0.06442899942313773,0.19314171178858697,3.38,-1.4285714285714284,9.437008056746125,18.82979934159941,14
RR Rossouw,MI,356.0,222.0,11.0,-0.3563556289165778,0.7073063909451593,0.4306452139290491,0.32432432432432434,0.05407649305363371,3.512430845561592,0.0,1.5909090909090908,-0.5599079485438985,0.0,-0.49791921638752,0.36803822675491576,0.006560340743106963,0.29295674708459307,0.27414229088352604,3.56,-0.4545454545454547,9.227555129177809,18.48021684497335,15
N Sindhu,DC,505.0,270.0,16.0,0.15178466404401858,0.2672932804332768,0.16239923631735254,0.4,0.0,2.6166043602919618,0.0,1.5625,1.326166851214353,0.0,0.7288399524262623,0.3303406758774862,0.3928176422315188,0.06706372466923471,0.34401043963771816,4.87,-1.09375,6.001009341367363,18.127080168510545,16
SA Yadav,DC,1146.0,704.0,30.0,0.07935088778361132,0.13511969623815467,0.1702504931570359,0.2556818181818182,0.25324246143809925,1.6755880453309098,0.0,1.5833333333333333,-0.21884602104103656,0.0,0.8802267206910981,0.41794526194715353,0.18447992425444748,0.18035691025140022,0.49172193688457977,5.71,-0.33333333333333326,6.53926749271137,18.00438562782864,17
AM Rahane,KKR,1037.0,691.0,28.0,-0.08354550986847376,0.3741734366143965,0.07323560735282664,0.2170767004341534,-0.05536408462606823,-0.20203459689408562,0.0,1.6071428571428572,0.41087772986507076,0.0,0.5074893075148881,0.4274776894395054,0.05690434564349811,0.09758367596493112,0.2386480650399263,5.55,0.625,8.12800561177507,17.972670835398496,18
S Dube,RR,840.0,524.0,27.0,0.03277263715819845,-0.1330544232282056,0.4630197284683919,0.2633587786259542,-0.07090026529582516,1.2831891017526353,0.0,1.6666666666666665,-0.13232558150100537,0.0,1.5698581652776114,0.3428701070062597,0.11291353258293446,0.04792228703795254,0.26137130174281653,5.34,-0.09259259259259245,6.996775284699515,17.951844728401305,19
Shubman Gill,LSG,1194.0,800.0,29.0,0.009440519314470652,0.19941242392581882,-0.05563320853944542,0.2025,-0.0910045535688715,1.0588611488341102,0.10164376524977548,1.5517241379310345,-0.15677955368676955,0.0,0.383804300160111,0.47193014235542274,0.028716943365561853,0.13495856754942337,0.39221483580104355,5.9,0.8620689655172409,6.56795247395833,17.561810908167256,20
V Kohli,DC,1125.0,723.0,29.0,0.025388956910794347,0.34363624913407653,0.1910297593793564,0.22406639004149378,-0.08587863939726759,0.12443325871394008,0.0,1.6379310344827585,-0.24190307628952645,0.0,1.0282358610152327,0.4279784061612938,0.0327404852194737,0.19412040034295108,0.35461545251337245,6.4,0.6896551724137934,6.131645911366732,17.477695622008476,21
Tilak Varma,CSK,1024.0,680.0,31.0,0.04958794325354221,0.006820141677874592,0.12464014068485496,0.22941176470588234,-0.13654708052781883,1.8428515996014225,0.0,1.6129032258064515,0.7960925386094395,0.0,0.7593568907672867,0.41198866306890486,0.11407600411229546,-0.02275645417497707,0.17584785491139643,4.8500000000000005,-0.7258064516129031,7.1297197203317175,17.21818650121537,22
N Rana,KKR,522.0,320.0,20.0,-0.005276881052893034,-0.027508029472888662,0.17971893545362638,0.3,0.023815923875060596,1.6128982827040417,0.46317391731316926,1.5,-0.09831498408433959,2.3990178120262082,-0.2578346698040519,0.31079270937208714,0.15815814815990414,0.0840012441084288,0.1789288014117547,4.18,-0.2500000000000002,6.430504342778331,17.18207555278844,23
TM Head,CSK,1026.0,679.0,31.0,0.023093118774475396,0.10199415689850144,-0.20979756348869638,0.17673048600883653,-0.17166541323844697,1.5222926416356428,0.0,1.532258064516129,0.023750581459434983,0.0,0.8472864730622234,0.4100748208104429,0.14782372129856225,0.04357075789153764,0.16630529003089345,4.65,0.16129032258064502,6.363685433556036,15.788692891796217,24
SV Samson,GT,1004.0,690.0,28.0,-0.05432634451182339,0.34454780696931,-0.009886191932950705,0.20869565217391303,0.20788672512370177,-0.8525414977672913,0.5944843970720433,1.6964285714285716,0.018472999041529548,0.0,0.6165104524852587,0.4084875808074844,-0.036349230516567355,0.04119551316210179,0.10587297356894787,5.99,0.08928571428571397,6.417997704711564,15.786762826101508,25
Jay Gohil,MI,126.0,61.0,8.0,0.0,-0.0838843755904023,0.4789710198886512,0.29508196721311475,0.38946446811615343,2.2402949889781736,0.0,0.625,0.24900744416873444,0.0,2.3555582991970443,0.17403119335369144,0.608242751543165,0.12502768008336584,0.0,1.26,-0.625,7.434673688126293,15.526469125077984,26
J Fraser-McGurk,RCB,272.0,170.0,8.0,0.0631432276577546,0.06353652948700428,0.8170838636685049,0.2823529411764706,0.0,1.2049199925092198,0.0,1.5625,-0.558362168396771,0.0,-0.18420080430490904,0.37805653946668294,0.12209093939367888,0.026105723116274016,0.11420947052483132,2.72,0.625,8.045325369396053,15.281761623694795,27
JC Buttler,KKR,786.0,490.0,28.0,0.04488750747949499,0.19095031173247712,-0.06346377894956601,0.20816326530612245,0.037809880506509685,1.87312485223132,0.0,1.4285714285714284,0.9766886393392422,0.0,0.17008179032771187,0.32316218408393277,0.201258871560813,0.029543903126715954,0.10438188503170709,5.23,-1.3392857142857144,5.824266556245023,15.240141582307219,28
