striker,batting_team,num_innings,runs,balls,outs,fours,sixes,dots,strike_rate,balls_per_dismissal,bat_avg,bpb,dot_%,points,high_score,30s-50s-100s,strike_rotations
Vansh Bedi,PBKS,3,66,43,3,5,3,10,153.49,14.33,22.0,5.38,23.26,115.0,47 (27),1-0-0,26
Akshat Raghuwanshi,MI,1,63,34,1,5,5,13,185.29,34.0,63.0,3.4,38.24,136.66,63 (34),1-1-0,13
D Padikkal,RR,3,60,45,2,7,2,19,133.33,22.5,30.0,5.0,42.22,95.33,42 (36),1-0-0,18
VR Iyer,SRH,3,56,24,2,5,4,6,233.33,12.0,28.0,2.67,25.0,0.0,56* (22),1-1-0,9
Parth Chandan,DC,2,55,27,0,4,3,10,203.7,inf,inf,3.86,37.04,136.08,46* (20),1-0-0,12
Tanush Kotian,CSK,2,55,33,2,5,2,9,166.67,16.5,27.5,4.71,27.27,115.59,54 (30),1-1-0,18
Shubman Gill,LSG,3,54,24,3,6,3,8,225.0,8.0,18.0,2.67,33.33,0.0,41 (17),1-0-0,7
AR Patel,PBKS,2,52,21,1,4,5,6,247.62,21.0,52.0,2.33,28.57,0.0,26* (7),0-0-0,6
JP Inglis,GT,3,51,26,3,6,2,5,196.15,8.67,17.0,3.25,19.23,134.26,45 (23),1-0-0,13
JC Buttler,DC,2,50,35,1,2,3,9,142.86,35.0,50.0,7.0,25.71,107.65,36* (29),1-0-0,21
Chirag Jani,RCB,3,50,36,2,5,2,17,138.89,18.0,25.0,5.14,47.22,87.09,31* (16),1-0-0,13
Priyansh Arya,RCB,3,48,28,3,7,2,11,171.43,9.33,16.0,3.11,39.29,109.63,34 (17),1-0-0,8
KL Rahul,SRH,3,47,41,3,2,1,13,114.63,13.67,15.67,13.67,31.71,73.28,37 (36),1-0-0,26
YBK Jaiswal,RR,2,45,16,1,5,4,6,281.25,16.0,45.0,1.78,37.5,0.0,29 (13),0-0-0,1
Jay Gohil,MI,2,45,17,1,9,0,2,264.71,17.0,45.0,1.89,11.76,0.0,39* (13),1-0-0,6
V Nigam,GT,1,45,17,1,3,4,3,264.71,17.0,45.0,2.43,17.65,0.0,45 (17),1-0-0,7
TP Ura,PBKS,2,45,34,2,2,0,5,132.35,17.0,22.5,17.0,14.71,91.79,25 (19),0-0-0,27
MR Marsh,KKR,2,43,35,2,5,1,13,122.86,17.5,21.5,5.83,37.14,79.72,41 (31),1-0-0,17
T Stubbs,CSK,2,42,26,1,4,2,8,161.54,26.0,42.0,4.33,30.77,109.86,32* (18),1-0-0,12
Anmolpreet Singh,KKR,2,42,36,2,5,0,16,116.67,18.0,21.0,7.2,44.44,69.87,35 (21),1-0-0,19
Abishek Porel,LSG,3,41,37,3,3,0,11,110.81,12.33,13.67,12.33,29.73,69.04,21 (21),0-0-0,24
GD Phillips,RR,1,39,20,0,3,2,2,195.0,inf,inf,4.0,10.0,0.0,39* (20),1-0-0,13
Ritik Vats,DC,3,38,31,3,1,2,11,122.58,10.33,12.67,10.33,35.48,70.26,17 (19),0-0-0,20
WL Madsen,MI,1,36,18,0,3,2,3,200.0,inf,inf,3.6,16.67,0.0,36* (18),1-0-0,11
MS Bhandage,PBKS,2,34,21,2,6,0,8,161.9,10.5,17.0,3.5,38.1,0.0,19 (9),0-0-0,8
Sachin Baby,CSK,2,30,25,2,2,1,9,120.0,12.5,15.0,8.33,36.0,66.65,21 (18),0-0-0,14
P Simran Singh,SRH,3,28,23,3,2,1,9,121.74,7.67,9.33,7.67,39.13,0.0,22 (17),0-0-0,11
D Forrester,MI,1,27,10,1,5,1,3,270.0,10.0,27.0,1.67,30.0,0.0,27 (10),0-0-0,1
Tarang Gohel,DC,3,27,15,3,5,0,4,180.0,5.0,9.0,3.0,26.67,0.0,14 (9),0-0-0,6
PWH de Silva,RCB,3,26,17,3,4,1,8,152.94,5.67,8.67,3.4,47.06,0.0,18 (7),0-0-0,4
SS Iyer,KKR,3,23,17,3,2,1,7,135.29,5.67,7.67,5.67,41.18,0.0,15 (11),0-0-0,7
RM Patidar,RCB,2,23,19,2,2,0,4,121.05,9.5,11.5,9.5,21.05,0.0,23 (18),0-0-0,13
BJ McMullen,RCB,1,22,13,1,3,1,7,169.23,13.0,22.0,3.25,53.85,0.0,22 (13),0-0-0,4
Shubhang Hegde,LSG,2,21,8,1,3,1,2,262.5,8.0,21.0,2.0,25.0,0.0,15 (7),0-0-0,2
RK Singh,PBKS,1,20,12,1,3,0,2,166.67,12.0,20.0,4.0,16.67,0.0,20 (12),0-0-0,7
Shahbaz Ahmed,KKR,2,20,12,1,3,1,6,166.67,12.0,20.0,3.0,50.0,0.0,10 (9),0-0-0,2
Dhruv Jurel,CSK,1,18,6,0,2,1,1,300.0,inf,inf,2.0,16.67,0.0,18* (6),0-0-0,2
R Smaran,RR,1,18,12,1,2,1,5,150.0,12.0,18.0,4.0,41.67,0.0,18 (12),0-0-0,4
JM Vince,CSK,1,18,15,1,1,1,7,120.0,15.0,18.0,7.5,46.67,0.0,18 (15),0-0-0,6
AM Hardie,CSK,1,16,14,1,0,1,7,114.29,14.0,16.0,14.0,50.0,0.0,16 (14),0-0-0,7
SM Curran,RR,2,15,4,0,0,2,1,375.0,inf,inf,2.0,25.0,0.0,9* (3),0-0-0,1
N Pooran,MI,1,14,9,1,1,1,3,155.56,9.0,14.0,4.5,33.33,0.0,14 (9),0-0-0,4
RD Rickelton,RR,2,14,12,2,1,1,6,116.67,6.0,7.0,6.0,50.0,0.0,9 (7),0-0-0,4
Suryansh Shedge,KKR,1,12,7,0,0,2,5,171.43,inf,inf,3.5,71.43,0.0,12* (7),0-0-0,0
Washington Sundar,RCB,1,12,9,1,1,1,5,133.33,9.0,12.0,4.5,55.56,0.0,12 (9),0-0-0,2
J Fraser-McGurk,DC,1,11,6,1,0,1,3,183.33,6.0,11.0,6.0,50.0,0.0,11 (6),0-0-0,2
RA Jadeja,CSK,2,11,7,2,1,1,5,157.14,3.5,5.5,3.5,71.43,0.0,11 (6),0-0-0,1
Sonu Yadav,CSK,1,10,5,1,2,0,2,200.0,5.0,10.0,2.5,40.0,0.0,10 (5),0-0-0,1
RE van der Merwe,CSK,1,7,5,0,0,1,3,140.0,inf,inf,5.0,60.0,0.0,7* (5),0-0-0,1
S Gill,RCB,1,7,15,1,0,0,9,46.67,15.0,7.0,inf,60.0,0.0,7 (15),0-0-0,6
DS Airee,DC,1,6,5,1,0,1,4,120.0,5.0,6.0,5.0,80.0,0.0,6 (5),0-0-0,0
Geet Puri,CSK,1,6,5,1,0,1,4,120.0,5.0,6.0,5.0,80.0,0.0,6 (5),0-0-0,0
KH Pandya,SRH,1,6,5,0,1,0,2,120.0,inf,inf,5.0,40.0,0.0,6* (5),0-0-0,2
RG Sharma,KKR,1,6,6,0,1,0,5,100.0,inf,inf,6.0,83.33,0.0,6* (6),0-0-0,1
KA Maharaj,RCB,1,6,11,1,1,0,9,54.55,11.0,6.0,11.0,81.82,0.0,6 (11),0-0-0,1
Praveen Dubey,MI,1,4,1,0,1,0,0,400.0,inf,inf,1.0,0.0,0.0,4* (1),0-0-0,0
Tripuresh Singh,SRH,1,4,1,0,1,0,0,400.0,inf,inf,1.0,0.0,0.0,4* (1),0-0-0,0
HV Patel,PBKS,2,4,2,0,1,0,1,200.0,inf,inf,2.0,50.0,0.0,4* (1),0-0-0,0
Ramandeep Singh,RCB,1,3,5,1,0,0,2,60.0,5.0,3.0,inf,40.0,0.0,3 (5),0-0-0,3
AK Markram,DC,1,1,1,0,0,0,0,100.0,inf,inf,inf,0.0,0.0,1* (1),0-0-0,1
Rishabh Chouhan,GT,1,1,1,0,0,0,0,100.0,inf,inf,inf,0.0,0.0,1* (1),0-0-0,1
MP Yadav,KKR,1,1,2,0,0,0,1,50.0,inf,inf,inf,50.0,0.0,1* (2),0-0-0,1
Abhilash Shetty,MI,1,1,4,0,0,0,3,25.0,inf,inf,inf,75.0,0.0,1* (4),0-0-0,1
JJ Bumrah,DC,1,1,4,1,0,0,3,25.0,4.0,1.0,inf,75.0,0.0,1 (4),0-0-0,1
Ashwin Das,LSG,1,1,6,1,0,0,5,16.67,6.0,1.0,inf,83.33,0.0,1 (6),0-0-0,1
AR Ramjani,PBKS,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
Arshdeep Singh,LSG,1,0,3,1,0,0,3,0.0,3.0,0.0,inf,100.0,0.0,0 (3),0-0-0,0
Atharva Taide,RCB,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
GF Linde,GT,1,0,1,0,0,0,1,0.0,inf,,inf,100.0,0.0,0* (1),0-0-0,0
HJ Manenti,RCB,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
JC Archer,DC,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
JJ Smit,PBKS,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
LS Livingstone,PBKS,1,0,3,1,0,0,3,0.0,3.0,0.0,inf,100.0,0.0,0 (3),0-0-0,0
Mohammad Amir,LSG,1,0,2,1,0,0,2,0.0,2.0,0.0,inf,100.0,0.0,0 (2),0-0-0,0
Prashant Solanki,CSK,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
Rohan Kunnummal,MI,1,0,2,1,0,0,2,0.0,2.0,0.0,inf,100.0,0.0,0 (2),0-0-0,0
SS Ghosh,RCB,1,0,2,0,0,0,2,0.0,inf,,inf,100.0,0.0,0* (2),0-0-0,0
V Puthur,RCB,1,0,2,0,0,0,2,0.0,inf,,inf,100.0,0.0,0* (2),0-0-0,0
