striker,bowler,runs_scored,balls_bowled,outs,h2h_factor_bat,h2h_factor_bowl
AK Markram,CJ Jordan,40,21,0,1.1636676711929363,0.8363323288070637
AK Markram,CV Varun,95,60,4,1.0549204438521147,0.9450795561478853
AK Markram,DJ Bravo,28,29,1,0.8331080155161402,1.16689198448386
AK Markram,DL Chahar,42,32,0,0.9864800338287933,1.0135199661712067
AK Markram,E Bosch,22,24,1,0.8085259956948111,1.191474004305189
AK Markram,E Jones,38,27,2,0.9933748792845783,1.0066251207154218
AK Markram,G Coetzee,23,20,0,0.9133924207511874,1.0866075792488126
AK Markram,GF Linde,27,28,1,0.8319144383006352,1.1680855616993648
AK Markram,GJ Maxwell,37,32,0,0.9305912099305473,1.0694087900694527
AK Markram,HH Pandya,48,35,2,0.9837869356186214,1.0162130643813785
AK Markram,HV Patel,26,21,2,0.9084309292658156,1.0915690707341845
AK Markram,Hasan Ali,44,21,0,1.2184968994123666,0.7815031005876334
AK Markram,JP Behrendorff,28,20,0,1.002853072844814,0.997146927155186
AK Markram,K Rabada,42,24,1,1.1171392035015153,0.8828607964984847
AK Markram,KA Maharaj,46,42,0,0.9203371165846053,1.0796628834153947
AK Markram,KA Pollard,51,33,1,1.0573674735048237,0.9426325264951763
AK Markram,KI Simmonds,22,23,0,0.841707817291393,1.158292182708607
AK Markram,KK Ahmed,31,27,2,0.8972267678886275,1.1027732321113723
AK Markram,Kuldeep Yadav,32,21,1,1.0399372037556411,0.9600627962443589
AK Markram,L Ngidi,37,23,0,1.075024194441009,0.924975805558991
AK Markram,LH Ferguson,41,24,1,1.1037598082398699,0.8962401917601301
AK Markram,M Jansen,23,20,1,0.9026943795422362,1.0973056204577638
AK Markram,M Theekshana,110,77,2,1.0210039077260364,0.9789960922739636
AK Markram,MA Starc,67,40,1,1.1068617154562972,0.8931382845437028
AK Markram,Mohammad Nawaz (3),60,36,3,1.0796824930109248,0.9203175069890752
AK Markram,Mohammed Shami,25,21,2,0.9113793090135189,1.088620690986481
AK Markram,Mohammed Siraj,43,30,0,1.0253919111386491,0.9746080888613509
AK Markram,NT Ellis,48,27,1,1.1286738952880773,0.8713261047119227
AK Markram,Naveen-ul-Haq,37,23,1,1.0702295568464861,0.9297704431535139
AK Markram,Noor Ahmad,20,26,1,0.7418420791042191,1.258157920895781
AK Markram,PJ Cummins,34,22,0,1.053577701940381,0.9464222980596191
AK Markram,PWH de Silva,33,34,3,0.8234789900530697,1.1765210099469303
AK Markram,R Ashwin,37,32,0,0.9305912099305473,1.0694087900694527
AK Markram,R Shepherd,60,43,4,0.9868908188711115,1.0131091811288884
AK Markram,RA Jadeja,52,33,1,1.0676834980217929,0.9323165019782071
AK Markram,RD Chahar,25,25,1,0.8451542547285166,1.1548457452714835
AK Markram,RJW Topley,25,21,0,0.9296916320007645,1.0703083679992353
AK Markram,Rashid Khan,68,63,2,0.8826059127826595,1.1173940872173405
AK Markram,SA Abbott,31,20,2,1.0395053768843279,0.9604946231156721
AK Markram,SM Curran,36,27,0,0.9879271228182775,1.0120728771817225
AK Markram,SP Narine,47,51,1,0.8280380781241461,1.171961921875854
