striker,runs,balls,outs,fours,sixes,dots,SR,Bat_avg,bpb,dot_%,pace_index
JR Hazlewood,97,87,5,8,3,44,111.49425287356321,19.4,7.909090909090909,50.57471264367816,0.7652235501823347
Jay Gohil,183,95,7,13,15,32,192.6315789473684,26.142857142857142,3.392857142857143,33.68421052631579,1.1698172150578559
K Gowtham,153,96,9,10,9,37,159.375,17.0,5.052631578947368,38.541666666666664,0.9227707625943607
K L Shrijith,63,57,4,5,2,24,110.52631578947368,15.75,8.142857142857142,42.10526315789474,0.7666278037422225
K Rabada,302,263,15,25,11,133,114.82889733840304,20.133333333333333,7.305555555555555,50.57034220532319,0.792728804576408
KA Pollard,2623,1687,62,186,159,685,155.48310610551275,42.306451612903224,4.889855072463768,40.60462359217546,1.5251651182730257
KD Karthik,1321,818,43,125,69,328,161.4914425427873,30.72093023255814,4.216494845360825,40.09779951100244,1.5442801981419116
KH Pandya,929,670,35,97,24,256,138.65671641791045,26.542857142857144,5.537190082644628,38.208955223880594,1.0544330897304734
KK Nair,431,289,15,48,19,119,149.1349480968858,28.733333333333334,4.313432835820896,41.1764705882353,1.2687132089165385
KL Rahul,3392,2407,78,316,145,942,140.92230992937266,43.48717948717949,5.221258134490238,39.135853759867054,1.2889681931548231
Kuldeep Yadav,142,160,6,11,2,82,88.75,23.666666666666668,12.307692307692308,51.25,0.6738517717671317
LG Pretorius,346,211,12,44,15,93,163.98104265402844,28.833333333333332,3.5762711864406778,44.07582938388626,1.3172141762516214
LH Ferguson,210,167,17,13,13,86,125.74850299401197,12.352941176470589,6.423076923076923,51.49700598802395,0.8108691110769967
LS Livingstone,2786,1731,96,218,175,691,160.947429231658,29.020833333333332,4.404580152671755,39.91912189485846,1.496032251301609
Lalit Yadav,405,271,14,48,12,99,149.44649446494466,28.928571428571427,4.516666666666667,36.53136531365314,1.2696755986124524
M Jansen,646,447,31,43,37,185,144.51901565995524,20.838709677419356,5.5875,41.38702460850112,0.9928512097110498
M Pathirana,40,52,9,4,1,31,76.92307692307692,4.444444444444445,10.4,59.61538461538461,0.6907261238421151
M Shahrukh Khan,719,425,26,49,50,164,169.1764705882353,27.653846153846153,4.292929292929293,38.588235294117645,1.593931721537145
M Theekshana,183,233,19,14,6,136,78.54077253218884,9.631578947368421,11.65,58.36909871244635,0.6393444063401416
MA Agarwal,1243,896,34,142,38,377,138.72767857142858,36.55882352941177,4.977777777777778,42.075892857142854,1.149950914241063
MA Starc,132,108,12,10,4,46,122.22222222222223,11.0,7.714285714285714,42.592592592592595,0.7854963218973569
MG Bracewell,1035,634,33,94,54,259,163.24921135646687,31.363636363636363,4.283783783783784,40.85173501577287,1.5546359022527403
MJ Henry,130,91,9,5,9,34,142.85714285714286,14.444444444444445,6.5,37.362637362637365,0.8547084994750901
MK Lomror,552,403,27,52,20,165,136.9727047146402,20.444444444444443,5.597222222222222,40.94292803970223,0.9642747855080116
MK Pandey,1136,900,38,103,39,389,126.22222222222223,29.894736842105264,6.338028169014085,43.22222222222222,0.9232366699594458
MM Ali,1846,1357,80,152,96,612,136.03537214443625,23.075,5.471774193548387,45.09948415622697,0.9597292733745472
MP Stoinis,2973,2030,95,294,138,868,146.45320197044336,31.294736842105262,4.699074074074074,42.758620689655174,1.2097484130678604
MR Marsh,2201,1431,56,208,114,612,153.80852550663872,39.30357142857143,4.444099378881988,42.76729559748428,1.4946881425163727
MS Dhoni,877,561,30,74,47,221,156.32798573975043,29.233333333333334,4.636363636363637,39.39393939393939,1.4023280686990833
Mohammad Nabi,1518,1075,70,130,66,425,141.2093023255814,21.685714285714287,5.48469387755102,39.53488372093023,0.9944196923112372
Mohammed Azharuddeen,143,121,7,18,3,56,118.18181818181819,20.428571428571427,5.761904761904762,46.28099173553719,0.8276345875782528
Mohammed Shami,84,77,8,5,3,39,109.0909090909091,10.5,9.625,50.64935064935065,0.7301936139925829
Mohammed Siraj,105,98,7,12,2,49,107.14285714285714,15.0,7.0,50.0,0.7667051860271826
Mujeeb Ur Rahman,135,139,20,8,6,70,97.12230215827338,6.75,9.928571428571429,50.35971223021583,0.6959937529345799
Mustafizur Rahman,71,114,11,2,2,72,62.280701754385966,6.454545454545454,28.5,63.1578947368421,0.6015527683971047
N Pooran,4894,3129,141,392,306,1327,156.40779801853628,34.709219858156025,4.482808022922636,42.40971556407798,1.4660857349535075
N Rana,1709,1204,48,187,78,558,141.9435215946844,35.604166666666664,4.543396226415094,46.34551495016611,1.1789283947845766
N Sindhu,265,151,11,17,17,48,175.49668874172184,24.09090909090909,4.4411764705882355,31.788079470198674,1.203155365370814
N Wadhera,514,337,21,45,28,136,152.52225519287833,24.476190476190474,4.616438356164384,40.35608308605341,1.2471943557771805
NT Ellis,344,275,24,30,14,124,125.0909090909091,14.333333333333334,6.25,45.09090909090909,0.8554545700993059
