striker,num_innings,runs,balls,outs,bat_order,bat_avg,bat_sr,form
JG Bethell,5,89,62,3,6,29.666666666666668,143.5483870967742,1.0843483935848757
JJ Bumrah,4,21,14,2,10,10.5,150.0,0.9409148376985442
JM Bairstow,2,24,27,2,1,12.0,88.88888888888889,1.0794019659481686
JM Sharma,5,56,24,4,6,14.0,233.33333333333334,1.0465842515262813
JP Inglis,3,108,73,1,4,108.0,147.94520547945206,1.2781579192948147
JR Hazlewood,4,51,34,3,8,17.0,150.0,1.0060791301747503
Jagjit Singh,1,18,6,0,9,18.0,300.0,1.0531902549024854
Jay Gohil,5,103,45,2,7,51.5,228.88888888888889,1.1712670075571354
KA Pollard,5,119,64,3,5,39.666666666666664,185.9375,1.1535826502762483
KD Karthik,3,5,15,3,6,1.6666666666666667,33.333333333333336,0.7231039284492158
KH Pandya,5,80,56,5,7,16.0,142.85714285714286,1.0095645904895734
KK Ahmed,2,2,5,1,11,2.0,40.0,0.7095726385354152
KK Nair,3,49,41,2,4,24.5,119.51219512195122,1.076547269129156
KL Rahul,5,213,133,2,4,106.5,160.15037593984962,1.2887674295494855
KV Sharma,1,2,5,1,9,2.0,40.0,0.7197908317219636
Kuldeep Yadav,3,10,13,2,10,5.0,76.92307692307692,0.8286318281958541
LH Ferguson,2,11,21,1,9,11.0,52.38095238095238,0.8773105073012079
LS Livingstone,5,121,90,5,2,24.2,134.44444444444446,1.1468273890659897
M Jansen,1,14,16,0,8,14.0,87.5,0.9399902583182396
M Markande,3,38,50,1,8,38.0,76.0,1.0392545581386272
M Pathirana,5,8,11,4,11,2.0,72.72727272727273,0.7535443772047655
M Prasidh Krishna,2,19,18,2,10,9.5,105.55555555555556,0.9059160211273266
M Shahrukh Khan,4,30,29,4,4,7.5,103.44827586206897,0.9478068176912811
M Siddharth,3,11,7,2,9,5.5,157.14285714285714,0.8948798251247415
M Theekshana,4,19,28,1,9,19.0,67.85714285714286,0.9471234925761673
MA Agarwal,2,15,18,2,4,7.5,83.33333333333333,0.9271761796080901
MA Starc,5,8,18,3,10,2.6666666666666665,44.44444444444444,0.7475880205833239
MG Bracewell,3,47,40,3,6,15.666666666666666,117.5,0.9998336264244432
MK Lomror,5,46,41,4,6,11.5,112.1951219512195,0.9673729422252983
MK Pandey,5,131,109,4,4,32.75,120.18348623853211,1.1167766947701274
MP Stoinis,5,145,103,5,3,29.0,140.7766990291262,1.1393137114949012
MP Yadav,2,9,8,2,10,4.5,112.5,0.8463600147204419
MS Dhoni,5,61,55,4,6,15.25,110.9090909090909,0.9949747910061518
Mayank Dagar,2,0,5,0,10,0.0,0.0,0.0
Mohammad Ghazanfar,4,18,21,2,9,9.0,85.71428571428571,0.8934929825547776
Mohammad Nabi,2,11,9,1,7,11.0,122.22222222222223,0.9489091507531495
Mohammed Shami,3,10,8,2,10,5.0,125.0,0.8626894351499567
Mujeeb Ur Rahman,2,1,7,2,10,0.5,14.285714285714286,0.5765546615105359
Mukesh Kumar,2,13,8,2,8,6.5,162.5,0.9193148670558293
Mustafizur Rahman,2,21,27,2,9,10.5,77.77777777777777,0.901491647416453
N Pooran,5,263,169,4,4,65.75,155.62130177514794,1.2254641995325122
N Rana,5,61,56,5,4,12.2,108.92857142857143,1.001186351587861
N Sindhu,5,160,95,5,1,32.0,168.42105263157896,1.2608540579154486
N Wadhera,5,57,51,4,5,14.25,111.76470588235294,1.001499227959353
NT Ellis,2,17,18,2,9,8.5,94.44444444444444,0.8948335647479774
Naman Dhir,5,164,103,3,3,54.666666666666664,159.2233009708738,1.2249922240342908
Nithish Kumar Reddy,5,78,56,3,4,26.0,139.28571428571428,1.0983790174499783
Noor Ahmad,1,12,7,1,8,12.0,171.42857142857142,0.9741591697595109
P Simran Singh,5,144,93,5,1,28.8,154.83870967741936,1.2395244645833856
PD Salt,5,216,136,5,1,43.2,158.8235294117647,1.2962296112492708
PJ Cummins,5,33,29,2,7,16.5,113.79310344827586,0.9888994364511448
PN Mankad,2,33,31,2,4,16.5,106.45161290322581,1.0241850724812562
PP Shaw,5,205,125,5,2,41.0,164.0,1.229594579944796
PWH de Silva,3,23,15,1,8,23.0,153.33333333333334,1.0308702393608216
Priyansh Arya,3,121,55,3,1,40.333333333333336,220.0,1.3118893046870703
Q de Kock,5,254,161,4,2,63.5,157.7639751552795,1.2837038973595436
R Ashwin,5,37,31,4,8,9.25,119.35483870967742,0.9316916626587477
R Parag,5,84,51,1,5,84.0,164.7058823529412,1.2308345514939583
R Powell,5,148,79,4,5,37.0,187.34177215189874,1.1482974494786182
R Ravindra,1,7,7,1,2,7.0,100.0,0.9761155154758943
R Sai Kishore,1,26,17,1,8,26.0,152.94117647058823,1.043863014877136
R Tewatia,4,14,16,3,7,4.666666666666667,87.5,0.8555741228256502
RA Bawa,5,71,41,3,6,23.666666666666668,173.17073170731706,1.0737534828673068
RA Jadeja,5,28,19,1,9,28.0,147.3684210526316,1.0404122434484393
RA Tripathi,5,73,70,5,3,14.6,104.28571428571429,1.0377030555528837
RD Gaikwad,5,203,134,4,2,50.75,151.49253731343285,1.2493588553215864
RD Rickelton,5,260,155,5,2,52.0,167.74193548387098,1.263258697333925
RG Sharma,5,70,55,5,3,14.0,127.27272727272727,1.0486492701550114
RK Singh,5,123,90,4,5,30.75,136.66666666666666,1.1013177405965955
RM Patidar,5,104,75,4,3,26.0,138.66666666666666,1.123191046016319
RR Pant,5,76,59,3,3,25.333333333333332,128.8135593220339,1.1119024883331632
RR Rossouw,5,128,89,5,5,25.6,143.82022471910113,1.0859234873184302
Ramandeep Singh,5,111,64,2,6,55.5,173.4375,1.1709426006697286
Rashid Khan,4,43,39,3,8,14.333333333333334,110.25641025641026,0.9660425854326813
Rasikh Salam,2,10,13,1,8,10.0,76.92307692307692,0.8990529716805261
Ravi Bishnoi,4,22,26,2,9,11.0,84.61538461538461,0.9113908305703983
S Dube,5,128,84,3,4,42.666666666666664,152.38095238095238,1.1649953016888714
SA Yadav,5,188,107,3,3,62.666666666666664,175.70093457943926,1.2513841736939149
SE Rutherford,1,24,16,1,5,24.0,150.0,1.068954986744131
SH Johnson,4,36,23,3,8,12.0,156.52173913043478,0.9749359607136027
SK Rasheed,1,12,7,1,2,12.0,171.42857142857142,1.075292699564404
SM Curran,5,29,30,2,6,14.5,96.66666666666667,0.9748879502148465
SN Thakur,2,4,5,1,5,4.0,80.0,0.8498645455325565
SP Narine,4,143,91,4,2,35.75,157.14285714285714,1.2062159927034748
SS Iyer,5,223,150,5,4,44.6,148.66666666666666,1.1731234806799922
SV Samson,5,121,88,5,2,24.2,137.5,1.1486712581188636
SZ Mulani,1,12,10,1,9,12.0,120.0,0.9389508548681975
Sameer Rizvi,2,60,40,1,5,60.0,150.0,1.1789335482705445
Sandeep Sharma,4,11,12,0,11,11.0,91.66666666666667,0.8990245809594505
Sanvir Singh,3,27,19,2,7,13.5,142.10526315789474,0.9852076916773601
Shahbaz Ahmed,5,75,52,4,8,18.75,144.23076923076923,1.015345707667699
Shakib Al Hasan,2,22,15,1,7,22.0,146.66666666666666,1.0325646658011844
Shashank Singh,5,144,69,4,6,36.0,208.69565217391303,1.1392043189904935
Shubman Gill,5,162,97,4,2,40.5,167.01030927835052,1.2274809345286695
Sikandar Raza,5,140,88,4,4,35.0,159.0909090909091,1.1465047298290794
Smaran Ravichandran,5,223,128,3,4,74.33333333333333,174.21875,1.2483910344772098
Suryansh Shedge,4,49,24,4,8,12.25,204.16666666666666,1.00086417737187
Swapnil Singh,4,11,14,3,8,3.6666666666666665,78.57142857142857,0.8204510467562921
T Natarajan,4,25,14,2,10,12.5,178.57142857142858,0.9709009279090683
T Stubbs,5,87,71,3,5,29.0,122.53521126760563,1.083944449913444
TA Boult,3,23,13,1,10,23.0,176.92307692307693,1.025556912217892
TH David,4,44,32,4,5,11.0,137.5,0.991270026447693
TM Head,5,212,149,3,1,70.66666666666667,142.28187919463087,1.3529995352350166
TU Deshpande,2,9,6,2,8,4.5,150.0,0.8821524563716587
Tilak Varma,5,227,155,4,3,56.75,146.4516129032258,1.2259974494566879
Urvil Patel,5,42,27,4,8,10.5,155.55555555555554,0.9638510324231121
V Kohli,5,136,91,4,2,34.0,149.45054945054946,1.1956260409752821
V Shankar,2,11,15,2,5,5.5,73.33333333333333,0.875676100202072
VG Arora,3,25,15,1,8,25.0,166.66666666666666,1.0462143493042717
VR Iyer,5,122,64,2,4,61.0,190.625,1.2253412508363812
WG Jacks,5,52,29,4,3,13.0,179.31034482758622,1.0678139851292343
Washington Sundar,5,56,55,4,1,14.0,101.81818181818181,1.1134968521120854
YBK Jaiswal,5,168,78,1,5,168.0,215.3846153846154,1.3520914104185253
YS Chahal,3,19,10,2,8,9.5,190.0,0.9658786180267565
Yash Thakur,2,4,9,0,11,4.0,44.44444444444444,0.7677159040843755
