wkt_prob,one_prob,two_prob,three_prob,four_prob,six_prob,dot_prob,wide_prob,no_prob,bowler,innings,phase,nrr_phase,wkt_phase,num_innings,runs,balls,wkts,economy,strike_rate
0.09090909090909091,0.0,0.07575757575757575,0.0,0.1515151515151515,0.0,0.606060606060606,0.07575757575757575,0.0,A Nortje,2,middle,easy,easy,2,11.0,11,0,6.0,11.0
0.0625,0.32196969696969696,0.0946969696969697,0.009469696969696968,0.10416666666666666,0.04734848484848485,0.3314393939393939,0.028409090909090908,0.0,A Nortje,2,middle,easy,medium,16,134.0,96,6,8.375,16.0
0.017241379310344827,0.48305084745762705,0.08328462887200468,0.0,0.11659848042080653,0.0499707773232028,0.23319696084161307,0.016656925774400932,0.0,A Nortje,2,middle,moderate,crucial,11,86.0,58,1,8.89655172413793,58.0
0.2,0.31999999999999995,0.0,0.0,0.0,0.0,0.47999999999999987,0.0,0.0,A Nortje,2,middle,moderate,easy,1,2.0,5,0,2.4,5.0
0.1,0.42857142857142866,0.0,0.0,0.1285714285714286,0.0,0.30000000000000004,0.04285714285714287,0.0,A Nortje,2,middle,moderate,medium,5,23.0,20,2,6.9,10.0
0.04230769230769231,0.2218184389140272,0.03873020361990951,0.007041855203619911,0.16900452488687787,0.042251131221719467,0.44715780542986433,0.021125565610859733,0.010562782805429867,A Nortje,2,pp,crucial,crucial,33,364.0,260,11,8.4,23.636363636363637
0.09929078014184398,0.1925654194179506,0.031058938615798486,0.006211787723159696,0.09317681584739546,0.04348251406211788,0.5155783810222547,0.006211787723159696,0.012423575446319392,A Nortje,2,pp,easy,crucial,20,149.0,141,14,6.340425531914893,10.071428571428571
0.125,0.109375,0.0,0.0,0.109375,0.109375,0.546875,0.0,0.0,A Nortje,2,pp,easy,medium,1,11.0,8,1,8.25,8.0
0.034482758620689655,0.29010846689331393,0.049862392747288334,0.0,0.1178565646754088,0.03626355836166424,0.4215638659543468,0.049862392747288334,0.0,A Nortje,2,pp,moderate,crucial,28,254.0,203,7,7.5073891625615765,29.0
0.04,0.26880000000000004,0.0768,0.0,0.2304,0.1536,0.2304,0.0,0.0,A Zampa,2,death,crucial,crucial,5,59.0,25,0,14.16,25.0
0.1,0.405,0.09000000000000001,0.045000000000000005,0.09000000000000001,0.0,0.27,0.0,0.0,A Zampa,2,death,crucial,easy,3,24.0,20,2,7.2,10.0
0.034482758620689655,0.39275277615429577,0.04909409701928697,0.0,0.06545879602571597,0.13091759205143194,0.31092928112215085,0.016364699006428993,0.0,A Zampa,2,death,crucial,medium,11,95.0,58,2,9.827586206896552,29.0
0.05555555555555555,0.3828828828828829,0.15315315315315314,0.0,0.025525525525525526,0.025525525525525526,0.33183183183183185,0.025525525525525526,0.0,A Zampa,2,death,easy,crucial,8,38.0,36,2,6.333333333333333,18.0
0.2542372881355932,0.1956098916365657,0.048902472909141424,0.0,0.036676854681856066,0.012225618227285356,0.42789663795498745,0.024451236454570712,0.0,A Zampa,2,death,easy,easy,14,44.0,59,15,4.47457627118644,3.933333333333333
0.05217391304347826,0.3888517279821627,0.06480862133036046,0.008101077666295057,0.09721293199554068,0.13771832032701598,0.23493125232255663,0.016202155332590115,0.0,A Zampa,2,death,easy,medium,24,219.0,115,6,11.42608695652174,19.166666666666668
0.043478260869565216,0.6376811594202899,0.07971014492753624,0.0,0.11956521739130435,0.0,0.07971014492753624,0.03985507246376812,0.0,A Zampa,2,death,moderate,crucial,6,33.0,23,0,8.608695652173912,23.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A Zampa,2,death,moderate,easy,1,1.0,1,0,6.0,1.0
0.04,0.576,0.0768,0.0,0.0384,0.0384,0.2304,0.0,0.0,A Zampa,2,death,moderate,medium,9,29.0,25,1,6.96,25.0
0.016,0.41451968503937003,0.07360629921259843,0.003874015748031496,0.09685039370078741,0.11234645669291339,0.26730708661417324,0.015496062992125983,0.0,A Zampa,2,middle,crucial,crucial,24,426.0,250,4,10.224,62.5
0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,A Zampa,2,middle,crucial,easy,1,0.0,2,1,0.0,2.0
0.125,0.3356164383561644,0.03595890410958904,0.011986301369863013,0.04794520547945205,0.03595890410958904,0.3955479452054794,0.011986301369863013,0.0,A Zampa,2,middle,crucial,medium,12,72.0,72,9,6.0,8.0
0.0392156862745098,0.49357939254133026,0.07158785082660517,0.003767781622452903,0.04144559784698194,0.04898116109188774,0.30142252979623224,0.0,0.0,A Zampa,2,middle,easy,crucial,32,294.0,255,10,6.91764705882353,25.5
0.25,0.3125,0.03125,0.0,0.03125,0.0,0.375,0.0,0.0,A Zampa,2,middle,easy,easy,3,16.0,24,6,4.0,4.0
0.09467455621301775,0.39408284023668644,0.047928994082840244,0.005325443786982249,0.047928994082840244,0.053254437869822494,0.35147928994082844,0.005325443786982249,0.0,A Zampa,2,middle,easy,medium,22,192.0,169,16,6.816568047337278,10.5625
0.02631578947368421,0.4658575317604357,0.08813520871143377,0.00839382940108893,0.07554446460980037,0.029378402903811256,0.2895871143375681,0.01678765880217786,0.0,A Zampa,2,middle,moderate,crucial,32,277.0,228,6,7.2894736842105265,38.0
0.07272727272727272,0.43834710743801664,0.15173553719008268,0.0,0.06743801652892563,0.033719008264462814,0.2360330578512397,0.0,0.0,A Zampa,2,middle,moderate,medium,10,72.0,55,4,7.8545454545454545,13.75
0.058823529411764705,0.34325259515570933,0.05536332179930796,0.011072664359861591,0.07750865051903114,0.03321799307958478,0.4207612456747405,0.0,0.0,A Zampa,2,pp,crucial,crucial,14,90.0,85,5,6.352941176470588,17.0
0.023255813953488372,0.5224445646295294,0.0,0.0,0.18171984856679285,0.04542996214169821,0.22714981070849105,0.0,0.0,A Zampa,2,pp,easy,crucial,8,67.0,43,1,9.348837209302326,43.0
0.044117647058823525,0.3837483898668957,0.04186346071275226,0.02093173035637613,0.07674967797337914,0.006977243452125376,0.41863460712752254,0.006977243452125376,0.0,A Zampa,2,pp,moderate,crucial,19,127.0,136,6,5.602941176470588,22.666666666666668
0.02702702702702703,0.3840682788051209,0.07681365576102418,0.0,0.12802275960170698,0.23044096728307253,0.12802275960170698,0.025604551920341393,0.0,AD Russell,2,death,crucial,crucial,11,96.0,37,1,15.567567567567568,37.0
0.16666666666666666,0.1388888888888889,0.0,0.0,0.2777777777777778,0.2777777777777778,0.1388888888888889,0.0,0.0,AD Russell,2,death,crucial,easy,2,21.0,6,0,21.0,6.0
0.058823529411764705,0.3660130718954248,0.0,0.0,0.1045751633986928,0.26143790849673204,0.1568627450980392,0.0522875816993464,0.0,AD Russell,2,death,crucial,medium,7,46.0,17,0,16.235294117647058,17.0
0.03333333333333333,0.3020833333333333,0.12083333333333333,0.030208333333333334,0.12083333333333333,0.15104166666666666,0.18125000000000002,0.030208333333333334,0.030208333333333334,AD Russell,2,death,easy,crucial,6,69.0,30,0,13.8,30.0
0.13385826771653542,0.26501351510165705,0.051709954166176984,0.0,0.09049241979080973,0.051709954166176984,0.3619696791632389,0.045246209895404864,0.0,AD Russell,2,death,easy,easy,23,168.0,127,17,7.937007874015748,7.470588235294118
0.0728476821192053,0.2730264494372892,0.10238491853898345,0.005688051029943525,0.10238491853898345,0.119449071628814,0.2616503473774021,0.05119245926949172,0.01137610205988705,AD Russell,2,death,easy,medium,24,296.0,151,11,11.76158940397351,13.727272727272727
0.07692307692307693,0.3956043956043956,0.06593406593406594,0.0,0.13186813186813187,0.13186813186813187,0.13186813186813187,0.06593406593406594,0.0,AD Russell,2,death,moderate,crucial,4,29.0,13,0,13.384615384615385,13.0
0.09090909090909091,0.3557312252964427,0.039525691699604744,0.0,0.15810276679841898,0.039525691699604744,0.2766798418972332,0.039525691699604744,0.0,AD Russell,2,death,moderate,medium,6,34.0,22,2,9.272727272727273,11.0
0.0196078431372549,0.3710830126443101,0.059556532893531244,0.0,0.1466006963533077,0.07788161993769471,0.28403884918453365,0.03206890232728606,0.00916254352208173,AD Russell,2,middle,crucial,crucial,25,346.0,204,4,10.176470588235293,51.0
0.10526315789473684,0.2130325814536341,0.04260651629072682,0.0,0.08521303258145364,0.1704260651629073,0.3408521303258146,0.0,0.04260651629072682,AD Russell,2,middle,crucial,medium,4,40.0,19,2,12.631578947368421,9.5
0.050359712230215826,0.41344883277051825,0.04522096608427543,0.006460138012039348,0.1356628982528263,0.08398179415651151,0.21964469240933782,0.03876082807223608,0.006460138012039348,AD Russell,2,middle,easy,crucial,23,250.0,139,7,10.79136690647482,19.857142857142858
0.058823529411764705,0.4982698961937716,0.0,0.0,0.11072664359861592,0.0,0.3321799307958478,0.0,0.0,AD Russell,2,middle,easy,easy,3,17.0,17,0,6.0,17.0
0.075,0.34040000000000004,0.074,0.0074,0.06659999999999999,0.0592,0.34040000000000004,0.037,0.0,AD Russell,2,middle,easy,medium,17,158.0,120,9,7.9,13.333333333333334
0.056451612903225805,0.40744134897360695,0.07862903225806452,0.0,0.11436950146627564,0.02144428152492668,0.26447947214076245,0.05718475073313782,0.0,AD Russell,2,middle,moderate,crucial,22,169.0,124,7,8.17741935483871,17.714285714285715
0.16666666666666666,0.11904761904761907,0.0,0.0,0.11904761904761907,0.0,0.4761904761904763,0.11904761904761907,0.0,AD Russell,2,middle,moderate,easy,1,6.0,6,1,6.0,6.0
0.07142857142857142,0.1989795918367347,0.0663265306122449,0.0,0.3316326530612245,0.0,0.3316326530612245,0.0,0.0,AD Russell,2,middle,moderate,medium,4,25.0,14,0,10.714285714285714,14.0
0.04580152671755725,0.23192324003392706,0.04638464800678541,0.01987913486005089,0.11264843087362171,0.0662637828668363,0.3975826972010178,0.0662637828668363,0.013252756573367261,AD Russell,2,pp,crucial,crucial,20,198.0,131,6,9.068702290076336,21.833333333333332
0.08620689655172414,0.18275862068965518,0.07614942528735634,0.015229885057471266,0.07614942528735634,0.060919540229885064,0.4721264367816092,0.015229885057471266,0.015229885057471266,AD Russell,2,pp,easy,crucial,10,71.0,58,5,7.344827586206897,11.6
0.18181818181818182,0.07438016528925621,0.0,0.0,0.14876033057851243,0.07438016528925621,0.5206611570247934,0.0,0.0,AD Russell,2,pp,easy,medium,2,15.0,11,2,8.181818181818182,5.5
0.05056179775280899,0.24878327224659014,0.015231628913056539,0.010154419275371026,0.1929339662320495,0.08123535420296821,0.3554046746379859,0.040617677101484104,0.005077209637685513,AD Russell,2,pp,moderate,crucial,30,323.0,178,9,10.887640449438202,19.77777777777778
0.16666666666666666,0.11904761904761907,0.11904761904761907,0.0,0.0,0.0,0.4761904761904763,0.11904761904761907,0.0,AD Russell,2,pp,moderate,medium,1,4.0,6,1,4.0,6.0
0.041666666666666664,0.3525641025641026,0.0,0.0,0.14102564102564102,0.0,0.3942307692307693,0.07051282051282051,0.0,AJ Turner,2,death,crucial,medium,2,14.0,12,0,7.0,12.0
0.041666666666666664,0.3525641025641026,0.28205128205128205,0.0,0.0,0.07051282051282051,0.18269230769230768,0.07051282051282051,0.0,AJ Turner,2,death,easy,easy,2,20.0,12,1,10.0,12.0
0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,AJ Turner,2,death,moderate,crucial,1,0.0,1,0,0.0,1.0
0.25,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,AJ Turner,2,death,moderate,medium,1,1.0,2,0,3.0,2.0
0.017241379310344827,0.5294771968854283,0.12458286985539489,0.0,0.09343715239154617,0.062291434927697446,0.11067853170189099,0.062291434927697446,0.0,AJ Turner,2,middle,crucial,crucial,5,51.0,29,0,10.551724137931034,29.0
0.14285714285714285,0.3061224489795919,0.0,0.0,0.0,0.0,0.5510204081632654,0.0,0.0,AJ Turner,2,middle,crucial,medium,2,3.0,7,2,2.5714285714285716,3.5
