match_id,innings,runs,balls,SR,post_1st_strike_score,exit_pt_score,win,PP_perf,Middle_perf,Death_perf,batter,team,team_total,pitch
S07M013,2,63,38,165.79,0-0(0.1),141-4(13.1),0.0,23 off 16,40 off 22,,V Suryavanshi,PBKS,10-182 (112),spin
S07M017,2,0,1,0.0,0-1(0.1),0-1(0.1),1.0,0 off 1,,,V Suryavanshi,PBKS,4-135 (94),pace
S07M023,2,51,30,170.0,4-0(0.1),89-3(11.0),0.0,23 off 13,28 off 17,,V Suryavanshi,PBKS,4-179 (120),pace
S07M026,1,37,31,119.35,1-0(0.1),135-4(12.5),1.0,13 off 11,24 off 20,,V Suryavanshi,PBKS,10-198 (110),pace
S07M033,1,93,52,178.85,0-0(0.1),,1.0,34 off 16,42 off 26,17 off 10,V Suryavanshi,PBKS,3-191 (120),spin
S07M040,1,31,23,134.78,0-0(0.1),57-6(7.5),0.0,24 off 17,7 off 6,,V Suryavanshi,PBKS,10-75 (74),spin
S07M043,2,46,16,287.5,4-0(0.1),58-1(4.3),0.0,46 off 16,,,V Suryavanshi,PBKS,10-179 (106),spin
S07M047,1,47,34,138.24,0-0(0.1),104-4(12.2),0.0,20 off 16,27 off 18,,V Suryavanshi,PBKS,6-185 (120),neutralish
S07M053,2,46,36,127.78,0-0(0.1),107-1(11.4),0.0,14 off 17,32 off 19,,V Suryavanshi,PBKS,6-194 (120),pace
S07M058,2,109,55,198.18,0-0(0.1),,1.0,23 off 15,45 off 25,41 off 15,V Suryavanshi,PBKS,3-202 (120),pace
S07M063,2,68,50,136.0,0-0(0.1),132-4(15.5),0.0,20 off 21,47 off 27,1 off 2,V Suryavanshi,PBKS,4-202 (120),pace
S07M070,2,23,12,191.67,3-0(0.1),64-2(5.2),0.0,23 off 12,,,V Suryavanshi,PBKS,10-132 (95),pace
S07M004,1,74,42,176.19,4-0(0.1),149-2(13.4),1.0,34 off 17,40 off 25,,GJ Maxwell,DC,2-251 (120),neutralish
S07M007,1,54,23,234.78,4-0(0.1),87-1(7.4),1.0,41 off 16,13 off 7,,GJ Maxwell,DC,6-207 (120),pace
S07M012,2,4,3,133.33,1-0(0.1),26-1(2.2),0.0,4 off 3,,,GJ Maxwell,DC,6-217 (120),neutralish
S07M018,1,1,3,33.33,0-0(0.1),2-1(0.4),0.0,1 off 3,,,GJ Maxwell,DC,10-161 (118),neutralish
S07M021,1,143,64,223.44,0-0(0.1),,1.0,48 off 23,50 off 26,45 off 15,GJ Maxwell,DC,7-243 (120),pace
S07M026,2,41,20,205.0,0-0(0.1),64-2(5.2),0.0,41 off 20,,,GJ Maxwell,DC,9-184 (120),pace
S07M034,1,21,13,161.54,3-0(0.1),57-1(6.2),0.0,17 off 11,4 off 2,,GJ Maxwell,DC,6-201 (120),pace
S07M038,2,61,26,234.62,1-0(0.0),98-3(8.1),1.0,53 off 19,8 off 7,,GJ Maxwell,DC,3-201 (99),pace
S07M044,1,77,40,192.5,1-0(0.1),177-3(15.3),0.0,20 off 9,49 off 28,8 off 3,GJ Maxwell,DC,7-219 (120),spin
S07M049,2,48,23,208.7,4-0(0.1),93-4(7.2),1.0,45 off 19,3 off 4,,GJ Maxwell,DC,8-111 (82),spin
S07M055,1,41,25,164.0,0-0(0.1),84-2(9.3),1.0,30 off 16,11 off 9,,GJ Maxwell,DC,6-177 (120),spin
S07M059,2,0,2,0.0,0-0(0.1),0-1(0.2),0.0,0 off 2,,,GJ Maxwell,DC,10-92 (82),pace
S07M065,1,64,29,220.69,4-0(0.1),123-2(10.2),1.0,47 off 18,17 off 11,,GJ Maxwell,DC,5-240 (120),spin
S07M067,1,58,31,187.1,4-0(0.1),112-2(10.3),1.0,35 off 17,23 off 14,,GJ Maxwell,DC,7-202 (120),spin
S07M004,2,82,47,174.47,21-1(1.3),185-3(15.3),0.0,30 off 13,51 off 32,1 off 2,Naman Dhir,GT,10-241 (118),neutralish
S07M006,1,7,10,70.0,27-1(3.0),59-2(7.2),0.0,6 off 7,1 off 3,,Naman Dhir,GT,8-184 (120),pace
S07M013,1,82,50,164.0,0-1(0.2),172-5(18.3),1.0,10 off 11,34 off 24,38 off 15,Naman Dhir,GT,5-192 (120),spin
S07M016,2,42,27,155.56,58-1(5.0),148-3(14.2),1.0,15 off 7,27 off 20,,Naman Dhir,GT,7-214 (115),spin
S07M022,2,14,7,200.0,90-1(8.0),109-2(9.5),1.0,,14 off 7,,Naman Dhir,GT,6-193 (112),spin
S07M028,2,32,15,213.33,11-2(2.2),68-3(8.4),1.0,11 off 6,21 off 9,,Naman Dhir,GT,5-130 (91),pace
S07M032,2,59,34,173.53,96-1(7.3),,0.0,,24 off 18,35 off 16,Naman Dhir,GT,4-220 (120),spin
S07M039,1,76,47,161.7,4-1(0.3),154-6(15.4),0.0,25 off 15,46 off 29,5 off 3,Naman Dhir,GT,6-207 (120),pace
S07M045,1,5,3,166.67,37-1(3.5),38-2(4.1),0.0,5 off 3,,,Naman Dhir,GT,7-183 (120),neutralish
S07M050,2,80,41,195.12,25-1(2.1),188-10(18.1),0.0,35 off 12,33 off 22,12 off 7,Naman Dhir,GT,10-188 (109),neutralish
S07M051,2,94,44,213.64,13-2(1.4),136-3(13.5),1.0,45 off 18,49 off 26,,Naman Dhir,GT,4-205 (116),pace
S07M056,1,30,18,166.67,104-2(9.3),167-4(15.5),1.0,,21 off 14,9 off 4,Naman Dhir,GT,6-219 (120),neutralish
S07M061,1,58,38,152.63,74-2(7.0),,1.0,,33 off 26,25 off 12,Naman Dhir,GT,9-196 (120),neutralish
S07M068,1,4,2,200.0,207-2(17.3),207-3(17.4),1.0,,,4 off 2,Naman Dhir,GT,4-236 (120),neutralish
S07M001,2,16,21,76.19,1-0(0.2),82-2(9.2),0.0,10 off 13,6 off 8,,Urvil Patel,MI,10-148 (114),pace
S07M007,2,31,15,206.67,1-0(0.2),62-2(4.3),0.0,31 off 15,,,Urvil Patel,MI,10-185 (113),pace
S07M011,2,84,56,150.0,4-1(1.0),,0.0,18 off 16,47 off 31,19 off 9,Urvil Patel,MI,5-188 (120),spin
S07M016,1,40,30,133.33,6-0(0.3),109-2(10.2),0.0,28 off 17,12 off 13,,Urvil Patel,MI,9-210 (120),spin
S07M023,1,63,43,146.51,1-0(0.2),151-4(15.4),1.0,32 off 16,30 off 25,1 off 2,Urvil Patel,MI,6-188 (120),pace
S07M030,1,1,3,33.33,3-0(0.3),11-2(1.2),0.0,1 off 3,,,Urvil Patel,MI,10-144 (116),spin
S07M033,2,9,7,128.57,7-1(1.1),28-2(3.0),0.0,9 off 7,,,Urvil Patel,MI,8-148 (120),spin
S07M039,2,42,36,116.67,10-0(1.0),117-2(13.2),1.0,20 off 13,22 off 23,,Urvil Patel,MI,4-208 (116),pace
S07M041,2,62,39,158.97,2-0(0.2),130-2(13.2),0.0,32 off 16,30 off 23,,Urvil Patel,MI,7-216 (120),spin
S07M048,1,50,46,108.7,10-0(0.5),159-3(17.0),0.0,9 off 11,24 off 27,17 off 8,Urvil Patel,MI,3-196 (120),pace
S07M054,2,94,50,188.0,3-0(0.2),,1.0,16 off 14,53 off 29,25 off 7,Urvil Patel,MI,2-201 (104),spin
S07M057,2,21,11,190.91,13-0(1.0),56-1(3.4),0.0,21 off 11,,,Urvil Patel,MI,10-199 (119),pace
S07M062,1,85,55,154.55,2-0(0.2),,0.0,24 off 19,40 off 25,21 off 11,Urvil Patel,MI,8-167 (120),spin
S07M067,2,67,44,152.27,29-1(2.3),153-5(15.5),0.0,28 off 14,38 off 28,1 off 2,Urvil Patel,MI,10-177 (112),spin
S07M004,1,49,18,272.22,153-2(13.5),,1.0,,8 off 4,41 off 14,N Sindhu,DC,2-251 (120),neutralish
S07M007,1,40,24,166.67,88-2(7.5),161-5(15.5),1.0,,33 off 20,7 off 4,N Sindhu,DC,6-207 (120),pace
S07M012,2,51,27,188.89,84-2(8.2),200-4(18.0),0.0,,25 off 19,26 off 8,N Sindhu,DC,6-217 (120),neutralish
S07M018,1,2,3,66.67,97-2(8.5),101-3(9.5),0.0,,2 off 3,,N Sindhu,DC,10-161 (118),neutralish
S07M021,1,73,35,208.57,43-2(4.2),195-3(16.1),1.0,9 off 3,56 off 28,8 off 4,N Sindhu,DC,7-243 (120),pace
S07M026,2,32,23,139.13,67-2(5.3),130-5(13.5),0.0,3 off 1,29 off 22,,N Sindhu,DC,9-184 (120),pace
S07M034,1,86,40,215.0,71-2(8.2),,0.0,,44 off 22,42 off 18,N Sindhu,DC,6-201 (120),pace
S07M038,2,64,29,220.69,75-2(6.2),,1.0,,50 off 24,14 off 5,N Sindhu,DC,3-201 (99),pace
S07M044,1,69,40,172.5,44-2(3.5),185-5(16.4),0.0,33 off 11,34 off 26,2 off 3,N Sindhu,DC,7-219 (120),spin
S07M049,2,13,5,260.0,27-2(1.4),41-3(2.4),1.0,13 off 5,,,N Sindhu,DC,8-111 (82),spin
S07M055,1,8,9,88.89,88-2(9.4),96-3(11.4),1.0,,8 off 9,,N Sindhu,DC,6-177 (120),spin
S07M059,2,1,3,33.33,15-2(3.0),15-3(3.2),0.0,1 off 3,,,N Sindhu,DC,10-92 (82),pace
S07M065,1,105,49,214.29,13-1(2.3),,1.0,26 off 10,50 off 28,29 off 11,N Sindhu,DC,5-240 (120),spin
S07M067,1,50,28,178.57,48-1(4.3),127-3(12.5),1.0,13 off 7,37 off 21,,N Sindhu,DC,7-202 (120),spin
S07M005,2,86,52,165.38,22-2(2.5),,1.0,20 off 11,28 off 27,38 off 14,S Dube,RR,4-196 (115),neutralish
S07M009,1,4,1,400.0,6-2(1.0),17-3(1.4),0.0,4 off 1,,,S Dube,RR,10-91 (69),spin
S07M015,2,40,22,181.82,24-2(1.5),101-3(10.5),0.0,10 off 8,30 off 14,,S Dube,RR,8-206 (120),neutralish
S07M020,2,15,14,107.14,32-2(3.5),68-4(9.0),0.0,4 off 4,11 off 10,,S Dube,RR,10-168 (118),spin
S07M025,2,38,30,126.67,46-2(4.0),117-3(14.0),0.0,6 off 6,32 off 24,,S Dube,RR,4-191 (120),pace
S07M029,1,71,42,169.05,37-2(3.5),160-6(16.4),0.0,17 off 6,51 off 30,3 off 6,S Dube,RR,10-190 (120),pace
S07M035,1,55,23,239.13,137-1(12.5),,1.0,,18 off 8,37 off 15,S Dube,RR,2-219 (120),spin
S07M040,2,34,25,136.0,17-1(3.0),,1.0,6 off 8,28 off 17,,S Dube,RR,4-76 (74),spin
S07M045,2,22,21,104.76,62-1(5.0),113-4(11.4),1.0,0 off 3,22 off 18,,S Dube,RR,6-184 (103),neutralish
S07M049,1,0,1,0.0,0-2(0.4),0-2(0.4),0.0,0 off 1,,,S Dube,RR,10-110 (91),spin
S07M051,1,55,33,166.67,30-1(3.4),116-3(12.1),0.0,22 off 14,33 off 19,,S Dube,RR,5-204 (120),pace
S07M057,1,60,35,171.43,33-1(3.4),127-2(13.3),1.0,14 off 9,46 off 26,,S Dube,RR,5-214 (120),pace
S07M065,2,32,22,145.45,37-2(4.4),123-4(13.1),0.0,10 off 3,22 off 19,,S Dube,RR,10-188 (115),spin
S07M066,1,87,45,193.33,47-1(4.5),,1.0,7 off 3,28 off 25,52 off 17,S Dube,RR,7-230 (120),neutralish
S07M003,1,41,28,146.43,5-1(0.2),84-3(9.0),1.0,33 off 18,8 off 10,,Ishan Kishan,KKR,8-224 (120),pace
S07M008,2,10,9,111.11,0-0(0.1),36-1(2.5),0.0,10 off 9,,,Ishan Kishan,KKR,10-124 (101),spin
S07M011,1,36,23,156.52,18-1(1.4),78-2(9.1),1.0,18 off 12,18 off 11,,Ishan Kishan,KKR,5-194 (120),spin
S07M017,1,18,9,200.0,46-1(5.1),66-2(7.0),0.0,13 off 5,5 off 4,,Ishan Kishan,KKR,10-134 (106),pace
S07M025,1,54,38,142.11,30-1(3.3),160-5(16.2),1.0,13 off 9,38 off 26,3 off 3,Ishan Kishan,KKR,5-202 (120),pace
S07M028,1,40,25,160.0,1-0(0.2),76-3(8.4),0.0,37 off 21,3 off 4,,Ishan Kishan,KKR,10-129 (105),pace
S07M032,1,32,16,200.0,86-1(6.1),138-3(11.0),1.0,,32 off 16,,Ishan Kishan,KKR,9-226 (120),spin
S07M037,1,65,48,135.42,0-1(0.2),,0.0,12 off 14,36 off 24,17 off 10,Ishan Kishan,KKR,7-173 (120),neutralish
S07M042,2,65,47,138.3,22-0(1.1),,1.0,10 off 11,20 off 22,35 off 14,Ishan Kishan,KKR,2-189 (115),spin
S07M046,1,28,13,215.38,0-0(0.1),31-1(3.2),1.0,28 off 13,,,Ishan Kishan,KKR,9-143 (120),pace
S07M055,2,44,34,129.41,54-1(3.3),141-2(14.1),0.0,11 off 10,33 off 24,,Ishan Kishan,KKR,9-172 (120),spin
S07M059,1,105,59,177.97,13-1(1.5),173-4(19.3),1.0,23 off 15,36 off 26,46 off 18,Ishan Kishan,KKR,5-180 (120),pace
S07M064,2,30,15,200.0,42-1(4.2),95-5(9.0),0.0,12 off 8,18 off 7,,Ishan Kishan,KKR,10-147 (96),pace
S07M070,1,0,1,0.0,20-2(2.1),20-2(2.1),1.0,0 off 1,,,Ishan Kishan,KKR,7-184 (120),pace
S07M003,2,72,38,189.47,3-0(0.4),161-4(16.2),0.0,19 off 12,43 off 22,10 off 4,Tilak Varma,CSK,10-172 (114),pace
S07M010,1,11,7,157.14,5-0(0.4),26-2(3.1),0.0,11 off 7,,,Tilak Varma,CSK,6-180 (120),neutralish
S07M014,1,14,10,140.0,9-0(0.4),29-1(2.5),0.0,14 off 10,,,Tilak Varma,CSK,9-171 (120),spin
S07M018,2,52,27,192.59,1-0(0.3),88-1(8.3),1.0,46 off 17,6 off 10,,Tilak Varma,CSK,1-164 (103),neutralish
S07M024,1,19,11,172.73,31-1(3.5),52-3(6.0),0.0,19 off 11,,,Tilak Varma,CSK,10-173 (115),spin
S07M027,2,72,51,141.18,10-1(1.3),140-3(16.3),0.5,26 off 19,45 off 28,1 off 4,Tilak Varma,CSK,5-185 (120),spin
S07M034,2,22,15,146.67,1-0(0.1),76-3(7.2),1.0,20 off 12,2 off 3,,Tilak Varma,CSK,5-203 (108),pace
S07M036,1,14,6,233.33,12-0(0.3),23-1(1.3),0.0,14 off 6,,,Tilak Varma,CSK,8-187 (120),spin
S07M043,1,0,1,0.0,16-1(1.1),16-1(1.1),1.0,0 off 1,,,Tilak Varma,CSK,6-198 (120),spin
S07M050,1,35,22,159.09,36-1(3.3),118-3(12.5),1.0,13 off 5,22 off 17,,Tilak Varma,CSK,9-202 (120),neutralish
S07M054,1,59,39,151.28,5-0(0.3),130-4(15.0),0.0,23 off 15,36 off 24,,Tilak Varma,CSK,8-200 (120),spin
S07M058,1,47,30,156.67,12-1(0.4),107-3(11.1),0.0,30 off 17,17 off 13,,Tilak Varma,CSK,6-201 (120),pace
S07M061,2,20,17,117.65,1-0(0.1),54-2(7.2),0.0,16 off 14,4 off 3,,Tilak Varma,CSK,7-195 (120),neutralish
S07M066,2,111,54,205.56,4-0(0.1),,0.0,36 off 16,56 off 28,19 off 10,Tilak Varma,CSK,5-225 (120),neutralish
S07M010,1,65,37,175.68,34-3(4.1),156-4(16.1),0.0,12 off 5,38 off 27,15 off 5,KK Nair,CSK,6-180 (120),neutralish
S07M014,1,14,12,116.67,40-2(4.3),76-3(8.5),0.0,5 off 4,9 off 8,,KK Nair,CSK,9-171 (120),spin
S07M018,2,39,25,156.0,89-1(8.4),,1.0,,23 off 17,16 off 8,KK Nair,CSK,1-164 (103),neutralish
S07M024,1,33,25,132.0,53-3(6.3),116-4(13.3),0.0,,33 off 25,,KK Nair,CSK,10-173 (115),spin
S07M027,2,9,6,150.0,142-3(16.4),,0.5,,,9 off 6,KK Nair,CSK,5-185 (120),spin
S07M034,2,5,6,83.33,1-0(0.2),9-1(1.3),1.0,5 off 6,,,KK Nair,CSK,5-203 (108),pace
S07M036,1,49,32,153.12,77-4(8.2),,0.0,,32 off 20,17 off 12,KK Nair,CSK,8-187 (120),spin
S07M043,1,74,36,205.56,59-3(6.5),,1.0,,26 off 20,48 off 16,KK Nair,CSK,6-198 (120),spin
S07M050,1,35,15,233.33,118-3(13.0),191-6(18.0),1.0,,12 off 7,23 off 8,KK Nair,CSK,9-202 (120),neutralish
S07M054,1,32,16,200.0,112-3(13.2),159-6(17.1),0.0,,12 off 8,20 off 8,KK Nair,CSK,8-200 (120),spin
S07M058,1,89,44,202.27,75-2(7.2),,0.0,,42 off 27,47 off 17,KK Nair,CSK,6-201 (120),pace
S07M061,2,46,25,184.0,55-2(7.3),187-7(19.1),0.0,,29 off 18,17 off 7,KK Nair,CSK,7-195 (120),neutralish
S07M066,2,24,13,184.62,146-2(14.0),183-3(17.2),0.0,,4 off 4,20 off 9,KK Nair,CSK,5-225 (120),neutralish
S07M005,2,45,25,180.0,59-3(7.0),132-4(15.1),1.0,,45 off 25,,Aniket Verma,RR,4-196 (115),neutralish
S07M009,1,29,12,241.67,18-3(2.0),69-5(5.4),0.0,29 off 12,,,Aniket Verma,RR,10-91 (69),spin
S07M015,2,39,16,243.75,110-4(11.5),206-8(19.3),0.0,,30 off 10,9 off 6,Aniket Verma,RR,8-206 (120),neutralish
S07M020,2,39,30,130.0,49-3(5.5),114-5(15.1),0.0,4 off 2,35 off 27,0 off 1,Aniket Verma,RR,10-168 (118),spin
S07M025,2,19,13,146.15,144-4(16.2),,0.0,,,19 off 13,Aniket Verma,RR,4-191 (120),pace
S07M029,1,57,34,167.65,32-2(3.3),154-3(15.0),0.0,17 off 10,40 off 24,,Aniket Verma,RR,10-190 (120),pace
S07M040,2,19,11,172.73,43-3(8.3),73-4(11.3),1.0,,19 off 11,,Aniket Verma,RR,4-76 (74),spin
S07M045,2,41,17,241.18,80-3(8.5),157-5(14.3),1.0,,41 off 17,,Aniket Verma,RR,6-184 (103),neutralish
S07M049,1,27,10,270.0,0-2(0.5),52-4(4.1),0.0,27 off 10,,,Aniket Verma,RR,10-110 (91),spin
S07M051,1,63,37,170.27,67-2(7.4),,0.0,,42 off 26,21 off 11,Aniket Verma,RR,5-204 (120),pace
S07M057,1,2,4,50.0,128-2(13.4),138-3(14.4),1.0,,2 off 4,,Aniket Verma,RR,5-214 (120),pace
S07M065,2,28,14,200.0,124-4(13.1),179-5(17.2),0.0,,7 off 5,21 off 9,Aniket Verma,RR,10-188 (115),spin
S07M066,1,99,45,220.0,0-0(0.1),159-2(14.2),1.0,40 off 19,59 off 26,,Aniket Verma,RR,7-230 (120),neutralish
S07M001,1,21,8,262.5,0-0(0.1),32-1(3.0),1.0,21 off 8,,,CH Gayle,RCB,6-262 (120),pace
S07M006,2,104,51,203.92,4-0(0.1),,1.0,43 off 19,31 off 25,30 off 7,CH Gayle,RCB,0-185 (103),pace
S07M020,1,10,6,166.67,1-0(0.1),43-1(3.5),1.0,10 off 6,,,CH Gayle,RCB,7-178 (120),spin
S07M021,2,118,62,190.32,0-0(0.1),,0.0,51 off 21,37 off 25,30 off 16,CH Gayle,RCB,3-238 (120),pace
S07M027,1,14,7,200.0,4-0(0.1),15-1(1.3),0.5,14 off 7,,,CH Gayle,RCB,8-185 (120),spin
S07M031,2,19,16,118.75,4-0(0.1),35-2(4.3),1.0,19 off 16,,,CH Gayle,RCB,6-192 (110),pace
S07M036,2,54,29,186.21,4-0(0.1),101-1(9.3),1.0,42 off 20,12 off 9,,CH Gayle,RCB,3-188 (100),spin
S07M046,2,39,14,278.57,0-0(0.1),44-1(3.1),0.0,39 off 14,,,CH Gayle,RCB,10-122 (78),pace
S07M053,1,83,48,172.92,4-0(0.1),147-4(15.4),1.0,36 off 19,46 off 27,1 off 2,CH Gayle,RCB,6-205 (120),pace
S07M064,1,37,16,231.25,1-0(0.1),64-2(4.4),1.0,37 off 16,,,CH Gayle,RCB,10-214 (119),pace
S07M004,2,77,31,248.39,10-0(0.4),154-2(11.3),0.0,53 off 16,24 off 15,,JP Inglis,GT,10-241 (118),neutralish
S07M006,1,45,28,160.71,2-0(0.3),88-3(9.3),0.0,23 off 16,22 off 12,,JP Inglis,GT,8-184 (120),pace
S07M013,1,40,23,173.91,1-1(0.5),50-2(5.5),1.0,40 off 23,,,JP Inglis,GT,5-192 (120),spin
S07M016,2,9,11,81.82,5-0(0.2),57-1(4.5),1.0,9 off 11,,,JP Inglis,GT,7-214 (115),spin
S07M022,2,55,34,161.76,5-0(0.2),118-3(11.0),1.0,40 off 22,15 off 12,,JP Inglis,GT,6-193 (112),spin
S07M028,2,40,39,102.56,2-1(0.3),105-4(12.1),1.0,21 off 24,19 off 15,,JP Inglis,GT,5-130 (91),pace
S07M032,2,55,26,211.54,5-0(0.2),110-2(8.3),0.0,39 off 17,16 off 9,,JP Inglis,GT,4-220 (120),spin
S07M039,1,0,2,0.0,0-0(0.1),0-1(0.2),0.0,0 off 2,,,JP Inglis,GT,6-207 (120),pace
S07M045,1,10,14,71.43,0-0(0.1),33-1(3.4),0.0,10 off 14,,,JP Inglis,GT,7-183 (120),neutralish
S07M050,2,0,2,0.0,9-0(0.5),9-1(1.0),0.0,0 off 2,,,JP Inglis,GT,10-188 (109),neutralish
S07M056,1,12,10,120.0,20-0(1.2),53-1(4.4),1.0,12 off 10,,,JP Inglis,GT,6-219 (120),neutralish
S07M061,1,18,11,163.64,6-0(0.3),72-2(6.5),1.0,17 off 9,1 off 2,,JP Inglis,GT,9-196 (120),neutralish
S07M068,1,99,51,194.12,33-1(2.1),203-2(17.2),1.0,40 off 18,41 off 25,18 off 8,JP Inglis,GT,4-236 (120),neutralish
S07M005,1,88,57,154.39,30-1(2.5),178-4(17.4),0.0,20 off 13,39 off 34,29 off 10,KL Rahul,SRH,8-195 (120),neutralish
S07M010,2,22,12,183.33,55-1(8.2),96-2(12.0),1.0,,22 off 12,,KL Rahul,SRH,3-183 (110),neutralish
S07M012,1,65,34,191.18,57-1(5.2),188-4(16.4),1.0,8 off 4,43 off 23,14 off 7,KL Rahul,SRH,7-234 (120),neutralish
S07M019,2,67,39,171.79,8-1(1.1),150-2(14.2),0.0,29 off 13,38 off 26,,KL Rahul,SRH,8-193 (120),neutralish
S07M022,1,8,9,88.89,1-1(0.3),11-2(2.0),0.0,8 off 9,,,KL Rahul,SRH,7-192 (120),spin
S07M030,2,34,23,147.83,89-1(9.4),,1.0,,28 off 20,6 off 3,KL Rahul,SRH,3-146 (97),spin
S07M044,2,61,31,196.77,106-1(7.5),,1.0,,37 off 22,24 off 9,KL Rahul,SRH,5-220 (112),spin
S07M047,2,55,31,177.42,95-1(9.3),179-3(19.1),1.0,,19 off 16,36 off 15,KL Rahul,SRH,4-187 (120),neutralish
S07M052,1,12,5,240.0,174-2(16.0),194-3(17.3),1.0,,,12 off 5,KL Rahul,SRH,4-220 (120),pace
S07M060,1,9,8,112.5,127-1(12.3),148-2(14.5),1.0,,9 off 8,,KL Rahul,SRH,3-233 (120),neutralish
S07M063,1,26,25,104.0,42-1(4.4),113-4(12.1),1.0,2 off 6,24 off 19,,KL Rahul,SRH,7-205 (120),pace
S07M004,2,16,7,228.57,4-0(0.1),17-1(1.2),0.0,16 off 7,,,SV Samson,GT,10-241 (118),neutralish
S07M006,1,17,13,130.77,0-0(0.1),26-1(2.5),0.0,17 off 13,,,SV Samson,GT,8-184 (120),pace
S07M013,1,0,1,0.0,0-1(0.1),0-1(0.1),1.0,0 off 1,,,SV Samson,GT,5-192 (120),spin
S07M016,2,50,20,250.0,1-0(0.1),76-2(6.2),1.0,48 off 18,2 off 2,,SV Samson,GT,7-214 (115),spin
S07M022,2,38,21,180.95,1-0(0.1),89-1(7.5),1.0,24 off 14,14 off 7,,SV Samson,GT,6-193 (112),spin
