bowler,bowling_team,num_innings,economy,balls,wkts
SH Johnson,RCB,8,11.14,174,12
A Nagwaswalla,RR,4,11.25,96,4
Tanay Thyagarajan,CSK,6,11.42,144,8
B Sai Sudharsan,CSK,3,11.43,42,1
L Ngidi,RR,3,11.45,66,5
S Dube,RR,12,11.49,222,7
V Puthur,SRH,3,11.81,64,0
MJ Owen,DC,3,11.83,36,1
Tanush Kotian,CSK,13,11.85,238,10
Ravi Teja,MI,4,11.88,96,7
R Parag,GT,8,11.91,66,2
Usman Tariq,CSK,3,12.0,44,1
LS Livingstone,KKR,7,12.15,156,5
BJ McMullen,DC,4,12.17,36,0
Abhishek Tanwar,MI,4,12.24,76,6
Mohammed Shami,MI,2,12.28,43,1
JC Archer,LSG,4,12.48,88,3
Sayed Irfan Aftab,PBKS,1,12.5,24,2
Jagjit Singh,MI,1,12.5,24,0
Shaheen Shah Afridi,DC,6,12.59,102,8
OEG Baartman,GT,2,12.65,37,0
AD Russell,DC,9,12.67,162,5
DW Lawrence,DC,3,12.83,36,1
V Nigam,GT,10,13.17,164,4
Abdul Samad,SRH,3,13.5,36,1
Mohammad Nabi,RR,1,13.5,24,0
Akhil Scaria,RCB,3,13.86,42,1
YS Chahal,CSK,7,13.9,117,7
M Shahrukh Khan,MI,3,15.12,50,1
