player,team,#catches,#runout/stumping
MJ Owen,DC,2,0
MP Stoinis,DC,2,0
MR Marsh,MI,2,0
AA Kulkarni,GT,2,0
Mayank Rawat,RCB,2,0
N Pooran,MI,2,0
Mohammad Amir,LSG,2,0
LS Livingstone,KKR,2,0
Jay Bista,KKR,2,0
Karan Lal,RR,2,0
AJ Hosein,MI,1,0
LR Chethan,LSG,1,0
B Muzarabani,GT,1,0
LI Meriwala,PBKS,1,0
Sunny Sandhu,DC,1,0
Ashwin Shelke,DC,1,0
T Natarajan,RR,1,0
JR Hazlewood,MI,1,0
Ashutosh Sharma,GT,1,0
Washington Sundar,GT,1,1
Khrievitso Kense,MI,1,0
Ankit Kumar,SRH,1,0
Abdul Samad,SRH,1,0
Abhilash Shetty,CSK,1,0
AM Rahane,CSK,1,0
Akshya Deka,RCB,1,0
Vidyadhar Patil,SRH,1,1
Akshat Raghuwanshi,RCB,1,0
BA Stokes,RR,1,0
Akhil Singh Rawat,KKR,1,0
Tripuresh Singh,SRH,1,0
Akhil Scaria,RCB,1,1
JP Inglis,GT,1,0
Akash Vasisht,DC,1,0
Ajay Rohera,LSG,1,0
Karan Shinde,DC,1,0
Tanay Thyagarajan,CSK,1,0
Noor Ahmad,MI,1,0
Shubhang Hegde,LSG,1,0
Rishabh Chouhan,GT,1,0
Naman Tiwari,CSK,1,0
Imran Tahir,RCB,1,0
Parth Chandan,DC,1,0
Priyansh Arya,RCB,1,0
JG Bethell,GT,1,0
NT Ellis,SRH,1,0
Harnoor Singh,RCB,1,0
RA Bawa,SRH,1,0
Mohammad Nabi,RR,1,0
JM Coles,MI,1,0
RM Patidar,RCB,1,0
RR Rossouw,PBKS,1,0
Rasikh Salam,SRH,1,0
Rituraj Sharma,DC,1,0
CV Varun,PBKS,1,0
Rohan Kunnummal,KKR,1,0
MW Short,SRH,1,0
MS Dhoni,KKR,1,0
MP Yadav,PBKS,1,0
Saim Ayub,SRH,1,0
Sakibul Gani,MI,1,0
Salman Nizar,KKR,1,1
Sanskar Rawat,PBKS,1,0
Sanvir Singh,PBKS,1,0
Sayed Irfan Aftab,PBKS,1,0
Nithish Kumar Reddy,GT,1,1
Shahbaz Ahmed,KKR,1,0
Shaheen Shah Afridi,DC,1,0
Shadab Khan,SRH,1,0
A Manohar,MI,0,1
Ramandeep Singh,KKR,0,1
