bowler,batter_order,runs_conceded,balls,wkts,eco,SR,Curr_Tm
Shakib Al Hasan,tail,68,65,8,6.28,8.12,PBKS
Abdul Samad,middle,157,100,8,9.42,12.5,LSG
M Jansen,top,319,205,7,9.34,29.29,
JJ Smit,top,191,113,7,10.14,16.14,PBKS
J Anderson,middle,140,71,7,11.83,10.14,
KA Maharaj,top,331,205,7,9.69,29.29,SRH
Mohammad Nabi,tail,84,87,7,5.79,12.43,LSG
Yash Thakur,middle,380,228,7,10.0,32.57,PBKS
Ravi Teja,top,249,154,7,9.7,22.0,RCB
R Tewatia,top,140,92,7,9.13,13.14,KKR
A Zampa,tail,128,101,7,7.6,14.43,RR
AD Russell,tail,65,38,7,10.26,5.43,DC
S Dube,top,286,162,7,10.59,23.14,RR
DS Airee,top,166,108,7,9.22,15.43,RCB
SH Johnson,middle,143,89,7,9.64,12.71,
SL Malinga,top,183,117,7,9.38,16.71,PBKS
Ashwani Kumar,tail,61,36,7,10.17,5.14,RR
Azmatullah Omarzai,top,287,175,7,9.84,25.0,LSG
SM Curran,middle,297,187,6,9.53,31.17,
S Lamichhane,tail,55,38,6,8.68,6.33,DC
M Theekshana,tail,134,85,6,9.46,14.17,
J Anderson,top,184,100,6,11.04,16.67,
Akash Vasisht,middle,187,147,6,7.63,24.5,DC
Rasikh Salam,tail,60,61,6,5.9,10.17,GT
Suyash Sharma,middle,308,190,6,9.73,31.67,KKR
Abhishek Sharma,tail,40,36,6,6.67,6.0,MI
Abhishek Sharma,middle,249,164,6,9.11,27.33,MI
JJ Smit,middle,140,101,6,8.32,16.83,PBKS
V Nigam,middle,223,133,6,10.06,22.17,MI
Washington Sundar,tail,106,80,6,7.95,13.33,PBKS
A Nagwaswalla,middle,97,57,6,10.21,9.5,RR
Ravi Teja,middle,136,94,6,8.68,15.67,RCB
Ramandeep Singh,top,181,122,6,8.9,20.33,LSG
MR Marsh,middle,184,116,6,9.52,19.33,SRH
PHKD Mendis,top,148,96,6,9.25,16.0,SRH
MR Marsh,top,254,122,6,12.49,20.33,SRH
Nithish Kumar Reddy,top,196,115,6,10.23,19.17,SRH
Harsh Dubey,top,232,131,6,10.63,21.83,RCB
Nithish Kumar Reddy,middle,266,185,6,8.63,30.83,SRH
R Ashwin,middle,448,309,6,8.7,51.5,KKR
HV Patel,tail,114,83,6,8.24,13.83,RR
PWH de Silva,tail,47,38,6,7.42,6.33,RCB
Mukesh Kumar,top,263,155,6,10.18,25.83,
V Nigam,top,172,100,5,10.32,20.0,MI
Kuldeep Yadav,tail,78,62,5,7.55,12.4,SRH
CJ Jordan,middle,116,85,5,8.19,17.0,
LI Meriwala,middle,93,63,5,8.86,12.6,DC
VG Arora,middle,268,193,5,8.33,38.6,KKR
Mayank Dagar,tail,54,34,5,9.53,6.8,LSG
AS Roy,top,198,162,5,7.33,32.4,
Mohsin Khan,top,153,84,5,10.93,16.8,LSG
AD Russell,top,409,218,5,11.26,43.6,DC
Mujeeb Ur Rahman,top,235,151,5,9.34,30.2,
HR Shokeen,middle,172,110,5,9.38,22.0,RR
Karan Lal,tail,65,47,5,8.3,9.4,RR
