bowler,phase,pitch,runs_conceded,balls,wkts,dots,eco,SR,Curr_Tm
M Prasidh Krishna,Middle,neutralish,323,228,11,50,8.5,20.73,MI
MA Starc,Middle,pace,131,110,10,51,7.15,11.0,KKR
Arshad Khan,Middle,pace,437,282,10,73,9.3,28.2,RR
Noor Ahmad,Death,spin,249,156,10,41,9.58,15.6,MI
A Nortje,Death,pace,335,167,10,36,12.04,16.7,
B Kumar,Middle,pace,346,186,10,48,11.16,18.6,KKR
NT Ellis,Death,pace,287,174,10,56,9.9,17.4,SRH
HJ Manenti,Death,pace,131,66,10,14,11.91,6.6,PBKS
MP Yadav,PP,pace,312,210,10,88,8.91,21.0,PBKS
R Shepherd,Middle,pace,258,168,10,39,9.21,16.8,GT
PWH de Silva,Death,spin,202,138,10,42,8.78,13.8,RCB
Khrievitso Kense,Middle,spin,252,210,10,63,7.2,21.0,RCB
CV Varun,Death,spin,199,118,10,33,10.12,11.8,PBKS
Kuldeep Yadav,PP,spin,357,252,10,107,8.5,25.2,SRH
A Nagwaswalla,Death,pace,90,78,9,36,6.92,8.67,RR
Sandeep Sharma,Middle,pace,321,228,9,68,8.45,25.33,LSG
LS Livingstone,Death,neutralish,77,48,9,15,9.62,5.33,KKR
Swapnil Singh,Death,spin,180,102,9,35,10.59,11.33,
LS Livingstone,Middle,spin,376,234,9,54,9.64,26.0,KKR
A Zampa,PP,spin,308,234,9,89,7.9,26.0,RR
Ashutosh Sharma,PP,pace,303,192,9,73,9.47,21.33,RCB
Harshit Rana,PP,pace,282,180,9,66,9.4,20.0,KKR
D Wiese,Middle,pace,329,216,9,55,9.14,24.0,GT
B Kumar,PP,spin,196,126,9,53,9.33,14.0,KKR
Nithish Kumar Reddy,Middle,pace,221,180,9,40,7.37,20.0,SRH
TU Deshpande,Death,pace,231,144,9,47,9.62,16.0,MI
Sandeep Sharma,Death,pace,177,98,9,31,10.84,10.89,LSG
Rashid Khan,PP,spin,302,234,9,87,7.74,26.0,RR
DAJ Bracewell,Death,pace,201,98,9,24,12.31,10.89,RCB
Ashutosh Sharma,Middle,pace,201,162,9,55,7.44,18.0,RCB
Ramandeep Singh,Middle,pace,452,282,9,55,9.62,31.33,LSG
WG Jacks,Middle,pace,257,144,9,29,10.71,16.0,LSG
BA Stokes,PP,pace,268,150,9,52,10.72,16.67,SRH
PJ Cummins,PP,pace,421,258,9,98,9.79,28.67,
GJ Maxwell,PP,spin,302,192,9,68,9.44,21.33,RR
R Sai Kishore,Middle,neutralish,153,102,9,26,9.0,11.33,MI
JC Archer,Death,neutralish,93,53,9,19,10.53,5.89,LSG
Avesh Khan,PP,pace,376,234,9,93,9.64,26.0,GT
RA Jadeja,PP,spin,309,192,9,59,9.66,21.33,RCB
Avesh Khan,Death,pace,286,145,8,33,11.83,18.12,GT
CH Gayle,Death,spin,117,68,8,24,10.32,8.5,CSK
Naveen-ul-Haq,PP,pace,123,96,8,42,7.69,12.0,SRH
Atharva Ankolekar,Death,spin,125,69,8,18,10.87,8.62,MI
HR Shokeen,Middle,spin,230,162,8,46,8.52,20.25,RR
MP Yadav,Middle,pace,307,180,8,47,10.23,22.5,PBKS
Mohammad Ghazanfar,Death,spin,203,132,8,33,9.23,16.5,SRH
R Sai Kishore,Middle,spin,253,162,8,41,9.37,20.25,MI
R Sai Kishore,PP,spin,456,288,8,104,9.5,36.0,MI
Ravi Bishnoi,Death,spin,138,96,8,35,8.62,12.0,LSG
VG Arora,Middle,pace,381,252,8,70,9.07,31.5,KKR
Abdul Samad,Middle,spin,229,162,8,50,8.48,20.25,LSG
YS Chahal,PP,spin,247,144,8,43,10.29,18.0,RCB
KH Pandya,PP,spin,486,324,8,97,9.0,40.5,SRH
JJ Bumrah,Death,neutralish,140,66,8,13,12.73,8.25,DC
KA Maharaj,Middle,spin,126,96,8,34,7.88,12.0,SRH
DS Rathi,PP,spin,239,156,8,53,9.19,19.5,KKR
RA Jadeja,Death,neutralish,135,80,8,24,10.12,10.0,RCB
R Tewatia,Middle,spin,199,126,8,32,9.48,15.75,KKR
Tanush Kotian,PP,spin,282,192,8,68,8.81,24.0,CSK
Karan Lal,Middle,spin,223,150,8,31,8.92,18.75,RR
M Siddharth,Death,spin,212,114,8,35,11.16,14.25,CSK
WG Jacks,Death,pace,237,126,8,27,11.29,15.75,LSG
AJ Tye,Death,pace,103,60,8,20,10.3,7.5,
K Kartikeya,Middle,spin,230,162,8,51,8.52,20.25,GT
Avesh Khan,Middle,pace,326,216,7,59,9.06,30.86,GT
MP Yadav,Death,spin,98,56,7,23,10.5,8.0,PBKS
Mohammed Siraj,PP,pace,359,246,7,95,8.76,35.14,
GJ Maxwell,Death,spin,176,112,7,34,9.43,16.0,RR
Fazalhaq Farooqi,Middle,neutralish,166,132,7,34,7.55,18.86,CSK
MP Yadav,Death,neutralish,96,60,7,20,9.6,8.57,PBKS
Chirag Jani,Middle,pace,205,151,7,45,8.15,21.57,PBKS
DJ Bravo,Middle,pace,204,126,7,25,9.71,18.0,RCB
R Ashwin,Middle,pace,380,282,7,83,8.09,40.29,KKR
RS Hangargekar,Middle,pace,338,222,7,47,9.14,31.71,MI
SS Ghosh,Death,pace,103,62,7,19,9.97,8.86,MI
Kuldeep Yadav,Middle,neutralish,138,96,7,25,8.62,13.71,SRH
JC Archer,PP,pace,196,126,7,55,9.33,18.0,LSG
Abhishek Sharma,Middle,spin,324,216,7,43,9.0,30.86,MI
AR Patel,Middle,neutralish,159,114,7,29,8.37,16.29,CSK
Harsh Dubey,Death,spin,109,54,7,17,12.11,7.71,RCB
KH Pandya,Death,spin,136,90,7,27,9.07,12.86,SRH
SM Curran,Middle,pace,285,186,7,57,9.19,26.57,
SM Curran,Death,pace,130,78,7,26,10.0,11.14,
Jagjit Singh,Middle,pace,317,210,7,56,9.06,30.0,SRH
M Theekshana,Death,spin,205,120,7,34,10.25,17.14,
AR Ramjani,Middle,spin,63,66,7,25,5.73,9.43,PBKS
Washington Sundar,Death,spin,141,96,7,26,8.81,13.71,PBKS
Abrar Ahmed,Death,neutralish,66,29,6,10,13.66,4.83,GT
GJ Maxwell,Middle,pace,357,222,6,42,9.65,37.0,RR
GJ Maxwell,Death,pace,131,90,6,25,8.73,15.0,RR
Baltej Singh,PP,pace,102,72,6,36,8.5,12.0,
Imran Tahir,PP,spin,189,114,6,44,9.95,19.0,CSK
JJ Bumrah,PP,pace,271,168,6,67,9.68,28.0,DC
RA Jadeja,Death,spin,169,89,6,24,11.39,14.83,RCB
Imran Tahir,Middle,spin,188,120,6,32,9.4,20.0,CSK
DS Airee,Death,spin,160,78,6,20,12.31,13.0,RCB
DS Airee,Middle,spin,161,120,6,25,8.05,20.0,RCB
AD Russell,Death,neutralish,252,120,6,16,12.6,20.0,DC
R Shepherd,PP,pace,269,156,6,56,10.35,26.0,GT
DS Rathi,Death,spin,154,78,6,21,11.85,13.0,KKR
DS Rathi,Middle,pace,186,150,6,29,7.44,25.0,KKR
Suyash Sharma,Death,spin,141,60,6,12,14.1,10.0,KKR
Karan Lal,Middle,pace,153,108,6,25,8.5,18.0,RR
Tanush Kotian,PP,neutralish,70,48,6,21,8.75,8.0,CSK
C Sakariya,Middle,spin,168,120,6,34,8.4,20.0,SRH
AK Markram,PP,spin,182,96,6,31,11.38,16.0,DC
TA Boult,Death,pace,172,83,6,17,12.43,13.83,MI
R Sai Kishore,Death,spin,155,96,6,25,9.69,16.0,MI
R Ashwin,Death,spin,110,59,6,18,11.19,9.83,KKR
Noor Ahmad,PP,spin,207,126,6,45,9.86,21.0,MI
Imran Tahir,Death,spin,86,48,6,21,10.75,8.0,CSK
AR Patel,Death,pace,106,75,6,30,8.48,12.5,CSK
Jagjit Singh,Death,pace,71,47,6,21,9.06,7.83,SRH
SL Malinga,PP,pace,141,90,6,29,9.4,15.0,PBKS
Mustafizur Rahman,Middle,pace,108,84,6,23,7.71,14.0,
Azmatullah Omarzai,Middle,pace,192,144,6,41,8.0,24.0,LSG
M Siddharth,Death,neutralish,64,46,6,17,8.35,7.67,CSK
Rasikh Salam,Middle,neutralish,222,138,6,25,9.65,23.0,GT
Mohammed Siraj,Middle,pace,240,174,6,52,8.28,29.0,
Yash Thakur,Middle,pace,221,162,6,43,8.19,27.0,PBKS
Yash Thakur,Death,pace,195,108,6,26,10.83,18.0,PBKS
M Pathirana,Middle,spin,151,96,6,24,9.44,16.0,RCB
DAJ Bracewell,Middle,pace,249,144,6,32,10.38,24.0,RCB
Shahbaz Ahmed,PP,spin,226,144,6,56,9.42,24.0,GT
JR Hazlewood,Middle,neutralish,153,96,6,22,9.56,16.0,RR
Rashid Khan,Death,neutralish,137,78,6,18,10.54,13.0,RR
Mustafizur Rahman,Death,pace,189,114,5,26,9.95,22.8,
KK Ahmed,PP,pace,166,132,5,57,7.55,26.4,RR
Mukesh Kumar,Death,pace,193,102,5,33,11.35,20.4,
JR Hazlewood,PP,neutralish,229,150,5,56,9.16,30.0,RR
A Kamboj,Middle,pace,72,54,5,16,8.0,10.8,GT
Z Khan,Middle,pace,55,48,5,15,6.88,9.6,
Karan Lal,Death,pace,131,72,5,15,10.92,14.4,RR
YS Chahal,Death,neutralish,61,33,5,12,11.09,6.6,RCB
Yuvraj Singh,PP,pace,152,90,5,35,10.13,18.0,CSK
NT Ellis,PP,pace,141,108,5,43,7.83,21.6,SRH
Mohsin Khan,Death,pace,65,40,5,13,9.75,8.0,LSG
DR Sams,PP,pace,83,60,5,27,8.3,12.0,GT
Naseem Shah,Middle,pace,88,60,5,20,8.8,12.0,LSG
KA Maharaj,PP,spin,272,174,5,68,9.38,34.8,SRH
Mohammed Shami,Death,pace,144,84,5,25,10.29,16.8,GT
A Nagwaswalla,PP,pace,86,66,5,34,7.82,13.2,RR
Washington Sundar,Middle,pace,232,150,5,31,9.28,30.0,PBKS
YS Chahal,Middle,spin,330,222,5,61,8.92,44.4,RCB
Yash Thakur,PP,pace,159,108,5,42,8.83,21.6,PBKS
Mustafizur Rahman,Middle,spin,123,84,5,26,8.79,16.8,
GF Linde,Middle,spin,83,66,5,23,7.55,13.2,GT
GF Linde,Death,spin,111,66,5,15,10.09,13.2,GT
HH Pandya,Death,neutralish,149,71,5,13,12.59,14.2,MI
M Prasidh Krishna,PP,spin,142,90,5,32,9.47,18.0,MI
J Anderson,Middle,pace,112,60,5,18,11.2,12.0,
LS Livingstone,PP,spin,266,174,5,62,9.17,34.8,KKR
Ashwani Kumar,Middle,pace,207,126,5,24,9.86,25.2,RR
I Sharma,PP,pace,48,36,5,14,8.0,7.2,RCB
Suryansh Shedge,PP,pace,180,102,5,36,10.59,20.4,CSK
J Anderson,PP,pace,147,78,5,24,11.31,15.6,
LI Meriwala,PP,pace,193,108,5,35,10.72,21.6,DC
Rashid Khan,Middle,spin,293,192,5,42,9.16,38.4,RR
Suyash Sharma,PP,spin,268,192,5,69,8.38,38.4,KKR
Swapnil Singh,PP,spin,207,132,5,48,9.41,26.4,
BA Stokes,PP,neutralish,122,66,5,24,11.09,13.2,SRH
T Natarajan,Middle,spin,261,168,5,30,9.32,33.6,CSK
Ravi Teja,PP,pace,181,108,5,48,10.06,21.6,RCB
M Theekshana,PP,spin,178,138,5,48,7.74,27.6,
SH Johnson,PP,pace,156,114,5,49,8.21,22.8,GT
