striker,match_id,batting_team,balls,bowling_team
BM Duckett,S02M065,SRH,33,RR
SS Iyer,S02M061,LSG,33,PBKS
V Kohli,M041,DC,33,CSK
AM Rahane,S02M055,KKR,33,RCB
F du Plessis,S02M027,CSK,33,PBKS
AM Rahane,S02M070,KKR,33,PBKS
Tilak Varma,M038,CSK,33,KKR
SA Yadav,S02M033,DC,33,PBKS
JP Inglis,S03M005,GT,33,PBKS
RR Rossouw,S02M039,MI,33,DC
BM Duckett,S02M071,SRH,33,DC
RD Gaikwad,S02M052,RCB,33,GT
R Parag,S02M032,GT,34,CSK
B Sai Sudharsan,S03M003,RCB,34,DC
Shubman Gill,M035,LSG,34,PBKS
BM Duckett,S03M026,CSK,34,SRH
T Stubbs,M041,CSK,34,DC
LG Pretorius,S03M027,GT,34,KKR
SA Yadav,S02M073,DC,34,RR
V Kohli,S02M043,DC,34,GT
LS Livingstone,M016,SRH,34,GT
S Dube,S02M062,RR,34,MI
Tilak Varma,M060,CSK,34,PBKS
N Pooran,S02M034,MI,34,SRH
Q de Kock,S02M027,PBKS,34,CSK
YBK Jaiswal,M008,RR,34,LSG
RR Rossouw,S02M003,MI,34,RCB
SS Iyer,M056,LSG,34,DC
H Klaasen,M063,PBKS,34,DC
SV Samson,S02M009,GT,34,LSG
Naman Dhir,S02M052,GT,34,RCB
SS Iyer,M046,LSG,34,CSK
RM Patidar,S03M001,RR,34,SRH
D Brevis,S02M041,PBKS,35,RR
PP Shaw,S03M022,MI,35,CSK
Q de Kock,S03M028,PBKS,35,MI
BM Duckett,S02M022,SRH,35,CSK
RR Rossouw,S02M053,MI,35,CSK
KA Pollard,S02M006,CSK,35,DC
Q de Kock,S03M015,PBKS,35,KKR
Shubman Gill,M001,LSG,35,DC
N Pooran,S02M067,MI,35,RCB
Abhishek Sharma,M017,MI,35,PBKS
VR Iyer,S03M021,SRH,35,DC
KL Rahul,S02M012,SRH,35,CSK
DA Warner,M009,DC,35,RCB
SS Iyer,S02M029,LSG,35,MI
KL Rahul,S02M038,SRH,35,PBKS
KL Rahul,S02M071,SRH,35,DC
KL Rahul,S03M021,SRH,35,DC
MP Stoinis,M074,PBKS,35,CSK
SS Iyer,S02M024,LSG,35,DC
YBK Jaiswal,M044,RR,35,SRH
Washington Sundar,S03M028,PBKS,35,MI
JC Buttler,S02M025,KKR,35,RR
TM Head,S02M053,CSK,35,MI
TM Head,S02M048,CSK,35,GT
GJ Maxwell,M040,RR,35,SRH
SP Narine,S02M042,LSG,35,RCB
SV Samson,S02M048,GT,35,CSK
SV Samson,S03M027,GT,35,KKR
DP Conway,M024,GT,35,LSG
SA Yadav,M063,DC,36,PBKS
AM Rahane,M029,KKR,36,MI
N Pooran,S02M039,MI,36,DC
Abhishek Sharma,M059,MI,36,DC
JP Inglis,S02M056,GT,36,PBKS
DP Conway,S02M056,GT,36,PBKS
Sikandar Raza,M025,DC,36,MI
BA Stokes,S02M066,LSG,36,CSK
V Kohli,M006,DC,36,KKR
Shubman Gill,S02M024,LSG,36,DC
H Klaasen,S02M033,PBKS,36,DC
VR Iyer,M004,SRH,37,PBKS
VR Iyer,S02M030,SRH,37,KKR
SP Narine,S03M007,LSG,37,RR
S Dube,M011,RR,37,MI
Ishan Kishan,M068,KKR,37,LSG
JC Buttler,S02M019,KKR,37,MI
WG Jacks,M061,LSG,37,RCB
RD Gaikwad,S02M063,RCB,37,PBKS
J Fraser-McGurk,S02M067,RCB,37,MI
TM Head,S02M032,CSK,37,GT
N Sindhu,S03M018,DC,38,CSK
PD Salt,S02M011,RCB,38,DC
KA Pollard,S03M032,CSK,38,KKR
F du Plessis,M015,CSK,38,DC
Dhruv Jurel,M056,LSG,38,DC
V Kohli,S02M006,DC,38,CSK
Tilak Varma,M030,CSK,38,GT
RR Pant,M070,PBKS,38,KKR
KL Rahul,M027,SRH,38,PBKS
RM Patidar,S02M049,RR,38,PBKS
LS Livingstone,M051,SRH,38,RCB
Shubman Gill,S03M025,LSG,38,RCB
N Rana,S02M070,KKR,38,PBKS
Shubman Gill,M072,LSG,39,SRH
JM Bairstow,S03M015,KKR,39,PBKS
KL Rahul,M040,SRH,39,RR
VR Iyer,S02M012,SRH,39,CSK
SV Samson,S02M023,GT,39,MI
Tilak Varma,S02M022,CSK,39,SRH
TM Head,S02M012,CSK,39,SRH
VR Iyer,M012,SRH,39,CSK
AM Rahane,S02M060,KKR,40,CSK
KL Rahul,S02M026,SRH,40,RCB
SV Samson,M039,GT,40,LSG
R Parag,M045,MI,40,GT
Urvil Patel,S02M024,DC,40,LSG
Q de Kock,S02M017,PBKS,41,DC
F du Plessis,S02M036,CSK,41,RR
RK Singh,M059,MI,41,DC
PD Salt,M028,RCB,41,RR
RD Gaikwad,S02M031,RCB,41,RR
