bowler,opposition,runs_conceded,wkts,dots,Eco,SR,overs,Curr_Tm
Cheepurapalli Stephen,RR,39,2,5,13.0,9.0,3.0,CSK
Chirag Jani,DC,55,2,9,7.86,21.0,7.0,CSK
Yash Dayal,KKR,83,2,18,10.6,23.5,7.5,
D Brevis,RCB,25,2,6,8.33,9.0,3.0,LSG
Mustafizur Rahman,RR,135,2,14,12.27,33.0,11.0,
DAJ Bracewell,GT,86,2,26,7.82,33.0,11.0,
Mustafizur Rahman,LSG,117,2,17,9.75,36.0,12.0,
Mustafizur Rahman,KKR,47,2,13,6.71,21.0,7.0,
D Wiese,MI,123,2,14,10.25,36.0,12.0,GT
Mukesh Kumar,RCB,93,2,8,13.29,21.0,7.0,
Mukesh Kumar,MI,35,2,11,8.75,12.0,4.0,
Mukesh Kumar,LSG,25,2,11,6.25,12.0,4.0,
Mujeeb Ur Rahman,CSK,33,2,8,8.25,12.0,4.0,
Mohsin Khan,MI,36,2,7,9.0,12.0,4.0,
Mohit Redkar,RR,36,2,6,9.0,12.0,4.0,CSK
D Brevis,MI,91,2,7,13.0,21.0,7.0,LSG
Atharva Ankolekar,LSG,32,2,10,8.0,12.0,4.0,MI
Sikandar Raza,PBKS,119,2,19,9.92,36.0,12.0,
AJ Turner,RCB,57,2,5,14.25,12.0,4.0,
SM Curran,RR,103,2,22,8.58,36.0,12.0,
Z Khan,LSG,28,2,7,7.0,12.0,4.0,
Z Khan,DC,35,2,8,8.75,12.0,4.0,
Z Khan,CSK,43,2,7,10.75,12.0,4.0,
SL Malinga,SRH,42,2,6,10.96,11.5,3.5,PBKS
AA Kulkarni,RCB,28,2,6,7.0,12.0,4.0,GT
SL Malinga,LSG,23,2,14,5.75,12.0,4.0,PBKS
SL Malinga,DC,139,2,17,11.42,36.5,12.1,PBKS
Yuvraj Singh,RCB,83,2,15,11.86,21.0,7.0,CSK
AJ Turner,LSG,27,2,7,6.75,12.0,4.0,
SA Abbott,RCB,38,2,8,9.5,12.0,4.0,
Ravi Teja,SRH,52,2,9,8.67,18.0,6.0,RCB
Shaheen Shah Afridi,DC,141,2,18,11.75,36.0,12.0,MI
AJ Tye,GT,28,2,8,9.33,9.0,3.0,
AJ Tye,MI,68,2,6,13.6,15.0,5.0,
AK Markram,GT,75,2,9,10.71,21.0,7.0,DC
S Gopal,LSG,98,2,16,10.89,27.0,9.0,GT
AR Ramjani,GT,95,2,16,8.91,32.0,10.4,PBKS
AR Ramjani,KKR,59,2,17,7.38,24.0,8.0,PBKS
AR Ramjani,LSG,47,2,16,6.71,21.0,7.0,PBKS
AS Roy,DC,31,2,9,7.75,12.0,4.0,GT
AS Roy,MI,63,2,15,7.88,24.0,8.0,GT
SN Thakur,MI,34,2,7,8.5,12.0,4.0,
A Sheth,GT,77,2,7,9.62,24.0,8.0,DC
Shahbaz Ahmed,RCB,99,2,15,9.0,33.0,11.0,LSG
A Nortje,SRH,24,2,8,6.0,12.0,4.0,
Sandeep Sharma,LSG,114,2,14,9.5,36.0,12.0,
Sandeep Sharma,KKR,169,2,33,10.56,48.0,16.0,
Zeeshan Ansari,MI,43,2,2,10.75,12.0,4.0,SRH
Sandeep Sharma,DC,212,2,16,11.78,54.0,18.0,
Shadab Khan,CSK,71,2,19,7.89,27.0,9.0,SRH
Samant Jakhar,RR,17,2,4,8.5,6.0,2.0,DC
Samant Jakhar,PBKS,26,2,6,8.67,9.0,3.0,DC
Shadab Khan,PBKS,89,2,26,7.42,36.0,12.0,SRH
SZ Mulani,RR,116,2,17,10.55,33.0,11.0,LSG
SZ Mulani,RCB,67,2,7,9.57,21.0,7.0,LSG
Zeeshan Ansari,GT,48,2,8,12.0,12.0,4.0,SRH
Zeeshan Ansari,DC,20,2,6,6.67,9.0,3.0,SRH
SZ Mulani,DC,83,2,20,7.55,33.0,11.0,LSG
Shahbaz Ahmed,KKR,66,2,21,8.25,24.0,8.0,LSG
Z Khan,SRH,27,2,14,6.75,12.0,4.0,
Z Khan,PBKS,18,2,3,7.71,7.0,2.2,
A Nagwaswalla,CSK,131,2,24,11.07,35.5,11.5,RR
Shahbaz Ahmed,PBKS,84,2,17,9.33,27.0,9.0,LSG
A Nagwaswalla,GT,88,2,15,11.0,24.0,8.0,RR
A Nortje,GT,82,2,22,7.45,33.0,11.0,
A Nortje,RR,114,2,10,10.86,31.5,10.3,
AS Roy,RCB,95,2,16,10.56,27.0,9.0,GT
Ravi Teja,PBKS,110,2,12,10.0,33.0,11.0,RCB
BJ McMullen,GT,46,2,7,9.2,15.0,5.0,RR
DW Lawrence,MI,30,2,9,10.0,9.0,3.0,DC
Ashutosh Sharma,PBKS,54,2,15,9.0,18.0,6.0,RCB
RA Bawa,MI,42,2,5,10.5,12.0,4.0,SRH
Ashwin Das,DC,34,2,6,8.5,12.0,4.0,LSG
R Tewatia,PBKS,55,2,10,9.17,18.0,6.0,
Shivam Shukla,DC,67,2,13,8.38,24.0,8.0,MI
R Tewatia,LSG,42,2,6,10.5,12.0,4.0,
R Tewatia,DC,38,2,7,7.6,15.0,5.0,
R Shepherd,RR,212,2,19,13.83,46.0,15.2,GT
Atharva Ankolekar,GT,112,2,10,14.3,23.5,7.5,MI
R Sanjay Yadav,KKR,40,2,3,13.33,9.0,3.0,PBKS
Avesh Khan,DC,200,2,21,13.33,45.0,15.0,GT
Ravi Teja,DC,72,2,17,9.19,23.5,7.5,RCB
R Sai Kishore,MI,71,2,14,10.14,21.0,7.0,MI
R Sai Kishore,KKR,84,2,13,10.5,24.0,8.0,MI
Azmatullah Omarzai,CSK,118,2,24,9.08,39.0,13.0,
Azmatullah Omarzai,DC,157,2,18,12.08,39.0,13.0,
R Parag,RR,118,2,13,10.73,33.0,11.0,GT
R Parag,LSG,98,2,13,8.91,33.0,11.0,GT
Sikandar Raza,GT,128,2,13,10.67,36.0,12.0,
Azmatullah Omarzai,RCB,61,2,9,10.17,18.0,6.0,
BJ McMullen,CSK,69,2,11,9.86,21.0,7.0,RR
Pulkit Narang,RCB,62,2,16,8.86,21.0,7.0,RR
Ashutosh Sharma,KKR,59,2,16,7.38,24.0,8.0,RCB
Ashutosh Sharma,DC,105,2,22,8.75,36.0,12.0,RCB
Arshad Khan,RR,117,2,12,11.7,30.0,10.0,DC
RD Chahar,PBKS,132,2,19,11.0,36.0,12.0,CSK
Abdul Samad,GT,85,2,11,10.62,24.0,8.0,LSG
Abdul Samad,RCB,36,2,14,7.2,15.0,5.0,LSG
Ravi Bishnoi,PBKS,72,2,18,9.0,24.0,8.0,GT
Ravi Bishnoi,LSG,62,2,17,7.75,24.0,8.0,GT
Abhishek Sharma,CSK,67,2,13,8.74,23.0,7.4,MI
Abhishek Sharma,RR,62,2,9,7.75,24.0,8.0,MI
Rasikh Salam,LSG,141,2,14,11.75,36.0,12.0,MI
Yudhvir Singh,PBKS,47,2,13,7.83,18.0,6.0,RCB
Abid Mushtaq,RCB,48,2,8,12.0,12.0,4.0,
Yudhvir Singh,LSG,43,2,5,10.75,12.0,4.0,RCB
Yudhvir Singh,KKR,47,2,22,7.83,18.0,6.0,RCB
Rashid Khan,CSK,205,2,37,9.32,66.0,22.0,MI
Ramandeep Singh,RCB,21,2,3,7.0,9.0,3.0,LSG
Ramandeep Singh,MI,75,2,8,10.71,21.0,7.0,LSG
Ramandeep Singh,KKR,156,2,20,10.4,45.0,15.0,LSG
Ramandeep Singh,GT,76,2,6,9.5,24.0,8.0,LSG
Akash Deep,RR,125,2,21,10.42,36.0,12.0,
RR Patel,GT,73,2,11,9.12,24.0,8.0,RCB
Akash Vasisht,RR,57,2,15,6.33,27.0,9.0,SRH
RE van der Merwe,CSK,51,2,6,12.75,12.0,4.0,
RD Chahar,SRH,96,2,12,12.0,24.0,8.0,CSK
MM Ali,DC,27,2,12,6.75,12.0,4.0,
M Prasidh Krishna,PBKS,210,2,35,9.13,69.0,23.0,RR
Karan Lal,KKR,116,2,17,9.67,36.0,12.0,RR
V Puthur,CSK,19,2,9,6.33,9.0,3.0,DC
Harsh Tyagi,CSK,25,2,3,8.33,9.0,3.0,SRH
M Theekshana,SRH,71,2,15,8.88,24.0,8.0,
Harsh Tyagi,MI,80,2,13,11.43,21.0,7.0,SRH
HJ Manenti,LSG,27,2,10,6.75,12.0,4.0,CSK
J Anderson,DC,51,2,7,12.75,12.0,4.0,
GF Linde,CSK,106,2,21,8.83,36.0,12.0,GT
Tanay Thyagarajan,MI,30,2,7,7.5,12.0,4.0,RCB
GD Phillips,SRH,80,2,14,10.0,24.0,8.0,GT
HJ Manenti,MI,129,2,14,11.73,33.0,11.0,CSK
HR Shokeen,PBKS,57,2,7,11.03,15.5,5.1,RR
Tanush Kotian,CSK,46,2,17,6.57,21.0,7.0,CSK
JG Bethell,RCB,64,2,8,11.29,17.0,5.4,RR
JG Bethell,RR,62,2,5,10.33,18.0,6.0,RR
Harsh Tyagi,RR,6,2,9,3.0,6.0,2.0,SRH
LH Ferguson,GT,71,2,15,8.88,24.0,8.0,
JJ Smit,LSG,86,2,8,10.75,24.0,8.0,PBKS
Tripuresh Singh,SRH,47,2,4,15.67,9.0,3.0,RCB
JA Duffy,CSK,32,2,9,8.0,12.0,4.0,GT
M Markande,KKR,57,2,15,7.12,24.0,8.0,
J Anderson,RCB,37,2,7,9.25,12.0,4.0,
HR Shokeen,CSK,18,2,8,6.0,9.0,3.0,RR
J Anderson,RR,108,2,13,13.5,24.0,8.0,
M Prasidh Krishna,LSG,242,2,27,10.08,72.0,24.0,RR
Khrievitso Kense,SRH,81,2,24,6.75,36.0,12.0,RCB
V Nigam,RR,139,2,15,9.93,42.0,14.0,GT
Tanay Thyagarajan,GT,43,2,8,10.75,12.0,4.0,RCB
Harpreet Brar,CSK,105,2,14,9.55,33.0,11.0,GT
JDS Neesham,RR,91,2,13,11.38,24.0,8.0,
KK Ahmed,GT,28,2,5,9.33,9.0,3.0,RR
MA Wood,GT,70,2,9,10.0,21.0,7.0,
JG Bethell,DC,80,2,7,10.0,24.0,8.0,RR
MA Wood,KKR,20,2,8,5.0,12.0,4.0,
HJ Manenti,CSK,32,2,11,8.0,12.0,4.0,CSK
H Ssenyondo,CSK,38,2,7,9.5,12.0,4.0,LSG
H Ssenyondo,PBKS,21,2,12,5.25,12.0,4.0,LSG
JG Bethell,GT,34,2,4,11.33,9.0,3.0,RR
Harpreet Brar,RR,127,2,19,9.77,39.0,13.0,GT
GF Linde,RCB,73,2,15,9.12,24.0,8.0,GT
Harpreet Brar,SRH,136,2,20,9.07,45.0,15.0,GT
Harsh Dubey,CSK,63,2,8,10.5,18.0,6.0,RCB
Umran Malik,DC,38,2,10,9.5,12.0,4.0,
MJ Owen,CSK,57,2,12,8.14,21.0,7.0,DC
Harshit Rana,CSK,78,2,23,7.09,33.0,11.0,KKR
V Puthur,RCB,14,2,10,4.67,9.0,3.0,DC
V Kaverappa,KKR,45,2,9,11.25,12.0,4.0,PBKS
TU Deshpande,LSG,77,2,16,9.62,24.0,8.0,MI
M Jansen,DC,47,2,12,9.4,15.0,5.0,
K Rabada,RCB,102,2,10,12.75,24.0,8.0,
Imran Tahir,KKR,40,2,9,10.0,12.0,4.0,CSK
Imran Tahir,GT,40,2,9,10.0,12.0,4.0,CSK
Utkarsh Singh,RR,25,2,10,6.25,12.0,4.0,PBKS
Hemang Patel,PBKS,22,2,8,7.33,9.0,3.0,
MJ Suthar,PBKS,47,2,6,11.75,12.0,4.0,
K Kartikeya,LSG,69,2,13,9.86,21.0,7.0,LSG
I Sharma,RCB,61,2,18,7.62,24.0,8.0,
I Sharma,DC,73,2,12,10.43,21.0,7.0,
I Sharma,GT,43,2,5,10.75,12.0,4.0,
JR Hazlewood,SRH,284,2,45,10.52,81.0,27.0,RR
Jagjit Singh,CSK,52,2,23,6.5,24.0,8.0,SRH
JD Unadkat,CSK,75,2,11,9.38,24.0,8.0,
HR Shokeen,GT,62,2,9,8.86,21.0,7.0,RR
Imran Tahir,MI,65,2,18,8.12,24.0,8.0,CSK
HV Patel,RR,50,2,17,6.52,23.0,7.4,GT
G Coetzee,RCB,21,2,12,7.0,9.0,3.0,
LI Meriwala,CSK,30,2,8,7.5,12.0,4.0,DC
MJ Santner,DC,77,2,7,10.5,22.0,7.2,KKR
Sanvir Singh,GT,34,2,11,8.5,12.0,4.0,GT
LH Ferguson,RCB,47,2,10,11.75,12.0,4.0,
M Theekshana,PBKS,86,2,13,8.6,30.0,10.0,
MJ Owen,KKR,122,2,7,14.35,25.5,8.3,DC
TU Deshpande,RCB,121,2,16,11.0,33.0,11.0,MI
M Siddharth,RCB,104,2,14,10.4,30.0,10.0,CSK
M Jansen,RCB,117,2,16,10.64,33.0,11.0,
LI Meriwala,GT,113,2,15,9.42,36.0,12.0,DC
Akash Vasisht,GT,136,1,4,12.36,66.0,11.0,SRH
JA Duffy,SRH,35,1,11,8.75,24.0,4.0,GT
JA Richardson,KKR,39,1,8,9.75,24.0,4.0,
Ramandeep Singh,CSK,76,1,11,9.5,48.0,8.0,LSG
Utkarsh Singh,GT,25,1,5,8.33,18.0,3.0,PBKS
Khrievitso Kense,KKR,107,1,24,8.92,72.0,12.0,RCB
Akash Vasisht,CSK,69,1,13,8.62,48.0,8.0,SRH
RR Patel,MI,93,1,8,11.62,48.0,8.0,RCB
Abid Mushtaq,SRH,47,1,7,11.75,24.0,4.0,
Ramandeep Singh,PBKS,71,1,7,11.83,36.0,6.0,LSG
Khrievitso Kense,DC,14,1,13,3.5,24.0,4.0,RCB
JA Duffy,LSG,88,1,10,12.0,44.0,7.2,GT
Akash Madhwal,SRH,34,1,11,8.5,24.0,4.0,
Akash Deep,RCB,29,1,7,7.25,24.0,4.0,
Abrar Ahmed,MI,36,1,6,9.0,24.0,4.0,
RS Hangargekar,LSG,172,1,21,10.75,96.0,16.0,
Abrar Ahmed,PBKS,49,1,5,12.25,24.0,4.0,
Abrar Ahmed,RCB,19,1,5,8.14,14.0,2.2,
Shaheen Shah Afridi,RR,43,1,7,10.75,24.0,4.0,MI
J Suchith,GT,34,1,3,11.33,18.0,3.0,
J Suchith,LSG,34,1,9,8.5,24.0,4.0,
Akash Deep,GT,26,1,9,6.5,24.0,4.0,
RS Hangargekar,PBKS,50,1,3,12.5,24.0,4.0,
Akash Deep,DC,89,1,10,11.12,48.0,8.0,
Ramandeep Singh,RR,23,1,1,11.5,12.0,2.0,LSG
Kartik Tyagi,LSG,16,1,4,8.0,12.0,2.0,
MM Ali,CSK,72,1,13,9.0,48.0,8.0,
RR Patel,KKR,31,1,6,7.75,24.0,4.0,RCB
R Tewatia,RR,47,1,10,9.4,30.0,5.0,
TM Head,CSK,15,1,7,7.5,12.0,2.0,
R Tewatia,KKR,16,1,1,16.0,6.0,1.0,
R Tewatia,GT,49,1,4,12.25,24.0,4.0,
R Shepherd,SRH,208,1,11,13.87,90.0,15.0,GT
Yash Thakur,RR,15,1,11,5.0,18.0,3.0,MI
Ashwin Das,MI,31,1,8,7.75,24.0,4.0,LSG
Ashwin Das,RR,36,1,7,9.0,24.0,4.0,LSG
Yash Thakur,RCB,78,1,3,12.0,39.0,6.3,MI
Yash Thakur,PBKS,65,1,9,10.83,36.0,6.0,MI
Atharva Ankolekar,PBKS,74,1,9,10.09,44.0,7.2,MI
Yash Thakur,MI,123,1,25,8.2,90.0,15.0,MI
LI Meriwala,RCB,26,1,9,6.5,24.0,4.0,DC
Avesh Khan,SRH,75,1,11,10.71,42.0,7.0,GT
V Kaverappa,CSK,41,1,7,10.25,24.0,4.0,PBKS
Azmatullah Omarzai,GT,36,1,9,9.0,24.0,4.0,
Shivam Shukla,RCB,40,1,6,10.0,24.0,4.0,MI
Azmatullah Omarzai,MI,110,1,22,10.0,66.0,11.0,
Shivank Vashisth,PBKS,31,1,7,7.75,24.0,4.0,
Shivank Vashisth,SRH,43,1,3,10.75,24.0,4.0,
R Tewatia,RCB,28,1,4,9.33,18.0,3.0,
R Tewatia,SRH,8,1,1,8.0,6.0,1.0,
Khushdil Shah,CSK,40,1,7,10.0,24.0,4.0,DC
Ashwin Das,CSK,39,1,7,9.75,24.0,4.0,LSG
Khushdil Shah,GT,26,1,5,8.67,18.0,3.0,DC
Akshay Karnewar,RR,10,1,6,5.0,12.0,2.0,PBKS
Khushdil Shah,KKR,39,1,8,9.75,24.0,4.0,DC
Khushdil Shah,PBKS,47,1,6,11.75,24.0,4.0,DC
Khushdil Shah,SRH,30,1,8,7.5,24.0,4.0,DC
RD Chahar,LSG,49,1,11,8.17,36.0,6.0,CSK
Arshad Khan,MI,219,1,19,13.69,96.0,16.0,DC
Arshad Khan,RCB,88,1,15,9.78,54.0,9.0,DC
RD Chahar,DC,16,1,5,8.0,12.0,2.0,CSK
J Overton,DC,45,1,2,11.25,24.0,4.0,
RA Jadeja,RR,146,1,19,9.12,96.0,16.0,SRH
Yudhvir Singh,CSK,27,1,12,6.75,24.0,4.0,RCB
J Anderson,PBKS,33,1,6,9.9,20.0,3.2,
J Anderson,LSG,41,1,9,10.25,24.0,4.0,
RA Jadeja,DC,99,1,4,12.38,48.0,8.0,SRH
LA Dawson,LSG,58,1,2,14.5,24.0,4.0,
LA Dawson,RR,39,1,2,9.75,24.0,4.0,
RA Bawa,LSG,50,1,6,10.0,30.0,5.0,SRH
Ashwani Kumar,PBKS,37,1,4,9.25,24.0,4.0,RR
Ashutosh Aman,CSK,34,1,11,8.5,24.0,4.0,
KR Sen,CSK,33,1,11,8.25,24.0,4.0,
JC Archer,LSG,61,1,19,7.62,48.0,8.0,LSG
SN Netravalkar,GT,47,1,6,11.75,24.0,4.0,
SS Ghosh,CSK,47,1,5,11.75,24.0,4.0,MI
A Mishra,SRH,45,1,5,11.25,24.0,4.0,
K Rabada,CSK,74,1,11,9.25,48.0,8.0,
JN Loftie-Eaton,RCB,75,1,16,9.38,48.0,8.0,RR
JN Loftie-Eaton,GT,41,1,21,6.83,36.0,6.0,RR
A Nagwaswalla,MI,30,1,12,7.5,24.0,4.0,RR
A Nortje,LSG,64,1,4,16.0,24.0,4.0,
A Nortje,MI,134,1,16,11.32,71.0,11.5,
JJ Smit,RR,82,1,10,10.25,48.0,8.0,PBKS
Umran Malik,CSK,34,1,6,11.33,18.0,3.0,
JG Bethell,SRH,39,1,13,9.75,24.0,4.0,RR
SM Curran,SRH,23,1,7,7.67,18.0,3.0,
Yuvraj Singh,SRH,84,1,10,12.0,42.0,7.0,CSK
A Sheth,RCB,38,1,5,9.5,24.0,4.0,DC
A Sheth,RR,36,1,9,9.0,24.0,4.0,DC
SM Curran,DC,58,1,14,9.67,36.0,6.0,
Tanay Thyagarajan,PBKS,34,1,6,8.5,24.0,4.0,RCB
KA Pollard,MI,12,1,6,6.0,12.0,2.0,CSK
AA Kulkarni,SRH,13,1,5,4.33,18.0,3.0,GT
AD Russell,LSG,135,1,13,10.8,75.0,12.3,DC
Tanay Thyagarajan,KKR,25,1,10,6.25,24.0,4.0,RCB
AD Russell,PBKS,94,1,14,11.75,48.0,8.0,DC
KA Pollard,RR,51,1,4,12.75,24.0,4.0,CSK
KA Pollard,SRH,13,1,4,6.5,12.0,2.0,CSK
SS Ghosh,DC,57,1,6,14.25,24.0,4.0,MI
JN Loftie-Eaton,SRH,15,1,5,6.92,13.0,2.1,RR
SS Ghosh,LSG,80,1,15,10.0,48.0,8.0,MI
Zeeshan Ansari,CSK,49,1,4,12.25,24.0,4.0,SRH
Zeeshan Ansari,RCB,40,1,6,10.0,24.0,4.0,SRH
Sandeep Sharma,PBKS,36,1,10,9.0,24.0,4.0,
A Badoni,RR,33,1,2,10.42,19.0,3.1,
Jagjit Singh,SRH,58,1,5,14.5,24.0,4.0,SRH
Sami Sohail,RCB,58,1,3,14.5,24.0,4.0,
Sami Sohail,PBKS,37,1,5,10.57,21.0,3.3,
Sami Sohail,KKR,31,1,7,7.75,24.0,4.0,
Sanvir Singh,MI,27,1,2,13.5,12.0,2.0,GT
JR Hazlewood,PBKS,67,1,19,8.38,48.0,8.0,RR
Samant Jakhar,MI,43,1,5,14.33,18.0,3.0,DC
A Kamboj,DC,48,1,4,12.0,24.0,4.0,GT
Samant Jakhar,CSK,39,1,7,13.0,18.0,3.0,DC
Shadab Khan,KKR,28,1,7,7.0,24.0,4.0,SRH
Sakibul Gani,LSG,51,1,5,12.75,24.0,4.0,RCB
K Gowtham,GT,40,1,3,10.0,24.0,4.0,
A Kamboj,MI,46,1,6,15.33,18.0,3.0,GT
K Gowtham,KKR,34,1,11,8.5,24.0,4.0,
JO Holder,RR,19,1,3,9.5,12.0,2.0,
JO Holder,LSG,42,1,6,10.5,24.0,4.0,
JO Holder,DC,50,1,1,12.5,24.0,4.0,
Shadab Khan,RR,31,1,9,7.75,24.0,4.0,SRH
K Kartikeya,GT,23,1,3,7.67,18.0,3.0,LSG
Shahbaz Ahmed,DC,170,1,18,12.14,84.0,14.0,LSG
KC Cariappa,DC,40,1,6,10.0,24.0,4.0,
Yuvraj Singh,RR,111,1,18,12.33,54.0,9.0,CSK
Rasikh Salam,GT,42,1,8,10.5,24.0,4.0,MI
R Parag,SRH,75,1,12,9.38,48.0,8.0,GT
Tanay Thyagarajan,DC,32,1,11,8.0,24.0,4.0,RCB
Yuvraj Chaudhary,SRH,20,1,3,10.0,12.0,2.0,
TU Deshpande,SRH,20,1,5,10.0,12.0,2.0,MI
Umran Malik,RR,15,1,6,7.5,12.0,2.0,
Ravi Teja,RR,88,1,11,11.0,48.0,8.0,RCB
AS Roy,RR,129,1,20,9.92,78.0,13.0,GT
KK Ahmed,RR,100,1,13,12.5,48.0,8.0,RR
AS Roy,SRH,53,1,8,10.6,30.0,5.0,GT
Abdul Samad,CSK,61,1,8,8.71,42.0,7.0,LSG
Abdul Samad,DC,14,1,2,7.0,12.0,2.0,LSG
JDS Neesham,GT,29,1,5,9.67,18.0,3.0,
KR Sen,DC,46,1,6,11.5,24.0,4.0,
AJ Hosein,PBKS,65,1,17,8.12,48.0,8.0,
Usman Khan (2),RR,36,1,6,12.0,18.0,3.0,
JD Unadkat,PBKS,30,1,6,7.5,24.0,4.0,
JD Unadkat,LSG,46,1,2,11.5,24.0,4.0,
Abhishek Sharma,GT,128,1,10,12.8,60.0,10.0,MI
Abhishek Sharma,KKR,33,1,4,8.25,24.0,4.0,MI
TU Deshpande,GT,53,1,7,13.25,24.0,4.0,MI
Yudhvir Singh,RR,101,1,21,10.1,60.0,10.0,RCB
Yudhvir Singh,RCB,25,1,6,8.33,18.0,3.0,RCB
TU Deshpande,CSK,15,1,8,5.0,18.0,3.0,MI
Abid Mushtaq,CSK,33,1,9,8.25,24.0,4.0,
JD Unadkat,DC,60,1,4,15.0,24.0,4.0,
AS Roy,LSG,172,1,21,10.12,102.0,17.0,GT
JDS Neesham,LSG,92,1,13,11.5,48.0,8.0,
AS Roy,CSK,40,1,5,10.0,24.0,4.0,GT
S Dube,MI,120,1,27,9.23,78.0,13.0,RR
SH Johnson,MI,37,1,9,9.25,24.0,4.0,GT
KC Cariappa,GT,26,1,10,6.5,24.0,4.0,
Yuvraj Singh,PBKS,70,1,16,10.0,42.0,7.0,CSK
SH Johnson,DC,60,1,11,8.57,42.0,7.0,GT
JG Bethell,KKR,137,1,15,11.42,72.0,12.0,RR
SA Abbott,SRH,37,1,5,9.25,24.0,4.0,
AJ Turner,RR,19,1,1,9.5,12.0,2.0,
SA Abbott,LSG,40,1,7,10.0,24.0,4.0,
KH Pandya,GT,149,1,14,9.93,90.0,15.0,RR
AJ Turner,SRH,31,1,6,7.75,24.0,4.0,
AJ Tye,CSK,54,1,6,13.5,24.0,4.0,
AJ Tye,KKR,51,1,6,12.75,24.0,4.0,
JG Bethell,CSK,38,1,7,9.5,24.0,4.0,RR
Umran Malik,KKR,73,1,14,9.12,48.0,8.0,
JDS Neesham,RCB,73,1,17,9.12,48.0,8.0,
Yuvraj Singh,MI,87,1,8,14.5,36.0,6.0,CSK
Yuvraj Singh,LSG,52,1,17,7.43,42.0,7.0,CSK
JDS Neesham,PBKS,38,1,6,9.5,24.0,4.0,
S Gopal,MI,38,1,9,9.5,24.0,4.0,GT
JDS Neesham,MI,50,1,6,12.5,24.0,4.0,
AM Hardie,SRH,53,1,3,13.25,24.0,4.0,CSK
S Gopal,DC,35,1,11,8.75,24.0,4.0,GT
KK Ahmed,KKR,125,1,31,8.93,84.0,14.0,RR
Azmatullah Omarzai,PBKS,31,1,5,9.79,19.0,3.1,
R Parag,CSK,46,1,3,9.2,30.0,5.0,GT
V Kaverappa,DC,31,1,8,10.33,18.0,3.0,PBKS
Suyash Sharma,SRH,96,1,18,8.73,66.0,11.0,KKR
DA Payne,KKR,64,1,21,8.0,48.0,8.0,PBKS
Mohsin Khan,GT,33,1,5,11.0,18.0,3.0,
Mohsin Khan,DC,98,1,12,12.25,48.0,8.0,
Mohit Redkar,RCB,44,1,3,11.0,24.0,4.0,CSK
Mohit Redkar,PBKS,39,1,5,9.75,24.0,4.0,CSK
Mohit Redkar,MI,33,1,7,8.25,24.0,4.0,CSK
Suyash Sharma,RR,77,1,15,8.56,54.0,9.0,KKR
Mohammed Siraj,RR,60,1,12,8.57,42.0,7.0,
Mohammed Siraj,RCB,82,1,8,10.25,48.0,8.0,
Mohammed Siraj,PBKS,114,1,24,10.36,66.0,11.0,
MA Wood,RCB,26,1,4,8.67,18.0,3.0,
DAJ Bracewell,KKR,87,1,15,10.88,48.0,8.0,
D Brevis,PBKS,33,1,8,6.6,30.0,5.0,LSG
Mohammed Siraj,DC,97,1,20,9.7,60.0,10.0,
Mohammed Siraj,CSK,46,1,13,7.67,36.0,6.0,
MADI Hemantha,SRH,41,1,3,10.25,24.0,4.0,
Mohammed Shami,RR,38,1,6,9.5,24.0,4.0,LSG
MG Bracewell,GT,135,1,13,12.27,66.0,11.0,
GF Linde,KKR,32,1,9,8.0,24.0,4.0,GT
MG Bracewell,LSG,43,1,9,10.75,24.0,4.0,
Mohammed Shami,LSG,99,1,19,9.0,66.0,11.0,LSG
DAJ Bracewell,SRH,40,1,9,10.0,24.0,4.0,
VR Iyer,RR,38,1,7,9.5,24.0,4.0,SRH
MG Bracewell,MI,66,1,9,11.0,36.0,6.0,
Mohsin Khan,LSG,37,1,10,9.25,24.0,4.0,
GJ Maxwell,RR,56,1,1,18.67,18.0,3.0,DC
Gurjapneet Singh,KKR,48,1,7,12.0,24.0,4.0,
DA Payne,DC,35,1,11,8.75,24.0,4.0,PBKS
D Brevis,SRH,65,1,6,13.0,30.0,5.0,LSG
NA Rathva,CSK,10,1,2,10.0,6.0,1.0,RR
N Sindhu,SRH,44,1,3,14.67,18.0,3.0,DC
Jagjit Singh,DC,100,1,18,9.09,66.0,11.0,SRH
Suyash Sharma,CSK,64,1,14,9.14,42.0,7.0,KKR
N Rana,LSG,26,1,4,8.67,18.0,3.0,PBKS
Suyash Sharma,GT,61,1,15,7.62,48.0,8.0,KKR
Suyash Sharma,KKR,41,1,8,10.25,24.0,4.0,KKR
N Burger,KKR,37,1,10,9.25,24.0,4.0,
D Ferreira,MI,18,1,4,9.0,12.0,2.0,GT
D Visser,LSG,26,1,5,8.67,18.0,3.0,
D Wiese,LSG,22,1,4,7.33,18.0,3.0,GT
Mustafizur Rahman,CSK,39,1,12,7.8,30.0,5.0,
Mukesh Kumar,RR,68,1,5,13.6,30.0,5.0,
Mukesh Kumar,PBKS,43,1,7,10.75,24.0,4.0,
H Ssenyondo,KKR,40,1,4,10.0,24.0,4.0,LSG
Mukesh Kumar,KKR,83,1,22,8.3,60.0,10.0,
Mukesh Kumar,DC,80,1,8,10.0,48.0,8.0,
Suyash Sharma,MI,53,1,5,13.25,24.0,4.0,KKR
D Wiese,RCB,85,1,17,9.81,52.0,8.4,GT
Gurjapneet Singh,SRH,33,1,4,11.0,18.0,3.0,
