bowler,opposition,runs_conceded,wkts,dots,Eco,SR,overs,Curr_Tm
Tanush Kotian,LSG,159,8,34,8.83,13.5,18.0,CSK
Swapnil Singh,MI,253,8,38,10.54,18.0,24.0,CSK
YS Chahal,KKR,143,8,28,9.43,11.38,15.1,RCB
LS Livingstone,RCB,154,8,36,8.4,13.75,18.2,KKR
Kuldeep Yadav,PBKS,249,8,69,8.03,23.25,31.0,SRH
Shashank Singh,RR,189,8,49,9.3,15.25,20.2,PBKS
Shakib Al Hasan,RR,169,8,49,8.05,15.75,21.0,
Kuldeep Yadav,LSG,235,8,58,8.1,21.75,29.0,SRH
CV Varun,KKR,207,8,32,9.0,17.25,23.0,PBKS
CV Varun,GT,175,8,31,9.72,13.5,18.0,PBKS
C Green,RR,317,8,39,10.93,21.75,29.0,KKR
Shashank Singh,RCB,237,8,52,10.3,17.25,23.0,PBKS
RA Jadeja,KKR,195,8,39,9.29,15.75,21.0,SRH
Karan Lal,MI,143,8,24,8.94,12.0,16.0,RR
Naveen-ul-Haq,DC,166,8,33,8.3,15.0,20.0,SRH
Noor Ahmad,LSG,214,8,47,9.3,17.25,23.0,MI
RA Jadeja,CSK,208,8,50,8.0,19.5,26.0,SRH
AR Patel,GT,351,8,55,9.62,27.38,36.3,CSK
Shakib Al Hasan,LSG,147,8,37,9.19,12.0,16.0,
NT Ellis,LSG,123,8,20,10.25,9.0,12.0,SRH
AK Markram,RR,200,8,25,11.11,13.5,18.0,DC
HH Pandya,KKR,182,8,63,7.0,19.5,26.0,MI
Swapnil Singh,GT,219,8,41,9.52,17.25,23.0,CSK
MP Yadav,MI,249,8,33,11.32,16.5,22.0,PBKS
Shaheen Shah Afridi,KKR,91,8,43,6.74,10.12,13.3,MI
KA Maharaj,KKR,150,8,32,10.0,11.25,15.0,SRH
MP Yadav,LSG,158,8,22,10.09,11.75,15.4,PBKS
Mohammad Nabi,DC,145,8,31,9.06,12.0,16.0,LSG
R Ashwin,PBKS,102,8,36,6.8,11.25,15.0,KKR
R Sai Kishore,PBKS,200,8,48,8.45,17.75,23.4,MI
JJ Bumrah,DC,288,8,46,9.29,23.25,31.0,DC
JC Archer,PBKS,89,8,33,7.42,9.0,12.0,LSG
WG Jacks,DC,307,8,29,11.81,19.5,26.0,LSG
YS Chahal,PBKS,217,8,40,9.43,17.25,23.0,RCB
WG Jacks,RR,225,8,41,8.65,19.5,26.0,LSG
NT Ellis,GT,173,8,40,9.61,13.5,18.0,SRH
HH Pandya,CSK,352,8,33,11.35,23.25,31.0,MI
AR Patel,RCB,222,8,55,8.22,20.25,27.0,CSK
WG Jacks,SRH,337,8,53,9.36,27.0,36.0,LSG
Suryansh Shedge,RR,257,8,37,11.17,17.25,23.0,CSK
AR Patel,MI,295,8,35,10.17,21.75,29.0,CSK
Karan Lal,PBKS,176,7,37,8.8,17.14,20.0,RR
C Green,PBKS,154,7,31,8.56,15.43,18.0,KKR
PWH de Silva,KKR,156,7,35,9.18,14.57,17.0,RCB
KA Maharaj,CSK,131,7,14,11.91,9.43,11.0,SRH
PWH de Silva,MI,170,7,44,8.5,17.14,20.0,RCB
JC Archer,RCB,248,7,46,9.54,22.29,26.0,LSG
Noor Ahmad,RCB,215,7,35,10.75,17.14,20.0,MI
PWH de Silva,GT,121,7,38,8.07,12.86,15.0,RCB
JC Archer,CSK,217,7,45,9.86,18.86,22.0,LSG
Jagjit Singh,GT,110,7,27,9.17,10.29,12.0,SRH
Tanush Kotian,KKR,272,7,30,10.07,23.14,27.0,CSK
Fazalhaq Farooqi,MI,203,7,39,8.83,19.71,23.0,CSK
YK Pathan,RCB,53,7,24,6.62,6.86,8.0,KKR
Mohammad Ghazanfar,SRH,129,7,22,8.6,12.86,15.0,SRH
MA Starc,DC,185,7,28,10.28,15.43,18.0,KKR
Mohammad Nabi,RR,175,7,29,9.21,16.29,19.0,LSG
Mohammad Nabi,RCB,222,7,34,9.25,20.57,24.0,LSG
Mohammad Nabi,PBKS,145,7,43,6.9,18.0,21.0,LSG
Mohammad Nabi,CSK,158,7,47,8.78,15.43,18.0,LSG
HH Pandya,SRH,179,7,45,8.52,18.0,21.0,MI
HH Pandya,PBKS,271,7,52,10.04,23.14,27.0,MI
Naveen-ul-Haq,KKR,99,7,33,8.25,10.29,12.0,SRH
MP Yadav,CSK,208,7,37,10.95,16.29,19.0,PBKS
MA Starc,PBKS,221,7,56,9.21,20.57,24.0,KKR
T Natarajan,LSG,141,7,21,9.72,12.43,14.3,CSK
MJ Owen,SRH,107,7,21,8.92,10.29,12.0,DC
T Natarajan,SRH,350,7,56,10.29,29.14,34.0,CSK
V Puthur,SRH,153,7,41,9.0,14.57,17.0,DC
Mohammed Shami,MI,280,7,61,8.75,27.43,32.0,LSG
D Wiese,PBKS,200,7,26,9.38,18.29,21.2,GT
WG Jacks,GT,222,7,33,9.79,19.43,22.4,LSG
WG Jacks,PBKS,107,7,31,7.47,12.29,14.2,LSG
Suryansh Shedge,RCB,232,7,32,10.79,18.43,21.3,CSK
NT Ellis,DC,225,7,23,11.25,17.14,20.0,SRH
NT Ellis,KKR,146,7,48,7.3,17.14,20.0,SRH
HJ Manenti,DC,72,7,18,9.0,6.86,8.0,CSK
Suryansh Shedge,MI,226,7,43,9.48,20.43,23.5,CSK
M Siddharth,SRH,268,7,58,9.57,24.0,28.0,CSK
Fazalhaq Farooqi,SRH,154,7,29,7.9,16.71,19.3,CSK
Harsh Dubey,RCB,105,7,24,9.55,9.43,11.0,RCB
CV Varun,LSG,187,7,37,8.9,18.0,21.0,PBKS
Imran Tahir,SRH,103,7,36,8.58,10.29,12.0,CSK
Kuldeep Yadav,DC,269,7,50,9.84,23.43,27.2,SRH
Washington Sundar,RR,222,7,46,8.54,22.29,26.0,PBKS
Naseem Shah,RR,163,7,42,8.15,17.14,20.0,
Sandeep Sharma,SRH,215,7,30,9.85,18.71,21.5,
Jagjit Singh,KKR,97,7,22,8.43,9.86,11.3,SRH
SP Narine,GT,290,7,34,8.53,29.14,34.0,KKR
S Dube,GT,179,7,29,9.94,15.43,18.0,RR
A Nagwaswalla,KKR,110,7,47,7.33,12.86,15.0,RR
R Shepherd,MI,147,7,30,9.19,13.71,16.0,GT
Ashwin Das,RCB,43,7,15,6.97,5.29,6.1,LSG
RA Jadeja,GT,287,7,37,10.25,24.0,28.0,SRH
SP Narine,PBKS,199,7,36,10.12,16.86,19.4,KKR
Rasikh Salam,SRH,110,7,15,10.0,9.43,11.0,MI
Ravi Bishnoi,GT,141,7,21,8.91,13.57,15.5,GT
A Zampa,KKR,180,7,52,8.0,19.29,22.3,SRH
SS Ghosh,KKR,125,7,21,10.42,10.29,12.0,MI
Ravi Bishnoi,RR,256,7,43,9.85,22.29,26.0,GT
AD Russell,KKR,172,7,23,12.0,12.29,14.2,DC
Shaheen Shah Afridi,RCB,206,7,27,12.88,13.71,16.0,MI
AR Patel,DC,204,7,37,9.27,18.86,22.0,CSK
Akash Vasisht,SRH,39,7,21,4.88,6.86,8.0,SRH
S Dube,KKR,85,7,28,8.1,9.0,10.3,RR
SS Ghosh,PBKS,55,7,20,6.88,6.86,8.0,MI
A Zampa,RR,148,7,29,8.38,15.14,17.4,SRH
R Sai Kishore,CSK,252,7,43,9.28,23.29,27.1,MI
Avesh Khan,RCB,100,7,24,9.09,9.43,11.0,GT
S Dube,LSG,216,7,33,10.05,18.43,21.3,RR
S Dube,PBKS,141,7,23,10.07,12.0,14.0,RR
Sandeep Sharma,RCB,155,7,36,8.16,16.29,19.0,
