striker,opposition,runs,balls,outs,avg,SR
P Simran Singh,DC,390,221,7,55.71,176.47
SA Yadav,MI,360,213,4,90.0,169.01
PD Salt,PBKS,356,205,4,89.0,173.66
Abhishek Sharma,DC,354,212,4,88.5,166.98
GJ Maxwell,SRH,333,191,7,47.57,174.35
Abhishek Sharma,RR,327,190,5,65.4,172.11
TM Head,GT,324,228,5,64.8,142.11
SV Samson,DC,321,176,5,64.2,182.39
KL Rahul,RCB,311,193,3,103.67,161.14
N Pooran,RR,309,203,7,44.14,152.22
Abhishek Sharma,LSG,304,189,5,60.8,160.85
KL Rahul,DC,301,195,5,60.2,154.36
RM Patidar,PBKS,299,191,7,42.71,156.54
TM Head,SRH,298,178,6,49.67,167.42
P Simran Singh,RR,295,164,7,42.14,179.88
GJ Maxwell,DC,290,163,2,145.0,177.91
Shubman Gill,DC,289,194,4,72.25,148.97
Naman Dhir,MI,286,148,3,95.33,193.24
S Dube,MI,285,176,2,142.5,161.93
Ishan Kishan,LSG,283,191,6,47.17,148.17
PP Shaw,DC,281,181,5,56.2,155.25
Shubman Gill,PBKS,276,179,3,92.0,154.19
GJ Maxwell,RCB,273,172,4,68.25,158.72
DP Conway,LSG,273,168,4,68.25,162.5
N Pooran,RCB,267,164,2,133.5,162.8
PD Salt,MI,265,166,4,66.25,159.64
V Kohli,KKR,262,158,4,65.5,165.82
SS Iyer,GT,261,143,4,65.25,182.52
RD Rickelton,DC,260,132,4,65.0,196.97
SV Samson,LSG,259,162,5,51.8,159.88
JC Buttler,RR,258,140,5,51.6,184.29
PD Salt,GT,254,147,5,50.8,172.79
Tilak Varma,SRH,254,175,6,42.33,145.14
KL Rahul,RR,253,164,4,63.25,154.27
RD Gaikwad,MI,253,158,6,42.17,160.13
N Pooran,KKR,251,164,2,125.5,153.05
Shubman Gill,MI,251,137,5,50.2,183.21
Naman Dhir,DC,250,150,4,62.5,166.67
SS Iyer,DC,248,143,2,124.0,173.43
Abishek Porel,SRH,247,130,3,82.33,190.0
Shubman Gill,GT,247,154,5,49.4,160.39
H Klaasen,GT,245,135,3,81.67,181.48
AM Rahane,RCB,245,164,5,49.0,149.39
B Sai Sudharsan,GT,241,172,5,48.2,140.12
RD Gaikwad,GT,241,161,6,40.17,149.69
LS Livingstone,DC,239,163,8,29.88,146.63
Tilak Varma,KKR,237,149,3,79.0,159.06
Abhishek Sharma,KKR,235,120,4,58.75,195.83
VR Iyer,CSK,235,153,2,117.5,153.59
Ishan Kishan,GT,234,143,4,58.5,163.64
LS Livingstone,CSK,232,143,4,58.0,162.24
V Kohli,LSG,230,137,4,57.5,167.88
RK Singh,DC,230,164,3,76.67,140.24
V Kohli,CSK,228,142,1,228.0,160.56
JC Buttler,RCB,228,128,4,57.0,178.12
AM Rahane,CSK,227,139,5,45.4,163.31
TM Head,PBKS,225,152,7,32.14,148.03
Naman Dhir,RR,225,134,2,112.5,167.91
AM Rahane,DC,225,156,3,75.0,144.23
SA Yadav,RCB,223,128,5,44.6,174.22
GJ Maxwell,MI,223,128,6,37.17,174.22
N Sindhu,SRH,223,127,5,44.6,175.59
B Sai Sudharsan,RR,221,136,6,36.83,162.5
Shubman Gill,RR,221,139,4,55.25,158.99
Priyansh Arya,LSG,220,133,4,55.0,165.41
S Dube,SRH,219,128,5,43.8,171.09
FH Allen,SRH,219,112,2,109.5,195.54
Abhishek Sharma,PBKS,218,137,6,36.33,159.12
SV Samson,RR,218,149,5,43.6,146.31
DP Conway,RCB,217,141,4,54.25,153.9
JP Inglis,MI,217,123,2,108.5,176.42
GJ Maxwell,KKR,216,131,4,54.0,164.89
Tilak Varma,PBKS,214,139,7,30.57,153.96
Urvil Patel,SRH,214,139,5,42.8,153.96
YBK Jaiswal,CSK,213,107,3,71.0,199.07
Abishek Porel,KKR,210,125,3,70.0,168.0
RM Patidar,GT,207,125,7,29.57,165.6
PP Shaw,CSK,204,125,4,51.0,163.2
Q de Kock,MI,203,150,6,33.83,135.33
F du Plessis,PBKS,202,157,6,33.67,128.66
RD Rickelton,GT,202,135,4,50.5,149.63
VR Iyer,RR,201,111,2,100.5,181.08
SA Yadav,RR,200,105,3,66.67,190.48
B Sai Sudharsan,SRH,200,127,5,40.0,157.48
Shashank Singh,MI,199,87,2,99.5,228.74
RM Patidar,SRH,198,148,6,33.0,133.78
N Pooran,DC,198,132,4,49.5,150.0
YBK Jaiswal,SRH,197,118,4,49.25,166.95
SV Samson,KKR,196,125,3,65.33,156.8
SV Samson,SRH,196,130,3,65.33,150.77
KL Rahul,CSK,196,129,5,39.2,151.94
V Kohli,SRH,196,136,7,28.0,144.12
SA Yadav,SRH,195,114,8,24.38,171.05
PD Salt,RR,195,132,4,48.75,147.73
B Sai Sudharsan,LSG,194,118,3,64.67,164.41
TM Head,MI,193,129,4,48.25,149.61
V Kohli,RCB,193,112,5,38.6,172.32
Tilak Varma,RR,192,107,4,48.0,179.44
Naman Dhir,LSG,188,101,3,62.67,186.14
SA Yadav,GT,186,99,5,37.2,187.88
N Pooran,LSG,186,106,3,62.0,175.47
PD Salt,SRH,186,106,5,37.2,175.47
AM Rahane,RR,185,132,5,37.0,140.15
Abishek Porel,RR,185,79,2,92.5,234.18
SS Iyer,MI,184,115,3,61.33,160.0
SA Yadav,PBKS,183,119,2,91.5,153.78
R Parag,CSK,183,119,4,45.75,153.78
Q de Kock,CSK,182,120,6,30.33,151.67
Shubman Gill,SRH,181,131,4,45.25,138.17
F du Plessis,KKR,181,132,5,36.2,137.12
MP Stoinis,LSG,181,116,4,45.25,156.03
P Simran Singh,CSK,180,126,6,30.0,142.86
Priyansh Arya,DC,179,107,3,59.67,167.29
RD Gaikwad,PBKS,177,128,5,35.4,138.28
KL Rahul,PBKS,176,135,4,44.0,130.37
B Sai Sudharsan,KKR,174,133,5,34.8,130.83
PP Shaw,RCB,173,107,4,43.25,161.68
YBK Jaiswal,MI,173,83,6,28.83,208.43
RG Sharma,RCB,173,114,2,86.5,151.75
H Klaasen,DC,173,121,1,173.0,142.98
P Simran Singh,RCB,172,103,5,34.4,166.99
HH Pandya,GT,171,96,3,57.0,178.12
V Suryavanshi,KKR,170,91,3,56.67,186.81
Tilak Varma,DC,168,108,2,84.0,155.56
BM Duckett,KKR,168,96,4,42.0,175.0
Abhishek Sharma,RCB,168,99,4,42.0,169.7
GJ Maxwell,PBKS,167,98,4,41.75,170.41
Q de Kock,RCB,167,115,6,27.83,145.22
RD Rickelton,RCB,167,104,4,41.75,160.58
SA Yadav,LSG,166,118,5,33.2,140.68
SP Narine,SRH,166,83,3,55.33,200.0
V Suryavanshi,SRH,165,100,2,82.5,165.0
PD Salt,LSG,164,99,5,32.8,165.66
Abhishek Sharma,GT,163,103,6,27.17,158.25
V Kohli,RR,162,111,4,40.5,145.95
Shubman Gill,RCB,161,113,4,40.25,142.48
YBK Jaiswal,RCB,161,85,3,53.67,189.41
LS Livingstone,LSG,161,99,3,53.67,162.63
RD Gaikwad,LSG,161,96,3,53.67,167.71
BM Duckett,RR,160,97,3,53.33,164.95
BM Duckett,DC,160,99,2,80.0,161.62
Smaran Ravichandran,CSK,159,103,1,159.0,154.37
RD Gaikwad,RR,159,99,5,31.8,160.61
KL Rahul,LSG,158,108,3,52.67,146.3
WG Jacks,MI,156,98,4,39.0,159.18
N Sindhu,GT,156,86,4,39.0,181.4
SV Samson,CSK,155,124,6,25.83,125.0
B Sai Sudharsan,DC,155,97,5,31.0,159.79
VR Iyer,PBKS,154,95,2,77.0,162.11
Naman Dhir,RCB,154,94,4,38.5,163.83
WG Jacks,RCB,153,91,2,76.5,168.13
N Rana,CSK,153,84,4,38.25,182.14
Shubman Gill,KKR,152,119,6,25.33,127.73
SA Yadav,CSK,151,96,2,75.5,157.29
SS Iyer,KKR,151,99,5,30.2,152.53
SV Samson,MI,150,123,5,30.0,121.95
N Pooran,PBKS,149,117,5,29.8,127.35
Ishan Kishan,CSK,149,90,4,37.25,165.56
Shashank Singh,CSK,147,83,5,29.4,177.11
Tilak Varma,RCB,147,86,3,49.0,170.93
F du Plessis,MI,147,99,5,29.4,148.48
GJ Maxwell,GT,147,81,4,36.75,181.48
RM Patidar,MI,146,107,5,29.2,136.45
Priyansh Arya,RR,146,76,4,36.5,192.11
SS Iyer,CSK,146,101,2,73.0,144.55
T Stubbs,RR,145,102,3,48.33,142.16
JP Inglis,RCB,145,75,2,72.5,193.33
P Simran Singh,PBKS,143,98,5,28.6,145.92
SV Samson,RCB,143,111,6,23.83,128.83
YBK Jaiswal,GT,142,77,4,35.5,184.42
RR Rossouw,CSK,142,83,1,142.0,171.08
P Simran Singh,GT,142,84,4,35.5,169.05
AM Rahane,LSG,142,81,6,23.67,175.31
RD Rickelton,SRH,141,83,5,28.2,169.88
RK Singh,KKR,141,87,2,70.5,162.07
RD Gaikwad,DC,140,92,4,35.0,152.17
V Kohli,MI,140,106,7,20.0,132.08
TM Head,KKR,140,90,7,20.0,155.56
H Klaasen,RR,139,104,3,46.33,133.65
N Pooran,SRH,139,90,1,139.0,154.44
Abhishek Sharma,CSK,139,82,4,34.75,169.51
JM Sharma,DC,139,65,3,46.33,213.85
PP Shaw,RR,139,104,5,27.8,133.65
Urvil Patel,MI,138,88,5,27.6,156.82
Naman Dhir,CSK,138,78,5,27.6,176.92
YBK Jaiswal,KKR,138,76,3,46.0,181.58
BM Duckett,SRH,137,85,2,68.5,161.18
Aniket Verma,LSG,137,70,2,68.5,195.71
PHKD Mendis,DC,137,65,2,68.5,210.77
JP Inglis,PBKS,136,92,2,68.0,147.83
Tilak Varma,GT,135,106,6,22.5,127.36
T Stubbs,GT,134,84,2,67.0,159.52
JC Buttler,LSG,133,78,5,26.6,170.51
Abishek Porel,MI,133,73,6,22.17,182.19
MP Stoinis,KKR,132,74,2,66.0,178.38
JP Inglis,RR,132,76,3,44.0,173.68
J Fraser-McGurk,KKR,131,74,2,65.5,177.03
Urvil Patel,LSG,131,91,1,131.0,143.96
Q de Kock,LSG,131,79,3,43.67,165.82
TM Head,RCB,131,89,3,43.67,147.19
BJ McMullen,MI,130,83,3,43.33,156.63
N Sindhu,RR,129,67,2,64.5,192.54
RR Rossouw,DC,128,86,4,32.0,148.84
N Sindhu,PBKS,128,74,4,32.0,172.97
N Sindhu,RCB,128,70,4,32.0,182.86
C Green,CSK,127,77,2,63.5,164.94
Shashank Singh,RR,126,71,1,126.0,177.46
DP Conway,SRH,126,87,3,42.0,144.83
SS Iyer,PBKS,126,95,5,25.2,132.63
RD Rickelton,KKR,125,80,4,31.25,156.25
JM Bairstow,CSK,125,97,3,41.67,128.87
Urvil Patel,CSK,124,73,3,41.33,169.86
RG Sharma,SRH,124,109,4,31.0,113.76
RD Rickelton,MI,123,82,5,24.6,150.0
AM Rahane,PBKS,123,83,5,24.6,148.19
Smaran Ravichandran,KKR,122,73,2,61.0,167.12
AM Rahane,SRH,122,81,3,40.67,150.62
WG Jacks,KKR,122,72,5,24.4,169.44
RD Gaikwad,SRH,122,76,4,30.5,160.53
Shashank Singh,SRH,122,74,2,61.0,164.86
AK Markram,LSG,120,68,5,24.0,176.47
JP Inglis,LSG,120,75,4,30.0,160.0
Smaran Ravichandran,RCB,120,71,3,40.0,169.01
R Parag,KKR,120,74,3,40.0,162.16
N Rana,RR,119,68,4,29.75,175.0
RM Patidar,LSG,119,73,3,39.67,163.01
BM Duckett,LSG,118,69,3,39.33,171.01
H Klaasen,KKR,118,78,4,29.5,151.28
H Klaasen,SRH,118,96,4,29.5,122.92
Dhruv Jurel,KKR,118,81,4,29.5,145.68
Aniket Verma,KKR,118,61,2,59.0,193.44
Ishan Kishan,MI,117,75,4,29.25,156.0
VR Iyer,DC,117,67,3,39.0,174.63
V Kohli,PBKS,117,81,4,29.25,144.44
Nithish Kumar Reddy,MI,116,91,3,38.67,127.47
LS Livingstone,RCB,116,97,2,58.0,119.59
Sikandar Raza,SRH,116,81,2,58.0,143.21
N Rana,PBKS,115,77,4,28.75,149.35
Dhruv Jurel,SRH,115,81,4,28.75,141.98
S Dube,LSG,114,66,5,22.8,172.73
BJ McMullen,CSK,113,72,2,56.5,156.94
V Kohli,GT,113,80,5,22.6,141.25
FH Allen,DC,113,66,2,56.5,171.21
T Stubbs,DC,113,72,2,56.5,156.94
Dhruv Jurel,GT,111,73,2,55.5,152.05
S Dube,KKR,111,61,5,22.2,181.97
N Rana,LSG,110,53,3,36.67,207.55
Q de Kock,KKR,110,71,2,55.0,154.93
JM Sharma,LSG,110,72,3,36.67,152.78
MP Stoinis,MI,109,70,4,27.25,155.71
AR Patel,MI,109,83,3,36.33,131.33
S Dube,DC,109,65,2,54.5,167.69
Q de Kock,SRH,109,52,3,36.33,209.62
P Simran Singh,LSG,109,61,5,21.8,178.69
H Klaasen,CSK,109,77,5,21.8,141.56
JC Buttler,PBKS,108,69,4,27.0,156.52
AK Markram,KKR,107,70,3,35.67,152.86
JC Buttler,MI,107,78,3,35.67,137.18
T Stubbs,KKR,107,69,0,,155.07
AB de Villiers,CSK,107,61,0,,175.41
Q de Kock,DC,107,73,4,26.75,146.58
H Klaasen,RCB,106,87,5,21.2,121.84
JC Buttler,SRH,106,57,3,35.33,185.96
SS Iyer,RCB,105,85,5,21.0,123.53
Ishan Kishan,SRH,105,76,4,26.25,138.16
DP Conway,RR,105,80,3,35.0,131.25
Abishek Porel,GT,105,62,5,21.0,169.35
RR Pant,MI,105,71,3,35.0,147.89
AM Rahane,GT,104,71,4,26.0,146.48
N Pooran,GT,104,71,5,20.8,146.48
SA Yadav,KKR,104,74,5,20.8,140.54
BA Stokes,PBKS,103,72,4,25.75,143.06
S Dube,PBKS,103,65,4,25.75,158.46
Urvil Patel,RR,103,48,0,,214.58
BA Stokes,RR,103,58,2,51.5,177.59
Tilak Varma,MI,103,66,5,20.6,156.06
WG Jacks,RR,103,71,4,25.75,145.07
F du Plessis,RR,102,83,2,51.0,122.89
Ishan Kishan,RR,102,75,4,25.5,136.0
N Sindhu,KKR,102,63,4,25.5,161.9
Sikandar Raza,MI,102,65,2,51.0,156.92
VR Iyer,KKR,101,64,3,33.67,157.81
TM Head,RR,101,62,4,25.25,162.9
R Parag,RR,101,59,3,33.67,171.19
SP Narine,MI,101,81,5,20.2,124.69
RG Sharma,CSK,101,69,6,16.83,146.38
AK Markram,RR,101,82,2,50.5,123.17
SS Iyer,SRH,101,89,5,20.2,113.48
V Suryavanshi,MI,101,67,3,33.67,150.75
SP Narine,RCB,100,69,3,33.33,144.93
BA Stokes,CSK,99,67,3,33.0,147.76
Priyansh Arya,PBKS,99,60,3,33.0,165.0
D Brevis,RR,99,80,2,49.5,123.75
RR Rossouw,LSG,99,64,2,49.5,154.69
H Klaasen,MI,99,69,4,24.75,143.48
T Stubbs,PBKS,99,75,5,19.8,132.0
N Pooran,CSK,99,57,4,24.75,173.68
DJ Hooda,CSK,98,62,4,24.5,158.06
F du Plessis,DC,97,79,2,48.5,122.78
Abdul Samad,KKR,97,51,1,97.0,190.2
JM Sharma,KKR,97,62,1,97.0,156.45
SP Narine,GT,97,65,4,24.25,149.23
Washington Sundar,RCB,97,67,2,48.5,144.78
DJ Hooda,RCB,96,68,2,48.0,141.18
SS Iyer,RR,96,59,5,19.2,162.71
Sameer Rizvi,RCB,96,41,2,48.0,234.15
N Rana,DC,96,66,3,32.0,145.45
RK Singh,PBKS,95,63,5,19.0,150.79
Shubman Gill,CSK,95,59,3,31.67,161.02
WG Jacks,GT,95,62,3,31.67,153.23
BM Duckett,RCB,94,54,3,31.33,174.07
VR Iyer,LSG,94,61,3,31.33,154.1
WG Jacks,DC,94,71,4,23.5,132.39
JM Sharma,GT,93,64,3,31.0,145.31
Aniket Verma,SRH,93,47,2,46.5,197.87
KA Pollard,SRH,93,48,1,93.0,193.75
RA Tripathi,CSK,93,62,2,46.5,150.0
Q de Kock,RR,93,56,4,23.25,166.07
BM Duckett,MI,93,60,4,23.25,155.0
N Sindhu,LSG,93,56,3,31.0,166.07
F du Plessis,LSG,92,75,2,46.0,122.67
DP Conway,MI,92,55,3,30.67,167.27
Abishek Porel,RCB,91,62,5,18.2,146.77
PD Salt,DC,91,75,6,15.17,121.33
JC Buttler,DC,91,74,6,15.17,122.97
GJ Maxwell,CSK,91,61,5,18.2,149.18
AR Patel,LSG,91,55,2,45.5,165.45
S Dube,GT,91,57,4,22.75,159.65
BA Stokes,GT,90,62,4,22.5,145.16
T Stubbs,MI,90,58,2,45.0,155.17
Ashutosh Sharma,CSK,89,51,2,44.5,174.51
RK Singh,GT,89,69,3,29.67,128.99
VR Iyer,GT,89,55,4,22.25,161.82
Aniket Verma,GT,87,48,0,,181.25
C Green,RR,87,44,4,21.75,197.73
RD Gaikwad,CSK,87,54,4,21.75,161.11
MP Stoinis,RCB,87,62,3,29.0,140.32
KA Pollard,DC,87,70,1,87.0,124.29
KL Rahul,MI,87,54,2,43.5,161.11
BM Duckett,CSK,87,56,1,87.0,155.36
C Green,DC,87,57,3,29.0,152.63
N Sindhu,MI,86,46,5,17.2,186.96
WG Jacks,SRH,86,50,6,14.33,172.0
N Rana,MI,86,45,2,43.0,191.11
PD Salt,CSK,86,53,4,21.5,162.26
Ramandeep Singh,PBKS,85,48,1,85.0,177.08
YBK Jaiswal,LSG,85,68,5,17.0,125.0
BJ McMullen,RCB,85,53,2,42.5,160.38
KA Pollard,GT,85,52,1,85.0,163.46
Smaran Ravichandran,DC,85,49,1,85.0,173.47
SP Narine,RR,84,53,1,84.0,158.49
JC Buttler,GT,84,56,3,28.0,150.0
Rahul Singh,LSG,83,63,2,41.5,131.75
V Suryavanshi,LSG,83,50,2,41.5,166.0
LS Livingstone,MI,83,70,3,27.67,118.57
AM Rahane,MI,83,59,4,20.75,140.68
LS Livingstone,RR,82,60,6,13.67,136.67
Dhruv Jurel,DC,82,55,1,82.0,149.09
RA Jadeja,MI,82,40,3,27.33,205.0
FH Allen,KKR,82,57,3,27.33,143.86
R Parag,PBKS,82,59,3,27.33,138.98
RD Rickelton,RR,81,40,2,40.5,202.5
P Simran Singh,KKR,81,50,4,20.25,162.0
Naman Dhir,PBKS,81,43,4,20.25,188.37
C Green,KKR,81,47,2,40.5,172.34
LS Livingstone,GT,81,57,2,40.5,142.11
DJ Hooda,SRH,81,51,1,81.0,158.82
MK Pandey,LSG,80,66,2,40.0,121.21
FH Allen,GT,80,60,3,26.67,133.33
KA Pollard,KKR,80,58,2,40.0,137.93
RK Singh,SRH,80,50,1,80.0,160.0
GJ Maxwell,LSG,80,55,5,16.0,145.45
AR Patel,DC,80,60,2,40.0,133.33
JM Sharma,PBKS,80,44,2,40.0,181.82
LS Livingstone,PBKS,79,58,4,19.75,136.21
J Fraser-McGurk,MI,79,52,2,39.5,151.92
Smaran Ravichandran,RR,79,45,3,26.33,175.56
AD Russell,SRH,79,46,1,79.0,171.74
PP Shaw,SRH,79,52,3,26.33,151.92
Q de Kock,GT,79,63,5,15.8,125.4
MP Stoinis,CSK,79,67,5,15.8,117.91
B Sai Sudharsan,PBKS,79,65,6,13.17,121.54
Abishek Porel,PBKS,79,49,2,39.5,161.22
PD Salt,KKR,78,50,5,15.6,156.0
AD Russell,RCB,78,60,1,78.0,130.0
BJ McMullen,GT,78,46,2,39.0,169.57
TM Head,DC,78,53,4,19.5,147.17
Abdul Samad,CSK,78,31,1,78.0,251.61
BJ McMullen,SRH,78,58,3,26.0,134.48
JM Bairstow,RR,78,55,3,26.0,141.82
DA Miller,SRH,78,55,2,39.0,141.82
Ashutosh Sharma,PBKS,77,35,3,25.67,220.0
RG Sharma,MI,77,47,3,25.67,163.83
YBK Jaiswal,DC,77,33,1,77.0,233.33
Nithish Kumar Reddy,RR,77,44,1,77.0,175.0
KA Pollard,LSG,77,38,0,,202.63
JM Bairstow,PBKS,77,56,1,77.0,137.5
AD Russell,GT,76,45,3,25.33,168.89
RG Sharma,LSG,76,54,4,19.0,140.74
Shashank Singh,GT,75,57,3,25.0,131.58
RD Gaikwad,KKR,75,56,6,12.5,133.93
RR Pant,LSG,75,63,4,18.75,119.05
F du Plessis,GT,74,67,4,18.5,110.45
Dhruv Jurel,PBKS,74,50,1,74.0,148.0
RK Singh,RR,74,51,3,24.67,145.1
HH Pandya,RCB,74,46,2,37.0,160.87
Washington Sundar,LSG,73,57,2,36.5,128.07
PP Shaw,LSG,73,52,5,14.6,140.38
KD Karthik,GT,73,37,1,73.0,197.3
JG Bethell,LSG,73,48,2,36.5,152.08
Ishan Kishan,RCB,72,56,5,14.4,128.57
DP Conway,PBKS,72,47,1,72.0,153.19
MK Lomror,LSG,72,52,1,72.0,138.46
FH Allen,RCB,72,45,3,24.0,160.0
WL Madsen,PBKS,72,37,0,,194.59
HH Pandya,PBKS,72,60,4,18.0,120.0
RK Singh,CSK,71,52,4,17.75,136.54
JM Sharma,CSK,71,42,5,14.2,169.05
Shashank Singh,DC,71,44,1,71.0,161.36
JP Inglis,CSK,71,44,2,35.5,161.36
JP Inglis,DC,71,45,3,23.67,157.78
Dhruv Jurel,RCB,71,42,2,35.5,169.05
Harpreet Brar,KKR,71,45,1,71.0,157.78
N Sindhu,CSK,70,48,1,70.0,145.83
S Dube,CSK,70,58,3,23.33,120.69
Shashank Singh,KKR,70,49,4,17.5,142.86
Nithish Kumar Reddy,RCB,70,48,3,23.33,145.83
RR Rossouw,RCB,70,47,2,35.0,148.94
Priyansh Arya,CSK,70,43,3,23.33,162.79
RR Pant,RCB,70,51,3,23.33,137.25
R Parag,MI,70,29,1,70.0,241.38
YBK Jaiswal,PBKS,69,42,3,23.0,164.29
R Parag,GT,69,52,0,,132.69
DA Miller,LSG,69,42,1,69.0,164.29
Atharva Taide,LSG,69,34,1,69.0,202.94
RD Rickelton,LSG,69,52,2,34.5,132.69
AR Patel,KKR,69,57,3,23.0,121.05
AK Markram,GT,69,50,2,34.5,138.0
Washington Sundar,CSK,68,44,4,17.0,154.55
KA Pollard,RR,68,38,1,68.0,178.95
AR Patel,PBKS,68,45,5,13.6,151.11
JM Sharma,SRH,68,39,3,22.67,174.36
Anmolpreet Singh,RCB,68,50,1,68.0,136.0
Azmatullah Omarzai,GT,68,36,0,,188.89
Shahbaz Ahmed,SRH,68,48,3,22.67,141.67
Nithish Kumar Reddy,SRH,68,44,2,34.0,154.55
Jay Gohil,LSG,68,41,2,34.0,165.85
KA Pollard,RCB,68,45,3,22.67,151.11
Shashank Singh,LSG,68,52,2,34.0,130.77
Naman Dhir,SRH,68,33,2,34.0,206.06
RG Sharma,RR,67,45,3,22.33,148.89
SV Samson,PBKS,67,46,4,16.75,145.65
HC Brook,DC,67,39,1,67.0,171.79
DJ Hooda,DC,67,43,2,33.5,155.81
C Green,MI,67,44,2,33.5,152.27
RR Pant,GT,66,36,0,,183.33
WL Madsen,RR,66,37,0,,178.38
RG Sharma,DC,66,42,3,22.0,157.14
LS Livingstone,KKR,66,59,3,22.0,111.86
RR Rossouw,PBKS,66,32,0,,206.25
AD Russell,PBKS,66,35,0,,188.57
Ashutosh Sharma,GT,66,43,4,16.5,153.49
Washington Sundar,MI,66,46,2,33.0,143.48
JM Bairstow,DC,65,35,2,32.5,185.71
R Parag,RCB,65,30,4,16.25,216.67
FH Allen,MI,65,43,3,21.67,151.16
J Fraser-McGurk,CSK,65,43,2,32.5,151.16
GD Phillips,RCB,65,28,0,,232.14
V Suryavanshi,RR,65,35,1,65.0,185.71
VR Iyer,RCB,65,53,4,16.25,122.64
AK Markram,RCB,65,41,3,21.67,158.54
Ashutosh Sharma,DC,64,48,3,21.33,133.33
DP Conway,CSK,64,41,5,12.8,156.1
D Padikkal,SRH,64,40,1,64.0,160.0
C Green,GT,64,39,4,16.0,164.1
JM Sharma,RR,64,40,2,32.0,160.0
Nithish Kumar Reddy,CSK,63,48,5,12.6,131.25
HV Patel,CSK,63,54,4,15.75,116.67
MJ Owen,SRH,63,35,1,63.0,180.0
JM Sharma,MI,63,38,3,21.0,165.79
N Wadhera,KKR,62,52,1,62.0,119.23
DP Conway,DC,62,38,3,20.67,163.16
KK Nair,RCB,61,36,1,61.0,169.44
N Wadhera,CSK,61,39,1,61.0,156.41
AR Patel,SRH,61,56,2,30.5,108.93
JC Buttler,CSK,60,40,5,12.0,150.0
RG Sharma,GT,60,35,2,30.0,171.43
R Powell,LSG,60,30,0,,200.0
Dhruv Jurel,CSK,60,39,1,60.0,153.85
FH Allen,PBKS,60,38,2,30.0,157.89
RR Pant,KKR,60,43,0,,139.53
Urvil Patel,RCB,60,42,5,12.0,142.86
WL Madsen,RCB,60,40,1,60.0,150.0
Sikandar Raza,PBKS,60,41,1,60.0,146.34
Urvil Patel,KKR,60,41,3,20.0,146.34
AD Russell,KKR,60,41,4,15.0,146.34
WL Madsen,GT,59,38,0,,155.26
Washington Sundar,KKR,59,48,1,59.0,122.92
Ishan Kishan,PBKS,59,47,3,19.67,125.53
KL Rahul,KKR,59,40,4,14.75,147.5
Sameer Rizvi,MI,59,37,0,,159.46
C Green,PBKS,59,31,3,19.67,190.32
Shashank Singh,RCB,59,37,4,14.75,159.46
RR Pant,CSK,58,45,6,9.67,128.89
RM Patidar,KKR,58,42,4,14.5,138.1
BA Stokes,RCB,58,31,2,29.0,187.1
Q de Kock,PBKS,58,37,1,58.0,156.76
Ashutosh Sharma,MI,58,41,3,19.33,141.46
MK Pandey,MI,58,53,2,29.0,109.43
S Dube,RCB,57,44,3,19.0,129.55
JG Bethell,KKR,57,41,1,57.0,139.02
Sameer Rizvi,SRH,57,34,2,28.5,167.65
KA Pollard,MI,57,32,1,57.0,178.12
V Suryavanshi,RCB,57,44,2,28.5,129.55
DA Miller,DC,56,32,0,,175.0
MJ Owen,RCB,56,27,1,56.0,207.41
R Parag,DC,55,32,1,55.0,171.88
DA Warner,RCB,55,40,1,55.0,137.5
Sameer Rizvi,GT,55,35,0,,157.14
RA Tripathi,LSG,55,30,2,27.5,183.33
MK Lomror,RR,55,32,0,,171.88
D Padikkal,LSG,55,43,1,55.0,127.91
MK Pandey,GT,54,38,1,54.0,142.11
R Ashwin,SRH,54,26,2,27.0,207.69
MS Dhoni,PBKS,54,56,3,18.0,96.43
JP Inglis,KKR,54,33,3,18.0,163.64
Ashutosh Sharma,SRH,53,45,2,26.5,117.78
Arshad Khan,CSK,53,28,1,53.0,189.29
RM Patidar,DC,53,45,3,17.67,117.78
MK Lomror,MI,53,34,2,26.5,155.88
KL Rahul,GT,53,42,4,13.25,126.19
Washington Sundar,DC,52,28,1,52.0,185.71
N Rana,RCB,52,26,1,52.0,200.0
VR Iyer,MI,52,37,3,17.33,140.54
AR Patel,GT,52,27,2,26.0,192.59
Abishek Porel,LSG,52,23,1,52.0,226.09
DJ Hooda,LSG,52,36,2,26.0,144.44
F du Plessis,SRH,51,48,4,12.75,106.25
RK Singh,MI,51,22,1,51.0,231.82
RA Jadeja,RCB,51,31,1,51.0,164.52
Naman Dhir,KKR,51,32,4,12.75,159.38
R Powell,RCB,51,31,2,25.5,164.52
T Stubbs,LSG,51,46,2,25.5,110.87
BJ McMullen,PBKS,51,16,0,,318.75
BJ McMullen,LSG,51,34,3,17.0,150.0
DA Warner,MI,50,39,2,25.0,128.21
LG Pretorius,RCB,50,33,1,50.0,151.52
LG Pretorius,KKR,50,35,1,50.0,142.86
DP Conway,KKR,50,29,3,16.67,172.41
MP Stoinis,DC,50,42,3,16.67,119.05
Rahul Singh,PBKS,50,28,0,,178.57
C Green,SRH,50,48,2,25.0,104.17
Anmolpreet Singh,LSG,50,33,2,25.0,151.52
Ishan Kishan,DC,50,48,5,10.0,104.17
B Sai Sudharsan,RCB,49,33,1,49.0,148.48
JG Bethell,GT,49,46,2,24.5,106.52
HH Pandya,SRH,49,32,2,24.5,153.12
Jay Gohil,RR,49,22,3,16.33,222.73
