striker,runs,balls,outs,fours,sixes,dots,SR,Bat_avg,bpb,dot_%,bowling_type
HS Desai,24,16,2,3,0,5,150.0,12.0,5.33,31.25,pace
RD Chahar,24,19,2,4,0,7,126.32,12.0,4.75,36.84,pace
M Prasidh Krishna,23,17,2,1,1,7,135.29,11.5,8.5,41.18,spin
R Tewatia,23,18,3,3,0,5,127.78,7.67,6.0,27.78,spin
YS Chahal,23,14,2,1,2,6,164.29,11.5,4.67,42.86,spin
DL Chahar,23,18,1,4,0,8,127.78,23.0,4.5,44.44,pace
JC Archer,22,28,7,1,1,19,78.57,3.14,14.0,67.86,pace
Mohammed Siraj,22,7,0,3,1,0,314.29,inf,1.75,0.0,pace
A Zampa,21,13,2,1,2,7,161.54,10.5,4.33,53.85,spin
Arshdeep Singh,21,19,1,0,1,9,110.53,21.0,19.0,47.37,spin
M Siddharth,21,9,1,2,1,2,233.33,21.0,3.0,22.22,spin
AS Roy,21,13,1,2,1,5,161.54,21.0,4.33,38.46,pace
Sandeep Sharma,21,17,0,3,0,7,123.53,inf,5.67,41.18,pace
M Shahrukh Khan,20,26,6,0,1,14,76.92,3.33,26.0,53.85,spin
TU Deshpande,20,15,2,0,2,7,133.33,10.0,7.5,46.67,pace
AS Roy,19,20,3,0,2,11,95.0,6.33,10.0,55.0,spin
Avesh Khan,19,15,2,2,0,5,126.67,9.5,7.5,33.33,spin
C Sakariya,19,12,1,2,1,4,158.33,19.0,4.0,33.33,spin
HS Desai,19,5,1,0,3,1,380.0,19.0,1.67,20.0,spin
Mohammed Shami,19,14,1,1,0,5,135.71,19.0,14.0,35.71,spin
JE Root,19,14,1,0,2,6,135.71,19.0,7.0,42.86,pace
MA Agarwal,19,16,2,0,2,7,118.75,9.5,8.0,43.75,pace
RK Bhui,19,17,3,1,1,8,111.76,6.33,8.5,47.06,pace
MM Ali,18,8,0,2,1,1,225.0,inf,2.67,12.5,spin
MJ Santner,18,17,3,0,1,7,105.88,6.0,17.0,41.18,pace
Mohammed Shami,18,18,3,0,0,7,100.0,6.0,inf,38.89,pace
Sanvir Singh,18,17,1,0,1,6,105.88,18.0,17.0,35.29,pace
A Manohar,17,12,1,2,1,7,141.67,17.0,4.0,58.33,spin
Ayush Mhatre,17,11,1,2,1,5,154.55,17.0,3.67,45.45,spin
Harshit Rana,17,9,1,0,2,2,188.89,17.0,4.5,22.22,spin
KK Ahmed,17,9,1,2,1,4,188.89,17.0,3.0,44.44,spin
MADI Hemantha,17,9,1,1,1,4,188.89,17.0,4.5,44.44,spin
MJ Santner,17,21,1,1,0,8,80.95,17.0,21.0,38.1,spin
Aryan Juyal,17,18,1,0,1,11,94.44,17.0,18.0,61.11,pace
J Suchith,17,13,1,0,1,4,130.77,17.0,13.0,30.77,pace
AJ Hosein,16,14,0,0,1,6,114.29,inf,14.0,42.86,spin
DL Chahar,16,11,0,3,0,4,145.45,inf,3.67,36.36,spin
MA Starc,16,12,2,1,0,6,133.33,8.0,12.0,50.0,spin
Tanush Kotian,16,13,0,1,0,1,123.08,inf,13.0,7.69,spin
Harshit Rana,16,16,2,0,1,8,100.0,8.0,16.0,50.0,pace
B Kumar,15,21,1,1,0,10,71.43,15.0,21.0,47.62,spin
M Pathirana,15,15,4,0,1,6,100.0,3.75,15.0,40.0,pace
M Theekshana,14,25,1,2,0,18,56.0,14.0,12.5,72.0,spin
RA Bawa,14,10,2,0,2,7,140.0,7.0,5.0,70.0,spin
RK Bhui,14,11,0,1,0,2,127.27,inf,11.0,18.18,spin
Sanvir Singh,14,8,2,1,1,4,175.0,7.0,4.0,50.0,spin
Arslan Khan,14,9,1,2,0,3,155.56,14.0,4.5,33.33,pace
Avesh Khan,14,14,3,0,0,7,100.0,4.67,inf,50.0,pace
J Overton,14,9,1,0,2,5,155.56,14.0,4.5,55.56,pace
KK Ahmed,14,17,3,1,0,10,82.35,4.67,17.0,58.82,pace
JM Bairstow,13,13,1,2,0,7,100.0,13.0,6.5,53.85,spin
Mustafizur Rahman,13,21,3,0,0,12,61.9,4.33,inf,57.14,spin
SE Rutherford,13,12,1,0,0,2,108.33,13.0,inf,16.67,spin
Gurjapneet Singh,13,6,0,1,1,3,216.67,inf,3.0,50.0,pace
HR Shokeen,13,9,1,1,0,2,144.44,13.0,9.0,22.22,pace
Mukesh Kumar,13,6,3,1,1,3,216.67,4.33,3.0,50.0,pace
Suryansh Shedge,13,11,5,1,1,10,118.18,2.6,5.5,90.91,pace
Noor Ahmad,12,8,2,1,1,5,150.0,6.0,4.0,62.5,spin
D Brevis,12,14,1,1,0,6,85.71,12.0,14.0,42.86,pace
MM Ali,12,13,2,0,1,8,92.31,6.0,13.0,61.54,pace
SK Rasheed,12,7,1,1,1,4,171.43,12.0,3.5,57.14,pace
JJ Bumrah,11,8,2,1,0,2,137.5,5.5,8.0,25.0,spin
Arshdeep Singh,11,16,1,0,1,11,68.75,11.0,16.0,68.75,pace
JM Bairstow,11,14,1,1,0,7,78.57,11.0,14.0,50.0,pace
Mustafizur Rahman,11,12,0,0,0,4,91.67,inf,inf,33.33,pace
SE Rutherford,11,4,0,1,1,1,275.0,inf,2.0,25.0,pace
Salman Nizar,11,17,1,0,0,6,64.71,11.0,inf,35.29,pace
LUVNITH SISODIA,10,11,1,0,0,3,90.91,10.0,inf,27.27,spin
Mohammad Ghazanfar,10,13,2,0,1,9,76.92,5.0,13.0,69.23,spin
SZ Mulani,10,6,1,0,1,1,166.67,10.0,6.0,16.67,spin
A Manohar,10,9,1,0,0,3,111.11,10.0,inf,33.33,pace
MP Yadav,10,13,2,1,0,8,76.92,5.0,13.0,61.54,pace
Mohammad Ghazanfar,10,9,0,0,0,5,111.11,inf,inf,55.56,pace
NT Ellis,10,8,1,0,1,5,125.0,10.0,8.0,62.5,pace
Rasikh Salam,10,10,1,0,1,5,100.0,10.0,10.0,50.0,pace
Swapnil Singh,10,8,1,1,0,2,125.0,10.0,8.0,25.0,pace
