striker,bowler,runs_scored,balls_bowled,outs,4s,6s,bat_sr,bowl_eco,dot%
GJ Maxwell,YS Chahal,40,24,0,2,2,166.67,10.75,16.67
KA Pollard,DS Rathi,40,24,0,3,1,166.67,10.0,8.33
SP Narine,KK Ahmed,40,24,0,3,3,166.67,10.0,41.67
Shashank Singh,Noor Ahmad,40,23,0,3,2,173.91,10.43,21.74
R Parag,M Prasidh Krishna,40,22,0,2,2,181.82,10.91,18.18
SS Iyer,LS Livingstone,40,22,0,5,1,173.91,11.45,34.78
PD Salt,Rashid Khan,40,21,0,3,2,190.48,11.43,23.81
SA Yadav,HV Patel,40,21,0,4,2,190.48,11.43,14.29
TH David,Tanush Kotian,40,21,0,2,3,190.48,11.71,28.57
YBK Jaiswal,RS Hangargekar,40,21,0,1,3,190.48,11.71,23.81
Tilak Varma,M Prasidh Krishna,39,42,0,1,1,90.7,5.86,34.88
N Wadhera,Fazalhaq Farooqi,39,28,0,2,3,139.29,8.57,42.86
N Pooran,VG Arora,39,27,0,3,2,144.44,8.67,29.63
V Suryavanshi,KH Pandya,39,26,0,5,1,150.0,9.23,30.77
PWH de Silva,Mohammad Nabi,39,22,0,5,1,177.27,10.64,22.73
B Sai Sudharsan,Swapnil Singh,39,21,0,1,3,185.71,11.43,28.57
JM Sharma,Kuldeep Yadav,39,21,0,6,0,185.71,11.14,9.52
RD Gaikwad,Mohammed Shami,38,32,0,4,1,118.75,7.12,40.62
JP Inglis,JJ Bumrah,38,26,0,0,2,146.15,8.77,15.38
N Pooran,JR Hazlewood,38,26,0,5,0,146.15,8.77,30.77
Aniket Verma,Arshdeep Singh,38,25,0,3,1,152.0,9.12,20.0
P Simran Singh,Noor Ahmad,38,24,0,4,1,158.33,9.5,20.83
AM Rahane,Ashutosh Sharma,38,23,0,3,2,165.22,9.91,30.43
S Dube,Washington Sundar,38,23,0,4,1,165.22,10.17,21.74
SV Samson,CV Varun,38,23,0,4,1,165.22,9.91,21.74
VR Iyer,PWH de Silva,38,21,0,3,2,172.73,11.43,18.18
AM Rahane,Jagjit Singh,38,20,0,6,0,190.0,11.4,15.0
AM Rahane,PWH de Silva,38,20,0,6,1,190.0,12.0,35.0
B Sai Sudharsan,Harsh Dubey,38,20,0,4,1,190.0,11.7,15.0
BM Duckett,Ashutosh Sharma,38,20,0,3,3,190.0,11.4,50.0
FH Allen,Sikandar Raza,38,20,0,1,3,190.0,12.0,25.0
RK Singh,MA Starc,38,20,0,1,3,190.0,11.7,15.0
V Suryavanshi,Arshad Khan,37,33,0,5,1,112.12,6.73,51.52
N Sindhu,Arshdeep Singh,37,28,0,5,0,132.14,8.14,39.29
Tilak Varma,Washington Sundar,37,26,0,5,0,142.31,8.77,26.92
H Klaasen,R Sai Kishore,37,24,0,2,2,154.17,9.5,25.0
AM Rahane,JR Hazlewood,37,23,0,4,2,160.87,9.65,39.13
Abhishek Sharma,Ravi Bishnoi,37,23,0,5,1,160.87,9.65,43.48
GJ Maxwell,Harpreet Brar,37,23,0,2,2,160.87,9.91,26.09
GJ Maxwell,RD Chahar,37,23,0,3,1,160.87,9.91,30.43
Naman Dhir,Sandeep Sharma,37,22,0,4,1,168.18,10.09,27.27
Abhishek Sharma,A Nortje,37,21,0,1,3,176.19,10.86,28.57
Abishek Porel,PHKD Mendis,37,21,0,3,2,176.19,10.57,14.29
N Sindhu,Mohammad Nabi,37,21,0,3,2,176.19,10.57,23.81
JM Sharma,PHKD Mendis,37,20,0,3,1,185.0,11.1,15.0
JM Sharma,Tanush Kotian,37,20,0,6,0,185.0,11.1,10.0
LS Livingstone,JC Archer,37,20,0,1,4,185.0,11.1,30.0
N Pooran,Azmatullah Omarzai,37,20,0,2,2,185.0,11.1,20.0
SA Yadav,T Natarajan,37,20,0,6,0,185.0,11.1,5.0
Shubman Gill,Kuldeep Yadav,36,28,0,3,0,128.57,7.93,17.86
V Kohli,B Kumar,36,27,0,3,1,133.33,8.0,29.63
GJ Maxwell,SZ Mulani,36,24,0,4,1,150.0,9.5,29.17
N Pooran,M Prasidh Krishna,36,24,0,3,1,150.0,9.0,20.83
SV Samson,SH Johnson,36,24,0,5,1,150.0,9.0,45.83
Q de Kock,TA Boult,36,23,0,6,0,156.52,9.39,34.78
Shubman Gill,A Nagwaswalla,36,22,0,3,2,163.64,10.09,27.27
Dhruv Jurel,Kuldeep Yadav,36,21,0,1,3,171.43,10.29,23.81
GJ Maxwell,HH Pandya,36,21,0,4,1,163.64,10.57,27.27
VR Iyer,R Sai Kishore,36,21,0,3,1,171.43,10.29,19.05
CH Gayle,R Shepherd,36,20,0,5,1,180.0,10.8,20.0
Nithish Kumar Reddy,LS Livingstone,36,20,0,3,2,180.0,10.8,25.0
RD Gaikwad,M Markande,35,30,0,3,0,116.67,7.2,26.67
JC Buttler,Washington Sundar,35,28,0,3,0,125.0,7.5,25.0
FH Allen,R Sai Kishore,35,27,0,2,1,129.63,7.78,33.33
AM Rahane,GJ Maxwell,35,25,0,2,1,140.0,8.64,20.0
SA Yadav,M Siddharth,35,24,0,2,1,145.83,9.0,25.0
SS Iyer,Suryansh Shedge,35,24,0,2,0,145.83,8.75,20.83
Sikandar Raza,SZ Mulani,35,24,0,4,1,145.83,8.75,33.33
PD Salt,Sandeep Sharma,35,23,0,5,0,152.17,9.13,17.39
AM Rahane,M Siddharth,35,22,0,3,0,159.09,9.55,27.27
RR Rossouw,Avesh Khan,35,22,0,3,1,159.09,9.82,27.27
AM Rahane,Sikandar Raza,35,21,0,5,0,166.67,10.0,14.29
Abhishek Sharma,BJ McMullen,35,21,0,5,0,166.67,10.0,14.29
P Simran Singh,Mustafizur Rahman,35,21,0,4,0,166.67,10.29,23.81
JM Sharma,Suyash Sharma,35,20,0,5,0,175.0,10.5,20.0
Shubman Gill,MP Stoinis,35,20,0,4,0,175.0,10.5,5.0
Shubman Gill,PWH de Silva,35,20,0,1,3,175.0,10.5,25.0
V Suryavanshi,T Natarajan,35,20,0,3,1,175.0,10.5,15.0
PD Salt,AR Patel,34,27,0,4,0,125.93,7.56,37.04
J Fraser-McGurk,Fazalhaq Farooqi,34,26,0,5,1,130.77,7.85,50.0
BM Duckett,Sikandar Raza,34,24,0,2,1,141.67,8.5,20.83
N Rana,Kuldeep Yadav,34,23,0,5,0,147.83,8.87,17.39
F du Plessis,Sandeep Sharma,34,22,0,3,1,154.55,9.27,22.73
SA Yadav,PJ Cummins,34,22,0,4,0,154.55,9.55,22.73
TM Head,Avesh Khan,34,22,0,4,2,154.55,9.27,45.45
VR Iyer,PP Chawla,34,22,0,5,0,154.55,9.82,36.36
FH Allen,VG Arora,34,20,0,3,1,170.0,10.2,20.0
Shubman Gill,HV Patel,33,28,0,2,0,117.86,7.07,21.43
AM Rahane,Mohammed Siraj,33,27,0,1,2,122.22,7.56,37.04
S Dube,R Sai Kishore,33,23,0,3,1,143.48,8.87,26.09
VR Iyer,AR Patel,33,23,0,0,2,143.48,8.61,17.39
RD Rickelton,RA Jadeja,33,22,0,3,1,150.0,9.0,22.73
S Dube,M Prasidh Krishna,33,22,0,0,3,150.0,9.55,50.0
Shubman Gill,Swapnil Singh,33,22,0,4,0,150.0,9.27,22.73
Shubman Gill,Mohammed Shami,33,21,0,1,1,157.14,9.71,19.05
Urvil Patel,BA Stokes,33,21,0,4,0,157.14,10.0,28.57
PP Shaw,MG Bracewell,33,20,0,4,1,165.0,10.2,40.0
S Dube,AR Patel,32,25,0,1,1,128.0,7.68,16.0
RG Sharma,M Prasidh Krishna,32,24,0,5,0,133.33,8.25,33.33
SV Samson,Arshad Khan,32,23,0,2,1,139.13,8.87,30.43
AM Rahane,MG Bracewell,32,22,0,5,0,145.45,9.0,31.82
DP Conway,KH Pandya,32,21,0,4,0,152.38,9.14,9.52
BJ McMullen,Washington Sundar,32,20,0,5,0,160.0,9.9,20.0
GJ Maxwell,Shakib Al Hasan,32,20,0,3,1,160.0,9.6,15.0
RM Patidar,HV Patel,32,20,0,4,0,160.0,10.2,25.0
S Dube,V Nigam,32,20,0,5,0,160.0,10.2,30.0
RD Gaikwad,WG Jacks,31,28,0,2,0,110.71,6.64,21.43
Abhishek Sharma,Sikandar Raza,31,25,0,1,0,124.0,7.44,16.0
KL Rahul,Shakib Al Hasan,31,24,0,3,1,129.17,7.75,37.5
SV Samson,R Ashwin,31,24,0,0,2,129.17,7.75,29.17
PP Shaw,Mustafizur Rahman,31,21,0,2,2,147.62,8.86,47.62
Shubman Gill,CV Varun,31,21,0,1,2,147.62,8.86,33.33
RD Rickelton,R Parag,31,20,0,2,1,155.0,9.3,25.0
SA Yadav,SZ Mulani,30,28,0,1,1,107.14,6.64,28.57
SV Samson,GJ Maxwell,30,25,0,3,0,120.0,7.2,32.0
B Sai Sudharsan,Kuldeep Yadav,30,24,0,3,0,125.0,7.75,25.0
FH Allen,MM Ali,30,22,0,3,1,136.36,8.45,45.45
MP Stoinis,NT Ellis,30,22,0,2,1,136.36,8.18,31.82
P Simran Singh,T Natarajan,30,22,0,2,1,136.36,8.18,18.18
N Pooran,Yash Thakur,30,21,0,2,1,142.86,8.86,28.57
Shubman Gill,JC Archer,30,21,0,0,3,142.86,8.86,42.86
B Sai Sudharsan,Noor Ahmad,30,20,0,2,1,142.86,9.3,9.52
SP Narine,Rashid Khan,30,20,0,3,1,150.0,9.0,25.0
H Klaasen,PWH de Silva,29,27,0,2,1,107.41,6.67,44.44
RD Gaikwad,KK Ahmed,29,25,0,3,0,116.0,6.96,32.0
SV Samson,BA Stokes,29,25,0,2,0,116.0,6.96,16.0
Shubman Gill,C Sakariya,29,25,0,3,0,116.0,6.96,28.0
C Green,Kuldeep Yadav,29,24,0,1,2,120.83,7.5,41.67
SA Yadav,SP Narine,29,24,0,0,1,120.83,7.5,16.67
RK Singh,RA Jadeja,29,23,0,1,2,126.09,7.57,39.13
Tilak Varma,M Jansen,29,23,0,3,0,126.09,7.83,47.83
PP Shaw,BJ McMullen,29,22,0,4,0,131.82,8.45,45.45
F du Plessis,VG Arora,29,21,0,2,2,138.1,8.57,42.86
Smaran Ravichandran,Mohammed Shami,29,21,0,3,1,138.1,8.29,33.33
RG Sharma,Harpreet Brar,29,20,0,4,0,145.0,8.7,20.0
T Stubbs,Sikandar Raza,29,20,0,2,2,145.0,8.7,35.0
Tilak Varma,M Markande,29,20,0,2,1,145.0,8.7,25.0
JC Buttler,Mohammed Siraj,27,24,0,2,1,112.5,7.0,45.83
AM Rahane,Washington Sundar,27,22,0,2,1,122.73,7.91,50.0
V Kohli,C Sakariya,27,22,0,1,0,122.73,7.64,22.73
WG Jacks,KA Maharaj,27,22,0,1,2,122.73,7.64,45.45
N Sindhu,Rasikh Salam,27,21,0,3,0,128.57,7.71,19.05
S Dube,RS Hangargekar,27,21,0,4,0,128.57,7.71,28.57
S Dube,Tanush Kotian,26,26,0,2,0,100.0,6.23,42.31
RD Gaikwad,Mustafizur Rahman,26,25,0,4,0,104.0,6.48,52.0
VR Iyer,Mohammad Nabi,26,25,0,2,0,104.0,6.24,24.0
LS Livingstone,A Zampa,26,23,0,3,0,113.04,6.78,30.43
N Rana,JR Hazlewood,26,22,0,1,1,118.18,7.36,36.36
RK Singh,SP Narine,26,22,0,1,1,118.18,7.09,27.27
GJ Maxwell,Khrievitso Kense,26,21,0,3,0,123.81,7.71,28.57
TM Head,C Sakariya,26,21,0,1,1,123.81,7.71,19.05
P Simran Singh,Harpreet Brar,26,20,0,2,0,130.0,8.1,15.0
Tilak Varma,Rashid Khan,26,20,0,2,1,130.0,7.8,30.0
WG Jacks,Shashank Singh,25,22,0,4,0,113.64,6.82,50.0
SS Iyer,M Prasidh Krishna,25,21,0,3,0,119.05,7.71,33.33
Tarang Gohel,Shashank Singh,25,21,0,3,1,119.05,7.43,57.14
KL Rahul,Shashank Singh,24,28,0,3,0,85.71,5.14,57.14
VR Iyer,Washington Sundar,24,28,0,0,0,85.71,5.14,25.0
JM Sharma,Shadab Khan,24,20,0,0,2,120.0,7.5,45.0
SP Narine,HH Pandya,23,25,0,1,1,92.0,5.76,52.0
RM Patidar,TA Boult,23,22,0,2,1,104.55,6.82,54.55
V Kohli,Jagjit Singh,23,22,0,3,0,104.55,6.27,45.45
S Dube,C Sakariya,23,21,0,2,0,109.52,6.57,28.57
HH Pandya,Washington Sundar,23,20,0,2,0,115.0,7.2,30.0
N Pooran,MA Starc,22,24,0,2,1,91.67,5.75,62.5
TM Head,Harshit Rana,22,24,0,2,0,91.67,5.5,33.33
B Sai Sudharsan,MA Starc,21,24,0,2,0,87.5,5.5,45.83
F du Plessis,B Kumar,21,22,0,0,1,95.45,5.73,36.36
Abdul Samad,SP Narine,20,23,0,0,1,86.96,5.48,47.83
RR Rossouw,SP Narine,19,22,0,1,0,86.36,5.18,36.36
SV Samson,M Theekshana,18,21,0,0,0,85.71,5.14,28.57
KL Rahul,M Siddharth,15,23,0,1,0,65.22,3.91,47.83
