Match,Player,TI,Team,Runs,I.Runs,B.Impact,Bowl,I.Wkts,Bo.Impact,Rank
S04M039,WG Jacks,161.15,LSG,86(43),87.92,95.54,'2-55',3.29,65.61,28
S04M026,Nithish Kumar Reddy,160.69,SRH,64(33),68.15,78.59,'2-36',4.13,82.1,29
S05M077,Shaheen Shah Afridi,160.47,MI,8(13),2.8,1.5,'5-36',7.13,158.97,30
S05M045,Shashank Singh,160.12,PBKS,22(11),25.95,30.33,'4-28',5.89,129.79,31
S05M027,N Rana,159.99,PBKS,114(51),133.81,159.99,,,0.0,32
S05M050,PWH de Silva,159.19,RCB,86(47),96.07,109.22,'2-36',2.45,49.97,33
S02M054,GJ Maxwell,158.46,RR,130(64),133.76,140.74,'1-36',0.84,17.72,34
S05M025,WG Jacks,158.42,LSG,23(14),25.0,26.51,'5-26',5.96,131.91,35
S02M018,Rasikh Salam,155.68,GT,6(2),8.94,13.61,'4-21',5.93,142.07,36
M002,Abhishek Sharma,154.43,MI,96(43),124.74,154.43,,,0.0,37
S05M028,Tanush Kotian,154.38,CSK,82(35),94.11,115.76,'1-45',2.27,38.62,38
S05M049,CH Gayle,154.2,CSK,52(26),59.34,63.23,'2-37',4.07,90.96,39
S04M054,N Sindhu,153.76,DC,109(45),134.52,153.76,,,0.0,40
S02M013,Shubman Gill,153.55,LSG,90(54),117.41,153.55,,,0.0,41
S02M009,DP Conway,151.81,GT,117(62),128.36,151.81,,,0.0,42
S05M076,YK Pathan,150.05,KKR,21(12),23.44,27.16,'5-19',5.35,122.89,43
S03M018,Tilak Varma,149.89,CSK,109(55),132.0,149.89,,,0.0,44
S03M011,Priyansh Arya,149.83,SRH,121(61),134.49,149.83,,,0.0,45
S04M092,A Zampa,149.46,RR,,,0.0,'3-31',6.81,149.46,46
S04M069,SA Yadav,148.65,DC,119(46),125.57,148.65,,,0.0,47
M074,AR Patel,147.95,CSK,0(1),-0.82,-1.82,'5-19',6.15,149.77,48
M073,LS Livingstone,147.52,SRH,60(36),72.52,87.56,'2-12',2.4,59.96,49
S02M030,BM Duckett,146.65,SRH,110(55),130.77,146.65,,,0.0,50
S05M036,Shashank Singh,146.03,PBKS,61(23),73.41,90.25,'2-29',2.53,55.78,51
S04M029,YS Chahal,145.68,RCB,12(9),10.68,9.54,'5-33',6.2,136.14,52
S05M047,V Kohli,145.11,DC,98(47),114.69,145.11,,,0.0,53
S05M023,HH Pandya,144.67,MI,6(5),5.84,5.61,'5-30',6.46,139.06,54
M069,P Simran Singh,143.73,SRH,123(66),129.58,143.73,,,0.0,55
S05M055,Ashutosh Sharma,143.31,RCB,47(26),52.96,58.53,'3-15',3.51,84.78,56
S04M051,Tanush Kotian,143.11,CSK,21(9),23.74,28.98,'5-23',4.78,114.12,57
M053,AR Patel,141.68,CSK,1(3),-0.42,-1.4,'5-29',6.62,143.08,58
S05M048,C Green,141.57,KKR,76(44),87.18,91.29,'2-34',2.31,50.28,59
M061,WG Jacks,141.3,LSG,81(53),95.6,102.59,'1-16',1.43,38.7,60
S02M020,Shubman Gill,141.1,LSG,101(63),117.83,141.1,,,0.0,61
S04M038,Utkarsh Singh,140.25,PBKS,39(17),39.52,46.33,'2-15',4.25,93.92,62
M072,Shahbaz Ahmed,140.11,LSG,43(24),47.05,52.05,'3-26',3.56,88.05,63
S03M030,V Kohli,139.72,DC,106(60),114.98,139.72,,,0.0,64
M012,LS Livingstone,139.55,SRH,97(58),103.38,104.24,'1-49',2.18,35.31,65
M016,LS Livingstone,139.37,SRH,61(41),65.5,66.22,'3-38',3.3,73.15,66
S05M043,S Dube,139.32,RR,84(45),86.3,90.9,'1-21',2.31,48.43,67
S05M046,KL Rahul,138.97,SRH,99(50),114.47,138.97,,,0.0,68
S04M038,Shashank Singh,138.73,PBKS,55(18),57.16,85.51,'2-16',2.24,53.22,69
S04M064,Chirag Jani,138.68,PBKS,24(14),24.57,25.81,'2-2',3.4,112.87,70
S04M015,GJ Maxwell,138.58,RR,108(57),119.77,145.75,'0-13',0.0,-7.16,71
S04M033,Shubman Gill,137.23,LSG,130(69),137.94,137.23,,,0.0,72
S04M009,SP Narine,137.13,KKR,46(28),49.65,55.44,'3-37',3.88,81.69,73
S03M008,Arshad Khan,137.03,KKR,53(28),59.6,88.0,'2-16',2.41,49.03,74
S04M004,V Suryavanshi,136.57,PBKS,98(48),105.86,136.57,,,0.0,75
S05M029,S Dube,136.52,RR,15(6),16.73,27.03,'3-27',4.87,109.49,76
S04M043,Mohammad Nabi,136.28,LSG,8(3),9.71,14.1,'4-31',5.43,122.18,77
S04M048,Shashank Singh,136.06,PBKS,72(40),74.15,81.74,'2-44',2.45,54.33,78
S03M022,HH Pandya,135.48,MI,2(1),2.0,28.93,'4-41',4.87,106.55,79
S02M016,Tilak Varma,135.46,CSK,93(53),112.07,131.04,'0-2',0.0,4.42,80
S04M013,C Green,135.32,KKR,3(4),2.13,0.39,'5-28',5.52,134.93,81
S05M012,Tarang Gohel,134.28,DC,88(37),109.39,134.28,,,0.0,82
S04M093,Aniket Verma,133.95,RR,110(51),123.62,133.95,,,0.0,83
M005,PD Salt,133.69,RCB,89(49),106.39,133.69,,,0.0,84
S02M031,GJ Maxwell,133.6,RR,87(44),92.98,98.11,'1-45',1.94,35.49,85
S03M016,AK Markram,133.21,SRH,39(24),40.33,42.17,'3-48',4.4,91.04,86
S05M041,Shahbaz Ahmed,133.07,GT,,,0.0,'3-40',6.4,133.07,87
M061,RD Gaikwad,132.86,RCB,106(66),118.27,132.86,,,0.0,88
S04M091,R Shepherd,132.81,GT,9(6),8.78,8.43,'3-26',4.3,124.39,89
S04M060,CH Gayle,132.67,CSK,101(53),116.94,132.67,,,0.0,90
S03M007,SP Narine,132.47,LSG,84(52),90.62,97.25,'1-33',1.66,35.22,91
S04M030,Aniket Verma,132.45,RR,109(57),113.36,132.45,,,0.0,92
S02M004,Ishan Kishan,132.3,KKR,89(51),105.1,132.3,,,0.0,93
S05M010,VR Iyer,132.14,SRH,107(51),115.81,132.14,,,0.0,94
S04M012,AK Markram,131.48,DC,30(19),30.72,31.63,'3-29',4.47,99.85,95
S03M010,SV Samson,131.33,GT,107(59),115.47,131.33,,,0.0,96
S04M078,B Sai Sudharsan,131.08,CSK,101(50),106.87,131.08,,,0.0,97
S04M005,WG Jacks,130.96,LSG,39(24),39.04,39.1,'4-42',4.4,91.86,98
S05M029,WG Jacks,130.39,LSG,59(34),72.37,83.52,'1-12',2.06,46.87,99
S04M015,CH Gayle,130.09,CSK,80(53),100.36,130.09,,,0.0,100
M010,Rashid Khan,129.77,GT,38(20),40.89,45.64,'2-36',4.01,84.13,101
S03M054,Ashutosh Sharma,129.71,RCB,80(39),85.62,114.75,'1-50',1.08,14.96,102
S05M080,Shashank Singh,129.53,PBKS,52(29),59.09,62.67,'2-37',2.81,66.86,103
S04M059,WG Jacks,129.29,LSG,67(41),67.0,76.51,'2-36',2.61,52.77,104
S03M016,Aniket Verma,129.23,RR,93(46),107.33,129.23,,,0.0,105
S02M053,RR Rossouw,129.18,MI,86(50),106.76,129.18,,,0.0,106
S05M038,CH Gayle,129.08,CSK,46(28),49.1,54.98,'2-16',3.11,74.1,107
S04M011,PHKD Mendis,128.9,SRH,19(11),20.57,22.07,'3-22',4.29,106.84,108
M074,Washington Sundar,128.79,PBKS,11(9),11.19,11.4,'5-28',6.0,117.39,109
S02M006,V Kohli,128.71,DC,103(58),112.37,128.71,,,0.0,110
S04M006,MJ Owen,128.67,DC,63(35),71.1,78.94,'2-44',2.4,49.72,111
S02M048,Fazalhaq Farooqi,128.42,CSK,,,0.0,'5-23',5.62,128.42,112
S03M017,TA Boult,127.86,MI,,,0.0,'4-15',5.32,127.86,113
M043,MA Starc,127.72,KKR,32(13),42.55,56.28,'3-28',3.58,71.43,114
S03M057,PD Salt,127.43,RCB,93(49),105.73,127.43,,,0.0,115
S04M075,JP Inglis,127.32,GT,94(51),100.21,127.32,,,0.0,116
S02M040,F du Plessis,127.23,CSK,107(66),113.1,127.23,,,0.0,117
S05M058,Abhishek Sharma,127.01,MI,87(39),105.54,127.01,,,0.0,118
S03M032,AR Patel,126.84,CSK,41(30),41.43,42.04,'2-41',3.8,84.8,119
S04M066,Karan Lal,126.74,RR,,,0.0,'5-26',5.78,126.74,120
M007,AR Patel,126.55,CSK,38(20),40.03,59.42,'2-23',3.23,67.13,121
M018,GJ Maxwell,125.93,RR,60(41),63.58,70.77,'2-31',2.52,55.16,122
S04M005,Aniket Verma,125.83,RR,96(51),110.86,125.83,,,0.0,123
M049,Abhishek Sharma,125.66,MI,108(64),110.4,125.66,,,0.0,124
S05M030,Naman Dhir,125.54,GT,92(39),104.39,125.54,,,0.0,125
S05M072,Shubman Gill,125.47,LSG,103(49),107.51,125.47,,,0.0,126
S04M046,WG Jacks,125.47,LSG,99(48),121.25,130.19,'0-61',0.0,-4.73,127
S05M048,HJ Manenti,125.08,PBKS,2(2),0.57,-0.89,'4-27',5.43,125.97,128
S05M015,YBK Jaiswal,124.47,RR,96(42),110.01,124.47,,,0.0,129
S04M002,S Lamichhane,124.09,DC,,,0.0,'3-22',5.18,124.09,130
S03M069,NT Ellis,124.07,LSG,,,0.0,'5-47',5.62,124.07,131
S02M047,Abhishek Sharma,124.01,MI,52(29),62.69,65.43,'2-39',2.77,58.58,132
S04M058,RD Gaikwad,123.94,GT,106(53),109.82,123.94,,,0.0,133
M048,GJ Maxwell,123.79,RR,34(23),35.63,37.93,'3-51',4.04,85.86,134
S05M054,KL Rahul,123.67,SRH,114(63),117.87,123.67,,,0.0,135
M024,Shubman Gill,123.59,LSG,102(57),120.71,123.59,,,0.0,136
M021,TM Head,123.3,CSK,98(66),108.21,123.3,,,0.0,137
M040,GJ Maxwell,122.99,RR,90(55),104.75,124.83,'0-25',0.0,-1.84,138
S02M074,S Dube,122.86,RR,84(45),86.38,92.99,'1-26',1.39,29.87,139
S04M023,JP Inglis,122.84,GT,100(54),105.38,122.84,,,0.0,140
S03M031,V Suryavanshi,122.83,PBKS,86(57),108.61,122.83,,,0.0,141
S02M050,AM Rahane,122.68,KKR,102(67),109.17,122.68,,,0.0,142
M052,MA Starc,122.5,KKR,,,0.0,'5-33',5.79,122.5,143
S02M024,SS Iyer,122.49,LSG,95(55),99.76,122.49,,,0.0,144
S02M071,AD Russell,122.47,DC,43(26),48.2,57.33,'2-34',2.91,65.14,145
S04M070,JC Buttler,121.74,LSG,92(59),104.22,121.74,,,0.0,146
S05M049,GD Phillips,121.57,GT,22(7),26.09,40.09,'2-16',3.24,81.48,147
S03M043,Akash Vasisht,121.56,MI,,,0.0,'3-15',4.41,121.56,148
S05M081,JC Archer,121.25,LSG,,,0.0,'4-24',5.16,121.25,149
M059,Abhishek Sharma,121.21,MI,59(45),62.18,63.5,'3-25',2.8,57.71,150
S05M033,Shubman Gill,121.19,LSG,94(47),104.05,121.19,,,0.0,151
S05M038,PD Salt,121.19,RCB,82(41),101.55,121.19,,,0.0,152
S04M037,M Pathirana,121.11,RCB,,,0.0,'5-23',5.16,121.11,153
S04M081,CH Gayle,120.99,CSK,56(40),62.83,70.8,'2-21',2.07,50.18,154
S04M055,JC Archer,120.97,LSG,,,0.0,'4-33',5.01,120.97,155
S05M028,AK Markram,120.94,DC,29(12),35.52,41.84,'4-37',3.68,79.09,156
S03M052,V Suryavanshi,120.61,PBKS,79(43),98.85,120.61,,,0.0,157
S04M041,RG Sharma,120.52,KKR,70(35),93.41,120.52,,,0.0,158
S05M051,FH Allen,120.51,PBKS,75(47),97.82,120.51,,,0.0,159
S03M025,SP Narine,120.39,LSG,21(14),21.24,23.46,'3-26',4.45,96.93,160
S05M070,DR Sams,119.87,GT,15(13),15.82,16.45,'2-14',4.21,103.42,161
S04M013,MA Starc,119.84,KKR,,,0.0,'3-25',5.43,119.84,162
S03M006,LS Livingstone,119.8,SRH,41(34),41.84,43.08,'2-30',3.38,76.72,163
S03M059,Rashid Khan,119.77,GT,,,0.0,'4-47',5.41,119.77,164
S04M065,Tilak Varma,119.59,CSK,94(52),99.25,119.59,,,0.0,165
S03M064,B Kumar,119.54,KKR,,,0.0,'4-29',5.44,119.54,166
S03M030,WG Jacks,119.46,LSG,6(3),5.99,5.7,'3-55',5.23,113.75,167
M025,SA Yadav,119.43,DC,97(56),107.38,119.43,,,0.0,168
S02M044,JJ Bumrah,118.96,MI,,,0.0,'3-29',5.72,118.96,169
S03M041,AJ Tye,118.95,DC,,,0.0,'4-32',5.15,118.95,170
S03M031,Priyansh Arya,118.75,SRH,79(45),93.35,118.75,,,0.0,171
S04M051,N Sindhu,118.75,DC,81(39),102.4,118.75,,,0.0,172
S04M048,Naman Dhir,118.71,GT,92(50),95.61,118.71,,,0.0,173
S04M092,GJ Maxwell,118.53,RR,106(54),110.87,119.58,'0-29',0.0,-1.05,174
S04M069,Tarang Gohel,118.44,DC,107(53),109.53,118.44,,,0.0,175
S02M046,J Fraser-McGurk,118.22,RCB,90(45),104.0,118.22,,,0.0,176
S04M007,Sameer Rizvi,118.06,LSG,67(28),87.76,118.06,,,0.0,177
M043,B Kumar,117.81,KKR,12(10),10.83,9.32,'5-34',5.17,108.49,178
M014,JC Buttler,117.48,KKR,100(51),106.0,117.48,,,0.0,179
M036,KL Rahul,117.41,SRH,111(67),113.98,117.41,,,0.0,180
S04M016,SS Iyer,117.26,LSG,82(52),98.61,117.26,,,0.0,181
S05M002,JJ Bumrah,117.22,DC,,,0.0,'4-11',4.8,117.22,182
S03M002,JJ Bumrah,117.17,MI,,,0.0,'3-19',4.14,117.17,183
M009,RD Gaikwad,117.0,RCB,96(55),106.88,117.0,,,0.0,184
M011,GJ Maxwell,116.85,RR,25(13),28.79,34.75,'1-4',2.69,82.11,185
S04M044,RD Gaikwad,116.77,GT,97(55),108.94,116.77,,,0.0,186
S02M052,RD Gaikwad,116.74,RCB,94(55),100.29,116.74,,,0.0,187
S05M070,PD Salt,116.54,RCB,66(39),83.32,116.54,,,0.0,188
S04M004,RM Patidar,116.35,KKR,90(53),99.65,116.35,,,0.0,189
S05M024,Priyansh Arya,116.18,SRH,83(37),94.02,116.18,,,0.0,190
S04M049,TM Head,116.01,MI,92(48),99.06,116.01,,,0.0,191
S05M015,S Dube,115.92,RR,30(16),29.82,29.63,'3-42',3.93,86.29,192
S04M019,C Green,115.61,KKR,49(23),60.44,73.43,'2-30',1.9,42.18,193
S04M046,Fazalhaq Farooqi,115.45,CSK,,,0.0,'5-27',5.17,115.45,194
S04M042,V Kohli,115.27,DC,94(55),99.89,115.27,,,0.0,195
S02M029,JC Archer,115.17,LSG,,,0.0,'3-35',5.37,115.17,196
S04M063,Sameer Rizvi,115.17,LSG,77(39),91.81,115.17,,,0.0,197
S02M056,R Parag,115.04,GT,4(1),7.22,115.04,,,0.0,198
S05M052,SA Yadav,114.94,DC,114(60),114.51,114.94,,,0.0,199
S03M035,M Pathirana,114.83,RCB,,,0.0,'4-47',5.41,114.83,200
S02M064,M Prasidh Krishna,114.83,DC,,,0.0,'4-37',5.42,114.83,201
S04M072,P Simran Singh,114.78,SRH,86(52),96.0,114.78,,,0.0,202
M027,Washington Sundar,114.72,PBKS,,,0.0,'5-52',5.61,114.72,203
M049,Shubman Gill,114.68,LSG,98(55),103.57,114.68,,,0.0,204
M044,YBK Jaiswal,114.62,RR,79(51),93.0,114.62,,,0.0,205
S05M006,Urvil Patel,114.38,MI,105(63),109.3,114.38,,,0.0,206
S04M094,Arshad Khan,114.37,RR,27(12),31.01,36.72,'2-51',3.96,77.64,207
S04M006,Naveen-ul-Haq,114.36,SRH,,,0.0,'4-28',5.1,114.36,208
S04M079,JJ Bumrah,114.31,MI,,,0.0,'4-35',4.99,114.31,209
S04M031,AK Markram,114.16,DC,27(14),28.55,32.04,'3-26',3.37,82.12,210
S05M073,LI Meriwala,113.89,DC,,,0.0,'4-40',5.35,113.89,211
S05M026,MP Stoinis,113.77,KKR,73(41),87.19,108.86,'0-14',0.0,4.92,212
S03M006,HH Pandya,113.77,MI,40(22),52.74,58.52,'2-31',2.62,55.24,213
S03M066,Ravi Bishnoi,113.76,PBKS,6(3),6.16,6.25,'3-29',4.68,107.51,214
S02M015,Mayank Dagar,113.75,RR,,,0.0,'4-27',5.73,113.75,215
S05M016,Arshdeep Singh,113.64,LSG,,,0.0,'5-26',5.04,113.64,216
S03M040,PD Salt,113.56,RCB,69(33),82.09,113.56,,,0.0,217
S05M011,RD Gaikwad,113.56,GT,83(40),94.6,113.56,,,0.0,218
S03M024,Mohammad Nabi,113.47,GT,5(4),5.13,6.78,'3-24',5.21,106.69,219
S05M021,Hassan Nawaz,113.38,RCB,79(49),90.22,113.38,,,0.0,220
S05M033,Abdul Samad,113.33,LSG,45(22),50.33,59.41,'1-18',2.57,53.92,221
S02M014,SM Curran,113.04,KKR,3(4),2.23,0.64,'4-33',5.42,112.4,222
S04M086,MR Marsh,112.8,SRH,75(48),67.3,62.05,'1-39',2.58,50.75,223
S03M038,Abhishek Sharma,112.59,MI,102(56),108.71,117.41,'0-31',0.0,-4.83,224
M011,Abhishek Sharma,112.58,MI,92(54),101.64,112.58,,,0.0,225
M010,Ishan Kishan,112.49,KKR,83(41),90.26,112.49,,,0.0,226
S05M067,P Simran Singh,112.48,SRH,75(40),82.98,112.48,,,0.0,227
S05M050,Tarang Gohel,112.48,DC,93(53),99.72,112.48,,,0.0,228
M063,H Klaasen,112.46,PBKS,97(68),101.76,112.46,,,0.0,229
S03M056,PHKD Mendis,112.4,KKR,29(21),30.83,33.98,'3-15',3.29,78.42,230
M051,KL Rahul,112.38,SRH,91(56),97.18,112.38,,,0.0,231
S03M041,LS Livingstone,112.28,SRH,90(57),93.06,112.28,,,0.0,232
S03M009,Ashutosh Sharma,112.27,RCB,64(27),75.04,96.28,'1-13',0.79,15.99,233
M053,CV Varun,112.2,PBKS,1(2),-0.24,-1.37,'3-35',5.35,113.57,234
S03M027,SV Samson,112.04,GT,97(60),99.27,112.04,,,0.0,235
S05M042,SP Narine,112.03,KKR,47(33),54.66,62.43,'2-16',2.3,49.6,236
S05M021,PWH de Silva,111.98,RCB,11(4),14.56,21.92,'4-23',4.23,90.06,237
S03M034,N Sindhu,111.95,DC,97(47),102.63,111.95,,,0.0,238
S04M049,M Pathirana,111.92,RCB,,,0.0,'3-34',4.9,111.92,239
S05M004,KA Maharaj,111.91,SRH,4(1),5.99,9.76,'3-20',4.35,102.16,240
S04M036,Naveen-ul-Haq,111.83,SRH,,,0.0,'3-37',5.25,111.83,241
S03M063,SA Yadav,111.8,DC,69(32),88.95,111.8,,,0.0,242
S04M066,GJ Maxwell,111.76,RR,66(38),72.36,83.23,'1-37',1.74,28.53,243
S03M056,DS Rathi,111.69,KKR,8(3),10.76,15.51,'3-26',4.56,96.18,244
S04M053,SP Narine,111.51,KKR,77(56),84.64,93.84,'1-21',0.85,17.67,245
M015,F du Plessis,111.48,CSK,84(62),93.24,111.48,,,0.0,246
S02M008,MP Stoinis,111.42,PBKS,48(33),52.37,55.54,'1-23',1.7,55.88,247
S05M012,JR Hazlewood,111.3,RR,0(1),-0.33,-1.87,'4-40',5.43,113.17,248
S03M003,A Nortje,111.27,RCB,,,0.0,'4-36',4.93,111.27,249
S04M028,Sameer Rizvi,111.22,LSG,64(38),82.07,111.22,,,0.0,250
M071,Yash Thakur,111.22,PBKS,3(6),1.79,-0.16,'3-21',5.44,111.39,251
M012,KH Pandya,111.1,SRH,,,0.0,'4-30',5.0,111.1,252
S04M021,Sikandar Raza,110.98,MI,,,0.0,'4-51',5.09,110.98,253
S03M007,GJ Maxwell,110.94,RR,7(5),6.99,6.97,'3-37',4.45,103.97,254
S03M028,DAJ Bracewell,110.93,MI,46(22),53.5,69.02,'2-30',1.93,41.91,255
S02M054,Abishek Porel,110.63,DC,78(30),86.44,110.63,,,0.0,256
S05M078,S Dube,110.59,RR,40(29),38.06,36.06,'3-22',3.38,74.54,257
M025,Sikandar Raza,110.37,DC,53(38),50.08,46.7,'2-31',3.13,63.67,258
S04M089,KC Cariappa,110.32,MI,,,0.0,'3-30',5.16,110.32,259
M028,GJ Maxwell,110.15,RR,84(55),87.94,111.54,'0-30',0.0,-1.39,260
S03M050,R Shepherd,110.08,GT,20(9),22.9,28.96,'3-36',3.69,81.11,261
S04M010,AB de Villiers,109.94,RR,107(61),107.43,109.94,,,0.0,262
M012,Kuldeep Yadav,109.88,SRH,,,0.0,'4-20',4.7,109.88,263
S03M010,R Shepherd,109.83,GT,1(1),0.18,-1.37,'2-28',4.55,111.19,264
M065,JR Hazlewood,109.73,RR,29(21),28.29,27.41,'3-28',3.57,82.32,265
S04M093,Avesh Khan,109.7,GT,,,0.0,'3-41',4.98,109.7,266
S03M024,CV Varun,109.56,PBKS,13(8),15.45,19.99,'3-24',4.25,89.57,267
S04M090,YBK Jaiswal,109.4,RR,68(25),80.73,109.4,,,0.0,268
M066,H Klaasen,109.38,PBKS,100(62),101.91,109.38,,,0.0,269
S03M058,Tilak Varma,109.36,CSK,73(43),89.64,109.36,,,0.0,270
S04M056,Mohammad Ghazanfar,109.33,SRH,,,0.0,'4-29',4.87,109.33,271
S05M052,WG Jacks,109.17,LSG,78(50),78.05,78.14,'1-30',1.46,31.02,272
S03M066,GJ Maxwell,109.11,RR,85(44),95.51,110.48,'0-38',0.0,-1.37,273
S02M042,SP Narine,109.11,LSG,66(48),66.08,66.3,'1-41',2.36,42.81,274
S05M053,C Green,109.1,KKR,34(20),34.02,34.03,'2-34',3.36,75.07,275
S03M041,V Kohli,109.03,DC,94(64),97.7,109.03,,,0.0,276
S04M090,S Dube,108.81,RR,62(37),63.84,67.99,'1-25',2.03,40.82,277
S05M014,CV Varun,108.7,PBKS,,,0.0,'4-7',4.43,108.7,278
S02M004,SP Narine,108.68,LSG,4(1),6.99,11.04,'3-28',4.4,97.64,279
S05M057,AR Ramjani,108.65,PBKS,10(14),9.02,8.6,'2-21',3.87,100.05,280
S04M033,JP Inglis,108.63,GT,93(53),97.9,108.63,,,0.0,281
S03M012,GJ Maxwell,108.53,RR,19(13),19.18,19.27,'3-29',4.02,89.26,282
S04M037,SV Samson,108.43,GT,69(40),86.28,108.43,,,0.0,283
S05M084,PWH de Silva,108.38,RCB,86(48),93.16,97.77,'1-49',0.84,10.61,284
S03M045,T Natarajan,108.31,CSK,0(1),-1.59,-1.69,'4-35',5.1,110.0,285
S03M037,Aniket Verma,108.27,RR,90(44),95.18,108.27,,,0.0,286
S05M028,Tilak Varma,108.27,CSK,72(40),85.01,108.27,,,0.0,287
S03M036,Mohammad Ghazanfar,108.26,CSK,,,0.0,'5-29',4.75,108.26,288
S02M006,MP Yadav,108.08,CSK,,,0.0,'4-29',4.54,108.08,289
S04M027,V Kohli,108.08,DC,75(45),83.41,108.08,,,0.0,290
S02M011,V Kohli,107.92,DC,81(44),90.93,107.92,,,0.0,291
M039,SV Samson,107.68,GT,64(44),79.46,107.68,,,0.0,292
M006,V Kohli,107.58,DC,80(54),90.63,107.58,,,0.0,293
S03M058,AR Patel,107.48,CSK,38(18),43.61,50.25,'2-28',2.42,57.22,294
S05M075,P Simran Singh,107.36,SRH,80(43),99.53,107.36,,,0.0,295
S02M065,BM Duckett,107.3,SRH,90(52),94.72,107.3,,,0.0,296
S05M042,CV Varun,107.25,PBKS,0(8),-0.56,-1.72,'3-26',4.38,108.97,297
S05M079,Fazalhaq Farooqi,107.17,CSK,,,0.0,'4-29',4.82,107.17,298
S05M078,BJ McMullen,107.07,RR,96(53),102.92,110.1,'0-13',0.0,-3.04,299
S02M058,SA Yadav,107.06,DC,92(49),100.72,107.06,,,0.0,300
S03M060,Arshad Khan,107.02,KKR,28(8),43.55,58.74,'2-39',2.36,48.28,301
S04M078,Mohammad Nabi,106.87,LSG,3(6),1.37,-0.71,'2-35',4.49,107.58,302
S05M030,NT Ellis,106.76,SRH,,,0.0,'3-40',5.02,106.76,303
S05M003,CH Gayle,106.75,CSK,51(27),58.28,74.44,'1-1',1.02,32.31,304
M014,AM Rahane,106.75,KKR,95(56),99.03,106.75,,,0.0,305
M074,M Siddharth,106.62,CSK,1(3),-0.02,-1.27,'4-23',5.04,107.88,306
S05M022,Aniket Verma,106.48,RR,85(40),92.09,106.48,,,0.0,307
S05M047,JJ Bumrah,106.47,DC,,,0.0,'5-33',4.72,106.47,308
S05M065,RG Sharma,106.41,KKR,78(40),90.32,106.41,,,0.0,309
S05M018,HJ Manenti,106.39,PBKS,,,0.0,'5-41',4.94,106.39,310
S05M022,Karan Lal,106.39,RR,,,0.0,'3-36',4.84,106.39,311
S05M068,Shadab Khan,106.38,SRH,49(25),55.37,66.67,'1-21',1.26,39.71,312
S04M082,S Dube,106.35,RR,49(39),47.86,44.19,'1-22',2.91,62.16,313
S02M069,SS Iyer,106.26,LSG,83(42),87.29,106.26,,,0.0,314
M027,Q de Kock,106.2,PBKS,70(30),91.17,106.2,,,0.0,315
S02M007,RD Gaikwad,106.04,RCB,78(40),90.62,106.04,,,0.0,316
S02M028,SV Samson,106.01,GT,94(50),97.67,106.01,,,0.0,317
S04M020,PHKD Mendis,105.9,SRH,81(43),93.23,112.48,'0-19',0.0,-6.58,318
