bowler,venue,runs_conceded,wkts,dots,Eco,SR,overs,Curr_Tm
Ashutosh Sharma,SRH,86,1,4,10.75,48.0,8.0,RCB
Prashant Veer,SRH,26,1,3,13.0,12.0,2.0,DC
Tanush Kotian,KKR,106,1,12,9.64,66.0,11.0,CSK
PHKD Mendis,PBKS,16,1,7,5.33,18.0,3.0,DC
PHKD Mendis,RCB,53,1,12,7.57,42.0,7.0,DC
Abid Mushtaq,DC,156,1,36,9.75,96.0,16.0,
TU Deshpande,LSG,35,1,10,8.75,24.0,4.0,MI
PWH de Silva,SRH,188,1,16,11.06,102.0,17.0,RCB
Arshad Khan,MI,124,1,15,12.4,60.0,10.0,DC
R Tewatia,DC,11,1,4,5.5,12.0,2.0,
Yash Thakur,PBKS,20,1,4,10.0,12.0,2.0,MI
GD Phillips,RCB,7,1,2,7.0,6.0,1.0,GT
KH Pandya,DC,67,1,13,9.57,42.0,7.0,RR
Abdul Samad,PBKS,7,1,8,3.5,12.0,2.0,LSG
Abdul Samad,RCB,19,1,6,9.5,12.0,2.0,LSG
Abdul Samad,RR,39,1,5,9.75,24.0,4.0,LSG
Akshay Karnewar,PBKS,10,1,6,5.0,12.0,2.0,PBKS
RA Bawa,MI,23,1,3,11.5,12.0,2.0,SRH
Akash Vasisht,RCB,68,1,15,7.56,54.0,9.0,SRH
R Tewatia,GT,59,1,5,11.8,30.0,5.0,
RA Bawa,KKR,26,1,13,5.2,30.0,5.0,SRH
Shahbaz Ahmed,MI,39,1,2,9.75,24.0,4.0,LSG
Shahbaz Ahmed,PBKS,49,1,12,9.8,30.0,5.0,LSG
Yash Thakur,MI,86,1,20,7.82,66.0,11.0,MI
Ashwani Kumar,GT,65,1,2,16.25,24.0,4.0,RR
Abhishek Sharma,GT,81,1,8,11.57,42.0,7.0,MI
KC Cariappa,GT,26,1,10,6.5,24.0,4.0,
Jagjit Singh,DC,75,1,10,10.71,42.0,7.0,SRH
PHKD Mendis,RR,46,1,5,9.2,30.0,5.0,DC
Abid Mushtaq,SRH,47,1,7,11.75,24.0,4.0,
K Kartikeya,PBKS,16,1,7,5.33,18.0,3.0,LSG
GF Linde,RCB,44,1,5,11.0,24.0,4.0,GT
R Parag,LSG,32,1,7,8.0,24.0,4.0,GT
Shaheen Shah Afridi,RR,43,1,7,10.75,24.0,4.0,MI
Akash Vasisht,CSK,39,1,5,9.75,24.0,4.0,SRH
Shaheen Shah Afridi,SRH,50,1,7,12.5,24.0,4.0,MI
Arshad Khan,SRH,23,1,15,5.75,24.0,4.0,DC
Pulkit Narang,RCB,36,1,3,12.0,18.0,3.0,RR
PP Chawla,SRH,34,1,7,8.5,24.0,4.0,
Yash Dayal,KKR,36,1,10,9.39,23.0,3.5,
Abdul Samad,CSK,23,1,7,7.67,18.0,3.0,LSG
Shakib Al Hasan,GT,20,1,9,5.0,24.0,4.0,
KA Maharaj,LSG,8,1,11,2.67,18.0,3.0,SRH
K Gowtham,DC,65,1,7,9.29,42.0,7.0,
K Gowtham,KKR,34,1,11,8.5,24.0,4.0,
R Ashwin,LSG,57,1,13,8.14,42.0,7.0,KKR
Tanay Thyagarajan,DC,32,1,11,8.0,24.0,4.0,RCB
R Parag,PBKS,51,1,8,8.5,36.0,6.0,GT
Arshdeep Singh,RCB,98,1,22,8.91,66.0,11.0,LSG
GJ Maxwell,MI,78,1,13,9.75,48.0,8.0,DC
GD Phillips,PBKS,90,1,4,12.86,42.0,7.0,GT
R Sai Kishore,RCB,96,1,11,9.93,58.0,9.4,MI
Ashutosh Sharma,RR,101,1,7,11.22,54.0,9.0,RCB
Pulkit Narang,MI,21,1,8,7.0,18.0,3.0,RR
Ashutosh Sharma,GT,28,1,2,14.0,12.0,2.0,RCB
Abrar Ahmed,DC,43,1,4,10.75,24.0,4.0,
Jagjit Singh,LSG,43,1,4,14.33,18.0,3.0,SRH
GJ Maxwell,LSG,53,1,5,10.6,30.0,5.0,DC
Akash Deep,CSK,77,1,12,9.83,47.0,7.5,
R Parag,RR,55,1,5,11.0,30.0,5.0,GT
Akash Deep,GT,26,1,9,6.5,24.0,4.0,
Jagjit Singh,PBKS,54,1,3,13.5,24.0,4.0,SRH
Akash Deep,RCB,29,1,7,7.25,24.0,4.0,
G Coetzee,RR,13,1,6,6.5,12.0,2.0,
Ashutosh Sharma,DC,46,1,11,7.67,36.0,6.0,RCB
Akash Madhwal,CSK,34,1,11,8.5,24.0,4.0,
Ashutosh Aman,RCB,121,1,25,10.08,72.0,12.0,
K Rabada,RCB,44,1,6,11.0,24.0,4.0,
M Pathirana,LSG,163,1,16,10.29,95.0,15.5,RCB
Yash Thakur,SRH,17,1,11,5.67,18.0,3.0,MI
SL Malinga,DC,77,1,9,12.49,37.0,6.1,PBKS
SH Johnson,SRH,35,1,7,8.75,24.0,4.0,GT
J Anderson,RR,59,1,3,14.75,24.0,4.0,
A Nortje,SRH,30,1,7,7.5,24.0,4.0,
J Overton,DC,45,1,2,11.25,24.0,4.0,
SH Johnson,MI,37,1,9,9.25,24.0,4.0,GT
SH Johnson,LSG,40,1,8,10.0,24.0,4.0,GT
SH Johnson,DC,60,1,11,8.57,42.0,7.0,GT
J Suchith,LSG,34,1,9,8.5,24.0,4.0,
J Suchith,RCB,34,1,3,11.33,18.0,3.0,
A Sheth,RCB,38,1,5,9.5,24.0,4.0,DC
Sami Sohail,KKR,31,1,7,7.75,24.0,4.0,
A Sheth,RR,36,1,9,9.0,24.0,4.0,DC
A Zampa,DC,48,1,10,8.0,36.0,6.0,SRH
S Lamichhane,MI,85,1,9,10.2,50.0,8.2,DC
Harshit Rana,RCB,74,1,18,9.25,48.0,8.0,KKR
Harshit Rana,PBKS,43,1,6,10.75,24.0,4.0,KKR
JA Duffy,LSG,36,1,7,9.0,24.0,4.0,GT
Harshit Rana,MI,62,1,18,7.75,48.0,8.0,KKR
V Kaverappa,CSK,41,1,7,10.25,24.0,4.0,PBKS
S Gopal,GT,35,1,11,8.75,24.0,4.0,GT
S Gopal,DC,137,1,31,9.79,84.0,14.0,GT
JC Archer,DC,144,1,15,12.0,72.0,12.0,LSG
Harsh Dubey,PBKS,50,1,4,12.5,24.0,4.0,RCB
A Nortje,MI,86,1,15,10.75,48.0,8.0,
Harshit Rana,RR,34,1,9,8.5,24.0,4.0,KKR
V Kaverappa,DC,31,1,8,10.33,18.0,3.0,PBKS
A Nagwaswalla,RCB,47,1,8,11.75,24.0,4.0,RR
A Badoni,SRH,35,1,2,8.75,24.0,4.0,
SZ Mulani,DC,59,1,17,7.38,48.0,8.0,LSG
SS Ghosh,LSG,45,1,8,11.25,24.0,4.0,MI
A Kamboj,DC,48,1,4,12.0,24.0,4.0,GT
SS Ghosh,DC,57,1,6,14.25,24.0,4.0,MI
Sakibul Gani,LSG,51,1,5,12.75,24.0,4.0,RCB
A Kamboj,MI,46,1,6,15.33,18.0,3.0,GT
Usman Khan (2),RR,36,1,6,12.0,18.0,3.0,
I Sharma,LSG,54,1,7,13.5,24.0,4.0,
SP Narine,MI,194,1,42,8.08,144.0,24.0,KKR
Yuvraj Singh,RCB,203,1,29,11.28,108.0,18.0,CSK
A Mishra,SRH,45,1,5,11.25,24.0,4.0,
SN Thakur,RCB,45,1,7,11.25,24.0,4.0,
Hemang Patel,PBKS,6,1,3,6.0,6.0,1.0,
Imran Tahir,MI,32,1,9,8.0,24.0,4.0,CSK
SN Netravalkar,CSK,47,1,6,11.75,24.0,4.0,
Hemang Patel,MI,12,1,1,12.0,6.0,1.0,
SM Curran,RCB,49,1,5,12.25,24.0,4.0,
Hemang Patel,GT,67,1,11,9.57,42.0,7.0,
A Nagwaswalla,CSK,89,1,15,11.36,47.0,7.5,RR
SM Curran,GT,8,1,2,8.0,6.0,1.0,
Umran Malik,KKR,42,1,6,10.5,24.0,4.0,
A Nagwaswalla,GT,46,1,6,11.5,24.0,4.0,RR
Harsh Dubey,MI,59,1,8,14.75,24.0,4.0,RCB
Sami Sohail,MI,122,1,16,10.61,69.0,11.3,
AS Roy,SRH,112,1,13,11.2,60.0,10.0,GT
Rashid Khan,KKR,18,1,10,4.5,24.0,4.0,MI
Sandeep Sharma,KKR,88,1,12,11.0,48.0,8.0,
Ramandeep Singh,RR,23,1,1,11.5,12.0,2.0,LSG
HR Shokeen,MI,27,1,2,9.0,18.0,3.0,RR
JJ Smit,GT,99,1,10,12.38,48.0,8.0,PBKS
JJ Smit,LSG,46,1,3,11.5,24.0,4.0,PBKS
HJ Manenti,PBKS,37,1,8,9.25,24.0,4.0,CSK
AR Ramjani,GT,39,1,7,9.75,24.0,4.0,PBKS
RS Hangargekar,RR,27,1,10,6.75,24.0,4.0,
RS Hangargekar,LSG,39,1,8,9.75,24.0,4.0,
Ashwin Das,CSK,39,1,7,9.75,24.0,4.0,LSG
H Ssenyondo,SRH,25,1,9,6.25,24.0,4.0,LSG
JN Loftie-Eaton,SRH,15,1,5,6.92,13.0,2.1,RR
Sanvir Singh,MI,27,1,2,13.5,12.0,2.0,GT
Tanush Kotian,LSG,28,1,9,7.0,24.0,4.0,CSK
JO Holder,DC,50,1,1,12.5,24.0,4.0,
JO Holder,LSG,42,1,6,10.5,24.0,4.0,
Shadab Khan,PBKS,33,1,10,8.25,24.0,4.0,SRH
RD Chahar,RCB,196,1,29,10.89,108.0,18.0,CSK
JO Holder,RR,19,1,3,9.5,12.0,2.0,
RD Chahar,CSK,43,1,10,8.6,30.0,5.0,CSK
H Ssenyondo,KKR,40,1,4,10.0,24.0,4.0,LSG
Yudhvir Singh,CSK,27,1,12,6.75,24.0,4.0,RCB
AS Roy,RR,49,1,13,7.0,42.0,7.0,GT
AM Hardie,SRH,53,1,3,13.25,24.0,4.0,CSK
HR Shokeen,SRH,29,1,10,7.25,24.0,4.0,RR
Sami Sohail,RCB,58,1,3,14.5,24.0,4.0,
Rashid Khan,MI,77,1,13,9.62,48.0,8.0,MI
JC Archer,RCB,62,1,14,7.75,48.0,8.0,LSG
Yuvraj Chaudhary,SRH,20,1,3,10.0,12.0,2.0,
JC Archer,SRH,139,1,9,12.64,66.0,11.0,LSG
Ravi Teja,SRH,37,1,2,9.25,24.0,4.0,RCB
JD Unadkat,DC,60,1,4,15.0,24.0,4.0,
AD Russell,SRH,67,1,6,9.8,41.0,6.5,DC
JD Unadkat,LSG,46,1,2,11.5,24.0,4.0,
Ravi Teja,GT,52,1,11,8.43,37.0,6.1,RCB
AJ Hosein,PBKS,21,1,14,5.25,24.0,4.0,
Ravi Bishnoi,SRH,142,1,27,9.47,90.0,15.0,GT
Yudhvir Singh,SRH,25,1,6,8.33,18.0,3.0,RCB
JD Unadkat,RR,126,1,11,10.5,72.0,12.0,
Yudhvir Singh,RR,65,1,16,9.29,42.0,7.0,RCB
JDS Neesham,LSG,40,1,7,10.0,24.0,4.0,
AJ Turner,SRH,31,1,6,7.75,24.0,4.0,
JDS Neesham,RCB,41,1,8,10.25,24.0,4.0,
AJ Tye,CSK,54,1,6,13.5,24.0,4.0,
JDS Neesham,RR,46,1,6,11.5,24.0,4.0,
JG Bethell,KKR,78,1,12,11.14,42.0,7.0,RR
AK Markram,MI,124,1,11,11.27,66.0,11.0,DC
V Nigam,CSK,32,1,7,8.0,24.0,4.0,GT
HV Patel,SRH,16,1,7,5.33,18.0,3.0,GT
HV Patel,DC,138,1,18,11.5,72.0,12.0,GT
Noor Ahmad,KKR,57,1,17,7.12,48.0,8.0,MI
G Coetzee,KKR,115,1,24,9.58,72.0,12.0,
Ashwin Das,MI,31,1,8,7.75,24.0,4.0,LSG
Suryansh Shedge,LSG,89,1,5,12.71,42.0,7.0,CSK
MP Stoinis,RCB,74,1,6,12.33,36.0,6.0,KKR
MP Stoinis,PBKS,130,1,13,10.83,72.0,12.0,KKR
MP Stoinis,MI,33,1,7,6.6,30.0,5.0,KKR
Sumit Kumar,DC,61,1,4,15.25,24.0,4.0,
MP Stoinis,KKR,237,1,35,10.77,132.0,22.0,KKR
MP Stoinis,CSK,128,1,11,11.46,67.0,11.1,KKR
MM Sharma,RCB,60,1,5,15.0,24.0,4.0,
DJ Hooda,LSG,11,1,2,11.0,6.0,1.0,
MM Sharma,DC,70,1,7,11.67,36.0,6.0,
V Suryavanshi,PBKS,20,1,4,10.0,12.0,2.0,PBKS
CH Morris,RR,24,1,3,8.0,18.0,3.0,
MM Ali,PBKS,26,1,7,6.5,24.0,4.0,
CH Morris,GT,41,1,6,10.25,24.0,4.0,
MM Ali,LSG,36,1,8,9.0,24.0,4.0,
Washington Sundar,KKR,40,1,5,8.0,30.0,5.0,PBKS
Suryansh Shedge,MI,62,1,11,10.33,36.0,6.0,CSK
MM Ali,CSK,29,1,5,7.25,24.0,4.0,
CJ Jordan,KKR,19,1,5,6.33,18.0,3.0,
MJ Santner,RCB,48,1,5,12.0,24.0,4.0,KKR
MJ Santner,PBKS,45,1,5,11.25,24.0,4.0,KKR
MJ Santner,LSG,26,1,11,6.5,24.0,4.0,KKR
CJ Jordan,MI,31,1,8,7.75,24.0,4.0,
MJ Santner,GT,28,1,8,9.33,18.0,3.0,KKR
Suyash Sharma,DC,82,1,13,10.25,48.0,8.0,KKR
MP Stoinis,RR,25,1,5,12.5,12.0,2.0,KKR
CH Morris,DC,324,1,31,12.0,162.0,27.0,
CJ Jordan,SRH,34,1,5,8.5,24.0,4.0,
Kuldeep Yadav,KKR,46,1,8,9.2,30.0,5.0,SRH
Khushdil Shah,CSK,40,1,7,10.0,24.0,4.0,DC
Khushdil Shah,DC,39,1,8,9.75,24.0,4.0,DC
Khushdil Shah,GT,26,1,5,8.67,18.0,3.0,DC
DR Sams,DC,41,1,6,10.25,24.0,4.0,
I Sharma,RCB,24,1,11,6.0,24.0,4.0,
Khushdil Shah,PBKS,47,1,6,11.75,24.0,4.0,DC
Mohammad Ghazanfar,CSK,26,1,2,8.67,18.0,3.0,SRH
Khushdil Shah,SRH,30,1,8,7.5,24.0,4.0,DC
C Sakariya,MI,61,1,11,7.62,48.0,8.0,SRH
DL Chahar,SRH,68,1,1,17.0,24.0,4.0,
Kuldeep Yadav,DC,41,1,6,10.25,24.0,4.0,SRH
KH Pandya,LSG,44,1,8,11.0,24.0,4.0,RR
T Natarajan,LSG,79,1,11,9.88,48.0,8.0,CSK
Kuldeep Yadav,RCB,32,1,9,8.0,24.0,4.0,SRH
DL Chahar,GT,41,1,7,10.25,24.0,4.0,
MR Marsh,RR,16,1,1,16.0,6.0,1.0,SRH
MR Marsh,MI,50,1,4,12.5,24.0,4.0,SRH
MR Marsh,LSG,39,1,4,13.76,17.0,2.5,SRH
LA Dawson,LSG,58,1,2,14.5,24.0,4.0,
MR Marsh,GT,76,1,6,12.67,36.0,6.0,SRH
LA Dawson,RR,39,1,2,9.75,24.0,4.0,
MP Yadav,RR,112,1,14,12.68,53.0,8.5,PBKS
CH Gayle,PBKS,9,1,6,4.5,12.0,2.0,CSK
CH Gayle,RR,29,1,2,14.5,12.0,2.0,CSK
MJ Owen,RCB,46,1,2,11.5,24.0,4.0,DC
Suyash Sharma,GT,61,1,15,7.62,48.0,8.0,KKR
C Green,PBKS,48,1,4,12.0,24.0,4.0,KKR
M Siddharth,DC,76,1,14,7.6,60.0,10.0,CSK
M Theekshana,KKR,34,1,10,8.5,24.0,4.0,
M Theekshana,GT,59,1,14,7.38,48.0,8.0,
Chirag Jani,DC,17,1,4,8.5,12.0,2.0,CSK
M Jansen,GT,186,1,30,10.05,111.0,18.3,
D Wiese,SRH,16,1,2,8.0,12.0,2.0,GT
M Jansen,LSG,75,1,21,9.38,48.0,8.0,
M Jansen,MI,53,1,19,7.57,42.0,7.0,
Swapnil Singh,MI,44,1,7,11.0,24.0,4.0,CSK
D Wiese,RR,76,1,5,10.86,42.0,7.0,GT
D Brevis,MI,33,1,2,11.0,18.0,3.0,LSG
D Brevis,PBKS,10,1,4,5.0,12.0,2.0,LSG
M Markande,GT,33,1,5,11.0,18.0,3.0,
M Theekshana,PBKS,63,1,11,7.88,48.0,8.0,
A Badoni,LSG,13,1,2,13.0,6.0,1.0,
M Prasidh Krishna,RR,75,1,13,9.38,48.0,8.0,RR
D Brevis,SRH,34,1,3,17.0,12.0,2.0,LSG
VG Arora,RR,12,1,6,6.0,12.0,2.0,KKR
WG Jacks,KKR,109,1,19,9.91,66.0,11.0,LSG
M Prasidh Krishna,LSG,155,1,20,9.69,96.0,16.0,RR
M Markande,SRH,149,1,27,8.76,102.0,17.0,
VR Iyer,DC,96,1,8,12.0,48.0,8.0,SRH
D Visser,LSG,26,1,5,8.67,18.0,3.0,
VR Iyer,LSG,47,1,7,11.75,24.0,4.0,SRH
VR Iyer,PBKS,32,1,6,10.67,18.0,3.0,SRH
DA Payne,DC,35,1,11,8.75,24.0,4.0,PBKS
M Theekshana,RCB,25,1,7,7.89,19.0,3.1,
MJ Owen,KKR,86,1,3,15.64,33.0,5.3,DC
MG Bracewell,CSK,15,1,5,7.5,12.0,2.0,
DJ Bravo,DC,68,1,2,11.33,36.0,6.0,
DJ Bravo,CSK,21,1,6,7.0,18.0,3.0,
MJ Owen,CSK,8,1,8,4.0,12.0,2.0,DC
DAJ Bracewell,RR,51,1,7,12.75,24.0,4.0,
Washington Sundar,CSK,65,1,5,10.83,36.0,6.0,PBKS
MG Erasmus,PBKS,22,1,11,5.5,24.0,4.0,
MG Bracewell,SRH,46,1,7,9.2,30.0,5.0,
MG Bracewell,LSG,43,1,9,10.75,24.0,4.0,
CV Milind,SRH,39,1,5,13.0,18.0,3.0,SRH
Waqar Salamkheil,SRH,35,1,6,8.75,24.0,4.0,
Waqar Salamkheil,PBKS,60,1,4,15.0,24.0,4.0,
MADI Hemantha,SRH,41,1,3,10.25,24.0,4.0,
Cheepurapalli Stephen,RCB,39,1,4,9.75,24.0,4.0,CSK
Suyash Sharma,RCB,74,1,16,9.25,48.0,8.0,KKR
CV Varun,KKR,85,1,8,10.62,48.0,8.0,PBKS
Suyash Sharma,RR,77,1,15,8.56,54.0,9.0,KKR
LS Livingstone,LSG,62,1,11,9.79,38.0,6.2,KKR
Suyash Sharma,SRH,96,1,18,8.73,66.0,11.0,KKR
MA Starc,SRH,84,1,11,12.0,42.0,7.0,KKR
CV Varun,LSG,68,1,10,9.71,42.0,7.0,PBKS
DAJ Bracewell,GT,37,1,7,9.25,24.0,4.0,
CV Varun,RCB,91,1,9,11.38,48.0,8.0,PBKS
MA Starc,GT,102,1,10,12.75,48.0,8.0,KKR
DA Payne,KKR,26,1,11,6.5,24.0,4.0,PBKS
C Green,SRH,52,1,9,10.4,30.0,5.0,KKR
Kuldeep Yadav,MI,32,1,5,8.0,24.0,4.0,SRH
DR Sams,MI,8,1,14,2.67,18.0,3.0,
Mukesh Kumar,KKR,83,1,22,8.3,60.0,10.0,
NT Ellis,MI,61,1,7,10.17,36.0,6.0,SRH
DS Rathi,SRH,84,1,5,14.0,36.0,6.0,KKR
DS Rathi,MI,36,1,7,12.0,18.0,3.0,KKR
BJ McMullen,KKR,5,1,1,5.0,6.0,1.0,RR
NA Rathva,RCB,28,1,5,9.33,18.0,3.0,RR
Shivank Vashisth,PBKS,31,1,7,7.75,24.0,4.0,
N Sindhu,SRH,44,1,3,14.67,18.0,3.0,DC
Shivank Vashisth,RCB,48,1,6,12.0,24.0,4.0,
Shivank Vashisth,SRH,43,1,3,10.75,24.0,4.0,
Sikandar Raza,CSK,105,1,11,9.55,66.0,11.0,
YS Chahal,CSK,116,1,16,11.6,60.0,10.0,RCB
N Burger,KKR,37,1,10,9.25,24.0,4.0,
Mustafizur Rahman,SRH,49,1,2,12.25,24.0,4.0,
Mustafizur Rahman,RCB,74,1,16,9.25,48.0,8.0,
DS Airee,SRH,57,1,9,9.5,36.0,6.0,CSK
Karan Lal,KKR,42,1,4,10.5,24.0,4.0,RR
DS Airee,LSG,49,1,5,12.25,24.0,4.0,CSK
DS Airee,KKR,47,1,3,11.75,24.0,4.0,CSK
Mustafizur Rahman,CSK,56,1,9,9.33,36.0,6.0,
Mukesh Kumar,SRH,43,1,7,10.75,24.0,4.0,
Sikandar Raza,GT,82,1,10,10.25,48.0,8.0,
Mukesh Kumar,RCB,48,1,4,12.0,24.0,4.0,
Bal Krishna,MI,22,1,8,5.5,24.0,4.0,
DW Lawrence,DC,33,1,6,8.25,24.0,4.0,DC
KR Sen,DC,46,1,6,11.5,24.0,4.0,
KR Sen,CSK,33,1,11,8.25,24.0,4.0,
Avesh Khan,MI,178,1,14,12.56,85.0,14.1,GT
TM Head,CSK,15,1,7,7.5,12.0,2.0,
Nithish Kumar Reddy,RR,45,1,3,9.0,30.0,5.0,SRH
Fazalhaq Farooqi,SRH,37,1,4,9.25,24.0,4.0,CSK
Nithish Kumar Reddy,PBKS,9,1,1,9.0,6.0,1.0,SRH
KH Pandya,RR,112,1,11,11.2,60.0,10.0,RR
Nithish Kumar Reddy,LSG,70,1,6,10.0,42.0,7.0,SRH
Fazalhaq Farooqi,RR,43,1,9,10.75,24.0,4.0,CSK
Atharva Ankolekar,PBKS,74,1,9,10.09,44.0,7.2,MI
Naveen-ul-Haq,RR,103,1,7,12.88,48.0,8.0,SRH
TA Boult,SRH,116,1,16,9.67,72.0,12.0,MI
Naveen-ul-Haq,LSG,93,1,12,11.62,48.0,8.0,SRH
Shashank Singh,RR,69,1,11,11.5,36.0,6.0,PBKS
Fazalhaq Farooqi,DC,57,1,7,8.14,42.0,7.0,CSK
Azmatullah Omarzai,DC,121,1,10,13.44,54.0,9.0,
Azmatullah Omarzai,GT,36,1,9,9.0,24.0,4.0,
Azmatullah Omarzai,KKR,12,1,4,6.0,12.0,2.0,
Naseem Shah,MI,36,1,8,9.0,24.0,4.0,
YS Chahal,LSG,69,1,9,9.86,42.0,7.0,RCB
Naseem Shah,DC,51,1,7,12.75,24.0,4.0,
B Kumar,GT,158,1,22,10.9,87.0,14.3,KKR
Naman Dhir,RR,29,1,10,7.25,24.0,4.0,GT
EA Brookes,LSG,27,1,4,9.0,18.0,3.0,
DS Airee,GT,0,1,1,0.0,1.0,0.1,CSK
Mohammad Ghazanfar,GT,212,1,26,11.36,112.0,18.4,SRH
Mukesh Kumar,GT,96,1,11,12.0,48.0,8.0,
Mohsin Khan,LSG,37,1,10,9.25,24.0,4.0,
Mohsin Khan,GT,33,1,5,11.0,18.0,3.0,
Mohsin Khan,DC,98,1,12,12.25,48.0,8.0,
T Stubbs,LSG,62,1,5,15.5,24.0,4.0,CSK
Mohit Redkar,RCB,44,1,3,11.0,24.0,4.0,CSK
Mohit Redkar,MI,33,1,7,8.25,24.0,4.0,CSK
Mohit Redkar,CSK,39,1,5,9.75,24.0,4.0,CSK
Sikandar Raza,SRH,104,1,8,11.56,54.0,9.0,
Mohammed Siraj,RR,13,1,9,4.33,18.0,3.0,
Khrievitso Kense,GT,37,1,9,9.25,24.0,4.0,RCB
Bilal Zalmai,CSK,42,1,3,10.5,24.0,4.0,
Mohammed Siraj,CSK,46,1,13,7.67,36.0,6.0,
Mohammed Shami,SRH,23,1,6,5.75,24.0,4.0,LSG
Mohammed Shami,RR,38,1,6,9.5,24.0,4.0,LSG
Mohammed Shami,RCB,117,1,25,9.75,72.0,12.0,LSG
Bilal Zalmai,DC,30,1,8,7.83,23.0,3.5,
Bilal Zalmai,MI,120,1,19,10.0,72.0,12.0,
YK Pathan,DC,59,1,12,7.38,48.0,8.0,KKR
C Connolly,PBKS,26,1,9,8.67,18.0,3.0,PBKS
Mohammed Shami,CSK,87,1,15,10.88,48.0,8.0,LSG
Khrievitso Kense,LSG,69,1,12,8.62,48.0,8.0,RCB
C Green,LSG,72,1,9,9.0,48.0,8.0,KKR
Baltej Singh,KKR,24,1,12,6.0,24.0,4.0,
Mohammed Siraj,DC,44,1,7,11.0,24.0,4.0,
Kartik Tyagi,LSG,16,1,4,8.0,12.0,2.0,
Baltej Singh,GT,27,1,10,9.0,18.0,3.0,
DR Sams,PBKS,25,1,5,8.33,18.0,3.0,
Mujeeb Ur Rahman,LSG,34,1,6,8.5,24.0,4.0,
Sikandar Raza,LSG,88,1,11,8.8,60.0,10.0,
Zeeshan Ansari,KKR,18,0,8,6.0,inf,3.0,SRH
Yuvraj Singh,LSG,35,0,5,11.67,inf,3.0,CSK
Shashank Singh,CSK,74,0,14,10.57,inf,7.0,PBKS
TM Head,DC,31,0,1,15.5,inf,2.0,
Shadab Khan,CSK,15,0,2,7.5,inf,2.0,SRH
Samant Jakhar,MI,26,0,4,13.0,inf,2.0,DC
TU Deshpande,DC,52,0,6,13.0,inf,4.0,MI
Shadab Khan,DC,21,0,0,10.5,inf,2.0,SRH
TM Head,PBKS,22,0,5,11.0,inf,2.0,
TM Head,LSG,13,0,5,6.5,inf,2.0,
YK Pathan,GT,34,0,0,8.5,inf,4.0,KKR
Suryansh Shedge,SRH,32,0,3,8.0,inf,4.0,CSK
Suryansh Shedge,RR,76,0,1,19.0,inf,4.0,CSK
V Nigam,SRH,26,0,3,8.67,inf,3.0,GT
Utkarsh Singh,MI,41,0,4,13.67,inf,3.0,PBKS
TH David,GT,23,0,1,23.0,inf,1.0,PBKS
VR Iyer,KKR,16,0,2,8.0,inf,2.0,SRH
Utkarsh Singh,LSG,12,0,2,6.0,inf,2.0,PBKS
Utkarsh Singh,RCB,17,0,2,8.5,inf,2.0,PBKS
Shahbaz Ahmed,KKR,30,0,13,7.5,inf,4.0,LSG
Tilak Varma,DC,51,0,3,12.75,inf,4.0,CSK
Yuvraj Singh,RR,37,0,6,12.33,inf,3.0,CSK
Shadab Khan,RCB,40,0,8,10.0,inf,4.0,SRH
TM Head,GT,69,0,8,9.86,inf,7.0,
Washington Sundar,GT,38,0,4,9.5,inf,4.0,PBKS
Sakibul Gani,DC,16,0,2,16.0,inf,1.0,RCB
Shahbaz Ahmed,DC,50,0,10,8.33,inf,6.0,LSG
YK Pathan,CSK,30,0,4,10.0,inf,3.0,KKR
VR Iyer,MI,42,0,5,10.5,inf,4.0,SRH
Tilak Varma,MI,34,0,3,17.0,inf,2.0,CSK
V Puthur,MI,92,0,9,11.5,inf,8.0,DC
Tilak Varma,CSK,20,0,1,20.0,inf,1.0,CSK
VG Arora,DC,40,0,8,10.0,inf,4.0,KKR
Shashank Singh,SRH,82,0,27,7.45,inf,11.0,PBKS
Sumit Kumar,GT,25,0,2,12.5,inf,2.0,
Yash Thakur,RCB,33,0,1,13.2,inf,2.3,MI
T Stubbs,RCB,21,0,4,10.5,inf,2.0,CSK
Washington Sundar,MI,64,0,7,10.67,inf,6.0,PBKS
Shakib Al Hasan,CSK,33,0,7,11.0,inf,3.0,
Yuvraj Chaudhary,RR,22,0,2,11.0,inf,2.0,
SZ Mulani,RR,46,0,7,11.5,inf,4.0,LSG
Yash Dayal,MI,48,0,8,12.0,inf,4.0,
YK Pathan,MI,41,0,5,10.25,inf,4.0,KKR
WL Madsen,SRH,14,0,2,14.0,inf,1.0,MI
Tilak Varma,PBKS,8,0,1,8.0,inf,1.0,CSK
Yash Thakur,GT,38,0,5,12.67,inf,3.0,MI
YK Pathan,LSG,5,0,1,5.0,inf,1.0,KKR
Yuvraj Chaudhary,RCB,6,0,2,6.0,inf,1.0,
Simarjeet Singh,KKR,37,0,3,9.25,inf,4.0,
Yash Thakur,LSG,37,0,3,9.25,inf,4.0,MI
Tilak Varma,RCB,2,0,4,2.0,inf,1.0,CSK
Tilak Varma,SRH,11,0,0,11.0,inf,1.0,CSK
Sikandar Raza,KKR,37,0,5,9.25,inf,4.0,
VG Arora,LSG,69,0,18,8.62,inf,8.0,KKR
Shakib Al Hasan,RCB,33,0,8,8.25,inf,4.0,
Shaheen Shah Afridi,DC,45,0,4,11.25,inf,4.0,MI
WL Madsen,RR,18,0,3,9.0,inf,2.0,MI
Suyash Sharma,CSK,43,0,5,14.33,inf,3.0,KKR
