striker,phase,pitch,runs,balls,dots,outs,avg,SR,Curr_Tm
Shubman Gill,PP,pace,1052,608,201,27,38.96,173.03,LSG
KL Rahul,Middle,spin,1024,672,150,17,60.24,152.38,SRH
Abhishek Sharma,PP,pace,960,510,165,23,41.74,188.24,MI
N Pooran,Middle,pace,946,646,173,14,67.57,146.44,MI
P Simran Singh,PP,spin,929,566,191,30,30.97,164.13,SRH
PD Salt,PP,pace,903,539,197,19,47.53,167.53,RCB
PD Salt,PP,spin,873,478,160,17,51.35,182.64,RCB
V Kohli,PP,pace,814,467,179,24,33.92,174.3,RR
SA Yadav,Middle,pace,810,487,111,15,54.0,166.32,DC
RD Gaikwad,PP,pace,782,499,180,22,35.55,156.71,GT
GJ Maxwell,PP,pace,751,440,147,17,44.18,170.68,DC
H Klaasen,Middle,spin,742,516,137,15,49.47,143.8,CSK
SV Samson,PP,pace,733,456,180,13,56.38,160.75,GT
Abhishek Sharma,PP,spin,733,395,107,10,73.3,185.57,MI
Tilak Varma,PP,pace,717,486,223,13,55.15,147.53,CSK
TM Head,PP,pace,708,459,174,18,39.33,154.25,
Shubman Gill,PP,spin,691,440,131,13,53.15,157.05,LSG
C Green,Middle,pace,690,393,96,16,43.12,175.57,KKR
SA Yadav,Middle,spin,689,428,100,18,38.28,160.98,DC
VR Iyer,Middle,spin,676,473,115,14,48.29,142.92,SRH
V Kohli,PP,spin,671,401,123,9,74.56,167.33,RR
Smaran Ravichandran,Middle,spin,660,422,92,12,55.0,156.4,PBKS
GJ Maxwell,PP,spin,650,380,96,12,54.17,171.05,DC
V Suryavanshi,PP,spin,650,401,147,10,65.0,162.09,PBKS
S Dube,Middle,pace,647,423,130,14,46.21,152.96,RR
Naman Dhir,Middle,spin,639,395,68,12,53.25,161.77,GT
SS Iyer,Middle,pace,638,416,111,19,33.58,153.37,LSG
B Sai Sudharsan,Middle,spin,632,403,89,11,57.45,156.82,PBKS
Naman Dhir,Middle,pace,622,421,96,17,36.59,147.74,GT
Tilak Varma,Middle,pace,622,430,135,22,28.27,144.65,CSK
RM Patidar,Middle,spin,617,423,109,20,30.85,145.86,KKR
N Rana,Middle,pace,614,373,102,17,36.12,164.61,PBKS
AM Rahane,Middle,pace,610,418,107,15,40.67,145.93,MI
TM Head,Middle,pace,606,410,98,13,46.62,147.8,
WG Jacks,Middle,pace,603,372,87,16,37.69,162.1,LSG
GJ Maxwell,Middle,pace,601,374,76,12,50.08,160.7,DC
PD Salt,Middle,pace,601,419,107,14,42.93,143.44,RCB
Ishan Kishan,PP,pace,598,396,181,12,49.83,151.01,MI
JM Sharma,Death,pace,574,275,65,9,63.78,208.73,RCB
B Sai Sudharsan,Middle,pace,566,422,122,13,43.54,134.12,PBKS
JC Buttler,Middle,pace,562,357,85,18,31.22,157.42,LSG
KL Rahul,PP,spin,560,392,160,9,62.22,142.86,SRH
Shubman Gill,Middle,pace,557,370,65,7,79.57,150.54,LSG
YBK Jaiswal,Middle,pace,551,347,79,12,45.92,158.79,RR
Priyansh Arya,PP,spin,546,317,118,19,28.74,172.24,RCB
Shubman Gill,Middle,spin,545,354,76,15,36.33,153.95,LSG
P Simran Singh,Middle,spin,538,345,72,16,33.62,155.94,SRH
RG Sharma,Middle,pace,536,338,87,7,76.57,158.58,KKR
FH Allen,PP,spin,536,312,110,16,33.5,171.79,PBKS
SV Samson,PP,spin,535,349,128,14,38.21,153.3,GT
S Dube,Middle,spin,530,374,111,14,37.86,141.71,RR
Tilak Varma,PP,spin,507,279,94,11,46.09,181.72,CSK
GJ Maxwell,Middle,spin,506,323,80,15,33.73,156.66,DC
AM Rahane,Middle,spin,503,338,87,11,45.73,148.82,MI
Abishek Porel,Middle,pace,502,300,68,15,33.47,167.33,RR
P Simran Singh,PP,pace,496,287,98,12,41.33,172.82,SRH
Naman Dhir,Middle,neutralish,496,283,32,7,70.86,175.27,GT
JC Buttler,PP,pace,494,341,137,15,32.93,144.87,LSG
R Parag,Middle,pace,490,319,93,13,37.69,153.61,GT
Sameer Rizvi,Death,pace,489,208,43,8,61.12,235.1,LSG
RK Singh,Death,pace,487,242,44,9,54.11,201.24,MI
Abhishek Sharma,Middle,pace,484,309,73,12,40.33,156.63,MI
N Pooran,Death,pace,481,218,42,18,26.72,220.64,MI
SS Iyer,Middle,spin,480,321,80,14,34.29,149.53,LSG
RD Gaikwad,PP,spin,479,326,125,14,34.21,146.93,GT
FH Allen,PP,pace,478,290,109,16,29.88,164.83,PBKS
Q de Kock,PP,spin,468,328,126,12,39.0,142.68,
VR Iyer,Death,spin,465,247,47,11,42.27,188.26,SRH
RD Rickelton,PP,spin,460,286,112,16,28.75,160.84,LSG
RD Gaikwad,Middle,spin,458,291,59,11,41.64,157.39,GT
JM Sharma,Middle,spin,457,269,66,9,50.78,169.89,RCB
N Pooran,Middle,spin,454,301,83,10,45.4,150.83,MI
JP Inglis,Middle,spin,453,289,53,8,56.62,156.75,GT
GJ Maxwell,PP,neutralish,453,236,62,12,37.75,191.95,DC
SP Narine,PP,spin,452,290,115,7,64.57,155.86,KKR
SP Narine,PP,pace,451,311,154,15,30.07,145.02,KKR
JM Sharma,Middle,pace,449,312,91,12,37.42,143.91,RCB
WG Jacks,PP,spin,441,301,130,13,33.92,146.51,LSG
LS Livingstone,Middle,spin,441,332,112,16,27.56,132.83,KKR
Abhishek Sharma,Middle,spin,441,272,58,17,25.94,162.13,MI
N Sindhu,Middle,pace,441,252,45,10,44.1,175.0,DC
V Kohli,Middle,pace,440,291,60,9,48.89,151.2,RR
SA Yadav,PP,pace,440,244,88,8,55.0,180.33,DC
SV Samson,Middle,spin,438,295,62,13,33.69,148.47,GT
RD Gaikwad,Middle,pace,436,261,61,19,22.95,167.05,GT
CH Gayle,PP,pace,436,257,114,6,72.67,169.65,CSK
T Stubbs,Middle,pace,435,305,82,10,43.5,142.62,CSK
KA Pollard,Death,pace,433,189,30,3,144.33,229.1,CSK
SV Samson,PP,neutralish,433,268,98,10,43.3,161.57,GT
PP Shaw,PP,pace,432,288,127,9,48.0,150.0,MI
Smaran Ravichandran,Middle,pace,432,289,72,14,30.86,149.48,PBKS
Shashank Singh,Death,pace,431,206,35,7,61.57,209.22,PBKS
Shashank Singh,Death,spin,429,216,37,8,53.62,198.61,PBKS
YBK Jaiswal,Death,spin,428,185,34,8,53.5,231.35,RR
RD Rickelton,PP,pace,426,244,87,17,25.06,174.59,LSG
RK Singh,Middle,pace,418,316,76,14,29.86,132.28,MI
WG Jacks,PP,pace,416,265,97,8,52.0,156.98,LSG
SV Samson,Middle,pace,415,311,75,14,29.64,133.44,GT
V Kohli,Middle,spin,402,309,89,17,23.65,130.1,RR
N Sindhu,PP,pace,395,251,106,12,32.92,157.37,DC
MP Stoinis,Middle,pace,395,241,58,10,39.5,163.9,KKR
Aniket Verma,Middle,pace,392,221,50,10,39.2,177.38,RR
B Sai Sudharsan,PP,pace,390,291,136,17,22.94,134.02,PBKS
B Sai Sudharsan,PP,spin,389,271,97,9,43.22,143.54,PBKS
MP Stoinis,PP,pace,386,240,96,8,48.25,160.83,KKR
F du Plessis,Middle,pace,385,284,73,6,64.17,135.56,
JP Inglis,Middle,neutralish,382,229,26,7,54.57,166.81,GT
P Simran Singh,PP,neutralish,381,198,69,6,63.5,192.42,SRH
BM Duckett,PP,spin,378,225,69,9,42.0,168.0,SRH
JC Buttler,Middle,spin,371,241,57,9,41.22,153.94,LSG
WL Madsen,Middle,spin,368,238,53,4,92.0,154.62,MI
Priyansh Arya,PP,pace,364,223,85,6,60.67,163.23,RCB
N Sindhu,PP,spin,363,203,62,9,40.33,178.82,DC
Sameer Rizvi,Death,spin,362,177,26,6,60.33,204.52,LSG
N Rana,Death,pace,362,180,36,11,32.91,201.11,PBKS
Tilak Varma,Middle,spin,359,269,69,13,27.62,133.46,CSK
KL Rahul,Middle,pace,353,240,56,11,32.09,147.08,SRH
V Suryavanshi,Middle,spin,353,238,63,16,22.06,148.32,PBKS
V Suryavanshi,PP,pace,353,228,94,13,27.15,154.82,PBKS
SP Narine,Middle,spin,352,226,58,16,22.0,155.75,KKR
RR Rossouw,Middle,pace,352,233,49,7,50.29,151.07,SRH
Aniket Verma,Middle,spin,351,216,54,7,50.14,162.5,RR
JP Inglis,Middle,pace,349,237,34,7,49.86,147.26,GT
Ishan Kishan,Middle,pace,347,250,91,21,16.52,138.8,MI
SV Samson,Middle,neutralish,347,203,39,6,57.83,170.94,GT
Urvil Patel,Middle,spin,346,236,67,12,28.83,146.61,MI
Abhishek Sharma,PP,neutralish,341,180,45,2,170.5,189.44,MI
KL Rahul,Death,spin,340,206,35,11,30.91,165.05,SRH
RG Sharma,Death,pace,339,155,38,11,30.82,218.71,KKR
PD Salt,Middle,spin,333,214,48,17,19.59,155.61,RCB
YBK Jaiswal,Middle,spin,333,238,59,10,33.3,139.92,RR
Q de Kock,PP,pace,332,211,85,10,33.2,157.35,
Atharva Taide,PP,pace,331,183,65,6,55.17,180.87,MI
YBK Jaiswal,Death,pace,328,134,27,5,65.6,244.78,RR
FH Allen,Middle,pace,327,199,41,8,40.88,164.32,PBKS
H Klaasen,Death,spin,325,194,46,11,29.55,167.53,CSK
Abishek Porel,Middle,neutralish,325,191,55,8,40.62,170.16,RR
WG Jacks,Middle,spin,324,251,87,14,23.14,129.08,LSG
Nithish Kumar Reddy,Death,spin,323,167,32,8,40.38,193.41,SRH
Shashank Singh,Middle,pace,319,204,52,8,39.88,156.37,PBKS
N Pooran,Middle,neutralish,316,192,37,4,79.0,164.58,MI
Shashank Singh,Middle,spin,315,244,77,15,21.0,129.1,PBKS
JP Inglis,PP,spin,312,174,54,5,62.4,179.31,GT
R Parag,Death,pace,312,155,44,14,22.29,201.29,GT
JM Sharma,Death,spin,311,165,45,15,20.73,188.48,RCB
SA Yadav,Death,pace,308,138,28,9,34.22,223.19,DC
KA Pollard,Middle,pace,306,205,51,8,38.25,149.27,CSK
LS Livingstone,PP,spin,306,220,91,6,51.0,139.09,KKR
AD Russell,Death,pace,306,160,42,7,43.71,191.25,DC
Dhruv Jurel,Middle,pace,305,232,66,8,38.12,131.47,KKR
BM Duckett,PP,pace,305,180,69,10,30.5,169.44,SRH
N Pooran,Death,spin,299,145,28,9,33.22,206.21,MI
DP Conway,Middle,spin,298,211,40,4,74.5,141.23,PBKS
S Dube,Middle,neutralish,296,192,38,8,37.0,154.17,RR
Urvil Patel,PP,spin,296,188,73,4,74.0,157.45,MI
AK Markram,Death,spin,294,176,62,15,19.6,167.05,DC
RD Rickelton,PP,neutralish,293,177,57,4,73.25,165.54,LSG
RD Gaikwad,Middle,neutralish,292,177,20,5,58.4,164.97,GT
N Sindhu,Middle,spin,292,166,40,12,24.33,175.9,DC
YBK Jaiswal,PP,pace,291,165,69,11,26.45,176.36,RR
DP Conway,PP,spin,291,218,83,8,36.38,133.49,PBKS
SS Iyer,PP,pace,290,212,86,8,36.25,136.79,LSG
YBK Jaiswal,Middle,neutralish,288,162,28,4,72.0,177.78,RR
Tarang Gohel,PP,pace,287,170,59,9,31.89,168.82,DC
T Stubbs,Death,pace,287,153,37,6,47.83,187.58,CSK
Naman Dhir,Death,spin,287,150,33,6,47.83,191.33,GT
KL Rahul,PP,pace,285,180,85,5,57.0,158.33,SRH
Naman Dhir,Death,pace,282,124,19,8,35.25,227.42,GT
HH Pandya,Death,pace,281,156,43,8,35.12,180.13,MI
YBK Jaiswal,Death,neutralish,281,126,15,4,70.25,223.02,RR
BJ McMullen,Middle,neutralish,279,175,38,7,39.86,159.43,RR
Jay Gohil,Death,pace,279,142,37,5,55.8,196.48,LSG
RG Sharma,Middle,spin,278,203,66,17,16.35,136.95,KKR
Q de Kock,Middle,spin,278,204,64,13,21.38,136.27,
Tarang Gohel,PP,spin,277,156,61,4,69.25,177.56,DC
C Green,Death,pace,274,130,18,7,39.14,210.77,KKR
SA Yadav,PP,neutralish,274,151,48,5,54.8,181.46,DC
Priyansh Arya,Middle,neutralish,273,153,24,5,54.6,178.43,RCB
BJ McMullen,Middle,pace,272,171,57,10,27.2,159.06,RR
Sameer Rizvi,Middle,pace,271,184,42,3,90.33,147.28,LSG
BM Duckett,Middle,spin,270,173,29,8,33.75,156.07,SRH
CH Gayle,Middle,pace,268,178,44,6,44.67,150.56,CSK
Dhruv Jurel,Middle,spin,268,191,65,9,29.78,140.31,KKR
R Parag,Death,spin,268,126,26,9,29.78,212.7,GT
JP Inglis,PP,pace,267,170,61,7,38.14,157.06,GT
SS Iyer,Death,pace,266,138,29,9,29.56,192.75,LSG
RD Gaikwad,PP,neutralish,265,147,41,3,88.33,180.27,GT
RD Rickelton,Middle,pace,264,162,28,5,52.8,162.96,LSG
CH Gayle,PP,spin,264,172,72,8,33.0,153.49,CSK
JP Inglis,PP,neutralish,263,131,46,1,263.0,200.76,GT
N Sindhu,Middle,neutralish,261,151,35,5,52.2,172.85,DC
Ashutosh Sharma,Middle,pace,261,179,48,12,21.75,145.81,RCB
RD Rickelton,Middle,spin,259,186,56,9,28.78,139.25,LSG
Urvil Patel,PP,neutralish,258,151,50,3,86.0,170.86,MI
Shubman Gill,PP,neutralish,255,137,30,4,63.75,186.13,LSG
KL Rahul,Middle,neutralish,255,190,47,2,127.5,134.21,SRH
T Stubbs,Middle,spin,255,184,61,9,28.33,138.59,CSK
DP Conway,PP,pace,255,158,60,9,28.33,161.39,PBKS
VR Iyer,Middle,pace,255,193,54,7,36.43,132.12,SRH
RM Patidar,Middle,neutralish,253,194,47,6,42.17,130.41,KKR
SA Yadav,PP,spin,253,165,56,3,84.33,153.33,DC
RM Patidar,Middle,pace,253,209,65,16,15.81,121.05,KKR
C Green,PP,pace,249,160,61,8,31.12,155.62,KKR
TM Head,PP,spin,249,175,71,9,27.67,142.29,
RG Sharma,PP,spin,249,172,66,4,62.25,144.77,KKR
Priyansh Arya,Middle,pace,248,142,31,9,27.56,174.65,RCB
RA Jadeja,Death,spin,242,141,52,8,30.25,171.63,SRH
Tilak Varma,PP,neutralish,242,142,47,6,40.33,170.42,CSK
S Dube,PP,pace,242,166,74,4,60.5,145.78,RR
Nithish Kumar Reddy,Middle,spin,241,171,49,7,34.43,140.94,SRH
PWH de Silva,Middle,spin,240,120,20,7,34.29,200.0,RCB
AM Rahane,PP,pace,240,166,80,7,34.29,144.58,MI
P Simran Singh,Middle,pace,239,171,40,8,29.88,139.77,SRH
N Sindhu,PP,neutralish,238,138,44,4,59.5,172.46,DC
Abhishek Sharma,Middle,neutralish,236,135,24,8,29.5,174.81,MI
Aniket Verma,PP,spin,236,122,41,4,59.0,193.44,RR
PP Shaw,PP,spin,236,165,58,5,47.2,143.03,MI
R Parag,Middle,spin,235,155,35,6,39.17,151.61,GT
Arshad Khan,Death,pace,233,111,28,6,38.83,209.91,DC
KL Rahul,Death,neutralish,233,118,18,7,33.29,197.46,SRH
BJ McMullen,PP,pace,232,144,58,5,46.4,161.11,RR
S Dube,Death,spin,232,111,24,11,21.09,209.01,RR
N Rana,PP,pace,231,138,57,5,46.2,167.39,PBKS
JP Inglis,Death,spin,230,112,22,8,28.75,205.36,GT
BJ McMullen,PP,neutralish,230,144,48,3,76.67,159.72,RR
Dhruv Jurel,Death,pace,229,135,33,4,57.25,169.63,KKR
TH David,Middle,pace,228,139,31,5,45.6,164.03,PBKS
C Green,Middle,spin,227,165,49,13,17.46,137.58,KKR
Rahul Singh,PP,pace,227,148,51,4,56.75,153.38,RCB
Sameer Rizvi,Middle,spin,227,154,44,7,32.43,147.4,LSG
MW Short,Middle,pace,227,139,26,9,25.22,163.31,MI
WL Madsen,Death,spin,225,135,24,7,32.14,166.67,MI
HH Pandya,Death,spin,224,112,25,6,37.33,200.0,MI
Tarang Gohel,Middle,spin,220,129,24,7,31.43,170.54,DC
PP Shaw,Middle,pace,219,153,44,10,21.9,143.14,MI
CH Gayle,PP,neutralish,218,137,53,5,43.6,159.12,CSK
Priyansh Arya,PP,neutralish,218,119,37,2,109.0,183.19,RCB
SA Yadav,Middle,neutralish,218,141,27,8,27.25,154.61,DC
S Dube,Death,pace,217,95,26,12,18.08,228.42,RR
JC Buttler,Death,pace,216,110,27,8,27.0,196.36,LSG
F du Plessis,PP,pace,216,194,85,8,27.0,111.34,
H Klaasen,PP,spin,215,172,73,5,43.0,125.0,CSK
Chirag Jani,Middle,pace,215,132,30,7,30.71,162.88,CSK
N Wadhera,Middle,pace,214,171,74,3,71.33,125.15,KKR
PP Shaw,Middle,spin,213,155,41,8,26.62,137.42,MI
SP Narine,Middle,pace,212,162,55,12,17.67,130.86,KKR
Naman Dhir,Death,neutralish,212,105,18,7,30.29,201.9,GT
Abishek Porel,Death,spin,211,107,21,3,70.33,197.2,RR
VR Iyer,Death,pace,210,111,22,7,30.0,189.19,SRH
Nithish Kumar Reddy,Middle,pace,210,175,66,12,17.5,120.0,SRH
PD Salt,PP,neutralish,209,122,46,7,29.86,171.31,RCB
BJ McMullen,PP,spin,208,146,69,6,34.67,142.47,RR
Smaran Ravichandran,PP,pace,207,152,65,5,41.4,136.18,PBKS
RR Rossouw,Death,pace,206,87,19,4,51.5,236.78,SRH
N Sindhu,Death,pace,205,103,23,8,25.62,199.03,DC
Q de Kock,Middle,pace,203,146,36,6,33.83,139.04,
S Dube,PP,spin,203,137,57,4,50.75,148.18,RR
FH Allen,Middle,spin,202,125,28,10,20.2,161.6,PBKS
R Powell,Death,pace,202,103,26,9,22.44,196.12,LSG
R Parag,Death,neutralish,202,113,26,9,22.44,178.76,GT
Priyansh Arya,Middle,spin,201,144,38,8,25.12,139.58,RCB
P Simran Singh,Middle,neutralish,201,125,19,6,33.5,160.8,SRH
Tanush Kotian,Death,spin,197,98,28,9,21.89,201.02,CSK
Abishek Porel,Death,pace,195,95,18,8,24.38,205.26,RR
V Suryavanshi,Middle,pace,194,126,26,9,21.56,153.97,PBKS
GJ Maxwell,Death,pace,194,87,11,4,48.5,222.99,DC
Tilak Varma,Middle,neutralish,193,116,23,5,38.6,166.38,CSK
T Stubbs,Middle,neutralish,193,138,40,5,38.6,139.86,CSK
Aniket Verma,Death,spin,193,87,15,4,48.25,221.84,RR
SS Iyer,PP,spin,193,146,67,7,27.57,132.19,LSG
KA Pollard,Middle,neutralish,193,156,44,6,32.17,123.72,CSK
RM Patidar,PP,spin,192,147,62,3,64.0,130.61,KKR
Ishan Kishan,PP,spin,192,151,70,8,24.0,127.15,MI
Abishek Porel,Death,neutralish,191,89,21,6,31.83,214.61,RR
AM Rahane,Death,pace,191,113,30,14,13.64,169.03,MI
N Pooran,PP,pace,190,150,74,4,47.5,126.67,MI
RM Patidar,PP,pace,190,159,90,11,17.27,119.5,KKR
Sikandar Raza,Middle,spin,189,140,48,8,23.62,135.0,
BA Stokes,Middle,pace,186,137,54,8,23.25,135.77,RR
Ramandeep Singh,Death,pace,186,105,33,8,23.25,177.14,LSG
HC Brook,Middle,pace,186,139,48,5,37.2,133.81,
MP Stoinis,Death,pace,185,91,23,5,37.0,203.3,KKR
AK Markram,Middle,spin,184,169,71,4,46.0,108.88,DC
Tarang Gohel,Middle,pace,184,87,14,5,36.8,211.49,DC
PD Salt,Middle,neutralish,183,99,15,2,91.5,184.85,RCB
RK Singh,Death,neutralish,183,95,26,3,61.0,192.63,MI
TM Head,PP,neutralish,183,101,35,3,61.0,181.19,
SA Yadav,Death,spin,183,102,28,8,22.88,179.41,DC
JP Inglis,Death,pace,182,86,17,8,22.75,211.63,GT
R Powell,Middle,pace,182,122,39,6,30.33,149.18,LSG
MP Stoinis,Middle,spin,182,150,46,8,22.75,121.33,KKR
RD Rickelton,Middle,neutralish,182,124,33,7,26.0,146.77,LSG
SS Iyer,Death,spin,181,111,27,9,20.11,163.06,LSG
Aniket Verma,PP,pace,181,108,45,6,30.17,167.59,RR
Ishan Kishan,Middle,spin,181,129,32,6,30.17,140.31,MI
Naman Dhir,PP,pace,180,111,33,3,60.0,162.16,GT
TP Ura,Middle,spin,179,106,22,3,59.67,168.87,PBKS
Anmolpreet Singh,Middle,pace,178,129,25,3,59.33,137.98,CSK
Shubman Gill,Middle,neutralish,178,101,21,4,44.5,176.24,LSG
AB de Villiers,Death,neutralish,177,73,14,3,59.0,242.47,RR
Naman Dhir,PP,spin,177,104,22,5,35.4,170.19,GT
D Wiese,Death,pace,177,69,11,3,59.0,256.52,GT
S Dube,PP,neutralish,175,94,25,4,43.75,186.17,RR
Abdul Samad,Death,spin,174,112,30,6,29.0,155.36,LSG
AR Patel,Middle,spin,173,134,57,8,21.62,129.1,CSK
PHKD Mendis,Middle,spin,173,111,36,9,19.22,155.86,DC
Urvil Patel,Death,pace,173,92,15,3,57.67,188.04,MI
MJ Owen,Middle,spin,172,106,31,6,28.67,162.26,DC
MW Short,PP,pace,172,103,40,3,57.33,166.99,MI
MJ Owen,Middle,pace,171,114,16,3,57.0,150.0,DC
Anmolpreet Singh,Death,pace,171,86,24,10,17.1,198.84,CSK
Washington Sundar,Death,pace,171,103,34,6,28.5,166.02,PBKS
Hassan Nawaz,Middle,neutralish,171,119,29,3,57.0,143.7,RCB
RG Sharma,Death,spin,169,89,20,8,21.12,189.89,KKR
FH Allen,PP,neutralish,169,101,42,7,24.14,167.33,PBKS
Smaran Ravichandran,Death,spin,168,98,25,9,18.67,171.43,PBKS
AM Rahane,PP,spin,168,143,66,4,42.0,117.48,MI
YBK Jaiswal,PP,spin,167,111,43,6,27.83,150.45,RR
CH Gayle,Middle,neutralish,166,99,18,2,83.0,167.68,CSK
Naman Dhir,PP,neutralish,166,89,27,3,55.33,186.52,GT
DP Conway,Middle,pace,165,96,21,3,55.0,171.88,PBKS
GD Phillips,Death,pace,164,77,21,6,27.33,212.99,GT
KA Pollard,Death,neutralish,164,72,8,1,164.0,227.78,CSK
Shubman Gill,Death,pace,163,95,18,7,23.29,171.58,LSG
BA Stokes,PP,pace,162,126,61,8,20.25,128.57,RR
PHKD Mendis,Death,pace,162,75,20,6,27.0,216.0,DC
Ishaan Gadekar,Middle,spin,161,83,24,7,23.0,193.98,SRH
Abdul Samad,Middle,pace,160,112,34,3,53.33,142.86,LSG
Abishek Porel,Middle,spin,159,118,34,7,22.71,134.75,RR
Rahul Singh,Middle,pace,159,93,29,9,17.67,170.97,RCB
TM Head,Middle,spin,158,103,26,5,31.6,153.4,
AB de Villiers,Middle,neutralish,158,96,18,0,,164.58,RR
GJ Maxwell,Middle,neutralish,158,103,25,7,22.57,153.4,DC
N Wadhera,Death,pace,157,101,44,14,11.21,155.45,KKR
Tilak Varma,Death,spin,157,83,16,2,78.5,189.16,CSK
BJ McMullen,Death,pace,157,72,18,8,19.62,218.06,RR
Shashank Singh,PP,spin,157,93,25,2,78.5,168.82,PBKS
RM Patidar,Death,spin,155,79,15,6,25.83,196.2,KKR
B Sai Sudharsan,PP,neutralish,154,108,50,3,51.33,142.59,PBKS
H Klaasen,Middle,pace,154,107,26,8,19.25,143.93,CSK
MJ Owen,Death,pace,154,78,17,7,22.0,197.44,DC
JM Bairstow,PP,pace,154,107,41,4,38.5,143.93,
C Green,Death,spin,153,68,13,3,51.0,225.0,KKR
LS Livingstone,Death,spin,153,98,41,9,17.0,156.12,KKR
B Sai Sudharsan,Death,spin,152,94,23,10,15.2,161.7,PBKS
CH Gayle,Middle,spin,152,117,34,8,19.0,129.91,CSK
V Kohli,Death,neutralish,151,67,12,2,75.5,225.37,RR
BM Duckett,Middle,pace,151,96,21,3,50.33,157.29,SRH
C Green,Middle,neutralish,150,101,17,4,37.5,148.51,KKR
MR Marsh,PP,neutralish,149,86,24,1,149.0,173.26,SRH
Nithish Kumar Reddy,Death,neutralish,149,71,14,8,18.62,209.86,SRH
Abdul Samad,Middle,spin,149,116,44,7,21.29,128.45,LSG
JC Buttler,PP,spin,149,88,31,6,24.83,169.32,LSG
RR Pant,Middle,pace,149,121,40,7,21.29,123.14,GT
N Wadhera,Death,spin,148,103,37,10,14.8,143.69,KKR
AK Markram,PP,spin,148,83,31,5,29.6,178.31,DC
PHKD Mendis,Death,spin,148,90,30,3,49.33,164.44,DC
Aniket Verma,Middle,neutralish,147,89,20,5,29.4,165.17,RR
PHKD Mendis,Middle,pace,147,81,20,2,73.5,181.48,DC
MK Pandey,Middle,pace,146,113,40,8,18.25,129.2,
F du Plessis,Death,pace,145,87,20,5,29.0,166.67,
PWH de Silva,PP,spin,144,76,31,2,72.0,189.47,RCB
BM Duckett,Middle,neutralish,142,105,23,3,47.33,135.24,SRH
S Dube,Death,neutralish,142,62,8,1,142.0,229.03,RR
AR Patel,Middle,pace,142,130,50,6,23.67,109.23,CSK
Nithish Kumar Reddy,Middle,neutralish,141,89,21,1,141.0,158.43,SRH
D Brevis,Middle,spin,141,114,40,4,35.25,123.68,LSG
N Rana,Middle,neutralish,141,88,26,8,17.62,160.23,PBKS
RK Singh,Middle,spin,140,100,26,3,46.67,140.0,MI
JP Inglis,Death,neutralish,140,65,13,6,23.33,215.38,GT
Urvil Patel,Middle,neutralish,140,99,29,10,14.0,141.41,MI
PD Salt,Death,pace,139,83,19,7,19.86,167.47,RCB
BM Duckett,PP,neutralish,139,90,25,3,46.33,154.44,SRH
Ramandeep Singh,Middle,pace,139,102,33,8,17.38,136.27,LSG
KA Pollard,Middle,spin,139,90,30,7,19.86,154.44,CSK
PWH de Silva,PP,neutralish,138,64,17,2,69.0,215.62,RCB
AR Patel,Death,pace,137,95,32,8,17.12,144.21,CSK
V Kohli,Middle,neutralish,137,90,20,2,68.5,152.22,RR
B Sai Sudharsan,Middle,neutralish,137,103,26,4,34.25,133.01,PBKS
Smaran Ravichandran,PP,spin,137,84,32,7,19.57,163.1,PBKS
Urvil Patel,Middle,pace,137,99,34,7,19.57,138.38,MI
PWH de Silva,PP,pace,137,64,17,1,137.0,214.06,RCB
AD Russell,Death,neutralish,137,68,20,4,34.25,201.47,DC
Abhishek Sharma,Death,pace,136,78,18,3,45.33,174.36,MI
Aniket Verma,Death,neutralish,136,65,17,4,34.0,209.23,RR
MJ Owen,PP,pace,134,84,32,5,26.8,159.52,DC
N Sindhu,Death,spin,134,49,9,3,44.67,273.47,DC
JC Buttler,Death,spin,134,77,23,10,13.4,174.03,LSG
J Fraser-McGurk,PP,pace,134,82,36,5,26.8,163.41,KKR
WG Jacks,Death,spin,133,69,13,5,26.6,192.75,LSG
Jay Gohil,Middle,pace,133,82,27,4,33.25,162.2,LSG
LS Livingstone,PP,neutralish,132,100,48,2,66.0,132.0,KKR
RD Gaikwad,Death,spin,132,66,12,1,132.0,200.0,GT
Washington Sundar,Middle,pace,132,116,43,4,33.0,113.79,PBKS
GD Phillips,Middle,spin,132,84,23,4,33.0,157.14,GT
F du Plessis,PP,spin,132,131,58,6,22.0,100.76,
BJ McMullen,Middle,spin,131,115,42,7,18.71,113.91,RR
T Stubbs,Death,spin,130,68,18,5,26.0,191.18,CSK
RG Sharma,PP,pace,130,81,34,9,14.44,160.49,KKR
R Parag,Middle,neutralish,129,85,23,2,64.5,151.76,GT
VR Iyer,Death,neutralish,129,61,8,4,32.25,211.48,SRH
JM Bairstow,PP,spin,129,96,38,4,32.25,134.38,
AM Rahane,Death,spin,129,77,22,9,14.33,167.53,MI
WG Jacks,Death,pace,127,74,14,8,15.88,171.62,LSG
Shashank Singh,Middle,neutralish,127,100,25,4,31.75,127.0,PBKS
SP Narine,Middle,neutralish,127,75,17,3,42.33,169.33,KKR
RA Jadeja,Death,pace,126,74,26,6,21.0,170.27,SRH
SS Iyer,Middle,neutralish,126,77,19,2,63.0,163.64,LSG
N Rana,Middle,spin,126,99,32,8,15.75,127.27,PBKS
Dhruv Jurel,PP,pace,125,64,20,2,62.5,195.31,KKR
B Sai Sudharsan,Death,pace,125,70,23,10,12.5,178.57,PBKS
