bowler,match_id,bowling_team,batting_team,balls
M Siddharth,M007,CSK,MI,11
A Zampa,S02M026,SRH,RCB,11
Pulkit Narang,S06M033,RR,LSG,11
Ravi Teja,S05M055,RCB,CSK,11
Fazalhaq Farooqi,S02M048,CSK,GT,12
BA Stokes,M056,LSG,DC,12
Ashutosh Sharma,S05M070,RCB,GT,12
Khrievitso Kense,S05M025,RCB,LSG,12
Ashutosh Sharma,S05M055,RCB,CSK,12
TA Boult,S03M017,MI,LSG,12
S Lamichhane,S04M002,DC,RCB,12
CH Gayle,S06M028,CSK,GT,12
Washington Sundar,S02M017,PBKS,DC,12
MJ Owen,S05M002,DC,GT,12
YS Chahal,S03M062,RCB,SRH,12
Karan Lal,S05M067,RR,SRH,12
MA Starc,M052,KKR,RR,12
Karan Lal,S04M047,RR,DC,12
Ashwin Das,S06M014,LSG,RCB,12
Sikandar Raza,S04M021,MI,CSK,13
AD Russell,S03M060,DC,KKR,13
Rasikh Salam,S02M037,GT,RCB,13
LI Meriwala,S05M073,DC,MI,13
LS Livingstone,S06M018,KKR,MI,13
A Nortje,S03M003,RCB,DC,13
C Green,S04M013,KKR,MI,13
M Siddharth,M074,CSK,PBKS,13
Avesh Khan,S04M093,GT,RR,13
JJ Bumrah,S06M039,DC,PBKS,13
JC Archer,S04M055,LSG,MI,13
TA Boult,S05M023,MI,LSG,13
Shahbaz Ahmed,S04M085,GT,LSG,13
HJ Manenti,S05M048,PBKS,KKR,13
Fazalhaq Farooqi,S05M044,CSK,GT,13
AK Markram,S05M028,DC,CSK,14
T Natarajan,M007,CSK,MI,14
AK Markram,S02M026,SRH,RCB,14
CV Varun,S05M085,PBKS,DC,14
JC Archer,S04M063,LSG,KKR,14
Mayank Dagar,S04M010,RR,CSK,14
JJ Bumrah,S04M079,MI,SRH,14
YS Chahal,S04M002,RCB,DC,14
AR Patel,M074,CSK,PBKS,14
JR Hazlewood,S05M040,RR,KKR,14
Naveen-ul-Haq,S04M026,SRH,RCB,14
MP Yadav,S04M091,PBKS,GT,14
JC Archer,S05M033,LSG,PBKS,14
DS Rathi,S02M050,KKR,DC,14
CJ Jordan,S03M063,GT,DC,14
Arshdeep Singh,S02M042,LSG,RCB,14
JJ Smit,S04M083,PBKS,DC,14
YK Pathan,S05M076,KKR,RCB,14
Arshdeep Singh,S06M041,LSG,DC,14
B Kumar,S06M003,KKR,SRH,14
A Zampa,S03M016,SRH,RR,14
Mohammad Ghazanfar,S03M036,CSK,SRH,15
M Siddharth,S03M014,CSK,GT,15
Ashwin Das,S05M093,LSG,RCB,15
V Puthur,S04M047,DC,RR,15
JJ Bumrah,S05M047,DC,RCB,15
Ravi Teja,S05M093,RCB,LSG,15
Arshdeep Singh,S05M016,LSG,KKR,15
Fazalhaq Farooqi,M050,CSK,GT,15
JR Hazlewood,S06M038,RR,CSK,15
WG Jacks,S03M048,LSG,MI,15
WG Jacks,S05M057,LSG,PBKS,15
MP Yadav,S02M036,CSK,RR,15
S Lamichhane,S04M012,DC,LSG,15
H Ssenyondo,S06M033,LSG,RR,15
YS Chahal,S05M021,RCB,GT,15
Shakib Al Hasan,S04M028,PBKS,LSG,15
HH Pandya,S05M039,MI,SRH,15
S Dube,S06M044,RR,KKR,15
Fazalhaq Farooqi,S05M079,CSK,SRH,15
RR Patel,S06M016,RCB,DC,15
Fazalhaq Farooqi,S05M088,CSK,LSG,15
T Natarajan,S03M045,CSK,RCB,15
Rasikh Salam,S02M018,GT,SRH,15
HH Pandya,M037,MI,RCB,15
HH Pandya,M002,MI,KKR,15
AK Markram,S03M056,SRH,KKR,15
Yash Thakur,S04M003,CSK,SRH,15
