striker,num_innings,runs,balls,outs,bat_order,bat_avg,bat_sr,team
AJ Tye,3,19,18,1,9,19.0,105.56,D.C.
GF Linde,2,19,10,2,7,9.5,190.0,R.R.
CV Varun,4,18,21,1,10,18.0,85.71,P.B.K.S.
AJ Hosein,1,18,14,1,8,18.0,128.57,L.S.G.
YS Chahal,3,17,19,2,9,8.5,89.47,R.C.B.
RA Bawa,2,17,9,2,7,8.5,188.89,K.K.R.
TH David,2,16,14,2,6,8.0,114.29,L.S.G.
VG Arora,2,15,17,2,9,7.5,88.24,K.K.R.
M Pathirana,4,14,19,3,11,4.67,73.68,R.C.B.
AS Roy,3,13,18,2,9,6.5,72.22,S.R.H.
Arshdeep Singh,2,13,24,1,9,13.0,54.17,L.S.G.
Avesh Khan,4,13,21,2,10,6.5,61.9,D.C.
MP Yadav,3,13,14,1,11,13.0,92.86,C.S.K.
TU Deshpande,2,12,13,2,9,6.0,92.31,R.R.
Yudhvir Singh,1,12,7,0,9,12.0,171.43,G.T.
M Prasidh Krishna,2,12,6,0,11,12.0,200.0,D.C.
Ravi Bishnoi,4,12,19,3,9,4.0,63.16,P.B.K.S.
K Gowtham,1,12,7,0,9,12.0,171.43,D.C.
JJ Bumrah,5,12,8,4,10,3.0,150.0,M.I.
M Siddharth,1,11,5,0,11,11.0,220.0,C.S.K.
DL Chahar,1,10,11,0,9,10.0,90.91,P.B.K.S.
LUVNITH SISODIA,2,10,12,2,6,5.0,83.33,R.R.
C Sakariya,1,10,7,1,11,10.0,142.86,S.R.H.
T Natarajan,3,9,6,2,10,4.5,150.0,C.S.K.
Mayank Dagar,1,8,6,0,10,8.0,133.33,R.R.
Sumit Kumar,1,8,10,1,8,8.0,80.0,D.C.
JD Unadkat,1,8,8,0,9,8.0,100.0,S.R.H.
Mohammad Nabi,4,7,10,2,7,3.5,70.0,G.T.
K Rabada,1,7,14,0,8,7.0,50.0,D.C.
A Nortje,2,6,6,1,9,6.0,100.0,R.C.B.
Suyash Sharma,2,5,7,0,11,5.0,71.43,M.I.
Sanvir Singh,1,5,6,1,6,5.0,83.33,S.R.H.
Fazalhaq Farooqi,1,4,6,1,8,4.0,66.67,C.S.K.
Mustafizur Rahman,1,3,6,1,10,3.0,50.0,D.C.
Kuldeep Yadav,3,3,11,1,10,3.0,27.27,S.R.H.
Yash Thakur,1,3,6,1,10,3.0,50.0,P.B.K.S.
Noor Ahmad,2,3,8,2,9,1.5,37.5,R.C.B.
Ravi Teja,1,1,5,1,11,1.0,20.0,L.S.G.
