bowler,innings,pitch,runs_conceded,balls,wkts,dots,Eco,SR,Curr_Tm
A Nagwaswalla,2,pace,280,143,12,47,11.75,11.92,RR
Tanush Kotian,2,pace,428,259,12,51,9.92,21.58,CSK
Ashwani Kumar,1,pace,396,204,12,42,11.65,17.0,
PWH de Silva,2,spin,490,348,12,102,8.45,29.0,RCB
Harpreet Brar,1,spin,281,192,12,49,8.78,16.0,
GJ Maxwell,1,pace,791,474,12,97,10.01,39.5,DC
GJ Maxwell,1,spin,307,208,12,63,8.86,17.33,DC
Shadab Khan,2,spin,333,228,12,81,8.76,19.0,
Harshit Rana,1,pace,419,282,12,98,8.91,23.5,
SS Ghosh,1,pace,403,231,12,65,10.47,19.25,RCB
Akash Vasisht,2,spin,265,198,12,57,8.03,16.5,DC
JJ Bumrah,2,spin,467,325,12,84,8.62,27.08,DC
Geet Puri,1,neutralish,153,94,12,37,9.77,7.83,CSK
M Prasidh Krishna,2,neutralish,313,215,11,54,8.73,19.55,KKR
CH Gayle,2,spin,164,110,11,36,8.95,10.0,RCB
DAJ Bracewell,1,pace,312,192,11,60,9.75,17.45,
Mayank Dagar,1,spin,328,216,11,67,9.11,19.64,DC
PJ Cummins,1,pace,505,318,11,89,9.53,28.91,SRH
C Sakariya,2,pace,328,240,11,58,8.2,21.82,RR
Prashant Solanki,1,spin,141,120,11,36,7.05,10.91,CSK
Imran Tahir,2,spin,410,258,11,84,9.53,23.45,KKR
SL Malinga,1,pace,324,186,11,44,10.45,16.91,
AR Patel,1,neutralish,255,144,11,36,10.62,13.09,PBKS
K Kartikeya,1,spin,292,210,11,67,8.34,19.09,MI
Shashank Singh,2,pace,568,318,11,91,10.72,28.91,PBKS
Khrievitso Kense,1,spin,403,312,11,100,7.75,28.36,
B Muzarabani,2,pace,268,137,11,49,11.74,12.45,GT
SP Narine,2,pace,426,306,11,58,8.35,27.82,SRH
AR Patel,1,pace,352,237,11,52,8.91,21.55,PBKS
H Ssenyondo,2,spin,307,209,11,56,8.81,19.0,LSG
Tripuresh Singh,2,pace,123,90,11,34,8.2,8.18,SRH
YS Chahal,2,neutralish,351,200,11,51,10.53,18.18,KKR
TU Deshpande,1,pace,347,210,10,62,9.91,21.0,
Harsh Dubey,2,neutralish,185,102,10,23,10.88,10.2,DC
A Nortje,1,pace,414,246,10,67,10.1,24.6,
A Nagwaswalla,1,neutralish,316,191,10,62,9.93,19.1,RR
Mohammed Siraj,2,pace,422,288,10,96,8.79,28.8,
JJ Smit,2,neutralish,149,103,10,44,8.68,10.3,PBKS
HV Patel,2,pace,300,197,10,53,9.14,19.7,PBKS
JA Duffy,1,pace,303,168,10,54,10.82,16.8,LSG
Naseem Shah,2,pace,390,257,10,88,9.11,25.7,
M Theekshana,2,spin,227,168,10,65,8.11,16.8,
Fazalhaq Farooqi,1,neutralish,354,258,10,66,8.23,25.8,GT
Arshdeep Singh,1,neutralish,321,192,10,60,10.03,19.2,LSG
D Wiese,2,pace,444,278,10,67,9.58,27.8,KKR
C Green,2,spin,411,228,10,52,10.82,22.8,KKR
Rasikh Salam,1,neutralish,318,204,10,48,9.35,20.4,SRH
GD Phillips,1,spin,441,246,10,61,10.76,24.6,RR
Karan Lal,2,pace,251,168,10,40,8.96,16.8,RR
S Dube,2,spin,280,169,10,46,9.94,16.9,RR
Atharva Ankolekar,1,spin,196,131,10,44,8.98,13.1,RR
Abhishek Sharma,2,spin,399,268,9,74,8.93,29.78,MI
M Siddharth,2,spin,513,312,9,85,9.87,34.67,GT
JM Coles,2,spin,271,186,9,50,8.74,20.67,
PWH de Silva,2,neutralish,202,108,9,28,11.22,12.0,RCB
Mustafizur Rahman,2,pace,260,162,9,41,9.63,18.0,
HV Patel,1,spin,170,126,9,35,8.1,14.0,PBKS
Mohammad Ghazanfar,1,neutralish,332,192,9,58,10.38,21.33,RR
NT Ellis,1,spin,332,192,9,46,10.38,21.33,SRH
Ashwani Kumar,2,pace,152,72,9,15,12.67,8.0,
RA Jadeja,2,neutralish,292,188,9,58,9.32,20.89,CSK
NT Ellis,2,spin,140,80,9,20,10.5,8.89,SRH
RA Jadeja,1,neutralish,295,174,9,41,10.17,19.33,CSK
AR Ramjani,2,neutralish,188,120,9,33,9.4,13.33,PBKS
MP Yadav,2,spin,214,157,9,56,8.18,17.44,KKR
JC Archer,1,neutralish,309,137,9,33,13.53,15.22,DC
Ehsan Khan,1,spin,236,144,9,48,9.83,16.0,CSK
Rasikh Salam,2,neutralish,184,105,9,26,10.51,11.67,SRH
SZ Mulani,2,spin,270,168,9,41,9.64,18.67,
Ashwin Das,1,pace,274,168,9,49,9.79,18.67,LSG
Rashid Khan,2,spin,403,265,9,81,9.12,29.44,RCB
Arshad Khan,2,pace,393,222,9,54,10.62,24.67,CSK
A Zampa,2,neutralish,261,180,9,53,8.7,20.0,SRH
JJ Bumrah,2,neutralish,320,185,8,34,10.38,23.12,DC
A Nagwaswalla,2,neutralish,182,114,8,45,9.58,14.25,RR
VG Arora,1,pace,398,264,8,89,9.05,33.0,
A Zampa,1,pace,280,210,8,54,8.0,26.25,SRH
Kuldeep Yadav,2,neutralish,161,107,8,37,9.03,13.38,LSG
AK Markram,2,neutralish,133,76,8,20,10.5,9.5,DC
Kuldeep Yadav,1,neutralish,286,168,8,37,10.21,21.0,LSG
J Overton,2,neutralish,319,186,8,40,10.29,23.25,RR
I Sharma,1,pace,199,120,8,41,9.95,15.0,
J Overton,1,pace,213,114,8,24,11.21,14.25,RR
AJ Tye,2,pace,153,84,8,29,10.93,10.5,
KK Ahmed,2,pace,291,197,8,72,8.86,24.62,
Ramandeep Singh,2,pace,296,186,8,37,9.55,23.25,RCB
Sonu Yadav,2,pace,269,148,8,34,10.91,18.5,CSK
Akash Vasisht,1,neutralish,220,132,8,28,10.0,16.5,DC
Naveen-ul-Haq,2,pace,334,192,8,60,10.44,24.0,
Shaheen Shah Afridi,2,pace,249,129,8,37,11.58,16.12,DC
Geet Puri,1,pace,120,66,8,25,10.91,8.25,CSK
HH Pandya,2,neutralish,272,155,8,41,10.53,19.38,LSG
HV Patel,1,pace,452,264,8,78,10.27,33.0,PBKS
Gurnoor Brar,2,pace,264,150,8,32,10.56,18.75,DC
M Pathirana,2,spin,276,164,8,39,10.1,20.5,CSK
D Wiese,1,pace,348,210,8,63,9.94,26.25,KKR
TA Boult,2,neutralish,278,162,8,45,10.3,20.25,
M Jansen,1,pace,276,186,8,65,8.9,23.25,
HH Pandya,2,spin,363,197,7,37,11.06,28.14,LSG
LS Livingstone,1,neutralish,152,78,7,18,11.69,11.14,PBKS
Fazalhaq Farooqi,1,spin,271,168,7,41,9.68,24.0,GT
J Anderson,1,pace,109,72,7,25,9.08,10.29,
HR Shokeen,2,spin,235,151,7,34,9.34,21.57,
Junaid Siddique,1,pace,176,96,7,45,11.0,13.71,RR
H Ssenyondo,2,neutralish,147,91,7,18,9.69,13.0,LSG
JC Archer,1,spin,137,96,7,36,8.56,13.71,DC
JG Bethell,2,spin,93,58,7,19,9.62,8.29,
M Siddharth,1,neutralish,159,96,7,30,9.94,13.71,GT
HH Pandya,1,neutralish,368,234,7,45,9.44,33.43,LSG
Zeeshan Ansari,2,spin,175,94,7,22,11.17,13.43,RR
MG Bracewell,2,spin,108,84,7,38,7.71,12.0,
Nithish Kumar Reddy,1,pace,314,204,7,41,9.24,29.14,GT
Noor Ahmad,2,neutralish,258,144,7,28,10.75,20.57,KKR
CV Varun,2,pace,378,210,7,35,10.8,30.0,PBKS
CV Varun,1,pace,200,120,7,26,10.0,17.14,PBKS
C Green,1,spin,279,153,7,32,10.94,21.86,KKR
RA Jadeja,1,pace,298,186,7,33,9.61,26.57,CSK
RE van der Merwe,2,spin,178,102,7,34,10.47,14.57,CSK
BA Stokes,2,pace,410,258,7,71,9.53,36.86,
S Dube,2,neutralish,186,108,7,24,10.33,15.43,RR
Ashwin Shelke,2,spin,276,138,7,34,12.0,19.71,DC
Arshad Khan,1,neutralish,206,102,7,25,12.12,14.57,CSK
Shahbaz Ahmed,2,pace,230,138,7,25,10.0,19.71,KKR
Sunil Kumar,1,pace,126,93,7,37,8.13,13.29,MI
Suryansh Shedge,2,neutralish,267,157,7,39,10.2,22.43,KKR
Suryansh Shedge,2,spin,143,90,7,29,9.53,12.86,KKR
Suyash Sharma,2,spin,393,240,7,66,9.82,34.29,
T Natarajan,1,spin,295,174,7,36,10.17,24.86,RR
T Natarajan,2,neutralish,238,141,7,29,10.13,20.14,RR
AD Russell,1,pace,484,264,7,74,11.0,37.71,DC
AD Russell,1,neutralish,298,144,7,27,12.42,20.57,DC
Washington Sundar,2,pace,221,162,7,42,8.19,23.14,RCB
YS Chahal,1,neutralish,293,147,7,41,11.96,21.0,KKR
Nithish Kumar Reddy,2,pace,189,120,7,17,9.45,17.14,GT
R Sai Kishore,2,neutralish,276,161,7,34,10.29,23.0,GT
MP Yadav,1,spin,217,108,7,28,12.06,15.43,KKR
Chirag Jani,2,spin,199,120,7,36,9.95,17.14,RCB
Mustafizur Rahman,1,spin,188,126,7,40,8.95,18.0,
Mayank Dagar,1,neutralish,209,114,7,23,11.0,16.29,DC
Chirag Jani,2,pace,541,319,7,88,10.18,45.57,RCB
DR Sams,1,pace,130,90,7,34,8.67,12.86,
JR Hazlewood,2,spin,185,132,6,40,8.41,22.0,MI
Abdul Samad,2,spin,106,96,6,35,6.62,16.0,KKR
Abhishek Sharma,1,spin,276,174,6,51,9.52,29.0,MI
Sikandar Raza,1,pace,209,114,6,33,11.0,19.0,
JR Hazlewood,2,neutralish,348,210,6,52,9.94,35.0,MI
Shubhang Hegde,1,spin,122,90,6,32,8.13,15.0,LSG
Satyajeet Bachhav,2,spin,94,66,6,25,8.55,11.0,MI
Shahbaz Ahmed,1,pace,261,144,6,32,10.88,24.0,KKR
Suyash Sharma,1,spin,219,162,6,52,8.11,27.0,
Sandeep Sharma,2,spin,243,143,6,39,10.2,23.83,
Sandeep Sharma,2,pace,308,158,6,47,11.7,26.33,
Mohammed Shami,1,spin,209,114,6,31,11.0,19.0,MI
Ashutosh Sharma,2,spin,216,120,6,22,10.8,20.0,GT
Mohammed Siraj,1,pace,265,180,6,66,8.83,30.0,
Avesh Khan,1,spin,128,72,6,23,10.67,12.0,LSG
MR Marsh,2,pace,347,185,6,37,11.25,30.83,KKR
Ashutosh Sharma,2,neutralish,336,216,6,45,9.33,36.0,GT
DR Briggs,1,spin,135,90,6,21,9.0,15.0,RCB
Avesh Khan,2,neutralish,209,126,6,33,9.95,21.0,LSG
J Anderson,2,pace,192,87,6,23,13.24,14.5,
Z Khan,1,pace,106,72,6,22,8.83,12.0,
Yash Thakur,1,pace,266,192,6,54,8.31,32.0,
JA Duffy,1,neutralish,113,72,6,27,9.42,12.0,LSG
YK Pathan,2,spin,144,114,6,38,7.58,19.0,
YK Pathan,1,spin,144,114,6,37,7.58,19.0,
A Zampa,2,pace,168,112,6,23,9.0,18.67,SRH
VG Arora,2,pace,348,228,6,65,9.16,38.0,
DS Airee,2,spin,149,97,6,24,9.22,16.17,DC
MG Erasmus,1,spin,196,144,6,50,8.17,24.0,
Tripuresh Singh,1,pace,164,120,6,46,8.2,20.0,SRH
Tanush Kotian,2,neutralish,296,179,6,33,9.92,29.83,CSK
Tanay Thyagarajan,2,spin,264,120,6,29,13.2,20.0,CSK
AR Ramjani,2,pace,166,119,6,40,8.37,19.83,PBKS
Harpreet Brar,2,spin,328,210,6,56,9.37,35.0,
H Ssenyondo,1,neutralish,70,48,6,15,8.75,8.0,LSG
Avesh Khan,2,spin,158,90,6,26,10.53,15.0,LSG
Mustafizur Rahman,1,pace,200,132,6,41,9.09,22.0,
Mujeeb Ur Rahman,1,spin,179,132,6,50,8.14,22.0,
C Green,2,neutralish,156,98,6,25,9.55,16.33,KKR
R Tewatia,2,spin,166,102,6,24,9.76,17.0,
R Ashwin,2,pace,330,252,6,84,7.86,42.0,PBKS
KA Pollard,2,pace,135,84,6,23,9.64,14.0,RR
GF Linde,2,pace,123,84,6,32,8.79,14.0,GT
RA Jadeja,2,spin,353,215,6,71,9.85,35.83,CSK
R Ashwin,1,spin,376,210,6,56,10.74,35.0,PBKS
Pulkit Narang,2,neutralish,126,79,6,13,9.57,13.17,KKR
RR Patel,1,spin,210,120,6,29,10.5,20.0,
GJ Maxwell,2,neutralish,229,123,6,24,11.17,20.5,DC
