bowler,innings,pitch,runs_conceded,balls,wkts,dots,Eco,SR,Curr_Tm
Sikandar Raza,2,pace,81,48,1,9,10.12,48.0,
Samant Jakhar,1,spin,17,6,1,1,17.0,6.0,
SL Malinga,2,neutralish,95,54,1,9,10.56,54.0,
Abhishek Tanwar,2,spin,55,30,1,8,11.0,30.0,RCB
Sakibul Gani,1,pace,93,42,1,8,13.29,42.0,RR
Ashwin Das,1,neutralish,39,24,1,7,9.75,24.0,LSG
SM Curran,1,neutralish,49,30,1,10,9.8,30.0,RR
Ashwani Kumar,2,neutralish,37,24,1,4,9.25,24.0,
Sunny Sandhu,1,pace,82,48,1,11,10.25,48.0,DC
Abhilash Shetty,2,pace,73,48,1,21,9.12,48.0,MI
CH Morris,2,pace,260,138,1,28,11.3,138.0,
VG Arora,2,neutralish,34,24,1,11,8.5,24.0,
DR Sams,2,neutralish,130,60,1,13,13.0,60.0,
MJ Santner,1,pace,71,36,1,5,11.83,36.0,
MJ Santner,1,neutralish,28,18,1,8,9.33,18.0,
MJ Owen,2,spin,64,36,1,8,10.67,36.0,MI
Prithviraj Shekhawat,1,spin,29,24,1,5,7.25,24.0,
MJ Owen,1,spin,122,72,1,17,10.17,72.0,MI
MG Erasmus,2,spin,21,18,1,9,7.0,18.0,
Jagjit Singh,2,spin,54,24,1,3,13.5,24.0,
MG Bracewell,2,pace,59,36,1,15,9.83,36.0,
Mohammad Amir,1,neutralish,48,24,1,7,12.0,24.0,LSG
MG Bracewell,1,pace,23,12,1,1,11.5,12.0,
MG Bracewell,1,neutralish,60,36,1,10,10.0,36.0,
MADI Hemantha,1,spin,80,48,1,9,10.0,48.0,
Yash Singh,1,spin,57,24,1,5,14.25,24.0,RCB
MA Wood,1,spin,26,18,1,4,8.67,18.0,KKR
DS Rathi,2,neutralish,76,48,1,11,9.5,48.0,LSG
DW Lawrence,1,neutralish,20,18,1,6,6.67,18.0,
MJ Santner,1,spin,83,48,1,11,10.38,48.0,
HJ Manenti,1,spin,43,24,1,7,10.75,24.0,RCB
MM Ali,2,pace,36,24,1,8,9.0,24.0,
MM Ali,2,spin,190,120,1,38,9.5,120.0,
HV Patel,2,neutralish,68,48,1,11,8.5,48.0,PBKS
Gurjapneet Singh,1,pace,48,24,1,7,12.0,24.0,
DL Chahar,1,neutralish,41,24,1,7,10.25,24.0,
V Kaverappa,1,neutralish,31,18,1,8,10.33,18.0,
JN Loftie-Eaton,2,neutralish,89,48,1,11,11.12,48.0,
Yash Thakur,2,neutralish,82,48,1,7,10.25,48.0,
MW Short,1,neutralish,33,24,1,6,8.25,24.0,MI
DL Chahar,1,spin,68,24,1,1,17.0,24.0,
V Nigam,2,pace,191,116,1,13,9.88,116.0,GT
DR Mousley,1,neutralish,29,18,1,2,9.67,18.0,LSG
MP Stoinis,2,spin,59,30,1,5,11.8,30.0,
V Suryavanshi,1,spin,11,6,1,2,11.0,6.0,PBKS
Yash Thakur,1,neutralish,62,42,1,16,8.86,42.0,
MM Sharma,1,spin,52,30,1,6,10.4,30.0,
MM Sharma,1,pace,79,36,1,7,13.17,36.0,
DW Lawrence,1,pace,9,6,1,1,9.0,6.0,
M Shahrukh Khan,2,spin,87,38,1,13,13.74,38.0,
Vidyadhar Patil,1,neutralish,108,72,1,26,9.0,72.0,SRH
Waqar Salamkheil,2,spin,60,24,1,4,15.0,24.0,
K Rabada,2,pace,111,72,1,18,9.25,72.0,
YS Chahal,2,pace,198,104,1,16,11.42,104.0,KKR
LA Dawson,2,neutralish,39,24,1,2,9.75,24.0,
LA Dawson,1,spin,58,24,1,2,14.5,24.0,
L Ngidi,1,neutralish,46,24,1,9,11.5,24.0,RR
Kranthi Kumar,2,pace,24,12,1,2,12.0,12.0,CSK
Khushdil Shah,2,spin,40,24,1,7,10.0,24.0,
Gurnoor Brar,1,neutralish,47,24,1,6,11.75,24.0,DC
Khrievitso Kense,1,pace,37,24,1,4,9.25,24.0,
A Nortje,1,neutralish,50,48,1,16,6.25,48.0,
Kartik Tyagi,1,pace,16,12,1,4,8.0,12.0,
Geet Puri,1,spin,100,48,1,8,12.5,48.0,CSK
A Nagwaswalla,2,spin,47,24,1,8,11.75,24.0,RR
A Mishra,2,spin,45,24,1,5,11.25,24.0,
Gurjapneet Singh,1,neutralish,33,18,1,4,11.0,18.0,
LI Meriwala,1,neutralish,99,72,1,24,8.25,72.0,SRH
LI Meriwala,2,neutralish,62,42,1,10,8.86,42.0,SRH
Junaid Siddique,2,neutralish,52,24,1,5,13.0,24.0,RR
Waqar Salamkheil,1,spin,35,24,1,6,8.75,24.0,
DW Lawrence,2,spin,27,18,1,5,9.0,18.0,
M Poiyamozhi,2,spin,30,18,1,2,10.0,18.0,
M Poiyamozhi,2,pace,105,48,1,5,13.12,48.0,
M Poiyamozhi,1,pace,35,24,1,8,8.75,24.0,
Vraj Patel,2,spin,37,24,1,7,9.25,24.0,
EA Brookes,1,pace,27,18,1,4,9.0,18.0,
K Gowtham,1,neutralish,40,24,1,3,10.0,24.0,
M Markande,2,pace,38,24,1,7,9.5,24.0,SRH
A Sheth,2,neutralish,81,48,1,8,10.12,48.0,
K Gowtham,2,spin,63,48,1,17,7.88,48.0,
K Kartikeya,1,neutralish,15,12,1,4,7.5,12.0,MI
Esakkimuthu A,1,neutralish,37,24,1,6,9.25,24.0,
LS Livingstone,2,pace,41,17,1,3,14.47,17.0,PBKS
Esakkimuthu A,1,spin,40,24,1,6,10.0,24.0,
LS Livingstone,1,pace,162,72,1,11,13.5,72.0,PBKS
DJ Willey,1,spin,43,24,1,10,10.75,24.0,
Mayank Dagar,1,pace,46,24,1,4,11.5,24.0,DC
DJ Hooda,2,spin,19,12,1,2,9.5,12.0,
NA Rathva,1,spin,10,6,1,2,10.0,6.0,
J Overton,2,spin,45,24,1,2,11.25,24.0,RR
Chirag Jani,1,neutralish,48,30,1,3,9.6,30.0,RCB
Nithish Kumar Reddy,2,spin,80,42,1,8,11.43,42.0,GT
Nithish Kumar Reddy,1,spin,74,42,1,4,10.57,42.0,GT
Chirag Jani,2,neutralish,63,42,1,10,9.0,42.0,RCB
D Brevis,1,neutralish,76,42,1,13,10.86,42.0,GT
TM Head,2,neutralish,15,12,1,7,7.5,12.0,KKR
J Suchith,2,pace,34,18,1,3,11.33,18.0,
J Suchith,2,spin,34,24,1,9,8.5,24.0,
Yuvraj Chaudhary,1,spin,48,30,1,7,9.6,30.0,
Naman Dhir,2,spin,29,24,1,10,7.25,24.0,GT
TU Deshpande,2,spin,35,24,1,10,8.75,24.0,
AM Hardie,2,pace,59,42,1,15,8.43,42.0,CSK
D Forrester,1,spin,32,12,1,1,16.0,12.0,MI
NA Rathva,2,spin,15,18,1,8,5.0,18.0,
Cheepurapalli Stephen,2,neutralish,149,69,1,12,12.96,69.0,RR
I Sharma,1,neutralish,52,24,1,2,13.0,24.0,
PHKD Mendis,2,neutralish,53,30,1,4,10.6,30.0,PBKS
A Badoni,2,neutralish,29,18,1,2,9.67,18.0,SRH
Praveen Dubey,2,pace,51,24,1,5,12.75,24.0,MI
Prashant Solanki,2,spin,27,18,1,3,9.0,18.0,CSK
Prashant Solanki,2,pace,49,24,1,5,12.25,24.0,CSK
Zeeshan Ansari,1,pace,45,24,1,5,11.25,24.0,RR
T Stubbs,1,spin,62,24,1,5,15.5,24.0,CSK
Parvej Musaraf,1,neutralish,33,24,1,5,8.25,24.0,
Parth Chandan,2,pace,45,24,1,5,11.25,24.0,DC
I Sharma,1,spin,37,24,1,7,9.25,24.0,
CV Milind,2,neutralish,39,18,1,5,13.0,18.0,PBKS
J Kariko,1,spin,52,24,1,7,13.0,24.0,
AR Ramjani,1,neutralish,22,24,1,5,5.5,24.0,PBKS
PP Chawla,2,neutralish,26,18,1,4,8.67,18.0,
PP Chawla,1,spin,73,36,1,10,12.17,36.0,
PJ Cummins,1,spin,81,42,1,8,11.57,42.0,SRH
JA Duffy,2,neutralish,65,36,1,12,10.83,36.0,LSG
AM Hardie,1,spin,54,30,1,9,10.8,30.0,CSK
A Badoni,2,spin,13,6,1,2,13.0,6.0,SRH
Mohammed Shami,1,neutralish,64,24,1,4,16.0,24.0,MI
Abrar Ahmed,2,pace,49,24,1,5,12.25,24.0,
N Sindhu,2,spin,77,30,1,4,15.4,30.0,DC
Mohammed Siraj,1,spin,44,24,1,7,11.0,24.0,
Harpreet Brar,1,neutralish,118,72,1,17,9.83,72.0,
D Wiese,2,neutralish,134,84,1,16,9.57,84.0,KKR
D Wiese,2,spin,50,28,1,11,10.71,28.0,KKR
DA Payne,2,neutralish,26,24,1,11,6.5,24.0,
DA Payne,2,pace,35,24,1,11,8.75,24.0,
Mohit Redkar,1,pace,44,24,1,3,11.0,24.0,
DAJ Bracewell,1,neutralish,69,48,1,12,8.62,48.0,
Usman Khan (2),1,neutralish,36,18,1,6,12.0,18.0,
Mohammad Ghazanfar,2,pace,41,24,1,5,10.25,24.0,RR
Mohammad Ghazanfar,1,pace,26,18,1,2,8.67,18.0,RR
Mohammad Amir,2,spin,65,24,1,7,16.25,24.0,LSG
Usman Tariq,2,spin,88,44,1,8,12.0,44.0,
Utkarsh Singh,1,pace,49,36,1,9,8.17,36.0,RR
Harsh Tyagi,2,spin,71,42,1,17,10.14,42.0,
KK Ahmed,2,neutralish,123,66,1,21,11.18,66.0,
JG Bethell,1,neutralish,129,66,1,12,11.73,66.0,
JD Unadkat,2,spin,30,24,1,6,7.5,24.0,
Yudhvir Singh,1,spin,136,66,1,20,12.36,66.0,RR
Harshit Rana,1,neutralish,61,42,1,14,8.71,42.0,
N Burger,1,pace,37,24,1,10,9.25,24.0,
D Forrester,2,pace,65,45,1,13,8.67,45.0,MI
Taskin Ahmed,2,pace,67,48,1,18,8.38,48.0,
Mohit Redkar,1,spin,33,24,1,7,8.25,24.0,
Mujeeb Ur Rahman,2,pace,34,24,1,6,8.5,24.0,
D Visser,1,spin,41,30,1,6,8.2,30.0,
Yudhvir Singh,1,neutralish,93,48,1,16,11.62,48.0,RR
Mohsin Khan,1,pace,41,24,1,9,10.25,24.0,
Mohsin Khan,1,neutralish,33,18,1,5,11.0,18.0,
Yash Thakur,1,spin,34,18,0,5,11.33,inf,
A Kamboj,2,spin,47,24,0,5,11.75,inf,
A Mishra,1,neutralish,35,24,0,5,8.75,inf,
Yash Raj Punja,1,neutralish,41,24,0,2,10.25,inf,
A Badoni,2,pace,4,1,0,0,24.0,inf,SRH
Shashwat Dangwal,2,spin,35,18,0,7,11.67,inf,
Yash Raj Punja,1,spin,67,24,0,2,16.75,inf,
A Badoni,1,spin,6,6,0,0,6.0,inf,SRH
Siddhesh Veer,1,neutralish,36,24,0,6,9.0,inf,MI
Shubhang Hegde,2,neutralish,41,24,0,4,10.25,inf,LSG
Shubhang Hegde,2,pace,37,18,0,1,12.33,inf,LSG
Yuvraj Singh,1,neutralish,37,18,0,6,12.33,inf,
A Kamboj,1,spin,50,24,0,5,12.5,inf,
AS Roy,2,pace,92,54,0,11,10.22,inf,
YK Pathan,2,neutralish,50,36,0,2,8.33,inf,
TM Head,2,spin,13,12,0,5,6.5,inf,KKR
Sunny Sandhu,2,spin,20,12,0,3,10.0,inf,DC
Tilak Varma,2,neutralish,51,24,0,3,12.75,inf,CSK
Tilak Varma,1,spin,19,12,0,1,9.5,inf,CSK
AK Markram,2,pace,11,3,0,0,22.0,inf,DC
AM Hardie,1,neutralish,43,24,0,6,10.75,inf,CSK
AM Hardie,1,pace,46,24,0,5,11.5,inf,CSK
Abhilash Shetty,1,pace,73,36,0,11,12.17,inf,MI
AM Rahane,1,pace,14,6,0,1,14.0,inf,
Suyash Sharma,1,neutralish,37,24,0,6,9.25,inf,
TM Head,1,spin,91,54,0,13,10.11,inf,KKR
A Nortje,2,neutralish,45,24,0,3,11.25,inf,
TM Head,1,pace,31,12,0,1,15.5,inf,KKR
TK Curran,2,pace,43,24,0,5,10.75,inf,
Suyash Sharma,2,pace,109,66,0,22,9.91,inf,
TH David,1,pace,23,6,0,1,23.0,inf,
Abdul Samad,1,neutralish,73,30,0,5,14.6,inf,KKR
T Stubbs,2,spin,21,12,0,4,10.5,inf,CSK
Swapnil Singh,2,pace,46,28,0,3,9.86,inf,
AU Rashid,2,spin,59,24,0,4,14.75,inf,
AS Roy,1,pace,20,12,0,4,10.0,inf,
Sunny Sandhu,2,pace,63,36,0,8,10.5,inf,DC
AJ Tye,2,neutralish,31,12,0,1,15.5,inf,
Sunny Sandhu,1,neutralish,34,24,0,12,8.5,inf,DC
Sumit Kumar,1,pace,10,6,0,2,10.0,inf,
A Nortje,2,spin,29,15,0,2,11.6,inf,
Abhishek Tanwar,1,spin,27,12,0,3,13.5,inf,RCB
Simarjeet Singh,2,pace,37,24,0,3,9.25,inf,
Washington Sundar,1,pace,166,90,0,13,11.07,inf,RCB
WL Madsen,2,spin,31,18,0,6,10.33,inf,MI
WL Madsen,2,neutralish,10,6,0,2,10.0,inf,MI
AA Kulkarni,1,neutralish,19,12,0,2,9.5,inf,SRH
AA Kulkarni,1,pace,32,24,0,9,8.0,inf,SRH
Vraj Patel,1,spin,39,24,0,7,9.75,inf,
Vidyadhar Patil,2,pace,41,18,0,3,13.67,inf,SRH
VR Iyer,2,neutralish,38,24,0,1,9.5,inf,SRH
VR Iyer,1,spin,42,18,0,3,14.0,inf,SRH
Sonu Yadav,2,spin,64,30,0,4,12.8,inf,CSK
AA Kulkarni,2,pace,26,12,0,1,13.0,inf,SRH
V Suryavanshi,2,spin,9,6,0,2,9.0,inf,PBKS
V Puthur,1,neutralish,30,18,0,3,10.0,inf,RCB
V Kohli,2,pace,26,12,0,3,13.0,inf,LSG
Abhishek Sharma,2,neutralish,75,36,0,3,12.5,inf,MI
Abhishek Sharma,1,pace,86,54,0,13,9.56,inf,MI
Tilak Varma,2,spin,56,24,0,8,14.0,inf,CSK
Ihsanullah,1,pace,41,24,0,9,10.25,inf,
Akash Deep,1,neutralish,38,24,0,6,9.5,inf,
Mohammed Siraj,1,neutralish,50,24,0,5,12.5,inf,
MK Lomror,2,spin,13,6,0,2,13.0,inf,
MJ Suthar,2,spin,77,48,0,7,9.62,inf,
DR Mousley,2,neutralish,32,24,0,6,8.0,inf,LSG
DR Mousley,2,pace,39,24,0,1,9.75,inf,LSG
MJ Henry,1,neutralish,53,24,0,6,13.25,inf,
MG Erasmus,2,neutralish,26,18,0,7,8.67,inf,
MG Erasmus,1,neutralish,39,24,0,6,9.75,inf,
MA Wood,2,pace,68,42,0,9,9.71,inf,KKR
DS Airee,2,neutralish,44,24,0,4,11.0,inf,DC
M Siddharth,2,pace,35,24,0,7,8.75,inf,GT
M Shahrukh Khan,1,spin,60,24,0,3,15.0,inf,
A Badoni,1,pace,10,6,0,1,10.0,inf,SRH
DW Lawrence,2,neutralish,78,42,0,4,11.14,inf,
Darshan Misal,1,pace,31,24,0,3,7.75,inf,
EA Brookes,1,spin,15,12,0,1,7.5,inf,
EA Brookes,2,pace,3,6,0,4,3.0,inf,
Easwaran K,1,neutralish,62,24,0,4,15.5,inf,DC
M Jansen,2,spin,44,24,0,5,11.0,inf,
Ehsan Khan,2,pace,40,24,0,3,10.0,inf,CSK
M Jansen,2,neutralish,37,18,0,3,12.33,inf,
M Jansen,1,neutralish,66,36,0,7,11.0,inf,
MM Sharma,2,pace,29,12,0,1,14.5,inf,
MP Stoinis,1,spin,119,54,0,3,13.22,inf,
MP Stoinis,2,neutralish,9,6,0,1,9.0,inf,
Manvanth Kumar L,1,spin,51,30,0,6,10.2,inf,
DA Payne,1,spin,56,36,0,15,9.33,inf,
Mohammad Nabi,2,pace,52,24,0,3,13.0,inf,
DG Nalkande,2,pace,36,24,0,8,9.0,inf,
DJ Hooda,2,neutralish,17,12,0,2,8.5,inf,
DJ Hooda,2,pace,14,12,0,6,7.0,inf,
Mohammad Amir,2,neutralish,69,24,0,2,17.25,inf,LSG
Mayank Rawat,2,spin,41,24,0,4,10.25,inf,
Mayank Rawat,2,neutralish,19,12,0,5,9.5,inf,
DJ Willey,2,pace,36,18,0,5,12.0,inf,
Mangesh Yadav,1,pace,32,18,0,7,10.67,inf,GT
DR Mousley,1,spin,88,54,0,9,9.78,inf,LSG
MW Short,2,pace,6,6,0,3,6.0,inf,MI
MW Short,2,neutralish,34,18,0,1,11.33,inf,MI
MS Chapman,2,spin,23,12,0,1,11.5,inf,
MS Chapman,1,spin,26,12,0,2,13.0,inf,
DL Chahar,1,pace,28,24,0,9,7.0,inf,
MR Marsh,2,neutralish,105,48,0,7,13.12,inf,KKR
MR Adair,2,spin,37,18,0,3,12.33,inf,
DM Gondaria,2,pace,62,24,0,3,15.5,inf,
DR Mousley,1,pace,98,54,0,8,10.89,inf,LSG
Lalit Yadav,2,spin,23,18,0,4,7.67,inf,
Faisal Khan,1,pace,12,6,0,1,12.0,inf,
LI Meriwala,1,spin,46,24,0,5,11.5,inf,SRH
Hassan Nawaz,1,pace,15,6,0,0,15.0,inf,
Jagjit Singh,1,neutralish,39,18,0,1,13.0,inf,
HR Shokeen,2,pace,47,18,0,1,15.67,inf,
HTRY Thornton,1,pace,44,24,0,3,11.0,inf,
JO Holder,1,spin,38,24,0,5,9.5,inf,
JM Coles,2,neutralish,17,12,0,2,8.5,inf,
JG Bethell,2,pace,10,6,0,2,10.0,inf,
JE Root,1,spin,79,36,0,6,13.17,inf,SRH
JD Unadkat,2,neutralish,59,24,0,0,14.75,inf,
Harshit Rana,2,spin,42,18,0,3,14.0,inf,
Hemang Patel,1,pace,3,6,0,4,3.0,inf,
Jaskaran Singh,2,pace,28,12,0,3,14.0,inf,
Hemang Patel,2,neutralish,72,42,0,8,10.29,inf,
J Suchith,1,spin,71,48,0,14,8.88,inf,
J Miyaji,1,pace,10,24,0,17,2.5,inf,
J Kariko,2,spin,64,24,0,5,16.0,inf,
J Anderson,2,spin,25,9,0,1,16.67,inf,
I Sharma,2,neutralish,37,18,0,5,12.33,inf,
IC Porel,1,neutralish,29,18,0,3,9.67,inf,
IC Porel,2,neutralish,30,18,0,3,10.0,inf,
Imran Tahir,1,pace,47,24,0,6,11.75,inf,KKR
Jaskaran Singh,1,pace,17,12,0,5,8.5,inf,
Jay Gohil,1,pace,39,18,0,1,13.0,inf,MI
LH Ferguson,2,neutralish,52,21,0,4,14.86,inf,
Kaleem Sana,1,pace,47,24,0,8,11.75,inf,
LH Ferguson,1,neutralish,44,24,0,6,11.0,inf,
L Ngidi,2,pace,127,78,0,25,9.77,inf,RR
G Sai Venkata Sumith,2,pace,11,6,0,0,11.0,inf,
Kranthi Kumar,1,spin,39,24,0,1,9.75,inf,CSK
Khushdil Shah,1,pace,35,18,0,2,11.67,inf,
Khrievitso Kense,2,pace,37,24,0,4,9.25,inf,
Khrievitso Kense,2,neutralish,25,18,0,6,8.33,inf,
Kartik Tyagi,1,spin,26,12,0,0,13.0,inf,
Kaleem Sana,2,pace,41,24,0,11,10.25,inf,
KR Sen,2,pace,51,36,0,12,8.5,inf,
Junaid Siddique,1,neutralish,50,24,0,5,12.5,inf,RR
KH Pandya,2,neutralish,46,24,0,1,11.5,inf,SRH
KA Pollard,2,spin,25,13,0,5,11.54,inf,RR
Gurnoor Brar,1,spin,45,24,0,6,11.25,inf,DC
KA Pollard,1,spin,75,36,0,6,12.5,inf,RR
Gurnoor Brar,2,spin,57,24,0,2,14.25,inf,DC
K Rabada,2,neutralish,43,24,0,3,10.75,inf,
K Rabada,1,spin,28,18,0,6,9.33,inf,
HB Shipley,1,pace,54,24,0,4,13.5,inf,LSG
K Gowtham,1,pace,25,18,0,4,8.33,inf,
Mohammed Shami,2,spin,110,67,0,19,9.85,inf,MI
Mohammed Siraj,2,neutralish,28,18,0,6,9.33,inf,
Shashank Singh,1,neutralish,50,36,0,14,8.33,inf,PBKS
Mohammed Siraj,2,spin,80,39,0,6,12.31,inf,
S Gopal,2,neutralish,69,40,0,14,10.35,inf,
Atharva Taide,1,neutralish,6,6,0,2,6.0,inf,RCB
Auqib Nabi,2,pace,41,24,0,7,10.25,inf,
Azmatullah Omarzai,1,neutralish,64,36,0,8,10.67,inf,
B Sai Sudharsan,1,neutralish,69,36,0,4,11.5,inf,MI
BA Stokes,1,spin,50,24,0,6,12.5,inf,
BA Stokes,2,neutralish,132,72,0,13,11.0,inf,
BJ Dwarshuis,2,pace,35,18,0,0,11.67,inf,
BJ McMullen,1,neutralish,97,54,0,12,10.78,inf,RCB
BJ McMullen,2,neutralish,72,42,0,6,10.29,inf,RCB
Ramandeep Singh,1,spin,12,6,0,0,12.0,inf,RCB
Rahul Singh,1,pace,14,6,0,2,14.0,inf,
RR Patel,2,neutralish,54,36,0,4,9.0,inf,
RG Sharma,2,spin,50,18,0,2,16.67,inf,KKR
RE van der Merwe,2,pace,17,15,0,4,6.8,inf,CSK
Bal Krishna,2,pace,39,18,0,0,13.0,inf,
RD Chahar,1,pace,136,66,0,9,12.36,inf,
Bilal Zalmai,1,pace,68,24,0,1,17.0,inf,
RA Bawa,2,spin,40,30,0,6,8.0,inf,SRH
RA Bawa,2,neutralish,8,6,0,1,8.0,inf,SRH
R Tewatia,2,neutralish,8,6,0,0,8.0,inf,
SL Malinga,2,spin,28,18,0,5,9.33,inf,
SR Watson,1,neutralish,8,6,0,1,8.0,inf,
SS Agarwal,1,spin,47,42,0,20,6.71,inf,
Shadab Khan,2,neutralish,49,42,0,9,7.0,inf,
Shakib Al Hasan,2,pace,14,6,0,2,14.0,inf,
Shakib Al Hasan,2,neutralish,56,30,0,10,11.2,inf,
Shakib Al Hasan,1,pace,41,24,0,5,10.25,inf,
Shakib Al Hasan,1,neutralish,46,24,0,7,11.5,inf,
Akash Deep,2,pace,124,71,0,17,10.48,inf,
Akash Madhwal,2,spin,40,16,0,3,15.0,inf,
Akash Pawar,2,spin,52,24,0,3,13.0,inf,
Akash Vasisht,2,pace,25,24,0,6,6.25,inf,DC
Shadab Khan,2,pace,36,24,0,2,9.0,inf,
Akhil Scaria,1,neutralish,53,24,0,5,13.25,inf,GT
SS Agarwal,2,spin,50,24,0,5,12.5,inf,
Sanvir Singh,1,neutralish,10,6,0,1,10.0,inf,
Samant Jakhar,2,spin,26,12,0,4,13.0,inf,
Samant Jakhar,2,pace,33,12,0,3,16.5,inf,
Sakibul Gani,1,spin,16,6,0,2,16.0,inf,RR
Sairaj Patil,2,pace,4,6,0,2,4.0,inf,KKR
Sairaj Patil,1,spin,41,24,0,7,10.25,inf,KKR
Aman Bhadoriya,1,pace,21,12,0,0,10.5,inf,
SZ Mulani,1,neutralish,41,24,0,5,10.25,inf,
Arshad Khan,2,neutralish,111,60,0,10,11.1,inf,CSK
C Connolly,1,spin,32,18,0,4,10.67,inf,GT
C Connolly,2,neutralish,26,18,0,5,8.67,inf,GT
R Ravindra,1,spin,40,18,0,2,13.33,inf,
NA Rathva,1,neutralish,23,18,0,6,7.67,inf,
Nithish Kumar Reddy,2,neutralish,212,107,0,10,11.89,inf,GT
D Brevis,1,pace,34,24,0,6,8.5,inf,GT
D Brevis,2,neutralish,31,18,0,3,10.33,inf,GT
D Brevis,2,pace,12,6,0,3,12.0,inf,GT
Naman Tiwari,2,neutralish,26,24,0,8,6.5,inf,CSK
Naman Dhir,2,neutralish,6,6,0,1,6.0,inf,GT
Naman Dhir,1,pace,19,6,0,0,19.0,inf,GT
D Ferreira,2,spin,19,12,0,3,9.5,inf,
D Forrester,1,neutralish,37,24,0,1,9.25,inf,MI
N Wadhera,2,neutralish,10,6,0,0,10.0,inf,
OEG Baartman,1,neutralish,43,24,0,4,10.75,inf,
N Sindhu,2,pace,26,12,0,1,13.0,inf,DC
N Sindhu,1,spin,25,12,0,1,12.5,inf,DC
N Rana,1,spin,82,48,0,10,10.25,inf,GT
D Potgieter,1,pace,54,24,0,5,13.5,inf,
D Potgieter,2,pace,77,48,0,13,9.62,inf,
Mustafizur Rahman,1,neutralish,76,42,0,4,10.86,inf,
D Visser,2,pace,22,6,0,0,22.0,inf,
D Wiese,1,neutralish,20,12,0,3,10.0,inf,KKR
Mohit Avasthi,1,pace,36,24,0,6,9.0,inf,
Cheepurapalli Stephen,2,spin,38,18,0,0,12.67,inf,RR
PJ Cummins,1,neutralish,94,60,0,16,9.4,inf,SRH
R Powell,2,pace,43,30,0,3,8.6,inf,
CH Morris,2,neutralish,57,24,0,2,14.25,inf,
R Powell,2,neutralish,21,12,0,2,10.5,inf,
R Powell,1,spin,7,6,0,2,7.0,inf,
R Powell,1,neutralish,6,6,0,1,6.0,inf,
R Parag,2,pace,100,54,0,6,11.11,inf,GT
R Parag,1,pace,22,12,0,3,11.0,inf,GT
CH Gayle,1,pace,10,6,0,1,10.0,inf,RCB
R Ashwin,2,neutralish,77,42,0,11,11.0,inf,PBKS
CH Gayle,2,neutralish,9,6,0,0,9.0,inf,RCB
CH Morris,1,spin,15,6,0,2,15.0,inf,
Prithviraj Shekhawat,2,spin,53,24,0,4,13.25,inf,
PN Mankad,1,pace,4,6,0,2,4.0,inf,
Praveen Dubey,1,neutralish,42,24,0,5,10.5,inf,MI
Ihsanullah,2,pace,52,24,0,4,13.0,inf,
Parvej Musaraf,2,spin,48,24,0,8,12.0,inf,
CJ Green,1,spin,21,24,0,9,5.25,inf,
Pankaj Jaswal,2,pace,36,18,0,6,12.0,inf,
CV Milind,1,neutralish,41,24,0,8,10.25,inf,PBKS
CV Milind,1,pace,48,42,0,19,6.86,inf,PBKS
CV Milind,2,pace,33,24,0,5,8.25,inf,PBKS
PP Chawla,2,pace,38,23,0,5,9.91,inf,
A Badoni,1,neutralish,11,6,0,1,11.0,inf,SRH
