player,team,points_bat,points_ball,total_points
A Mhatre,KKR,54.20561290322581,0.0,54.20561290322581
Mohsin Khan,RCB,0.0,53.11081167148041,53.11081167148041
Mustafizur Rahman,DC,0.0,47.90212698412699,47.90212698412699
Shahbaz Ahmed,LSG,0.0,42.69317647058823,42.69317647058823
Jagjit Singh,CSK,0.0,42.26364759022936,42.26364759022936
RG Sharma,PBKS,38.92030303030303,0.0,38.92030303030303
MK Lomror,SRH,36.6387037037037,0.0,36.6387037037037
AS Roy,SRH,0.0,34.78133333333334,34.78133333333334
I Sharma,GT,0.0,33.8917096498719,33.8917096498719
Akash Deep,SRH,0.0,33.86750841750842,33.86750841750842
Yash Dayal,LSG,0.0,0.0,0.0
Mohit Avasthi,MI,0.0,0.0,0.0
S Gopal,DC,0.0,0.0,0.0
A Kamboj,RR,0.0,0.0,0.0
Gurjapneet Singh,LSG,0.0,0.0,0.0
Kartik Tyagi,PBKS,0.0,0.0,0.0
Cheepurapalli Stephen,DC,0.0,0.0,0.0
DL Chahar,PBKS,0.0,0.0,0.0
K Rabada,DC,0.0,0.0,0.0
KK Ahmed,GT,0.0,0.0,0.0
Lalit Yadav,RCB,0.0,0.0,0.0
SM Curran,KKR,0.0,0.0,0.0
Sumit Kumar,DC,0.0,0.0,0.0
V Kaverappa,SRH,0.0,0.0,0.0
Mohammad Ghazanfar,CSK,0.0,0.0,0.0
Azmatullah Omarzai,RR,0.0,0.0,0.0
SB Dubey,GT,0.0,0.0,0.0
D Padikkal,GT,0.0,0.0,0.0
G Coetzee,KKR,0.0,0.0,0.0
Sanvir Singh,SRH,0.0,0.0,0.0
CJ Green,RCB,0.0,0.0,0.0
A Manohar,GT,0.0,0.0,0.0
M Shahrukh Khan,RCB,0.0,0.0,0.0
LH Ferguson,MI,0.0,0.0,0.0
PN Mankad,SRH,0.0,0.0,0.0
MA Agarwal,CSK,0.0,0.0,0.0
D Brevis,PBKS,0.0,0.0,0.0
DA Miller,PBKS,0.0,0.0,0.0
Samarth Vyas,MI,0.0,0.0,0.0
R Powell,KKR,0.0,0.0,0.0
HS Desai,DC,0.0,0.0,0.0
LUVNITH SISODIA,RR,0.0,0.0,0.0
MJ Henry,RR,0.0,0.0,0.0
