bowler,bowling_team,num_innings,dots,balls,dot_%
Shahbaz Ahmed,LSG,2,14,48,29.17
V Nigam,GT,3,14,54,25.93
Naveen-ul-Haq,SRH,2,13,45,28.89
MR Marsh,DC,2,12,48,25.0
Ashwani Kumar,RR,3,12,54,22.22
JD Unadkat,SRH,3,12,72,16.67
Jagjit Singh,CSK,3,11,66,16.67
JO Holder,SRH,4,11,78,14.1
Mohammad Ghazanfar,CSK,1,10,24,41.67
GF Linde,RR,2,10,48,20.83
LH Ferguson,MI,1,9,24,37.5
CJ Green,RCB,1,9,24,37.5
Akash Deep,SRH,2,9,48,18.75
KK Ahmed,GT,1,8,18,44.44
SM Curran,KKR,1,8,24,33.33
Mohsin Khan,RCB,2,8,42,19.05
V Kaverappa,SRH,1,7,24,29.17
G Coetzee,KKR,1,7,24,29.17
R Tewatia,RR,3,7,36,19.44
I Sharma,GT,2,7,42,16.67
S Gopal,DC,1,6,24,25.0
Mohit Avasthi,MI,1,6,24,25.0
MJ Henry,RR,1,6,24,25.0
JG Bethell,SRH,1,5,18,27.78
Yash Dayal,LSG,1,5,18,27.78
DL Chahar,PBKS,1,5,24,20.83
TM Head,CSK,1,5,24,20.83
KA Pollard,CSK,3,5,24,20.83
AS Roy,SRH,2,5,24,20.83
MM Sharma,MI,2,5,30,16.67
MP Stoinis,PBKS,3,5,36,13.89
Lalit Yadav,RCB,1,4,18,22.22
Sumit Kumar,DC,2,4,18,22.22
DS Airee,RCB,1,4,24,16.67
Kartik Tyagi,PBKS,2,4,24,16.67
A Kamboj,RR,1,4,24,16.67
M Shahrukh Khan,RCB,1,3,12,25.0
N Sindhu,DC,1,3,18,16.67
S Dube,RR,3,3,18,16.67
Azmatullah Omarzai,RR,1,3,18,16.67
K Rabada,DC,1,3,24,12.5
MK Lomror,SRH,1,2,6,33.33
Rahul Singh,MI,1,2,6,33.33
GD Phillips,GT,1,2,12,16.67
VR Iyer,SRH,1,2,12,16.67
Nithish Kumar Reddy,GT,1,1,12,8.33
