bowler,bowling_team,num_innings,dots,balls,dot_%
H Ssenyondo,LSG,3,21,72,29.17
Hemang Patel,GT,8,21,72,29.17
GD Phillips,GT,5,20,66,30.3
Ravi Bishnoi,LSG,4,19,66,28.79
RD Chahar,CSK,6,19,84,22.62
Ramandeep Singh,LSG,10,19,120,15.83
Jagjit Singh,SRH,2,18,42,42.86
S Gopal,GT,2,18,48,37.5
SS Ghosh,MI,3,18,54,33.33
RA Jadeja,RCB,6,18,90,20.0
DJ Bravo,RCB,4,17,66,25.76
C Sakariya,SRH,3,17,72,23.61
TM Head,GT,4,16,54,29.63
CH Morris,DC,4,16,72,22.22
D Ferreira,DC,2,15,36,41.67
TU Deshpande,MI,3,15,60,25.0
RS Hangargekar,MI,3,15,72,20.83
Rasikh Salam,GT,5,15,120,12.5
R Parag,GT,7,14,60,23.33
DS Airee,RCB,2,13,36,36.11
Ihsanullah,DC,2,13,48,27.08
MR Marsh,SRH,4,11,42,26.19
Arshad Khan,RR,8,11,66,16.67
Abhishek Sharma,MI,7,11,70,15.71
KC Cariappa,MI,1,10,24,41.67
Waqar Salamkheil,PBKS,2,10,48,20.83
KH Pandya,SRH,1,9,18,50.0
KA Pollard,CSK,4,9,30,30.0
BJ McMullen,RR,5,9,54,16.67
Harshit Rana,KKR,1,8,18,44.44
NA Rathva,RCB,3,8,24,33.33
Jaskaran Singh,KKR,2,8,24,33.33
Yash Thakur,PBKS,2,8,42,19.05
Swapnil Singh,CSK,1,7,24,29.17
I Sharma,RCB,1,7,24,29.17
Utkarsh Singh,PBKS,2,7,24,29.17
AA Kulkarni,GT,3,7,30,23.33
A Zampa,RR,2,7,43,16.28
Akshay Karnewar,PBKS,1,6,12,50.0
Ashwani Kumar,RR,1,6,18,33.33
SN Thakur,GT,1,6,24,25.0
SN Netravalkar,CSK,1,6,24,25.0
SZ Mulani,LSG,1,6,24,25.0
GJ Maxwell,RR,7,6,48,12.5
A Sheth,DC,1,5,24,20.83
SS Agarwal,DC,1,5,24,20.83
K Kartikeya,GT,1,4,24,16.67
Harpreet Brar,RR,2,4,42,9.52
WL Madsen,MI,1,3,6,50.0
Cheepurapalli Stephen,CSK,1,3,24,12.5
Shivank Vashisth,RCB,1,3,24,12.5
M Markande,SRH,1,3,24,12.5
JG Bethell,LSG,1,2,6,33.33
Sanvir Singh,LSG,1,2,12,16.67
Sumit Kumar,DC,1,2,18,11.11
HV Patel,RR,1,2,18,11.11
Tilak Varma,CSK,1,1,6,16.67
