player,team,points
Mohammed Shami,GT,209
AM Rahane,MI,204
AB de Villiers,RR,199
Hemang Patel,GT,199
PHKD Mendis,SRH,199
Ramandeep Singh,LSG,197
T Banton,MI,192
Pulkit Narang,RR,188
Babar Azam,KKR,182
TM Head,GT,177
M Siddharth,CSK,176
Shashwat Rawat,PBKS,172
N Wadhera,KKR,172
Harsh Dubey,RCB,168
AHT Donald,RCB,166
Mayank Dagar,LSG,160
KK Ahmed,RR,154
BA Stokes,SRH,154
Dhruv Jurel,RCB,152
RA Bawa,SRH,149
VG Arora,KKR,146
Atharva Ankolekar,MI,143
DJ Bravo,RCB,137
Shakib Al Hasan,PBKS,137
D Ferreira,DC,136
PJ Cummins,RR,130
Ishan Kishan,MI,125
PP Shaw,RCB,123
Rashid Khan,RR,121
Waseem Muhammad,DC,120
AA Kulkarni,GT,119
DS Airee,RCB,119
Harsh Tyagi,SRH,118
Jagjit Singh,SRH,115
M Jansen,SRH,114
RR Rossouw,SRH,109
MS Pepper,RR,109
RD Chahar,CSK,107
V Puthur,DC,104
HC Brook,MI,93
C Sakariya,SRH,88
Gaurav Puri,CSK,85
RS Hangargekar,MI,81
TU Deshpande,MI,79
S Gopal,GT,77
SN Thakur,GT,74
Akshay Karnewar,PBKS,74
MS Dhoni,CSK,73
Waqar Salamkheil,PBKS,66
Ravi Bishnoi,LSG,65
SR Hain,MI,62
A Zampa,RR,60
Faisal Khan,LSG,59
Utkarsh Singh,PBKS,56
DP Conway,PBKS,56
Sumit Kumar,DC,50
I Sharma,RCB,49
NA Rathva,RCB,47
A Sheth,DC,45
RR Pant,GT,45
KC Cariappa,MI,44
Yuvraj Chaudhary,GT,43
Rasikh Salam,GT,41
Jaskaran Singh,KKR,39
Harshit Rana,KKR,37
Yash Thakur,PBKS,36
Swapnil Singh,CSK,36
SN Netravalkar,CSK,33
Ashwani Kumar,RR,33
CH Morris,DC,29
Cheepurapalli Stephen,CSK,27
Sanvir Singh,LSG,26
Shivank Vashisth,RCB,25
Ihsanullah,DC,20
KH Pandya,SRH,20
HS Desai,PBKS,18
MK Lomror,SRH,18
DJ Hooda,DC,16
SZ Mulani,LSG,14
AV Wankhade,CSK,12
SB Dubey,PBKS,7
SPD Smith,CSK,5
K Kartikeya,GT,5
D Padikkal,KKR,4
RK Bhui,KKR,3
JG Bethell,LSG,0
Ishaan Gadekar,RCB,0
BM Duckett,RCB,0
HV Patel,RR,0
SS Agarwal,DC,0
Samarth Vyas,KKR,-1
M Markande,SRH,-2
F du Plessis,GT,-3
Harpreet Brar,RR,-3
Kartik Sharma,SRH,-6
R Powell,KKR,-6
Vishnu Vinod,RR,-9
