bowler,bowling_team,num_innings,wkts,balls,strike_rate,wkt_contribution_%
Shahbaz Ahmed,GT,4,8,96,12.0,6.61
Avesh Khan,GT,6,8,126,15.75,6.61
R Ashwin,KKR,5,8,98,12.25,6.45
LS Livingstone,KKR,6,8,98,12.25,6.45
JDS Neesham,DC,12,7,282,40.29,6.31
SS Ghosh,MI,3,7,54,7.71,6.25
V Nigam,MI,5,7,108,15.43,6.25
R Sai Kishore,MI,9,7,202,28.86,6.25
Naveen-ul-Haq,SRH,5,7,120,17.14,5.93
Khrievitso Kense,RCB,9,8,216,27.0,5.84
GD Phillips,GT,5,7,66,9.43,5.79
Mohammad Nabi,LSG,8,8,186,23.25,5.52
Akash Vasisht,DC,6,6,132,22.0,5.41
Sikandar Raza,MI,5,6,96,16.0,5.36
MP Yadav,PBKS,6,6,133,22.17,5.13
MG Erasmus,RCB,9,7,204,29.14,5.11
Nithish Kumar Reddy,SRH,12,6,180,30.0,5.08
D Brevis,RR,11,7,174,24.86,5.07
Mohammed Shami,GT,4,6,90,15.0,4.96
DS Rathi,KKR,3,6,72,12.0,4.84
Ashwin Das,LSG,4,7,96,13.71,4.83
Khushdil Shah,DC,6,5,138,27.6,4.5
DAJ Bracewell,RCB,6,6,134,22.33,4.38
Yudhvir Singh,RCB,4,6,78,13.0,4.38
BA Stokes,SRH,5,5,108,21.6,4.24
Abdul Samad,LSG,11,6,108,18.0,4.14
H Ssenyondo,LSG,3,6,72,12.0,4.14
Harsh Dubey,RCB,6,5,114,22.8,3.65
RA Jadeja,RCB,7,5,102,20.4,3.65
JN Loftie-Eaton,RR,5,5,103,20.6,3.62
Atharva Ankolekar,MI,3,4,67,16.75,3.57
Azmatullah Omarzai,LSG,6,5,144,28.8,3.45
Mayank Dagar,LSG,4,5,78,15.6,3.45
JJ Smit,PBKS,6,4,138,34.5,3.42
M Siddharth,CSK,7,4,132,33.0,3.36
VG Arora,KKR,3,4,72,18.0,3.23
KK Ahmed,RR,4,4,84,21.0,2.9
PJ Cummins,RR,4,4,90,22.5,2.9
Pulkit Narang,RR,6,4,132,33.0,2.9
Ramandeep Singh,LSG,10,4,120,30.0,2.76
Abhishek Sharma,MI,7,3,70,23.33,2.68
Chirag Jani,PBKS,8,3,114,38.0,2.56
Harsh Tyagi,SRH,5,3,72,24.0,2.54
M Jansen,SRH,3,3,72,24.0,2.54
MR Marsh,SRH,5,3,54,18.0,2.54
RD Chahar,CSK,6,3,84,28.0,2.52
R Parag,GT,7,3,60,20.0,2.48
Hemang Patel,GT,8,3,72,24.0,2.48
DJ Bravo,RCB,4,3,66,22.0,2.19
BJ McMullen,RR,5,3,54,18.0,2.17
Arshad Khan,RR,8,3,66,22.0,2.17
D Ferreira,DC,2,2,36,18.0,1.8
V Puthur,DC,4,2,84,42.0,1.8
AD Russell,DC,8,2,180,90.0,1.8
RS Hangargekar,MI,3,2,72,36.0,1.79
TU Deshpande,MI,3,2,60,30.0,1.79
Waqar Salamkheil,PBKS,2,2,48,24.0,1.71
Shakib Al Hasan,PBKS,7,2,132,66.0,1.71
PHKD Mendis,SRH,10,2,96,48.0,1.69
RA Bawa,SRH,10,2,120,60.0,1.69
C Sakariya,SRH,3,2,72,36.0,1.69
Jagjit Singh,SRH,2,2,42,21.0,1.69
S Gopal,GT,2,2,48,24.0,1.65
AA Kulkarni,GT,3,2,30,15.0,1.65
SN Thakur,GT,1,2,24,12.0,1.65
MP Stoinis,KKR,10,2,144,72.0,1.61
DS Airee,RCB,2,2,36,18.0,1.46
Rashid Khan,RR,5,2,114,57.0,1.45
A Zampa,RR,2,2,43,21.5,1.45
Ravi Bishnoi,LSG,4,2,66,33.0,1.38
A Sheth,DC,1,1,24,24.0,0.9
Sumit Kumar,DC,1,1,18,18.0,0.9
KC Cariappa,MI,1,1,24,24.0,0.89
Akshay Karnewar,PBKS,1,1,12,12.0,0.85
Yash Thakur,PBKS,2,1,42,42.0,0.85
Cheepurapalli Stephen,CSK,1,1,24,24.0,0.84
Swapnil Singh,CSK,1,1,24,24.0,0.84
SN Netravalkar,CSK,1,1,24,24.0,0.84
KA Pollard,CSK,4,1,30,30.0,0.84
TM Head,GT,4,1,54,54.0,0.83
Rasikh Salam,GT,5,1,120,120.0,0.83
Harshit Rana,KKR,1,1,18,18.0,0.81
NA Rathva,RCB,3,1,24,24.0,0.73
Shivank Vashisth,RCB,1,1,24,24.0,0.73
I Sharma,RCB,2,1,48,48.0,0.73
Ashwani Kumar,RR,1,1,18,18.0,0.72
Sanvir Singh,LSG,1,1,12,12.0,0.69
