striker,batting_team,num_innings,runs,strike_rate,bat_avg,run_contribution_%
KA Pollard,CSK,12,329,174.07,47.0,9.79
JC Buttler,LSG,17,390,150.58,27.86,9.58
RD Rickelton,LSG,13,361,143.25,27.77,8.87
MW Short,MI,10,290,162.01,29.0,8.8
SS Iyer,LSG,16,346,157.27,24.71,8.5
Nithish Kumar Reddy,SRH,16,286,148.19,31.78,8.35
Abishek Porel,DC,10,290,171.6,41.43,8.3
V Suryavanshi,PBKS,15,260,147.73,17.33,8.1
RK Singh,MI,12,262,162.73,32.75,7.95
Karan Shinde,RCB,11,261,193.33,37.29,7.29
H Klaasen,CSK,8,233,137.87,33.29,6.93
Tanush Kotian,CSK,12,232,205.31,38.67,6.9
MJ Owen,DC,13,241,178.52,21.91,6.89
D Brevis,RR,12,260,149.43,37.14,6.71
T Stubbs,CSK,11,221,160.14,27.62,6.58
YK Pathan,KKR,17,195,127.45,21.67,6.18
Atharva Taide,MI,6,201,160.8,33.5,6.1
MR Marsh,SRH,7,202,147.45,28.86,5.9
Babar Azam,KKR,11,177,110.62,16.09,5.61
TP Ura,PBKS,7,177,182.47,29.5,5.51
Chirag Jani,PBKS,9,174,164.15,21.75,5.42
WL Madsen,MI,6,171,158.33,171.0,5.19
AM Rahane,MI,5,167,138.02,33.4,5.07
D Wiese,GT,11,170,180.85,21.25,5.01
Shadab Khan,SRH,9,168,184.62,28.0,4.91
HH Pandya,MI,13,157,174.44,17.44,4.76
Jay Gohil,LSG,8,193,193.0,32.17,4.74
GF Linde,GT,9,160,146.79,40.0,4.72
Rahul Singh,RCB,10,165,139.83,18.33,4.61
Anmolpreet Singh,CSK,10,154,202.63,30.8,4.58
JDS Neesham,DC,8,158,133.9,19.75,4.52
T Banton,MI,7,143,160.67,28.6,4.34
N Wadhera,KKR,14,137,147.31,13.7,4.34
Shashwat Rawat,PBKS,4,131,150.57,32.75,4.08
AB de Villiers,RR,7,150,168.54,25.0,3.87
AHT Donald,RCB,7,136,174.36,19.43,3.8
Dhruv Jurel,RCB,9,136,121.43,15.11,3.8
Ishan Kishan,MI,6,111,127.59,18.5,3.37
PHKD Mendis,SRH,8,115,129.21,16.43,3.36
AK Markram,DC,7,117,148.1,19.5,3.35
Arshad Khan,RR,11,122,184.85,30.5,3.15
TM Head,GT,6,104,140.54,17.33,3.07
PP Shaw,RCB,5,103,122.62,20.6,2.88
MG Erasmus,RCB,9,101,116.09,12.62,2.82
JJ Smit,PBKS,5,87,174.0,29.0,2.71
HC Brook,MI,6,87,117.57,17.4,2.64
Waseem Muhammad,DC,5,92,146.03,18.4,2.63
AD Russell,DC,3,91,211.63,45.5,2.6
Hemang Patel,GT,9,86,116.22,12.29,2.54
RR Rossouw,SRH,6,86,136.51,14.33,2.51
MS Pepper,RR,6,97,149.23,24.25,2.5
JN Loftie-Eaton,RR,5,93,129.17,31.0,2.4
GD Phillips,GT,6,80,216.22,13.33,2.36
Gaurav Puri,CSK,5,77,137.5,15.4,2.29
TA Boult,MI,8,70,145.83,10.0,2.12
Akash Vasisht,DC,4,73,146.0,24.33,2.09
RA Jadeja,RCB,8,74,148.0,12.33,2.07
Ashutosh Sharma,RCB,6,67,136.73,16.75,1.87
Suryansh Shedge,CSK,6,60,200.0,10.0,1.79
DP Conway,PBKS,3,57,86.36,19.0,1.78
SR Hain,MI,3,58,128.89,19.33,1.76
Ramandeep Singh,LSG,6,70,148.94,17.5,1.72
Washington Sundar,PBKS,10,53,79.1,10.6,1.65
MS Dhoni,CSK,2,54,174.19,27.0,1.61
D Ferreira,DC,6,55,130.95,13.75,1.57
AR Ramjani,PBKS,9,50,86.21,16.67,1.56
LS Livingstone,KKR,2,49,96.08,24.5,1.55
Mohammad Nabi,LSG,5,63,140.0,12.6,1.55
Shaheen Shah Afridi,MI,8,45,65.22,7.5,1.36
R Shepherd,GT,8,46,153.33,7.67,1.36
Sikandar Raza,MI,3,44,146.67,14.67,1.33
DR Sams,GT,7,44,112.82,11.0,1.3
RA Bawa,SRH,4,42,140.0,14.0,1.23
DAJ Bracewell,RCB,6,42,155.56,7.0,1.17
Azmatullah Omarzai,LSG,2,47,134.29,23.5,1.15
AA Kulkarni,GT,3,38,140.74,12.67,1.12
V Nigam,MI,2,36,211.76,36.0,1.09
Faisal Khan,LSG,2,43,165.38,21.5,1.06
RR Pant,GT,2,35,140.0,35.0,1.03
Utkarsh Singh,PBKS,3,32,145.45,10.67,1.0
DS Airee,RCB,4,35,125.0,11.67,0.98
Jagjit Singh,SRH,2,32,128.0,inf,0.93
AR Patel,CSK,7,30,100.0,6.0,0.89
Karan Lal,RR,4,34,147.83,17.0,0.88
Yuvraj Chaudhary,GT,1,29,181.25,29.0,0.86
YS Chahal,RCB,6,30,103.45,7.5,0.84
Akshay Karnewar,PBKS,1,27,128.57,inf,0.84
DJ Bravo,RCB,5,30,115.38,7.5,0.84
Naseem Shah,LSG,5,34,136.0,11.33,0.83
Jaskaran Singh,KKR,3,26,152.94,inf,0.82
M Prasidh Krishna,MI,5,27,142.11,13.5,0.82
Khrievitso Kense,RCB,5,27,135.0,9.0,0.75
Kuldeep Yadav,SRH,5,24,60.0,6.0,0.7
CH Morris,DC,3,23,127.78,7.67,0.66
M Siddharth,CSK,5,21,175.0,10.5,0.62
Shakib Al Hasan,PBKS,3,20,105.26,20.0,0.62
HS Desai,PBKS,1,20,83.33,20.0,0.62
Khushdil Shah,DC,4,21,80.77,7.0,0.6
JC Archer,LSG,5,24,70.59,8.0,0.59
Sumit Kumar,DC,1,20,133.33,inf,0.57
DJ Hooda,DC,3,20,117.65,10.0,0.57
Rashid Khan,RR,3,22,100.0,11.0,0.57
V Puthur,DC,2,18,112.5,18.0,0.51
MK Lomror,SRH,1,17,113.33,17.0,0.5
Avesh Khan,GT,3,17,68.0,5.67,0.5
Ashwin Das,LSG,2,20,125.0,20.0,0.49
Mohammad Ghazanfar,SRH,4,15,150.0,3.75,0.44
Yuvraj Singh,CSK,1,14,175.0,inf,0.42
KH Pandya,SRH,1,14,60.87,14.0,0.41
NA Rathva,RCB,3,14,87.5,4.67,0.39
RS Hangargekar,MI,2,13,130.0,6.5,0.39
AV Wankhade,CSK,1,13,86.67,13.0,0.39
SPD Smith,CSK,2,13,76.47,6.5,0.39
TU Deshpande,MI,1,12,92.31,inf,0.36
Ishaan Gadekar,RCB,4,13,72.22,3.25,0.36
HJ Manenti,PBKS,3,11,100.0,5.5,0.34
RD Chahar,CSK,3,11,137.5,5.5,0.33
NT Ellis,SRH,2,11,100.0,5.5,0.32
KA Maharaj,SRH,3,10,250.0,inf,0.29
S Lamichhane,DC,1,10,200.0,inf,0.29
Yudhvir Singh,RCB,2,10,125.0,10.0,0.28
T Natarajan,CSK,1,9,300.0,9.0,0.27
Rasikh Salam,GT,2,9,150.0,inf,0.27
SS Ghosh,MI,2,9,100.0,9.0,0.27
A Nagwaswalla,RR,2,10,125.0,inf,0.26
Ihsanullah,DC,2,9,128.57,inf,0.26
R Sai Kishore,MI,2,8,100.0,8.0,0.24
JJ Bumrah,DC,5,8,72.73,2.67,0.23
Harsh Tyagi,SRH,3,8,61.54,2.67,0.23
M Jansen,SRH,2,8,88.89,4.0,0.23
SB Dubey,PBKS,1,7,100.0,7.0,0.22
Shahbaz Ahmed,GT,1,7,233.33,7.0,0.21
Fazalhaq Farooqi,CSK,2,7,46.67,7.0,0.21
Arshdeep Singh,LSG,4,8,57.14,4.0,0.2
A Sheth,DC,1,7,140.0,7.0,0.2
BM Duckett,RCB,2,7,63.64,3.5,0.2
RK Bhui,KKR,1,6,60.0,6.0,0.19
Noor Ahmad,MI,1,6,200.0,6.0,0.18
Mohammed Shami,GT,2,6,150.0,3.0,0.18
SN Thakur,GT,1,6,300.0,6.0,0.18
I Sharma,RCB,1,6,200.0,6.0,0.17
SZ Mulani,LSG,1,7,87.5,inf,0.17
D Padikkal,KKR,1,5,83.33,inf,0.16
Waqar Salamkheil,PBKS,1,5,50.0,inf,0.16
Pulkit Narang,RR,1,6,120.0,inf,0.15
Samarth Vyas,KKR,2,4,66.67,2.0,0.13
C Sakariya,SRH,1,4,133.33,inf,0.12
LI Meriwala,DC,1,4,100.0,inf,0.11
MA Starc,KKR,6,3,20.0,1.0,0.1
B Kumar,KKR,5,3,10.71,1.5,0.1
R Powell,KKR,2,3,42.86,1.5,0.1
Abrar Ahmed,GT,4,3,75.0,inf,0.09
Ravi Teja,RCB,4,3,42.86,1.0,0.08
Harshit Rana,KKR,1,2,100.0,2.0,0.06
MP Yadav,PBKS,2,2,100.0,2.0,0.06
SH Johnson,GT,1,2,28.57,2.0,0.06
Harsh Dubey,RCB,3,2,20.0,0.67,0.06
M Pathirana,RCB,3,2,18.18,1.0,0.06
PJ Cummins,RR,2,2,25.0,1.0,0.05
Naveen-ul-Haq,SRH,1,1,100.0,inf,0.03
F du Plessis,GT,1,1,50.0,1.0,0.03
SL Malinga,PBKS,2,1,25.0,inf,0.03
Vishnu Vinod,RR,2,1,20.0,0.5,0.03
VG Arora,KKR,1,1,14.29,1.0,0.03
Imran Tahir,CSK,3,1,12.5,0.5,0.03
Ravi Bishnoi,LSG,2,1,20.0,1.0,0.02
