bowler,bowling_team,num_innings,economy,balls,wkts
M Prasidh Krishna,MI,11,10.84,264,8
Arshad Khan,RR,8,10.91,66,3
JC Archer,LSG,17,10.96,386,34
Abhishek Sharma,MI,7,10.97,70,3
MR Marsh,SRH,5,11.0,54,3
GJ Maxwell,RR,7,11.0,48,0
Swapnil Singh,CSK,1,11.0,24,1
A Zampa,RR,2,11.02,43,2
MJ Owen,DC,14,11.15,254,19
R Sai Kishore,MI,9,11.2,202,7
Jaskaran Singh,KKR,2,11.25,24,0
MP Stoinis,KKR,10,11.38,144,2
AD Russell,DC,8,11.4,180,2
Shahbaz Ahmed,GT,4,11.44,96,8
Harpreet Brar,RR,2,11.57,42,0
Ihsanullah,DC,2,11.62,48,0
Yuvraj Singh,CSK,8,11.64,168,12
TU Deshpande,MI,3,11.7,60,2
SN Netravalkar,CSK,1,11.75,24,1
M Siddharth,CSK,7,11.86,132,4
Waqar Salamkheil,PBKS,2,11.88,48,2
RD Chahar,CSK,6,11.93,84,3
RS Hangargekar,MI,3,12.0,72,2
Atharva Ankolekar,MI,3,12.0,67,4
SS Ghosh,MI,3,12.11,54,7
BA Stokes,SRH,5,12.22,108,5
Ravi Bishnoi,LSG,4,12.36,66,2
Rasikh Salam,GT,5,12.5,120,1
I Sharma,RCB,2,12.5,48,1
SS Agarwal,DC,1,12.5,24,0
BJ McMullen,RR,5,13.0,54,3
M Markande,SRH,1,13.25,24,0
SN Thakur,GT,1,13.5,24,2
CH Morris,DC,4,13.58,72,0
