striker,batting_team,num_innings,runs,balls,outs,fours,sixes,dots,ones,twos,threes,strike_rate,balls_per_dismissal,bat_avg,bpb,dot_%,30+_scores,50+_scores,100+_scores
HR Shokeen,RCB,2,20,17,1,2,0,6,7,1,1,117.65,17.0,20.0,8.5,35.29,0,0,0
Harshit Rana,PBKS,2,20,17,2,0,2,8,6,1,0,117.65,8.5,10.0,8.5,47.06,0,0,0
Sandeep Sharma,RR,5,20,17,2,2,0,7,5,2,1,117.65,8.5,10.0,8.5,41.18,0,0,0
M Pathirana,RCB,7,20,19,5,1,1,8,8,1,0,105.26,3.8,4.0,9.5,42.11,0,0,0
Mohammad Ghazanfar,GT,3,18,15,1,0,1,9,1,4,1,120.0,15.0,18.0,15.0,60.0,0,0,0
MR Marsh,DC,1,18,17,1,3,0,8,6,0,0,105.88,17.0,18.0,5.67,47.06,0,0,0
Ashutosh Sharma,SRH,2,17,16,2,2,0,8,5,2,0,106.25,8.0,8.5,8.0,50.0,0,0,0
NT Ellis,LSG,2,17,18,2,0,1,10,5,0,2,94.44,9.0,8.5,18.0,55.56,0,0,0
Tanush Kotian,SRH,2,16,13,0,1,0,1,10,1,0,123.08,inf,inf,13.0,7.69,0,0,0
Sameer Rizvi,SRH,2,15,14,1,2,0,6,5,1,0,107.14,14.0,15.0,7.0,42.86,0,0,0
SB Dubey,KKR,2,15,18,2,0,0,4,13,1,0,83.33,9.0,7.5,inf,22.22,0,0,0
YS Chahal,CSK,2,14,10,1,1,1,4,4,0,0,140.0,10.0,14.0,5.0,40.0,0,0,0
Gurjapneet Singh,RCB,1,13,6,0,1,1,3,0,0,1,216.67,inf,inf,3.0,50.0,0,0,0
Mukesh Kumar,SRH,2,13,8,2,1,1,5,0,0,1,162.5,4.0,6.5,4.0,62.5,0,0,0
Suryansh Shedge,CSK,3,13,13,3,1,0,6,4,1,1,100.0,4.33,4.33,13.0,46.15,0,0,0
M Siddharth,CSK,2,12,8,1,0,1,4,3,0,1,150.0,8.0,12.0,8.0,50.0,0,0,0
SZ Mulani,MI,1,12,10,1,0,1,3,6,0,0,120.0,10.0,12.0,10.0,30.0,0,0,0
Priyansh Arya,SRH,1,12,12,1,0,0,3,6,3,0,100.0,12.0,12.0,inf,25.0,0,0,0
V Shankar,DC,2,11,15,2,1,0,7,7,0,0,73.33,7.5,5.5,15.0,46.67,0,0,0
Kuldeep Yadav,SRH,5,11,19,3,1,0,12,7,0,0,57.89,6.33,3.67,19.0,63.16,0,0,0
TU Deshpande,RR,3,10,8,3,0,1,4,2,1,0,125.0,2.67,3.33,8.0,50.0,0,0,0
LUVNITH SISODIA,RR,1,10,11,1,0,0,3,6,2,0,90.91,11.0,10.0,inf,27.27,0,0,0
Rasikh Salam,LSG,1,10,11,1,1,0,5,4,1,0,90.91,11.0,10.0,11.0,45.45,0,0,0
Swapnil Singh,RR,2,9,7,0,1,0,1,5,0,0,128.57,inf,inf,7.0,14.29,0,0,0
MP Yadav,RR,3,9,10,3,1,0,7,0,1,1,90.0,3.33,3.0,10.0,70.0,0,0,0
