striker,batting_team,num_innings,runs,strike_rate,bat_avg,run_contribution_%
Tushar Raheja,MI,11,296,204.14,26.91,11.02
PHKD Mendis,PBKS,12,283,160.8,28.3,10.99
Tanush Kotian,CSK,11,282,197.2,31.33,10.94
GD Phillips,RR,13,275,187.07,25.0,10.43
Sameer Rizvi,LSG,15,300,193.55,23.08,9.99
YBK Jaiswal,RR,14,258,226.32,25.8,9.79
TM Head,KKR,4,255,158.39,85.0,9.68
Jay Gohil,KKR,7,245,218.75,81.67,9.3
Abhishek Pathak,RCB,6,243,220.91,81.0,9.23
JM Sharma,RCB,12,229,199.13,25.44,8.7
SS Iyer,KKR,9,225,161.87,37.5,8.54
Rohan Kunnummal,MI,7,227,173.28,32.43,8.45
SU Parakh,SRH,9,237,140.24,26.33,8.04
JC Buttler,DC,9,236,207.02,39.33,7.87
PWH de Silva,RCB,9,198,220.0,39.6,7.52
R Smaran,PBKS,7,186,155.0,26.57,7.22
JM Vince,CSK,5,181,147.15,36.2,7.02
DP Conway,LSG,9,208,140.54,23.11,6.93
RD Gaikwad,CSK,13,175,180.41,15.91,6.79
V Kohli,CSK,9,167,145.22,18.56,6.48
KK Nair,CSK,10,159,176.67,15.9,6.17
Kumar Kushagra,RR,7,154,143.93,22.0,5.84
R Parag,GT,6,169,176.04,33.8,5.84
BM Duckett,SRH,3,168,163.11,56.0,5.7
AM Rahane,CSK,5,145,131.82,29.0,5.63
Sonu Yadav,CSK,6,144,153.19,28.8,5.59
PD Salt,RR,7,142,144.9,20.29,5.39
AD Russell,DC,6,145,176.83,72.5,4.83
Siddhesh Veer,MI,7,121,192.06,40.33,4.51
MS Pepper,PBKS,2,114,142.5,57.0,4.43
RD Rickelton,RR,6,109,126.74,18.17,4.14
Ritik Vats,DC,7,124,187.88,20.67,4.13
WG Jacks,SRH,8,118,129.67,16.86,4.0
Abhishek Tanwar,MI,7,104,173.33,20.8,3.87
H Klaasen,CSK,5,97,144.78,19.4,3.76
Vishnu Vinod,RR,7,94,118.99,18.8,3.57
N Rana,PBKS,3,92,153.33,46.0,3.57
Anmolpreet Singh,KKR,4,90,173.08,22.5,3.42
Adarsh Singh,DC,4,99,165.0,24.75,3.3
Shahbaz Ahmed,KKR,8,87,150.0,14.5,3.3
Ashutosh Sharma,GT,8,95,161.02,13.57,3.28
R Powell,CSK,5,80,129.03,20.0,3.1
J Fraser-McGurk,KKR,5,78,173.33,15.6,2.96
Virat Singh,KKR,5,76,140.74,15.2,2.88
SP Narine,PBKS,6,74,129.82,14.8,2.87
C Connolly,GT,3,82,128.12,27.33,2.83
Utkarsh Singh,PBKS,6,73,165.91,18.25,2.83
Shubhang Hegde,LSG,4,83,218.42,41.5,2.76
Sakibul Gani,RR,5,70,233.33,17.5,2.66
JJ Smit,PBKS,10,68,117.24,6.8,2.64
FH Allen,LSG,5,79,105.33,15.8,2.63
MP Stoinis,SRH,4,69,132.69,23.0,2.34
Sunny Sandhu,DC,2,70,152.17,70.0,2.33
RE van der Merwe,CSK,7,54,128.57,10.8,2.1
A Mhatre,RCB,3,55,137.5,18.33,2.09
J Overton,GT,4,60,162.16,60.0,2.07
Nithish Kumar Reddy,GT,2,60,171.43,30.0,2.07
Parth Chandan,DC,2,62,131.91,31.0,2.07
D Forrester,LSG,5,59,218.52,14.75,1.96
T Dahiya,LSG,2,59,184.38,29.5,1.96
Rishabh Chouhan,GT,3,56,175.0,28.0,1.93
HC Brook,GT,2,55,148.65,27.5,1.9
JE Root,SRH,2,55,141.03,27.5,1.87
J Suresh Kumar,PBKS,4,46,135.29,11.5,1.79
MJ Owen,DC,6,50,98.04,10.0,1.67
Kunal Chandela,MI,3,44,115.79,14.67,1.64
Naveen-ul-Haq,CSK,2,40,133.33,40.0,1.55
Sairaj Patil,KKR,2,40,142.86,20.0,1.52
S Arora,KKR,3,38,140.74,12.67,1.44
RG Sharma,RCB,4,38,126.67,9.5,1.44
LR Chethan,LSG,3,43,148.28,21.5,1.43
RR Rossouw,MI,4,38,95.0,9.5,1.42
Suryansh Shedge,KKR,4,37,148.0,18.5,1.4
Sikandar Raza,MI,5,37,137.04,12.33,1.38
Karan Shinde,SRH,4,38,158.33,19.0,1.29
TP Ura,PBKS,4,32,200.0,8.0,1.24
RK Singh,GT,3,33,137.5,16.5,1.14
Anmol Malhotra,GT,2,33,117.86,16.5,1.14
AR Patel,GT,1,33,137.5,inf,1.14
Arshad Khan,MI,5,30,130.43,7.5,1.12
Akhil Singh Rawat,KKR,3,28,175.0,14.0,1.06
AR Ramjani,PBKS,6,27,103.85,6.75,1.05
GF Linde,GT,3,30,136.36,15.0,1.04
Parvej Musaraf,KKR,3,27,192.86,13.5,1.02
Mohammad Nabi,LSG,1,30,142.86,inf,1.0
Chirag Jani,RCB,4,26,108.33,13.0,0.99
MS Dhoni,RCB,1,24,133.33,24.0,0.91
Dhruv Jurel,LSG,3,27,135.0,9.0,0.9
Shivam Shukla,MI,2,24,240.0,24.0,0.89
Akash Pawar,RCB,1,22,183.33,22.0,0.84
RA Jadeja,LSG,3,25,92.59,12.5,0.83
N Pooran,MI,3,21,161.54,7.0,0.78
AK Markram,DC,2,22,100.0,11.0,0.73
D Wiese,KKR,3,19,172.73,6.33,0.72
SR Dickson,PBKS,2,18,105.88,9.0,0.7
Akshat Raghuwanshi,MI,2,18,112.5,9.0,0.67
Sanskar Rawat,PBKS,1,17,94.44,17.0,0.66
PN Mankad,RCB,1,16,88.89,16.0,0.61
Satyajeet Bachhav,MI,3,16,123.08,5.33,0.6
HJ Manenti,RCB,4,15,115.38,7.5,0.57
TH David,GT,2,16,100.0,8.0,0.55
S Gopal,PBKS,5,14,93.33,3.5,0.54
T Natarajan,RR,2,14,175.0,14.0,0.53
YS Chahal,KKR,2,14,107.69,7.0,0.53
Pulkit Narang,KKR,2,14,100.0,14.0,0.53
F du Plessis,CSK,3,13,50.0,4.33,0.5
Rasikh Salam,SRH,3,14,127.27,7.0,0.47
H Ssenyondo,LSG,2,14,233.33,inf,0.47
Karan Lal,RR,3,12,50.0,6.0,0.46
Mohammad Ghazanfar,RR,3,12,66.67,6.0,0.46
Sufiyan Muqeem,GT,1,13,144.44,13.0,0.45
Gurnoor Brar,DC,2,13,216.67,13.0,0.43
Kuldeep Yadav,LSG,2,13,86.67,13.0,0.43
Gourav Choudhury,MI,2,11,78.57,5.5,0.41
DS Airee,DC,1,12,600.0,inf,0.4
Prashant Veer,PBKS,2,10,166.67,5.0,0.39
R Shepherd,SRH,2,11,122.22,5.5,0.37
KS Carlson,PBKS,1,9,112.5,9.0,0.35
KA Maharaj,RCB,4,9,47.37,3.0,0.34
DS Rathi,LSG,3,10,83.33,3.33,0.33
CV Varun,PBKS,4,8,47.06,2.67,0.31
Kranthi Kumar,RCB,1,8,160.0,inf,0.3
J Kariko,LSG,1,8,133.33,inf,0.27
Yudhvir Singh,RR,1,7,233.33,7.0,0.27
JC Archer,PBKS,2,7,77.78,7.0,0.27
Sayed Irfan Aftab,PBKS,4,7,50.0,2.33,0.27
JR Hazlewood,MI,5,7,33.33,3.5,0.26
C Sakariya,RR,2,6,150.0,6.0,0.23
Naman Tiwari,CSK,2,6,120.0,inf,0.23
Krishna Prasad,CSK,1,6,200.0,inf,0.23
Easwaran K,DC,1,6,150.0,inf,0.2
JM Cox,SRH,1,6,85.71,6.0,0.2
SR Hain,RCB,1,5,125.0,5.0,0.19
Sachin Baby,RR,1,5,83.33,5.0,0.19
LI Meriwala,PBKS,1,4,200.0,inf,0.16
Tanay Thyagarajan,CSK,3,4,50.0,4.0,0.16
Geet Puri,CSK,2,4,36.36,2.0,0.16
Prashant Solanki,CSK,2,4,33.33,inf,0.16
Naseem Shah,MI,1,4,80.0,4.0,0.15
Noor Ahmad,MI,2,4,66.67,4.0,0.15
Vraj Patel,RR,1,4,44.44,inf,0.15
DR Mousley,LSG,1,4,50.0,4.0,0.13
Sanvir Singh,PBKS,3,3,23.08,1.0,0.12
M Poiyamozhi,CSK,1,3,100.0,3.0,0.12
Shashwat Dangwal,MI,2,3,75.0,1.5,0.11
Atharva Ankolekar,RR,2,3,23.08,1.5,0.11
SE Rutherford,DC,1,3,150.0,3.0,0.1
Manvanth Kumar L,PBKS,2,2,66.67,1.0,0.08
L Ngidi,RR,2,2,50.0,inf,0.08
M Prasidh Krishna,KKR,1,2,28.57,2.0,0.08
Zeeshan Ansari,RR,1,2,22.22,2.0,0.08
MS Chapman,DC,1,2,66.67,2.0,0.07
Prithviraj Shekhawat,DC,1,2,40.0,inf,0.07
JO Holder,RCB,2,1,33.33,0.5,0.04
SS Ghosh,RCB,4,1,7.69,0.33,0.04
JA Duffy,LSG,2,1,33.33,0.5,0.03
NT Ellis,SRH,2,1,33.33,1.0,0.03
Prince Yadav,GT,1,1,33.33,inf,0.03
