bowler,bowling_team,num_innings,economy,balls,wkts
NT Ellis,SRH,13,10.9,290,25
SP Narine,PBKS,6,10.91,66,4
Parth Chandan,DC,6,10.95,132,4
AD Russell,DC,10,11.0,120,3
HTRY Thornton,RR,1,11.0,24,0
J Overton,GT,9,11.03,216,6
GD Phillips,RR,7,11.04,150,5
Junaid Siddique,RR,7,11.07,162,9
S Dube,RR,11,11.23,156,6
Athisayaraj Davidson,RCB,1,11.25,24,1
Zeeshan Ansari,RR,1,11.25,24,1
Sonu Yadav,CSK,9,11.27,172,8
Arshad Khan,MI,4,11.27,66,4
TA Boult,MI,2,11.29,42,2
HJ Manenti,RCB,10,11.41,205,19
LI Meriwala,PBKS,2,11.5,48,0
SS Ghosh,RCB,9,11.57,180,14
Shadab Khan,SRH,4,11.64,66,2
D Wiese,KKR,2,11.67,36,3
AR Patel,GT,2,11.71,42,1
SH Johnson,KKR,3,11.75,72,3
Yash Raj Punja,GT,3,11.75,72,2
Harshit Rana,GT,2,11.75,48,3
RA Jadeja,LSG,4,11.83,72,0
Shaheen Shah Afridi,DC,4,11.87,90,7
B Muzarabani,GT,5,11.89,113,9
Naveen-ul-Haq,CSK,4,12.0,96,1
M Poiyamozhi,CSK,3,12.0,66,3
MJ Owen,DC,4,12.0,48,4
GJ Maxwell,DC,10,12.13,186,5
KA Pollard,RR,12,12.18,169,7
Yash Singh,RCB,2,12.25,48,4
MS Chapman,DC,2,12.25,24,0
Gurnoor Brar,DC,6,12.27,132,4
T Natarajan,RR,4,12.28,87,5
Ashwin Shelke,DC,3,12.3,60,1
Naseem Shah,MI,4,12.34,89,5
Washington Sundar,GT,1,12.5,24,3
Abrar Ahmed,KKR,5,12.53,102,4
Nithish Kumar Reddy,GT,5,12.92,72,1
AK Markram,DC,7,13.11,135,10
Abhishek Tanwar,MI,6,13.12,96,4
JE Root,SRH,2,13.17,36,0
Manvanth Kumar L,PBKS,2,13.17,36,0
Mohammed Shami,MI,3,13.36,66,6
J Kariko,LSG,2,14.5,48,1
DM Gondaria,DC,1,15.5,24,0
MP Yadav,PBKS,3,15.7,60,1
Mohammad Nabi,LSG,1,16.25,24,1
