bowler,bowling_team,num_innings,economy,balls,wkts
V Nigam,GT,13,10.1,294,15
Harsh Tyagi,SRH,2,10.14,42,4
TA Boult,MI,6,10.17,144,6
Khrievitso Kense,RCB,3,10.18,66,1
SH Johnson,GT,2,10.29,42,2
Fazalhaq Farooqi,CSK,3,10.36,66,2
R Ashwin,KKR,4,10.38,96,5
SL Malinga,PBKS,5,10.44,108,5
Mohammed Shami,LSG,5,10.47,114,5
T Natarajan,CSK,6,10.57,105,8
R Sai Kishore,MI,11,10.58,258,11
AM Hardie,CSK,5,10.58,114,2
Shahbaz Ahmed,LSG,7,10.6,150,8
KH Pandya,RR,4,10.64,84,4
YS Chahal,RCB,5,10.65,102,7
AS Roy,GT,5,10.67,108,5
Sonu Yadav,PBKS,2,10.67,36,2
Nithish Kumar Reddy,SRH,8,10.69,101,2
Shaheen Shah Afridi,MI,13,10.73,312,20
M Pathirana,RCB,8,10.83,174,6
Swapnil Singh,CSK,5,10.89,108,5
R Shepherd,GT,5,10.95,114,7
Avesh Khan,GT,2,11.0,48,2
Kaleem Sana,RCB,2,11.0,48,0
Washington Sundar,PBKS,2,11.0,30,1
Ashwani Kumar,RR,1,11.0,24,1
MJ Owen,DC,14,11.13,165,6
HV Patel,GT,5,11.2,120,6
LS Livingstone,KKR,6,11.22,139,12
C Sakariya,SRH,2,11.25,48,3
JG Bethell,RR,11,11.29,210,11
RA Jadeja,SRH,10,11.29,126,3
R Parag,GT,7,11.29,42,4
SS Ghosh,MI,2,11.5,48,2
VR Iyer,SRH,9,11.58,144,5
Yudhvir Singh,RCB,7,11.67,126,4
Arshad Khan,DC,13,11.68,204,11
Abhishek Sharma,MI,4,11.75,24,0
Yuvraj Singh,CSK,3,11.88,48,0
Samant Jakhar,DC,7,12.07,90,6
AD Russell,DC,8,12.23,78,2
Zeeshan Ansari,SRH,1,12.25,24,1
Naseem Shah,LSG,2,12.38,48,2
Jagjit Singh,SRH,2,12.71,42,2
RE van der Merwe,GT,1,12.75,24,2
GJ Maxwell,DC,9,12.89,114,2
GD Phillips,GT,4,13.0,42,0
Cheepurapalli Stephen,CSK,4,13.05,63,3
Harpreet Brar,GT,3,13.09,66,0
Sakibul Gani,RCB,3,13.62,48,1
Rashid Khan,MI,2,13.86,42,1
