striker,batting_team,num_innings,runs,balls,outs,fours,sixes,dots,strike_rate,balls_per_dismissal,bat_avg,bpb,dot_%,points,high_score,30s-50s-100s,strike_rotations
Arshad Khan,DC,11,138,90,8,16,5,35,153.33,11.25,17.25,4.29,38.89,146.11,32* (15),1-0-0,39
RD Rickelton,LSG,5,138,101,5,12,6,45,136.63,20.2,27.6,5.61,44.55,135.6,70 (42),2-1-0,43
HH Pandya,MI,11,136,62,6,10,12,19,219.35,10.33,22.67,2.82,30.65,190.68,40* (17),2-0-0,22
AB de Villiers,RR,5,134,90,3,10,7,35,148.89,30.0,44.67,5.29,38.89,148.56,63* (31),2-2-0,42
MR Marsh,SRH,2,126,67,1,5,10,13,188.06,67.0,126.0,4.47,19.4,196.33,98* (51),1-1-0,39
RR Rossouw,SRH,5,115,67,5,10,5,13,171.64,13.4,23.0,4.47,19.4,154.57,45 (28),1-0-0,40
Tushar Raheja,SRH,4,114,85,4,9,7,42,134.12,21.25,28.5,5.31,49.41,120.21,52 (34),2-1-0,27
Ankit Kumar,RR,7,111,80,7,10,3,31,138.75,11.43,15.86,6.15,38.75,119.47,31 (20),1-0-0,40
BJ McMullen,RR,7,110,80,6,13,3,32,137.5,13.33,18.33,5.0,40.0,121.16,31 (15),1-0-0,33
Tanush Kotian,CSK,9,109,51,6,12,5,10,213.73,8.5,18.17,3.0,19.61,176.02,48* (21),1-0-0,26
Jay Gohil,LSG,6,107,63,3,8,4,16,169.84,21.0,35.67,5.25,25.4,147.2,34* (14),1-0-0,37
Nithish Kumar Reddy,SRH,8,107,63,5,8,5,16,169.84,12.6,21.4,4.85,25.4,144.29,29 (10),0-0-0,35
Smaran Ravichandran,PBKS,8,105,77,8,9,4,26,136.36,9.62,13.12,5.92,33.77,117.92,38 (34),2-0-0,39
PHKD Mendis,DC,8,95,59,6,9,4,19,161.02,9.83,15.83,4.54,32.2,128.87,36 (18),1-0-0,29
SR Dickson,RCB,3,94,63,3,4,7,22,149.21,21.0,31.33,5.73,34.92,124.38,36 (32),2-0-0,30
Kumar Kushagra,GT,7,94,73,6,4,5,24,128.77,12.17,15.67,8.11,32.88,107.41,49 (38),1-0-0,42
DW Lawrence,DC,5,90,63,3,6,4,17,142.86,21.0,30.0,6.3,26.98,122.18,42* (34),2-0-0,37
H Klaasen,CSK,3,89,64,3,6,2,12,139.06,21.33,29.67,8.0,18.75,122.2,57 (42),2-1-0,45
LS Livingstone,KKR,7,88,62,2,7,5,27,141.94,31.0,44.0,5.17,43.55,118.26,31 (25),1-0-0,26
Hassan Nawaz,RCB,6,87,74,5,7,2,28,117.57,14.8,17.4,8.22,37.84,95.81,50 (35),1-1-0,40
MW Short,MI,3,86,49,3,8,4,13,175.51,16.33,28.67,4.08,26.53,139.26,39 (20),1-0-0,25
Utkarsh Singh,PBKS,6,86,54,4,7,5,19,159.26,13.5,21.5,4.5,35.19,123.63,31* (22),1-0-0,26
AM Hardie,CSK,5,83,76,3,4,5,43,109.21,25.33,27.67,8.44,56.58,84.25,24 (31),0-0-0,26
TB Robinson,RR,3,82,55,3,4,5,21,149.09,18.33,27.33,6.11,38.18,113.49,34 (27),1-0-0,28
MP Stoinis,KKR,3,82,64,3,8,3,25,128.12,21.33,27.33,5.82,39.06,104.38,39 (24),1-0-0,29
Anmolpreet Singh,CSK,6,82,65,4,10,2,26,126.15,16.25,20.5,5.42,40.0,100.93,28 (22),0-0-0,27
Usman Khan (2),CSK,2,81,51,2,6,4,16,158.82,25.5,40.5,5.1,31.37,127.14,72 (45),1-1-0,26
JJ Smit,PBKS,4,80,62,4,5,3,22,129.03,15.5,20.0,7.75,35.48,100.18,44 (23),1-0-0,32
AD Russell,DC,5,77,43,3,4,5,12,179.07,14.33,25.67,4.78,27.91,132.41,23* (13),0-0-0,22
AA Kulkarni,GT,2,73,39,2,5,3,5,187.18,19.5,36.5,4.88,12.82,145.14,69 (37),1-1-0,26
MS Dhoni,CSK,3,71,42,0,6,3,14,169.05,inf,inf,4.67,33.33,134.73,41* (21),1-0-0,23
B Sai Sudharsan,PBKS,4,71,60,4,6,1,20,118.33,15.0,17.75,8.57,33.33,90.0,32 (25),1-0-0,33
Karan Shinde,RCB,7,69,35,5,4,5,13,197.14,7.0,13.8,3.89,37.14,130.64,37* (12),1-0-0,14
AK Markram,DC,4,68,40,2,7,1,9,170.0,20.0,34.0,5.0,22.5,127.75,31* (14),1-0-0,25
TM Head,RR,3,65,55,3,8,1,23,118.18,18.33,21.67,6.11,41.82,86.35,39 (32),1-0-0,25
Abdul Samad,LSG,6,64,46,3,5,4,20,139.13,15.33,21.33,5.11,43.48,96.18,20* (10),0-0-0,19
RK Singh,MI,4,63,30,2,5,4,6,210.0,15.0,31.5,3.33,20.0,150.27,50 (17),1-1-0,15
Suryansh Shedge,CSK,3,63,39,1,4,4,15,161.54,39.0,63.0,4.88,38.46,121.94,44* (23),1-0-0,18
BA Stokes,RR,5,62,36,4,4,4,16,172.22,9.0,15.5,4.5,44.44,109.06,21 (9),0-0-0,15
Ishan Kishan,MI,3,62,40,1,3,4,14,155.0,40.0,62.0,5.71,35.0,119.01,30 (22),1-0-0,19
C Connolly,PBKS,3,59,39,3,6,1,11,151.28,13.0,19.67,5.57,28.21,105.69,46 (28),1-0-0,22
Shaheen Shah Afridi,MI,5,58,42,3,4,4,24,138.1,14.0,19.33,5.25,57.14,83.29,18 (13),0-0-0,10
JM Coles,MI,10,58,67,9,3,1,34,86.57,7.44,6.44,16.75,50.75,49.79,15* (18),0-0-0,32
Samant Jakhar,DC,8,50,44,4,3,2,19,113.64,11.0,12.5,8.8,43.18,68.84,22 (17),0-0-0,20
Karan Lal,RR,8,49,46,1,3,2,21,106.52,46.0,49.0,9.2,45.65,80.55,13* (12),0-0-0,21
D Padikkal,KKR,3,36,19,1,5,1,6,189.47,19.0,36.0,3.17,31.58,0.0,14* (9),0-0-0,8
R Sai Kishore,MI,5,36,26,1,4,2,14,138.46,26.0,36.0,4.33,53.85,81.47,18 (10),0-0-0,6
AGS Gous,KKR,1,34,19,1,0,3,3,178.95,19.0,34.0,6.33,15.79,0.0,34 (19),1-0-0,13
DS Airee,CSK,3,31,25,3,1,3,12,124.0,8.33,10.33,6.25,48.0,62.61,18 (14),0-0-0,9
D Brevis,LSG,3,31,27,3,0,2,11,114.81,9.0,10.33,13.5,40.74,57.66,28 (22),0-0-0,16
AR Ramjani,PBKS,6,31,35,4,4,0,19,88.57,8.75,7.75,8.75,54.29,38.3,10* (4),0-0-0,13
N Wadhera,KKR,4,30,31,3,1,1,13,96.77,10.33,10.0,15.5,41.94,47.36,15* (15),0-0-0,17
K Kartikeya,LSG,3,29,19,3,2,1,8,152.63,6.33,9.67,6.33,42.11,0.0,13 (7),0-0-0,8
JN Loftie-Eaton,RR,3,29,24,1,2,1,14,120.83,24.0,29.0,8.0,58.33,0.0,23 (17),0-0-0,9
GF Linde,GT,3,28,19,2,5,0,8,147.37,9.5,14.0,3.8,42.11,0.0,11* (5),0-0-0,7
SN Khan,RCB,2,28,22,2,4,1,11,127.27,11.0,14.0,4.4,50.0,0.0,14 (7),0-0-0,6
Ashutosh Sharma,RCB,4,27,21,1,1,1,7,128.57,21.0,27.0,10.5,33.33,0.0,13* (11),0-0-0,12
Jaskaran Singh,KKR,4,27,30,3,2,1,17,90.0,10.0,9.0,10.0,56.67,35.5,16 (14),0-0-0,12
KH Pandya,RR,3,26,24,1,4,0,14,108.33,24.0,26.0,6.0,58.33,0.0,17* (10),0-0-0,6
Ishaan Gadekar,SRH,3,26,26,3,3,0,11,100.0,8.67,8.67,8.67,42.31,48.47,16 (10),0-0-0,12
RK Bhui,KKR,2,26,26,2,2,0,7,100.0,13.0,13.0,13.0,26.92,57.69,24 (23),0-0-0,17
Akash Vasisht,SRH,6,25,22,4,4,0,15,113.64,5.5,6.25,5.5,68.18,0.0,10* (6),0-0-0,7
EA Brookes,RCB,3,25,26,3,0,2,13,96.15,8.67,8.33,13.0,50.0,39.76,22 (21),0-0-0,12
RR Patel,RCB,5,25,30,3,1,1,16,83.33,10.0,8.33,15.0,53.33,31.25,14 (19),0-0-0,13
SS Prabhudessai,MI,2,24,20,2,1,2,9,120.0,10.0,12.0,6.67,45.0,0.0,18 (11),0-0-0,8
Jagjit Singh,SRH,2,23,22,1,1,2,13,104.55,22.0,23.0,7.33,59.09,0.0,21 (13),0-0-0,6
JJ Bumrah,DC,2,20,7,1,2,2,3,285.71,7.0,20.0,1.75,42.86,0.0,12 (4),0-0-0,0
Sanvir Singh,GT,1,20,11,1,3,0,2,181.82,11.0,20.0,3.67,18.18,0.0,20 (11),0-0-0,6
R Ashwin,KKR,3,19,18,3,1,1,7,105.56,6.0,6.33,9.0,38.89,0.0,12 (9),0-0-0,9
AS Roy,GT,3,16,10,1,1,0,3,160.0,10.0,16.0,10.0,30.0,0.0,11* (5),0-0-0,6
Harshit Rana,KKR,5,16,29,2,0,1,22,55.17,14.5,8.0,29.0,75.86,-0.46,7* (5),0-0-0,6
B Indrajith,RCB,1,15,9,1,0,1,4,166.67,9.0,15.0,9.0,44.44,0.0,15 (9),0-0-0,4
Dhruv Jurel,KKR,4,15,10,3,1,1,4,150.0,3.33,5.0,5.0,40.0,0.0,6 (3),0-0-0,4
Yashvardhan Dalal,DC,1,15,14,1,3,0,10,107.14,14.0,15.0,4.67,71.43,0.0,15 (14),0-0-0,2
Tejasvi Dahiya,LSG,1,14,7,1,1,0,1,200.0,7.0,14.0,7.0,14.29,0.0,14 (7),0-0-0,5
SPD Smith,CSK,1,14,11,1,2,0,5,127.27,11.0,14.0,5.5,45.45,0.0,14 (11),0-0-0,5
Ashwin Das,LSG,3,13,11,1,1,1,6,118.18,11.0,13.0,5.5,54.55,0.0,9* (8),0-0-0,3
A Mhatre,KKR,1,13,13,1,3,0,9,100.0,13.0,13.0,4.33,69.23,0.0,13 (13),0-0-0,1
Rasikh Salam,MI,1,13,13,1,0,1,7,100.0,13.0,13.0,13.0,53.85,0.0,13 (13),0-0-0,5
R Shepherd,GT,2,13,17,2,0,1,9,76.47,8.5,6.5,17.0,52.94,0.0,12 (13),0-0-0,7
Mohammad Nabi,LSG,2,12,8,2,1,1,5,150.0,4.0,6.0,4.0,62.5,0.0,7 (3),0-0-0,2
Naveen-ul-Haq,SRH,4,12,11,3,1,1,7,109.09,3.67,4.0,5.5,63.64,0.0,6 (2),0-0-0,2
Shakib Al Hasan,PBKS,1,12,15,0,0,0,7,80.0,inf,inf,inf,46.67,0.0,12* (15),0-0-0,8
HJ Manenti,CSK,3,12,19,2,2,0,13,63.16,9.5,6.0,9.5,68.42,0.0,12* (17),0-0-0,4
Shahbaz Ahmed,LSG,3,11,10,2,1,1,7,110.0,5.0,5.5,5.0,70.0,0.0,6 (3),0-0-0,1
A Nagwaswalla,RR,5,11,21,4,1,1,18,52.38,5.25,2.75,10.5,85.71,0.0,11* (5),0-0-0,1
Yudhvir Singh,RCB,4,10,9,1,0,1,4,111.11,9.0,10.0,9.0,44.44,0.0,8* (4),0-0-0,4
D Ferreira,GT,3,10,11,3,0,1,6,90.91,3.67,3.33,11.0,54.55,0.0,10 (9),0-0-0,4
B Kumar,KKR,5,10,19,1,0,1,16,52.63,19.0,10.0,19.0,84.21,0.0,9* (2),0-0-0,2
MP Yadav,PBKS,4,10,33,2,1,0,27,30.3,16.5,5.0,33.0,81.82,-18.93,8 (22),0-0-0,5
Harpreet Brar,GT,2,9,6,1,2,0,3,150.0,6.0,9.0,3.0,50.0,0.0,9* (3),0-0-0,1
M Pathirana,RCB,2,9,8,0,0,1,5,112.5,inf,inf,8.0,62.5,0.0,8* (4),0-0-0,2
JC Archer,LSG,3,9,14,2,0,1,12,64.29,7.0,4.5,14.0,85.71,0.0,9* (8),0-0-0,2
Mukul Choudhary,DC,1,8,5,1,0,1,2,160.0,5.0,8.0,5.0,40.0,0.0,8 (5),0-0-0,2
R Sanjay Yadav,PBKS,1,8,5,1,2,0,3,160.0,5.0,8.0,2.5,60.0,0.0,8 (5),0-0-0,0
Faisal Khan,RCB,1,8,9,1,1,0,7,88.89,9.0,8.0,9.0,77.78,0.0,8 (9),0-0-0,3
Ashwani Kumar,RR,1,7,2,0,0,1,0,350.0,inf,inf,2.0,0.0,0.0,7* (2),0-0-0,1
S Lamichhane,DC,2,7,3,0,1,0,1,233.33,inf,inf,3.0,33.33,0.0,7* (2),0-0-0,1
Ravi Bishnoi,GT,3,7,8,1,0,1,6,87.5,8.0,7.0,8.0,75.0,0.0,6 (4),0-0-0,1
JR Hazlewood,RR,4,7,18,4,1,0,15,38.89,4.5,1.75,18.0,83.33,0.0,4 (9),0-0-0,2
SH Johnson,GT,1,6,3,0,0,1,2,200.0,inf,inf,3.0,66.67,0.0,6* (3),0-0-0,0
Avesh Khan,GT,1,6,5,1,0,1,4,120.0,5.0,6.0,5.0,80.0,0.0,6 (5),0-0-0,0
M Hemanth Reddy,PBKS,1,6,5,0,0,0,1,120.0,inf,inf,inf,20.0,0.0,6* (5),0-0-0,4
Prashant Veer,DC,1,5,3,0,1,0,1,166.67,inf,inf,3.0,33.33,0.0,5* (3),0-0-0,1
Washington Sundar,PBKS,1,5,7,0,0,0,4,71.43,inf,inf,inf,57.14,0.0,5* (7),0-0-0,3
Harsh Tyagi,SRH,2,5,10,1,0,0,6,50.0,10.0,5.0,inf,60.0,0.0,5* (9),0-0-0,5
Shadab Khan,SRH,4,5,14,2,0,0,11,35.71,7.0,2.5,inf,78.57,0.0,4* (6),0-0-0,5
H Ssenyondo,LSG,4,5,16,3,0,0,12,31.25,5.33,1.67,inf,75.0,0.0,2 (4),0-0-0,4
RE van der Merwe,GT,1,4,2,1,1,0,1,200.0,2.0,4.0,2.0,50.0,0.0,4 (2),0-0-0,0
Mohammed Shami,LSG,1,4,3,0,1,0,2,133.33,inf,inf,3.0,66.67,0.0,4* (3),0-0-0,0
Tanay Thyagarajan,RCB,1,4,5,1,0,0,3,80.0,5.0,4.0,inf,60.0,0.0,4 (5),0-0-0,2
A Zampa,SRH,4,4,7,4,1,0,6,57.14,1.75,1.0,7.0,85.71,0.0,4 (3),0-0-0,0
CV Varun,PBKS,3,4,8,2,1,0,7,50.0,4.0,2.0,8.0,87.5,0.0,4 (4),0-0-0,0
Khrievitso Kense,RCB,2,4,10,1,0,0,8,40.0,10.0,4.0,inf,80.0,0.0,4 (7),0-0-0,2
Kaleem Sana,RCB,1,4,12,1,0,0,9,33.33,12.0,4.0,inf,75.0,0.0,4 (12),0-0-0,4
Kuldeep Yadav,SRH,2,4,12,2,1,0,11,33.33,6.0,2.0,12.0,91.67,0.0,4 (8),0-0-0,0
Aman Rao,DC,1,3,2,1,0,0,1,150.0,2.0,3.0,inf,50.0,0.0,3 (2),0-0-0,1
JA Duffy,GT,1,3,2,1,0,0,1,150.0,2.0,3.0,inf,50.0,0.0,3 (2),0-0-0,1
T Natarajan,CSK,2,3,6,0,0,0,4,50.0,inf,inf,inf,66.67,0.0,3* (3),0-0-0,2
RA Bawa,SRH,1,3,7,1,0,0,4,42.86,7.0,3.0,inf,57.14,0.0,3 (7),0-0-0,3
Tripuresh Singh,RCB,2,3,8,1,0,0,7,37.5,8.0,3.0,inf,87.5,0.0,2* (3),0-0-0,2
AR Patel,CSK,1,2,2,0,0,0,0,100.0,inf,inf,inf,0.0,0.0,2* (2),0-0-0,2
Ramandeep Singh,LSG,1,2,2,0,0,0,0,100.0,inf,inf,inf,0.0,0.0,2* (2),0-0-0,2
DS Rathi,KKR,2,2,4,2,0,0,2,50.0,2.0,1.0,inf,50.0,0.0,1 (2),0-0-0,2
D Wiese,GT,2,2,5,2,0,0,3,40.0,2.5,1.0,inf,60.0,0.0,2 (4),0-0-0,2
MR Adair,RR,1,1,1,0,0,0,0,100.0,inf,inf,inf,0.0,0.0,1* (1),0-0-0,1
Noor Ahmad,MI,2,1,2,1,0,0,1,50.0,2.0,1.0,inf,50.0,0.0,1* (1),0-0-0,1
Shashwat Rawat,PBKS,1,1,2,1,0,0,1,50.0,2.0,1.0,inf,50.0,0.0,1 (2),0-0-0,1
Swapnil Singh,CSK,1,1,2,1,0,0,1,50.0,2.0,1.0,inf,50.0,0.0,1 (2),0-0-0,1
T Banton,MI,1,1,2,1,0,0,1,50.0,2.0,1.0,inf,50.0,0.0,1 (2),0-0-0,1
VG Arora,KKR,1,1,3,0,0,0,2,33.33,inf,inf,inf,66.67,0.0,1* (3),0-0-0,1
Arshdeep Singh,LSG,2,1,4,0,0,0,3,25.0,inf,inf,inf,75.0,0.0,1* (1),0-0-0,1
KA Maharaj,SRH,2,1,4,2,0,0,3,25.0,2.0,0.5,inf,75.0,0.0,1 (3),0-0-0,1
Sonu Yadav,PBKS,1,1,4,1,0,0,3,25.0,4.0,1.0,inf,75.0,0.0,1 (4),0-0-0,1
Harsh Dubey,RCB,2,1,6,2,0,0,5,16.67,3.0,0.5,inf,83.33,0.0,1 (5),0-0-0,1
Ravi Teja,RCB,2,1,6,1,0,0,5,16.67,6.0,1.0,inf,83.33,0.0,1 (2),0-0-0,1
SL Malinga,PBKS,3,1,9,1,0,0,8,11.11,9.0,1.0,inf,88.89,0.0,1* (2),0-0-0,1
NT Ellis,SRH,5,1,29,4,0,0,28,3.45,7.25,0.25,inf,96.55,-52.08,1 (7),0-0-0,1
C Sakariya,SRH,2,0,4,2,0,0,4,0.0,2.0,0.0,inf,100.0,0.0,0 (3),0-0-0,0
CV Milind,SRH,1,0,1,0,0,0,1,0.0,inf,,inf,100.0,0.0,0* (1),0-0-0,0
Cheepurapalli Stephen,CSK,1,0,2,1,0,0,2,0.0,2.0,0.0,inf,100.0,0.0,0 (2),0-0-0,0
DA Payne,PBKS,3,0,3,2,0,0,3,0.0,1.5,0.0,inf,100.0,0.0,0* (1),0-0-0,0
HV Patel,GT,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
Imran Tahir,CSK,1,0,2,0,0,0,2,0.0,inf,,inf,100.0,0.0,0* (2),0-0-0,0
KK Ahmed,RR,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
Khushdil Shah,DC,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
MA Starc,KKR,2,0,5,2,0,0,5,0.0,2.5,0.0,inf,100.0,0.0,0 (1),0-0-0,0
Mohammad Ghazanfar,SRH,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
Mohit Redkar,CSK,2,0,3,2,0,0,3,0.0,1.5,0.0,inf,100.0,0.0,0 (2),0-0-0,0
Pulkit Narang,RR,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
RR Pant,GT,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
Rahul Singh,RCB,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
Rashid Khan,MI,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
TA Boult,MI,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
VS Halambage,RCB,1,0,6,1,0,0,6,0.0,6.0,0.0,inf,100.0,0.0,0 (6),0-0-0,0
YS Chahal,RCB,1,0,3,0,0,0,3,0.0,inf,,inf,100.0,0.0,0* (3),0-0-0,0
