bowler,bowling_team,num_innings,dots,balls,dot_%
Ravi Bishnoi,GT,5,31,119,26.05
JN Loftie-Eaton,RR,4,30,90,33.33
Ashutosh Sharma,RCB,5,30,92,32.61
Mohammad Nabi,LSG,5,30,120,25.0
AM Hardie,CSK,5,29,114,25.44
AD Russell,DC,8,28,78,35.9
Samant Jakhar,DC,7,28,90,31.11
HV Patel,GT,5,28,120,23.33
Utkarsh Singh,PBKS,7,27,107,25.23
T Natarajan,CSK,6,26,105,24.76
RA Jadeja,SRH,10,26,126,20.63
VR Iyer,SRH,9,26,144,18.06
Shahbaz Ahmed,LSG,7,26,150,17.33
AR Patel,CSK,4,25,72,34.72
PHKD Mendis,DC,9,25,108,23.15
Mohammed Shami,LSG,5,25,114,21.93
Mohammad Amir,LSG,2,24,48,50.0
V Puthur,DC,3,24,60,40.0
Ashwin Das,LSG,4,24,85,28.24
AS Roy,GT,5,24,108,22.22
Swapnil Singh,CSK,5,24,108,22.22
DW Lawrence,DC,5,23,72,31.94
K Kartikeya,LSG,4,23,78,29.49
Pulkit Narang,RR,3,21,51,41.18
Mohit Redkar,CSK,4,21,96,21.88
GJ Maxwell,DC,9,21,114,18.42
C Connolly,PBKS,3,20,48,41.67
KH Pandya,RR,4,20,84,23.81
Nithish Kumar Reddy,SRH,8,20,101,19.8
Kaleem Sana,RCB,2,19,48,39.58
Shakib Al Hasan,PBKS,3,18,42,42.86
Fazalhaq Farooqi,CSK,3,18,66,27.27
VG Arora,KKR,2,17,39,43.59
Usman Khan (2),CSK,2,16,36,44.44
M Siddharth,CSK,2,16,36,44.44
Yash Thakur,MI,2,16,36,44.44
Mohammad Ghazanfar,SRH,2,16,48,33.33
Yuvraj Singh,CSK,3,16,48,33.33
Cheepurapalli Stephen,CSK,4,16,63,25.4
Khrievitso Kense,RCB,3,16,66,24.24
Kuldeep Yadav,SRH,4,16,78,20.51
Avesh Khan,GT,2,15,48,31.25
BJ McMullen,RR,5,14,40,35.0
Shadab Khan,SRH,4,14,72,19.44
SS Ghosh,MI,2,13,48,27.08
SH Johnson,GT,2,12,42,28.57
Rasikh Salam,MI,1,11,24,45.83
Prashant Veer,DC,3,11,36,30.56
CH Gayle,CSK,3,11,42,26.19
Harsh Tyagi,SRH,2,11,42,26.19
R Parag,GT,7,11,42,26.19
D Ferreira,GT,3,10,36,27.78
Jagjit Singh,SRH,2,10,42,23.81
Sakibul Gani,RCB,3,10,48,20.83
Harpreet Brar,GT,3,10,66,15.15
EA Brookes,RCB,3,9,36,25.0
Abdul Samad,LSG,7,9,54,16.67
R Powell,LSG,7,9,72,12.5
NA Rathva,RR,1,8,18,44.44
Rishad Hossain,RR,2,8,36,22.22
Sonu Yadav,PBKS,2,8,36,22.22
Rashid Khan,MI,2,8,42,19.05
C Sakariya,SRH,2,8,48,16.67
Naseem Shah,LSG,2,8,48,16.67
A Kamboj,GT,1,7,18,38.89
KA Pollard,CSK,1,6,12,50.0
RE van der Merwe,GT,1,6,24,25.0
TM Head,RR,1,5,12,41.67
RA Bawa,SRH,2,5,18,27.78
Abhishek Sharma,MI,4,5,24,20.83
V Suryavanshi,PBKS,2,4,12,33.33
DS Airee,CSK,2,4,13,30.77
Sanvir Singh,GT,2,4,18,22.22
Zeeshan Ansari,SRH,1,4,24,16.67
Washington Sundar,PBKS,2,4,30,13.33
GD Phillips,GT,4,4,42,9.52
S Gopal,GT,1,3,16,18.75
R Sanjay Yadav,PBKS,1,3,18,16.67
KK Ahmed,RR,1,3,18,16.67
MR Marsh,SRH,2,3,18,16.67
MR Adair,RR,1,3,18,16.67
Ashwani Kumar,RR,1,3,24,12.5
AA Kulkarni,GT,2,2,18,11.11
Khushdil Shah,DC,1,2,18,11.11
Suryansh Shedge,CSK,1,2,18,11.11
D Brevis,LSG,1,1,6,16.67
Faisal Khan,RCB,1,1,6,16.67
Ramandeep Singh,LSG,1,1,12,8.33
Naman Dhir,GT,3,1,18,5.56
