Player,Team,TI,B.Impact,Bo.Impact
Fazalhaq Farooqi,CSK,25.57,0.0,25.57
CV Milind,SRH,24.74,-1.66,26.4
N Wadhera,KKR,23.94,23.94,0.0
Washington Sundar,PBKS,23.61,4.03,19.57
RK Bhui,KKR,22.04,22.04,0.0
SN Khan,RCB,21.87,21.87,0.0
SS Prabhudessai,MI,20.5,20.5,0.0
Kuldeep Yadav,SRH,19.81,-0.92,20.73
Rashid Khan,MI,18.13,-1.8,19.94
Ishaan Gadekar,SRH,17.22,17.22,0.0
Tejasvi Dahiya,LSG,17.2,17.2,0.0
D Brevis,LSG,15.56,21.54,-5.98
Jaskaran Singh,KKR,15.17,15.17,0.0
SPD Smith,CSK,13.24,13.24,0.0
B Indrajith,RCB,12.78,12.78,0.0
A Mhatre,KKR,9.79,9.79,0.0
D Ferreira,GT,9.76,3.52,6.24
Mukul Choudhary,DC,9.52,9.52,0.0
Yashvardhan Dalal,DC,9.52,9.52,0.0
Zeeshan Ansari,SRH,9.12,0.0,9.12
M Hemanth Reddy,PBKS,3.36,3.36,0.0
Harpreet Brar,GT,1.559999999999999,14.63,-13.07
Aman Rao,DC,1.0,1.0,0.0
Faisal Khan,RCB,-0.04,4.02,-4.06
Shashwat Rawat,PBKS,-1.08,-1.08,0.0
T Banton,MI,-1.08,-1.08,0.0
Rahul Singh,RCB,-1.78,-1.78,0.0
VS Halambage,RCB,-1.79,-1.79,0.0
RR Pant,GT,-1.8,-1.8,0.0
Shadab Khan,SRH,-2.029999999999999,-3.8,1.77
S Gopal,GT,-2.2,0.0,-2.2
RA Bawa,SRH,-4.18,-0.38,-3.8
Kaleem Sana,RCB,-4.88,-0.45,-4.43
MR Adair,RR,-6.99,-1.05,-5.94
Ramandeep Singh,LSG,-7.19,-0.45,-6.75
Khushdil Shah,DC,-7.58,-1.8,-5.78
KK Ahmed,RR,-7.82,-1.78,-6.03
Yuvraj Singh,CSK,-14.44,0.0,-14.44
