player,team,points
Shivank Vashisth,RCB,143
Yudhvir Singh,RCB,141
SA Abbott,DC,140
KC Cariappa,MI,140
Ashutosh Sharma,RCB,138
Sami Sohail,MI,126
Yuvraj Singh,RCB,114
Yuvraj Chaudhary,RCB,114
JL Smith,KKR,112
Atharva Ankolekar,MI,110
Harshit Rana,KKR,110
HR Shokeen,RR,106
MJ Santner,KKR,105
HS Desai,PBKS,103
Mukesh Kumar,MI,100
PWH de Silva,PBKS,100
Ashutosh Aman,RCB,94
RR Pant,GT,89
KR Sen,LSG,84
R Powell,KKR,82
RS Hangargekar,MI,78
SS Ghosh,MI,77
D Padikkal,KKR,76
JM Vince,RCB,74
Gaurav Puri,CSK,73
SPD Smith,CSK,72
V Kaverappa,LSG,67
I Sharma,MI,64
BA Stokes,LSG,63
D Potgieter,DC,61
Bal Krishna,PBKS,60
LA Dawson,GT,58
LUVNITH SISODIA,LSG,55
AA Kulkarni,GT,53
JG Bethell,SRH,48
Azmatullah Omarzai,SRH,47
VG Arora,KKR,44
D Brevis,RR,44
Sanvir Singh,PBKS,42
D Visser,RCB,42
Akash Madhwal,CSK,41
MP Stoinis,GT,41
AJ Tye,LSG,39
K Kartikeya,GT,35
MS Dhoni,KKR,33
Sandeep Sharma,RR,32
SS Agarwal,DC,31
DJ Hooda,LSG,30
Harpreet Brar,PBKS,30
MS Pepper,GT,24
Mohammed Siraj,LSG,22
Punit Bisht,MI,19
Jay Gohil,LSG,18
SB Dubey,PBKS,13
LG Pretorius,RR,13
Salman Nizar,RR,13
TH David,RR,12
Bhanu Pania,KKR,12
N Jagadeesan,MI,10
KK Ahmed,MI,10
AV Wankhade,CSK,10
KD Karthik,RCB,9
Pankaj Jaswal,RCB,3
Simarjeet Singh,KKR,3
TU Deshpande,DC,1
A Raghuvanshi,KKR,1
Mustafizur Rahman,MI,0
A Mhatre,RR,-1
A Kamboj,GT,-2
BJ Dwarshuis,RCB,-4
Kartik Sharma,SRH,-5
Vishnu Vinod,PBKS,-6
JD Unadkat,GT,-6
M Shahrukh Khan,GT,-6
AU Rashid,LSG,-7
