Player,Team,TI,B.Impact,Bo.Impact
Nithish Kumar Reddy,SRH,505.26,335.76,169.51
T Stubbs,CSK,498.96,473.01,25.95
A Zampa,RR,494.61,4.48,490.13
Arshdeep Singh,LSG,493.9299999999999,25.19,468.74
SL Malinga,PBKS,489.3,14.59,474.71
Naveen-ul-Haq,SRH,489.23,12.94,476.3
AK Markram,DC,488.71,129.65,359.06
S Lamichhane,DC,487.92,2.0,485.91
Suryansh Shedge,CSK,482.36,14.87,467.5
T Natarajan,CSK,476.25,21.71,454.54
Ishan Kishan,MI,464.36,464.36,0.0
Mohammad Ghazanfar,SRH,461.76,18.65,443.11
Rahul Singh,RCB,461.69,461.69,0.0
Chirag Jani,PBKS,459.4,302.41,156.98
Washington Sundar,PBKS,447.78,210.85,236.93
JC Buttler,LSG,447.25,447.25,0.0
AR Patel,CSK,443.86,123.52,320.34
TM Head,MI,442.52,442.52,0.0
B Kumar,KKR,438.86,-2.69,441.52
Abdul Samad,LSG,433.28,171.36,261.92
SS Iyer,LSG,423.51,423.51,0.0
Arshad Khan,RR,421.04,178.48,242.56
Noor Ahmad,GT,411.9,21.34,390.56
LS Livingstone,RCB,410.4,141.01,269.38
Khrievitso Kense,RCB,408.64,4.41,404.24
Bilal Zalmai,MI,402.04,199.71,202.3
MA Starc,KKR,401.87,49.44,352.41
KA Pollard,CSK,400.15,362.95,37.2
Akash Vasisht,DC,399.8,131.63,268.15
Harsh Dubey,RR,395.46,17.77,377.69
Tarang Gohel,DC,389.14,389.14,0.0
Abishek Porel,DC,382.61,382.61,0.0
HH Pandya,MI,382.26,156.8,225.44
Ashwani Kumar,RR,381.58,-2.96,384.55
Dhruv Jurel,RCB,372.58,372.58,0.0
RA Jadeja,RCB,359.84,217.27,142.56
Kuldeep Yadav,SRH,353.49,-0.69,354.17
JC Archer,LSG,347.72,-0.26,347.98
AD Russell,DC,345.19,192.83,152.36
N Rana,PBKS,341.13,346.02,-4.89
Rasikh Salam,GT,339.86,9.7,330.16
N Wadhera,KKR,330.07,330.07,0.0
DS Airee,RCB,327.91,93.92,233.99
VR Iyer,SRH,324.15,324.15,0.0
Fazalhaq Farooqi,CSK,322.07,2.93,319.13
JJ Smit,PBKS,320.09,21.3,298.81
Ravi Bishnoi,LSG,317.9,13.83,304.07
KA Maharaj,SRH,317.87,3.8,314.07
Shakib Al Hasan,PBKS,309.03,47.16,261.84
NT Ellis,SRH,308.58,-4.22,312.81
D Wiese,GT,305.76,180.13,125.63
MR Marsh,SRH,301.34,201.62,99.72
Q de Kock,KKR,299.6,299.6,0.0
Z Khan,KKR,294.44,25.35,269.09
AM Rahane,MI,293.72,301.39,-7.68
Suyash Sharma,KKR,289.51,0.56,288.95
TA Boult,MI,287.88,87.31,200.57
V Puthur,DC,285.77,7.41,278.36
R Sai Kishore,MI,285.29,28.24,257.05
DS Rathi,KKR,283.16,0.51,282.65
H Klaasen,CSK,280.8,280.8,0.0
DAJ Bracewell,RCB,279.63,81.77,197.85
Ishaan Gadekar,RCB,272.45,272.45,0.0
Yash Thakur,CSK,262.69,12.18,250.51
LI Meriwala,DC,261.19,-2.21,263.4
CH Morris,DC,253.12,120.11,133.01
SZ Mulani,LSG,251.5,1.219999999999999,250.31
RK Singh,MI,247.88,247.88,0.0
C Sakariya,SRH,247.52,-3.03,250.57
Swapnil Singh,GT,244.19,15.93,228.27
Utkarsh Singh,PBKS,240.1,78.89999999999999,161.18
Sikandar Raza,MI,227.81,40.52,187.29
DJ Bravo,RCB,202.34,46.5,155.82
GD Phillips,GT,198.89,228.7,-29.83
Imran Tahir,CSK,190.15,-1.77,191.92
BM Duckett,PBKS,189.46,189.46,0.0
Shahbaz Ahmed,GT,180.06,3.62,176.43
M Prasidh Krishna,DC,175.4,5.19,170.21
MA Wood,PBKS,174.99,20.17,154.82
RA Bawa,SRH,173.42,71.45,101.97
RR Rossouw,SRH,172.67,172.67,0.0
A Sheth,DC,167.32,3.64,163.67
WL Madsen,MI,167.01,170.42,-3.41
V Nigam,MI,164.4,57.45,106.94
MA Agarwal,RR,163.79,163.79,0.0
R Tewatia,KKR,159.73,27.36,132.39
PP Shaw,RCB,158.59,158.59,0.0
Atharva Taide,MI,157.19,162.25,-5.06
J Fraser-McGurk,KKR,155.58,155.58,0.0
Mohammed Shami,GT,155.39,3.77,151.62
CV Varun,PBKS,152.48,5.7,146.79
Anmolpreet Singh,CSK,150.46,150.46,0.0
Urvil Patel,DC,147.82,147.82,0.0
Shivank Vashisth,RCB,146.59,0.0,146.59
SA Abbott,DC,142.21,0.0,142.21
Ramandeep Singh,LSG,141.68,49.39,92.30999999999999
Rashid Khan,GT,140.57,27.88,112.7
PJ Cummins,RR,139.59,9.559999999999999,130.02
M Siddharth,CSK,139.23,7.26,131.97
RA Tripathi,KKR,132.79,132.79,0.0
KC Cariappa,MI,131.75,0.0,131.75
DP Conway,PBKS,125.43,125.43,0.0
HC Brook,MI,121.16,121.16,0.0
Mayank Dagar,RR,111.96,-1.46,113.42
JR Hazlewood,RR,110.62,14.5,96.14
Mukesh Kumar,MI,107.27,2.08,105.19
MJ Santner,KKR,107.02,-0.8600000000000001,107.89
MW Short,DC,103.89,70.6,33.3
Ashutosh Sharma,RCB,96.84,15.9,80.95
Sami Sohail,MI,96.69,14.19,82.49
HV Patel,RR,95.69999999999999,-0.6900000000000002,96.38
JL Smith,KKR,93.68,93.68,0.0
M Markande,SRH,92.99,6.46,86.53
R Powell,KKR,89.59,89.59,0.0
Yuvraj Chaudhary,RCB,87.86,58.97,28.89
LA Dawson,GT,86.53,0.0,86.53
PWH de Silva,PBKS,85.2,34.07,51.13
Baltej Singh,PBKS,83.94,0.0,83.94
HS Desai,PBKS,83.14999999999999,83.14999999999999,0.0
Abid Mushtaq,DC,79.54,16.52,63.02
KH Pandya,SRH,75.84,-0.49,76.33
Gaurav Puri,CSK,70.97,70.97,0.0
JM Vince,RCB,67.73,67.73,0.0
RR Pant,GT,67.14,67.14,0.0
SPD Smith,CSK,64.78,64.78,0.0
Jagjit Singh,SRH,63.76000000000001,1.12,62.63
D Padikkal,KKR,63.56,63.56,0.0
Atharva Ankolekar,MI,63.08,0.0,63.08
Yudhvir Singh,RCB,57.83,11.66,46.18
Harpreet Brar,PBKS,56.3,2.63,53.67
HR Shokeen,RR,55.54,0.0,55.54
Yuvraj Singh,RCB,54.69,11.93,42.77
V Kaverappa,LSG,54.6,0.0,54.6
LUVNITH SISODIA,LSG,53.23,53.23,0.0
SS Ghosh,MI,51.0,0.0,51.0
BA Stokes,LSG,50.05,46.66,3.39
AA Kulkarni,GT,49.84,9.04,40.79
K Kartikeya,GT,48.77,0.0,48.77
Harshit Rana,KKR,48.68,0.0,48.68
Sanvir Singh,PBKS,46.97,46.97,0.0
RS Hangargekar,MI,43.98,27.22,16.76
D Visser,RCB,42.37,9.57,32.8
MS Dhoni,KKR,35.86,35.86,0.0
D Potgieter,DC,35.5,39.9,-4.399999999999999
DJ Hooda,LSG,33.39,0.0,33.39
KR Sen,LSG,33.39,-1.73,35.12
Azmatullah Omarzai,SRH,32.87,15.53,17.34
JG Bethell,SRH,30.6,10.79,19.81
D Brevis,RR,29.06,29.06,0.0
I Sharma,MI,29.06,0.0,29.06
Ashutosh Aman,RCB,26.33,24.72,1.61
Akash Madhwal,CSK,25.42,0.0,25.42
Bal Krishna,PBKS,24.97,9.17,15.81
MS Pepper,GT,23.19,23.19,0.0
Mohammed Siraj,LSG,21.42,-1.54,22.96
AJ Tye,LSG,21.3,3.62,17.68
MP Stoinis,GT,19.4,6.880000000000001,12.52
Punit Bisht,MI,18.78,18.78,0.0
SB Dubey,PBKS,15.75,15.75,0.0
KD Karthik,RCB,15.43,15.43,0.0
Bhanu Pania,KKR,12.45,12.45,0.0
Jay Gohil,LSG,11.45,21.05,-9.600000000000001
AV Wankhade,CSK,10.95,10.95,0.0
VG Arora,KKR,10.53,0.03000000000000003,10.51
LG Pretorius,RR,8.51,8.51,0.0
TH David,RR,7.33,7.33,0.0
A Raghuvanshi,KKR,6.26,6.26,0.0
N Jagadeesan,MI,3.31,3.31,0.0
Sandeep Sharma,RR,0.9299999999999997,0.0,0.9299999999999997
A Mhatre,RR,-0.1000000000000001,-0.1000000000000001,0.0
Kartik Sharma,SRH,-1.2,-1.2,0.0
Vishnu Vinod,PBKS,-1.69,-1.69,0.0
M Shahrukh Khan,GT,-1.81,-1.81,0.0
Simarjeet Singh,KKR,-2.82,0.0,-2.82
SS Agarwal,DC,-3.470000000000001,-1.24,-2.23
Mustafizur Rahman,MI,-4.25,0.0,-4.25
Pankaj Jaswal,RCB,-4.45,0.0,-4.45
A Kamboj,GT,-4.5,0.0,-4.5
AU Rashid,LSG,-4.53,-1.75,-2.77
BJ Dwarshuis,RCB,-4.91,0.0,-4.91
JD Unadkat,GT,-5.06,0.0,-5.06
TU Deshpande,DC,-6.1,0.0,-6.1
KK Ahmed,MI,-8.5,1.3,-9.8
