match_id,innings,runs,balls,SR,final_score,total_balls,wkts,exit_pt_score,win,PP_perf,Middle_perf,Death_perf,batter,team
S02M043,2,16,8,200.0,196,116,7,80-2(7.1),1,6 off 3,10 off 5,,SA Yadav,DC
S02M050,2,0,1,0.0,177,119,8,20-2(1.2),1,0 off 1,,,SA Yadav,DC
S02M054,1,29,17,170.59,228,120,4,74-2(6.4),0,29 off 16,0 off 1,,SA Yadav,DC
S02M058,2,92,49,187.76,207,120,4,,0,15 off 9,49 off 26,28 off 14,SA Yadav,DC
S02M064,1,25,16,156.25,209,120,3,64-2(6.4),1,21 off 13,4 off 3,,SA Yadav,DC
S02M068,1,29,15,193.33,217,120,2,53-1(5.2),1,29 off 15,,,SA Yadav,DC
S02M071,2,6,2,300.0,181,113,10,8-1(0.3),0,6 off 2,,,SA Yadav,DC
S02M073,1,73,42,173.81,204,120,4,,0,8 off 9,39 off 23,26 off 10,SA Yadav,DC
S02M005,2,72,49,146.94,174,120,4,128-2(15.2),0,17 off 15,51 off 32,4 off 2,DP Conway,GT
S02M009,1,117,62,188.71,200,120,3,189-2(18.3),1,40 off 21,61 off 31,16 off 10,DP Conway,GT
S02M014,1,40,21,190.48,161,115,10,66-3(7.5),0,33 off 16,7 off 5,,DP Conway,GT
S02M018,1,10,8,125.0,149,112,10,13-1(1.5),0,10 off 8,,,DP Conway,GT
S02M023,1,24,16,150.0,194,120,1,49-1(5.4),0,24 off 16,,,DP Conway,GT
S02M028,2,35,19,184.21,232,120,3,71-1(6.0),0,35 off 19,,,DP Conway,GT
S02M032,2,20,9,222.22,186,117,3,24-1(2.2),1,20 off 9,,,DP Conway,GT
S02M037,2,53,34,155.88,149,98,5,130-4(13.5),1,26 off 14,27 off 20,,DP Conway,GT
S02M043,1,15,11,136.36,193,120,5,23-1(2.1),0,15 off 11,,,DP Conway,GT
S02M048,2,25,16,156.25,156,120,8,36-1(3.4),0,25 off 16,,,DP Conway,GT
S02M052,2,91,57,159.65,196,119,2,152-2(15.5),1,43 off 23,45 off 31,3 off 3,DP Conway,GT
S02M056,2,72,47,153.19,166,102,4,156-3(16.3),1,27 off 20,40 off 23,5 off 4,DP Conway,GT
S02M059,1,32,26,123.08,201,120,4,81-1(9.0),1,22 off 17,10 off 9,,DP Conway,GT
S02M069,1,14,11,127.27,203,119,10,56-1(4.4),0,14 off 11,,,DP Conway,GT
S02M003,2,43,27,159.26,189,114,3,104-1(11.2),1,23 off 12,20 off 15,,RD Gaikwad,RCB
S02M007,1,78,40,195.0,198,120,3,117-2(12.2),1,22 off 14,56 off 26,,RD Gaikwad,RCB
S02M011,2,1,2,50.0,189,120,6,16-1(1.2),0,1 off 2,,,RD Gaikwad,RCB
S02M016,2,57,34,167.65,163,120,9,97-3(10.5),0,34 off 16,23 off 18,,RD Gaikwad,RCB
S02M021,2,63,40,157.5,173,112,3,129-2(14.1),1,26 off 14,37 off 26,,RD Gaikwad,RCB
S02M026,2,1,3,33.33,134,107,10,15-1(2.0),0,1 off 3,,,RD Gaikwad,RCB
S02M031,1,57,44,129.55,221,120,4,143-2(14.2),0,14 off 18,43 off 26,,RD Gaikwad,RCB
S02M037,1,23,16,143.75,148,106,10,57-1(5.0),0,23 off 16,,,RD Gaikwad,RCB
S02M042,1,24,14,171.43,191,120,6,50-2(4.1),1,24 off 14,,,RD Gaikwad,RCB
S02M046,1,18,8,225.0,216,120,4,30-1(2.2),1,18 off 8,,,RD Gaikwad,RCB
S02M052,1,94,55,170.91,195,120,4,192-3(19.1),0,31 off 18,36 off 26,27 off 11,RD Gaikwad,RCB
S02M055,1,19,17,111.76,188,120,4,54-2(6.1),0,19 off 16,0 off 1,,RD Gaikwad,RCB
S02M063,2,81,55,147.27,187,114,4,,1,33 off 22,36 off 24,12 off 9,RD Gaikwad,RCB
S02M067,1,42,23,182.61,190,120,5,171-3(18.1),0,,26 off 13,16 off 10,RD Gaikwad,RCB
S02M004,1,43,26,165.38,188,120,6,184-6(19.5),1,,12 off 9,31 off 17,SS Iyer,LSG
S02M009,2,44,19,231.58,157,120,8,73-5(10.1),0,16 off 9,28 off 10,,SS Iyer,LSG
S02M013,1,2,3,66.67,157,120,8,64-3(7.4),0,,2 off 3,,SS Iyer,LSG
S02M020,1,1,3,33.33,174,120,6,90-2(10.1),0,,1 off 3,,SS Iyer,LSG
S02M024,2,95,55,172.73,180,113,3,164-3(17.4),1,16 off 12,57 off 35,22 off 8,SS Iyer,LSG
S02M029,1,75,46,163.04,191,120,3,,0,9 off 6,23 off 20,43 off 20,SS Iyer,LSG
S02M035,1,27,20,135.0,151,117,10,81-4(8.1),0,13 off 13,14 off 7,,SS Iyer,LSG
S02M042,2,8,8,100.0,190,120,3,170-3(18.2),0,,,8 off 8,SS Iyer,LSG
S02M047,1,58,29,200.0,202,120,4,173-4(17.1),1,,41 off 21,17 off 8,SS Iyer,LSG
S02M051,2,34,34,100.0,174,116,10,161-9(18.0),0,1 off 4,22 off 19,11 off 11,SS Iyer,LSG
S02M057,1,20,18,111.11,205,120,6,112-2(11.0),0,9 off 6,11 off 12,,SS Iyer,LSG
S02M061,2,50,34,147.06,158,95,5,109-4(12.1),1,20 off 12,30 off 22,,SS Iyer,LSG
S02M066,2,48,32,150.0,171,104,4,150-3(16.2),1,1 off 1,33 off 25,14 off 6,SS Iyer,LSG
S02M069,2,83,42,197.62,207,111,5,194-5(18.0),1,25 off 9,42 off 24,16 off 9,SS Iyer,LSG
S02M005,2,40,27,148.15,174,120,4,131-3(15.4),0,5 off 4,35 off 22,0 off 1,SV Samson,GT
S02M009,1,60,39,153.85,200,120,3,190-3(18.5),1,7 off 4,35 off 23,18 off 12,SV Samson,GT
S02M014,1,1,3,33.33,161,115,10,13-1(1.2),0,1 off 3,,,SV Samson,GT
S02M018,1,16,12,133.33,149,112,10,63-3(8.0),0,12 off 7,4 off 5,,SV Samson,GT
S02M023,1,82,58,141.38,194,120,1,,0,22 off 18,43 off 28,17 off 12,SV Samson,GT
S02M028,2,94,50,188.0,232,120,3,168-2(15.1),0,34 off 17,60 off 32,0 off 1,SV Samson,GT
S02M032,2,25,22,113.64,186,117,3,59-2(6.2),1,25 off 20,0 off 2,,SV Samson,GT
S02M037,2,16,13,123.08,149,98,5,34-1(3.3),1,16 off 13,,,SV Samson,GT
S02M043,1,73,46,158.7,193,120,5,152-2(15.1),0,29 off 18,44 off 27,0 off 1,SV Samson,GT
S02M048,2,56,37,151.35,156,120,8,141-7(15.4),0,9 off 8,39 off 26,8 off 3,SV Samson,GT
S02M052,2,12,9,133.33,196,119,2,30-1(2.5),1,12 off 9,,,SV Samson,GT
S02M056,2,12,7,171.43,166,102,4,22-1(2.1),1,12 off 7,,,SV Samson,GT
S02M059,1,60,36,166.67,201,120,4,103-2(11.3),1,32 off 19,28 off 17,,SV Samson,GT
S02M069,1,40,18,222.22,203,119,10,56-2(4.5),0,40 off 18,,,SV Samson,GT
S02M003,1,3,5,60.0,188,120,4,24-1(3.0),0,3 off 5,,,Abhishek Sharma,MI
S02M008,1,28,21,133.33,196,120,5,108-3(11.4),1,4 off 5,24 off 16,,Abhishek Sharma,MI
S02M015,1,20,8,250.0,110,94,10,23-1(1.3),0,20 off 8,,,Abhishek Sharma,MI
S02M019,2,92,51,180.39,200,105,2,,1,39 off 19,37 off 27,16 off 5,Abhishek Sharma,MI
S02M023,2,36,25,144.0,196,119,4,135-4(14.5),1,,36 off 25,,Abhishek Sharma,MI
S02M029,2,61,41,148.78,192,120,6,151-5(16.4),1,29 off 17,26 off 20,6 off 4,Abhishek Sharma,MI
S02M034,1,4,4,100.0,189,120,2,,1,,,4 off 4,Abhishek Sharma,MI
S02M039,2,12,7,171.43,181,120,6,19-2(2.1),0,12 off 7,,,Abhishek Sharma,MI
S02M044,2,80,44,181.82,160,90,1,,1,42 off 18,38 off 26,,Abhishek Sharma,MI
S02M047,2,52,29,179.31,180,120,8,138-6(14.2),0,21 off 9,31 off 20,,Abhishek Sharma,MI
S02M053,1,17,9,188.89,165,120,6,33-1(3.2),0,17 off 9,,,Abhishek Sharma,MI
S02M058,1,19,8,237.5,208,120,4,119-2(11.1),1,,19 off 8,,Abhishek Sharma,MI
S02M062,2,25,21,119.05,202,120,5,,0,,9 off 8,16 off 13,Abhishek Sharma,MI
S02M067,2,35,20,175.0,194,118,5,60-2(6.3),1,31 off 18,4 off 2,,Abhishek Sharma,MI
S02M072,1,81,40,202.5,201,114,10,144-3(13.1),0,35 off 20,46 off 20,,Abhishek Sharma,MI
S02M003,1,69,48,143.75,188,120,4,117-2(13.4),0,41 off 23,28 off 25,,PP Shaw,MI
S02M008,1,3,5,60.0,196,120,5,18-1(2.3),1,3 off 5,,,PP Shaw,MI
S02M015,1,22,18,122.22,110,94,10,89-3(9.2),0,15 off 10,7 off 8,,PP Shaw,MI
S02M019,2,14,10,140.0,200,105,2,37-2(3.5),1,14 off 10,,,PP Shaw,MI
S02M023,2,35,18,194.44,196,119,4,58-2(6.2),1,29 off 16,6 off 2,,PP Shaw,MI
S02M029,2,20,18,111.11,192,120,6,49-1(5.0),1,20 off 18,,,PP Shaw,MI
S02M034,1,62,40,155.0,189,120,2,181-2(18.5),1,9 off 7,39 off 23,14 off 10,PP Shaw,MI
S02M039,2,39,23,169.57,181,120,6,64-3(7.1),0,33 off 18,6 off 5,,PP Shaw,MI
S02M044,2,67,37,181.08,160,90,1,136-1(11.5),1,34 off 18,33 off 19,,PP Shaw,MI
S02M047,2,7,5,140.0,180,120,8,20-2(2.2),0,7 off 5,,,PP Shaw,MI
S02M053,1,18,16,112.5,165,120,6,54-2(6.1),0,18 off 15,0 off 1,,PP Shaw,MI
S02M058,1,93,59,157.63,208,120,4,,1,33 off 22,42 off 23,18 off 14,PP Shaw,MI
S02M062,2,58,40,145.0,202,120,5,105-1(10.4),0,46 off 26,12 off 14,,PP Shaw,MI
S02M067,2,34,20,170.0,194,118,5,115-3(11.2),1,5 off 6,29 off 14,,PP Shaw,MI
S02M072,1,5,6,83.33,201,114,10,30-1(3.3),0,5 off 6,,,PP Shaw,MI
S02M004,2,7,3,233.33,178,111,10,85-2(7.4),0,,7 off 3,,AM Rahane,KKR
S02M010,2,19,14,135.71,161,112,6,124-3(11.3),1,,19 off 14,,AM Rahane,KKR
S02M014,2,17,15,113.33,162,109,5,129-5(15.1),1,,17 off 14,0 off 1,AM Rahane,KKR
S02M019,1,1,2,50.0,199,120,4,88-2(9.1),0,,1 off 2,,AM Rahane,KKR
S02M025,1,2,3,66.67,181,120,6,83-2(9.3),0,,2 off 3,,AM Rahane,KKR
S02M030,2,34,14,242.86,198,117,10,114-3(9.1),0,1 off 2,33 off 12,,AM Rahane,KKR
S02M035,2,6,5,120.0,152,113,5,8-2(2.0),1,6 off 5,,,AM Rahane,KKR
S02M040,2,61,48,127.08,188,120,5,173-5(18.5),0,11 off 17,31 off 21,19 off 10,AM Rahane,KKR
S02M046,2,42,31,135.48,146,111,10,129-6(15.3),0,15 off 5,21 off 23,6 off 3,AM Rahane,KKR
S02M050,1,102,67,152.24,174,120,5,,0,23 off 25,40 off 25,39 off 17,AM Rahane,KKR
S02M055,2,58,42,138.1,189,115,5,148-3(15.5),1,7 off 6,48 off 33,3 off 3,AM Rahane,KKR
S02M060,1,76,49,155.1,196,120,7,,0,24 off 17,28 off 23,24 off 9,AM Rahane,KKR
S02M064,2,39,30,130.0,141,120,10,103-5(12.5),0,16 off 15,23 off 15,,AM Rahane,KKR
S02M070,1,73,45,162.22,190,120,4,175-4(18.2),1,17 off 12,34 off 23,22 off 10,AM Rahane,KKR
S02M003,2,89,58,153.45,189,114,3,165-3(17.3),1,38 off 24,30 off 24,21 off 10,PD Salt,RCB
S02M007,1,33,26,126.92,198,120,3,108-1(10.3),1,31 off 22,2 off 4,,PD Salt,RCB
S02M011,2,71,51,139.22,189,120,6,152-4(17.2),0,26 off 16,30 off 24,15 off 11,PD Salt,RCB
S02M016,2,22,11,200.0,163,120,9,42-1(3.0),0,22 off 11,,,PD Salt,RCB
S02M021,2,38,20,190.0,173,112,3,63-1(5.3),1,38 off 20,,,PD Salt,RCB
S02M026,2,28,19,147.37,134,107,10,43-3(6.1),0,28 off 18,0 off 1,,PD Salt,RCB
S02M031,1,27,15,180.0,221,120,4,38-1(4.1),0,27 off 15,,,PD Salt,RCB
S02M037,1,46,19,242.11,148,106,10,69-2(5.5),0,46 off 19,,,PD Salt,RCB
S02M042,1,69,40,172.5,191,120,6,153-5(15.4),1,25 off 12,38 off 26,6 off 2,PD Salt,RCB
S02M046,1,14,9,155.56,216,120,4,35-2(3.0),1,14 off 9,,,PD Salt,RCB
S02M052,1,28,12,233.33,195,120,4,58-1(4.5),0,28 off 12,,,PD Salt,RCB
S02M055,1,14,9,155.56,188,120,4,22-1(2.4),0,14 off 9,,,PD Salt,RCB
S02M063,2,57,35,162.86,187,114,4,109-1(12.0),1,20 off 14,37 off 21,,PD Salt,RCB
S02M010,1,36,23,156.52,160,120,9,135-9(17.1),0,,17 off 17,19 off 6,S Dube,RR
S02M020,2,36,16,225.0,178,115,8,173-5(18.1),1,,15 off 7,21 off 9,S Dube,RR
S02M025,2,33,18,183.33,182,103,4,123-3(11.4),1,,33 off 18,,S Dube,RR
S02M031,2,9,6,150.0,223,117,3,116-3(11.1),1,,9 off 6,,S Dube,RR
S02M036,2,48,35,137.14,181,120,6,129-4(15.1),0,18 off 9,30 off 25,0 off 1,S Dube,RR
S02M041,2,26,17,152.94,151,120,8,76-3(8.3),0,15 off 8,11 off 9,,S Dube,RR
S02M045,1,12,12,100.0,209,120,6,174-5(17.1),1,,10 off 9,2 off 3,S Dube,RR
S02M049,1,35,23,152.17,169,120,8,153-5(17.1),0,,23 off 16,12 off 7,S Dube,RR
S02M054,2,13,8,162.5,229,109,3,206-3(17.0),1,,1 off 3,12 off 5,S Dube,RR
S02M059,2,36,25,144.0,191,120,9,183-4(17.3),0,,16 off 18,20 off 7,S Dube,RR
S02M062,1,87,50,174.0,203,120,4,,1,5 off 10,35 off 22,47 off 18,S Dube,RR
S02M065,2,52,30,173.33,196,120,5,,0,,29 off 17,23 off 13,S Dube,RR
S02M072,2,16,10,160.0,203,113,3,,1,,7 off 2,9 off 8,S Dube,RR
S02M073,2,11,11,100.0,205,120,3,135-3(14.2),1,,11 off 11,,S Dube,RR
S02M074,1,84,45,186.67,208,120,3,,1,0 off 1,51 off 30,33 off 14,S Dube,RR
S02M004,1,39,34,114.71,188,120,6,118-3(12.0),1,22 off 15,17 off 19,,Shubman Gill,LSG
S02M009,2,3,5,60.0,157,120,8,5-1(1.3),0,3 off 5,,,Shubman Gill,LSG
S02M013,1,90,54,166.67,157,120,8,,0,29 off 20,43 off 26,18 off 8,Shubman Gill,LSG
S02M020,1,101,63,160.32,174,120,6,,0,27 off 19,54 off 30,20 off 14,Shubman Gill,LSG
S02M024,2,52,39,133.33,180,113,3,135-2(15.2),1,29 off 19,23 off 19,0 off 1,Shubman Gill,LSG
S02M029,1,32,18,177.78,191,120,3,43-1(4.1),0,32 off 18,,,Shubman Gill,LSG
S02M035,1,0,1,0.0,151,117,10,0-1(0.1),0,0 off 1,,,Shubman Gill,LSG
S02M042,2,66,43,153.49,190,120,3,143-2(15.3),0,18 off 16,47 off 25,1 off 2,Shubman Gill,LSG
S02M047,1,33,17,194.12,202,120,4,50-1(4.4),1,33 off 17,,,Shubman Gill,LSG
S02M051,2,12,7,171.43,174,116,10,27-1(2.3),0,12 off 7,,,Shubman Gill,LSG
S02M057,1,22,10,220.0,205,120,6,150-4(14.0),0,,22 off 10,,Shubman Gill,LSG
S02M061,2,39,24,162.5,158,95,5,67-2(7.4),1,33 off 19,6 off 5,,Shubman Gill,LSG
S02M066,2,38,20,190.0,171,104,4,61-1(5.5),1,38 off 20,,,Shubman Gill,LSG
S02M069,2,7,3,233.33,207,111,5,12-1(0.5),1,7 off 3,,,Shubman Gill,LSG
S02M002,1,49,24,204.17,222,120,4,70-1(6.1),1,49 off 23,0 off 1,,P Simran Singh,SRH
S02M007,2,47,30,156.67,178,120,6,122-1(11.1),0,39 off 19,8 off 11,,P Simran Singh,SRH
S02M012,1,11,6,183.33,168,120,6,12-1(1.3),0,11 off 6,,,P Simran Singh,SRH
S02M018,2,63,35,180.0,150,101,6,123-3(12.1),1,32 off 14,31 off 21,,P Simran Singh,SRH
S02M022,1,61,54,112.96,174,120,1,142-1(16.5),1,21 off 19,34 off 30,6 off 5,P Simran Singh,SRH
S02M026,1,25,13,192.31,188,120,3,63-2(6.1),1,25 off 12,0 off 1,,P Simran Singh,SRH
S02M030,1,8,7,114.29,218,120,3,43-1(3.1),1,8 off 7,,,P Simran Singh,SRH
S02M034,2,1,4,25.0,175,120,5,10-1(1.3),0,1 off 4,,,P Simran Singh,SRH
S02M038,1,49,32,153.12,167,120,2,87-2(11.0),1,30 off 19,19 off 13,,P Simran Singh,SRH
S02M045,2,49,31,158.06,204,120,7,125-3(11.1),0,25 off 16,24 off 15,,P Simran Singh,SRH
S02M051,1,14,6,233.33,185,120,7,23-1(2.5),1,14 off 6,,,P Simran Singh,SRH
S02M057,2,2,3,66.67,206,114,3,10-2(1.1),1,2 off 3,,,P Simran Singh,SRH
S02M065,1,46,30,153.33,204,120,2,81-1(8.0),1,38 off 24,8 off 6,,P Simran Singh,SRH
S02M068,2,67,37,181.08,214,120,5,111-1(10.5),0,34 off 22,33 off 15,,P Simran Singh,SRH
S02M071,1,10,4,250.0,185,120,4,10-1(0.4),1,10 off 4,,,P Simran Singh,SRH
