striker,batting_team,num_innings,runs,strike_rate,bat_avg,run_contribution_%
D Padikkal,KKR,2,119,143.37,59.5,4.9
Abdul Samad,LSG,8,128,182.86,32.0,4.85
R Ashwin,KKR,9,110,113.4,15.71,4.53
N Wadhera,LSG,6,117,134.48,39.0,4.43
KK Nair,RR,5,107,133.75,26.75,4.38
DA Warner,DC,7,106,135.9,17.67,4.26
JM Sharma,RR,11,104,133.33,13.0,4.25
Washington Sundar,PBKS,9,113,121.51,14.12,4.13
GD Phillips,GT,4,93,186.0,31.0,4.05
SM Curran,KKR,7,92,122.67,15.33,3.79
HV Patel,PBKS,9,98,119.51,12.25,3.58
Shahbaz Ahmed,LSG,6,92,146.03,23.0,3.48
MS Dhoni,CSK,10,87,124.29,17.4,3.31
KH Pandya,SRH,8,89,136.92,17.8,3.14
PJ Cummins,MI,5,73,128.07,24.33,3.13
JR Hazlewood,RR,7,71,131.48,14.2,2.9
J Fraser-McGurk,PBKS,3,77,154.0,25.67,2.81
R Tewatia,GT,8,64,133.33,8.0,2.79
M Shahrukh Khan,MI,5,64,112.28,12.8,2.75
PWH de Silva,DC,4,63,143.18,21.0,2.53
MA Starc,KKR,5,61,174.29,15.25,2.51
B Kumar,KKR,5,54,131.71,27.0,2.22
RD Chahar,RCB,4,48,120.0,24.0,2.22
G Coetzee,KKR,4,52,123.81,52.0,2.14
RA Jadeja,DC,5,52,118.18,26.0,2.09
TA Boult,PBKS,6,57,123.91,28.5,2.08
J Suchith,RCB,3,42,107.69,14.0,1.95
M Jansen,GT,2,40,125.0,20.0,1.74
HS Desai,DC,3,43,204.76,14.33,1.73
SP Narine,RR,4,40,95.24,13.33,1.64
JC Archer,GT,6,37,94.87,6.17,1.61
DL Chahar,KKR,2,39,134.48,39.0,1.61
AD Russell,DC,5,38,86.36,12.67,1.53
PN Mankad,RCB,2,33,106.45,16.5,1.53
Avesh Khan,RCB,6,32,114.29,6.4,1.48
M Theekshana,MI,5,33,122.22,33.0,1.42
MJ Santner,KKR,4,34,94.44,11.33,1.4
JJ Bumrah,RCB,6,29,161.11,7.25,1.34
Jagjit Singh,CSK,3,35,166.67,inf,1.33
R Sai Kishore,RR,2,32,168.42,16.0,1.31
Mohammed Shami,GT,5,28,112.0,7.0,1.22
M Prasidh Krishna,DC,2,30,150.0,30.0,1.21
M Markande,LSG,2,32,84.21,inf,1.21
MM Ali,RR,2,29,241.67,29.0,1.19
RD Rickelton,KKR,3,29,145.0,9.67,1.19
VG Arora,KKR,3,29,120.83,14.5,1.19
KK Ahmed,GT,5,26,144.44,26.0,1.13
SH Johnson,SRH,3,32,188.24,10.67,1.13
Ravi Bishnoi,PBKS,4,29,93.55,14.5,1.06
Mohammed Siraj,MI,2,24,218.18,12.0,1.03
A Manohar,LSG,2,27,128.57,13.5,1.02
MADI Hemantha,CSK,2,26,216.67,26.0,0.99
Mustafizur Rahman,DC,2,24,75.0,12.0,0.97
JM Bairstow,DC,2,24,88.89,12.0,0.97
HR Shokeen,RCB,2,20,117.65,20.0,0.93
M Pathirana,RCB,7,20,105.26,4.0,0.93
Sandeep Sharma,RR,5,20,117.65,10.0,0.82
AJ Hosein,SRH,2,23,109.52,11.5,0.81
A Zampa,LSG,3,21,161.54,10.5,0.8
TH David,LSG,2,21,123.53,10.5,0.8
Mohammad Ghazanfar,GT,3,18,120.0,18.0,0.78
T Natarajan,CSK,3,20,166.67,6.67,0.76
Harshit Rana,PBKS,2,20,117.65,10.0,0.73
MR Marsh,DC,1,18,105.88,18.0,0.72
C Sakariya,SRH,4,20,125.0,10.0,0.71
NT Ellis,LSG,2,17,94.44,8.5,0.64
SB Dubey,KKR,2,15,83.33,7.5,0.62
Ashutosh Sharma,SRH,2,17,106.25,8.5,0.6
Gurjapneet Singh,RCB,1,13,216.67,inf,0.6
Tanush Kotian,SRH,2,16,123.08,inf,0.56
Sameer Rizvi,SRH,2,15,107.14,15.0,0.53
YS Chahal,CSK,2,14,140.0,14.0,0.53
SZ Mulani,MI,1,12,120.0,12.0,0.52
Suryansh Shedge,CSK,3,13,100.0,4.33,0.49
Mukesh Kumar,SRH,2,13,162.5,6.5,0.46
M Siddharth,CSK,2,12,150.0,12.0,0.46
V Shankar,DC,2,11,73.33,5.5,0.44
Priyansh Arya,SRH,1,12,100.0,12.0,0.42
TU Deshpande,RR,3,10,125.0,3.33,0.41
LUVNITH SISODIA,RR,1,10,90.91,10.0,0.41
Kuldeep Yadav,SRH,5,11,57.89,3.67,0.39
Rasikh Salam,LSG,1,10,90.91,10.0,0.38
Swapnil Singh,RR,2,9,128.57,inf,0.37
MP Yadav,RR,3,9,90.0,3.0,0.37
MM Sharma,DC,1,8,266.67,inf,0.32
R Ravindra,GT,1,7,100.0,7.0,0.31
Arshdeep Singh,LSG,1,8,266.67,inf,0.3
Yash Thakur,PBKS,3,7,46.67,7.0,0.26
J Anderson,MI,1,6,150.0,6.0,0.26
PP Chawla,RR,1,6,85.71,6.0,0.25
CV Varun,PBKS,3,6,46.15,6.0,0.22
BM Duckett,SRH,1,5,125.0,5.0,0.18
AS Roy,GT,1,4,57.14,4.0,0.17
SN Thakur,DC,2,4,80.0,4.0,0.16
R Powell,RR,1,4,44.44,4.0,0.16
Fazalhaq Farooqi,CSK,2,4,57.14,2.0,0.15
A Raghuvanshi,MI,1,3,100.0,3.0,0.13
KV Sharma,RCB,1,2,40.0,2.0,0.09
LH Ferguson,SRH,1,2,33.33,inf,0.07
D Ferreira,RCB,1,1,33.33,1.0,0.05
