bowler,pitch,phase,innings,num_inn,wkts,runs_conceded,balls,Eco,SR,Curr_Tm
Fazalhaq Farooqi,pace,Death,2,2,1,16,12,8.0,12.0,CSK
GD Phillips,pace,Middle,1,1,1,41,18,13.67,18.0,RR
Chirag Jani,neutralish,Middle,1,2,1,48,30,9.6,30.0,RCB
Imran Tahir,spin,Death,2,1,1,14,6,14.0,6.0,RCB
Harsh Dubey,spin,Death,2,3,1,30,18,10.0,18.0,DC
Harsh Tyagi,spin,PP,2,3,1,71,42,10.14,42.0,
Harshit Rana,pace,Middle,1,2,1,14,12,7.0,12.0,GT
Harshit Rana,pace,PP,1,3,1,68,42,9.71,42.0,GT
Hemang Patel,pace,Middle,2,1,1,12,6,12.0,6.0,
I Sharma,pace,PP,1,2,1,65,36,10.83,36.0,
JA Duffy,neutralish,Death,2,1,1,27,12,13.5,12.0,KKR
HV Patel,spin,Death,1,1,1,12,12,6.0,12.0,
JA Duffy,spin,Middle,1,2,1,23,18,7.67,18.0,KKR
JC Archer,neutralish,Death,1,3,1,93,30,18.6,30.0,LSG
JC Archer,neutralish,Middle,2,1,1,14,6,14.0,6.0,LSG
JC Archer,neutralish,PP,1,3,1,63,30,12.6,30.0,LSG
JC Archer,pace,Middle,2,5,1,65,42,9.29,42.0,LSG
JC Archer,pace,PP,1,3,1,38,30,7.6,30.0,LSG
Harsh Dubey,neutralish,Middle,2,3,1,48,36,8.0,36.0,DC
HV Patel,pace,Death,1,1,1,36,12,18.0,12.0,
GD Phillips,spin,Middle,2,2,1,27,24,6.75,24.0,RR
HH Pandya,neutralish,Middle,1,6,1,140,96,8.75,96.0,SRH
GF Linde,neutralish,Death,2,3,1,40,18,13.33,18.0,GT
GF Linde,neutralish,Middle,2,5,1,84,60,8.4,60.0,GT
Gurnoor Brar,pace,Middle,2,2,1,57,36,9.5,36.0,DC
H Ssenyondo,neutralish,Middle,2,3,1,65,42,9.29,42.0,LSG
H Ssenyondo,pace,Middle,2,1,1,36,18,12.0,18.0,LSG
HH Pandya,neutralish,Death,2,4,1,68,30,13.6,30.0,SRH
HH Pandya,pace,Death,2,1,1,16,6,16.0,6.0,SRH
HV Patel,neutralish,Middle,1,3,1,59,36,9.83,36.0,
HH Pandya,pace,Middle,2,4,1,112,78,8.62,78.0,SRH
HH Pandya,spin,PP,1,1,1,25,12,12.5,12.0,SRH
HJ Manenti,neutralish,Death,2,3,1,30,14,12.86,14.0,RCB
HJ Manenti,pace,Middle,2,2,1,18,12,9.0,12.0,RCB
HJ Manenti,pace,PP,1,4,1,74,48,9.25,48.0,RCB
HJ Manenti,spin,Death,1,1,1,27,18,9.0,18.0,RCB
Chirag Jani,neutralish,PP,2,3,1,56,36,9.33,36.0,RCB
Cheepurapalli Stephen,pace,PP,1,2,1,23,12,11.5,12.0,RR
JDS Neesham,pace,PP,1,4,1,93,54,10.33,54.0,
AS Roy,spin,Middle,1,1,1,4,6,4.0,6.0,RR
AM Hardie,pace,PP,2,1,1,19,12,9.5,12.0,
AM Hardie,spin,Middle,1,1,1,42,18,14.0,18.0,
AR Patel,pace,Middle,2,2,1,57,30,11.4,30.0,GT
AR Ramjani,neutralish,Middle,1,1,1,22,24,5.5,24.0,PBKS
AR Ramjani,pace,PP,1,3,1,21,18,7.0,18.0,PBKS
AS Roy,neutralish,Middle,2,1,1,39,18,13.0,18.0,RR
AS Roy,spin,PP,1,3,1,77,48,9.62,48.0,RR
AK Markram,neutralish,Middle,2,2,1,16,12,8.0,12.0,DC
Abdul Samad,neutralish,PP,2,1,1,34,18,11.33,18.0,SRH
Abdul Samad,pace,Middle,2,2,1,12,12,6.0,12.0,SRH
Abdul Samad,spin,Middle,1,5,1,75,36,12.5,36.0,SRH
Abhishek Prabhakar,pace,Middle,1,1,1,29,24,7.25,24.0,CSK
Abhishek Sharma,spin,Middle,2,2,1,33,24,8.25,24.0,MI
Abrar Ahmed,neutralish,PP,2,1,1,9,12,4.5,12.0,RCB
AK Markram,spin,PP,2,2,1,10,12,5.0,12.0,DC
AK Markram,neutralish,Death,1,1,1,10,6,10.0,6.0,DC
Abrar Ahmed,pace,Death,2,1,1,32,12,16.0,12.0,RCB
A Zampa,neutralish,PP,1,2,1,20,12,10.0,12.0,SRH
A Nagwaswalla,neutralish,Middle,2,1,1,4,6,4.0,6.0,RR
A Nagwaswalla,pace,Middle,1,2,1,11,12,5.5,12.0,RR
A Nagwaswalla,pace,PP,2,4,1,62,36,10.33,36.0,RR
A Nagwaswalla,spin,Death,2,1,1,16,6,16.0,6.0,RR
A Sheth,neutralish,PP,2,1,1,4,6,4.0,6.0,
A Zampa,neutralish,Middle,2,4,1,62,42,8.86,42.0,SRH
A Zampa,spin,Middle,1,1,1,13,12,6.5,12.0,SRH
AJ Hosein,spin,PP,2,1,1,18,18,6.0,18.0,MI
A Zampa,spin,Middle,2,4,1,60,48,7.5,48.0,SRH
AD Russell,neutralish,Middle,2,3,1,30,18,10.0,18.0,DC
AD Russell,pace,Middle,2,4,1,28,24,7.0,24.0,DC
AD Russell,pace,PP,1,5,1,105,60,10.5,60.0,DC
AD Russell,pace,PP,2,7,1,216,96,13.5,96.0,DC
AJ Hosein,spin,Middle,2,1,1,3,6,3.0,6.0,MI
Abrar Ahmed,pace,Death,1,1,1,7,6,7.0,6.0,RCB
Abrar Ahmed,spin,Death,1,2,1,39,24,9.75,24.0,RCB
Cheepurapalli Stephen,neutralish,PP,2,2,1,20,12,10.0,12.0,RR
C Green,neutralish,PP,1,1,1,15,12,7.5,12.0,KKR
BA Stokes,pace,PP,1,4,1,53,42,7.57,42.0,RR
BJ McMullen,pace,Middle,1,4,1,53,24,13.25,24.0,DC
BJ McMullen,pace,Middle,2,2,1,29,18,9.67,18.0,DC
C Connolly,neutralish,PP,1,1,1,12,12,6.0,12.0,
C Connolly,spin,Middle,2,1,1,7,6,7.0,6.0,
C Green,neutralish,Middle,1,1,1,21,18,7.0,18.0,KKR
C Green,spin,Middle,2,1,1,48,24,12.0,24.0,KKR
B Kumar,spin,Death,2,2,1,11,12,5.5,12.0,KKR
C Sakariya,neutralish,Middle,1,1,1,9,6,9.0,6.0,RR
C Sakariya,pace,Death,1,1,1,31,12,15.5,12.0,RR
CH Gayle,pace,Death,2,1,1,22,12,11.0,12.0,RCB
CH Gayle,pace,Middle,2,1,1,12,12,6.0,12.0,RCB
CV Milind,neutralish,PP,2,1,1,39,18,13.0,18.0,
CV Varun,neutralish,PP,1,1,1,0,6,0.0,6.0,PBKS
BA Stokes,pace,Middle,1,4,1,39,30,7.8,30.0,RR
Avesh Khan,pace,PP,1,2,1,26,24,6.5,24.0,LSG
Akash Vasisht,neutralish,PP,1,3,1,63,30,12.6,30.0,DC
Arshad Khan,spin,Middle,2,3,1,24,18,8.0,18.0,MI
Akash Vasisht,neutralish,PP,2,3,1,60,30,12.0,30.0,DC
Akhil Scaria,pace,Death,1,1,1,37,12,18.5,12.0,RCB
Akshay Karnewar,spin,Middle,2,1,1,10,12,5.0,12.0,
Arshad Khan,neutralish,Death,1,1,1,7,6,7.0,6.0,MI
Arshad Khan,pace,Death,2,1,1,13,6,13.0,6.0,MI
Arshad Khan,spin,Middle,1,2,1,16,12,8.0,12.0,MI
Ashutosh Sharma,pace,Middle,1,3,1,62,36,10.33,36.0,GT
Avesh Khan,pace,Middle,1,4,1,69,36,11.5,36.0,LSG
Ashutosh Sharma,pace,PP,1,3,1,55,30,11.0,30.0,GT
Ashwin Das,neutralish,Middle,1,1,1,14,12,7.0,12.0,LSG
Ashwin Das,pace,PP,1,1,1,18,12,9.0,12.0,LSG
Atharva Ankolekar,neutralish,PP,1,2,1,18,18,6.0,18.0,RR
Atharva Ankolekar,spin,Middle,2,1,1,12,10,7.2,10.0,RR
Atharva Ankolekar,spin,PP,2,3,1,83,36,13.83,36.0,RR
JC Archer,spin,Death,2,1,1,9,6,9.0,6.0,LSG
Zeeshan Ansari,spin,PP,1,1,1,19,12,9.5,12.0,RR
JJ Bumrah,neutralish,Middle,2,5,1,56,42,8.0,42.0,DC
Karan Lal,spin,PP,1,1,1,9,6,9.0,6.0,RR
KA Maharaj,spin,Death,1,2,1,14,12,7.0,12.0,RCB
KH Pandya,spin,PP,1,1,1,20,12,10.0,12.0,DC
KA Maharaj,spin,Middle,1,2,1,25,24,6.25,24.0,RCB
JN Loftie-Eaton,spin,Middle,1,1,1,13,12,6.5,12.0,RR
KH Pandya,spin,PP,2,4,1,103,48,12.88,48.0,DC
JR Hazlewood,neutralish,PP,2,5,1,58,30,11.6,30.0,MI
KA Pollard,neutralish,Middle,2,1,1,14,12,7.0,12.0,CSK
Khrievitso Kense,pace,Middle,1,1,1,21,12,10.5,12.0,MI
JR Hazlewood,neutralish,PP,1,5,1,40,30,8.0,30.0,MI
KH Pandya,spin,Death,2,1,1,6,6,6.0,6.0,DC
KA Maharaj,neutralish,Middle,2,3,1,32,24,8.0,24.0,RCB
Khrievitso Kense,neutralish,Middle,1,1,1,18,12,9.0,12.0,MI
Jagjit Singh,pace,Middle,2,1,1,16,12,8.0,12.0,MI
KC Cariappa,spin,Middle,2,1,1,23,18,7.67,18.0,
KH Pandya,spin,Middle,2,3,1,39,24,9.75,24.0,DC
JG Bethell,neutralish,PP,1,2,1,51,30,10.2,30.0,GT
JG Bethell,neutralish,Middle,2,3,1,40,24,10.0,24.0,GT
JM Coles,spin,Middle,1,3,1,86,66,7.82,66.0,MI
Jagjit Singh,pace,PP,2,2,1,35,30,7.0,30.0,MI
KK Ahmed,pace,PP,2,2,1,49,30,9.8,30.0,
KK Ahmed,pace,Middle,2,2,1,16,12,8.0,12.0,
JN Loftie-Eaton,neutralish,Death,2,1,1,21,12,10.5,12.0,RR
JJ Bumrah,neutralish,PP,2,2,1,30,12,15.0,12.0,DC
JJ Bumrah,pace,Middle,2,9,1,121,84,8.64,84.0,DC
JN Loftie-Eaton,neutralish,PP,1,3,1,50,30,10.0,30.0,RR
