striker,runs,balls,outs,avg,SR,Curr_Tm
Bhanu Pania,14,13,1,14.0,107.69,
NA Rathva,14,16,3,4.67,87.5,RR
NT Ellis,14,56,9,1.56,25.0,SRH
Noor Ahmad,14,11,2,7.0,127.27,MI
Tejasvi Dahiya,14,7,1,14.0,200.0,LSG
Swapnil Singh,13,10,3,4.33,130.0,CSK
HV Patel,13,26,6,2.17,50.0,GT
LG Pretorius,13,11,2,6.5,118.18,
Sami Sohail,13,10,2,6.5,130.0,
MP Yadav,13,37,3,4.33,35.14,PBKS
Harsh Tyagi,13,23,4,3.25,56.52,SRH
TU Deshpande,12,13,0,,92.31,MI
RD Chahar,11,8,2,5.5,137.5,CSK
Punit Bisht,11,4,1,11.0,275.0,
Ihsanullah,9,7,0,,128.57,
SS Ghosh,9,9,1,9.0,100.0,MI
M Jansen,8,9,2,4.0,88.89,
Ashwani Kumar,8,4,1,8.0,200.0,RR
SH Johnson,8,10,1,8.0,80.0,GT
R Sanjay Yadav,8,5,1,8.0,160.0,PBKS
Mukul Choudhary,8,5,1,8.0,160.0,DC
DS Rathi,7,12,3,2.33,58.33,KKR
VG Arora,7,17,2,3.5,41.18,KKR
AJ Tye,6,4,1,6.0,150.0,
I Sharma,6,3,1,6.0,200.0,
MJ Santner,6,7,1,6.0,85.71,KKR
Pulkit Narang,6,6,1,6.0,100.0,RR
SN Thakur,6,2,1,6.0,300.0,
LI Meriwala,6,7,0,,85.71,DC
M Hemanth Reddy,6,5,0,,120.0,PBKS
Prashant Veer,5,3,0,,166.67,DC
Waqar Salamkheil,5,10,0,,50.0,
C Sakariya,5,15,4,1.25,33.33,SRH
M Markande,5,3,1,5.0,166.67,
KK Ahmed,4,6,1,4.0,66.67,RR
Samarth Vyas,4,6,2,2.0,66.67,KKR
RE van der Merwe,4,2,1,4.0,200.0,
N Jagadeesan,4,2,1,4.0,200.0,
Ravi Teja,4,13,4,1.0,30.77,RCB
Kaleem Sana,4,12,1,4.0,33.33,RCB
Tanay Thyagarajan,4,5,1,4.0,80.0,RCB
JA Duffy,3,2,1,3.0,150.0,GT
Mukesh Kumar,3,1,0,,300.0,
Abrar Ahmed,3,4,0,,75.0,
Suyash Sharma,3,6,0,,50.0,KKR
H Ssenyondo,3,14,3,1.0,21.43,LSG
Tripuresh Singh,3,8,1,3.0,37.5,RCB
Aman Rao,3,2,1,3.0,150.0,DC
Imran Tahir,1,12,3,0.33,8.33,CSK
Vishnu Vinod,1,6,3,0.33,16.67,
Mohammed Siraj,1,5,1,1.0,20.0,
SS Agarwal,1,1,0,,100.0,
MR Adair,1,1,0,,100.0,RR
F du Plessis,1,2,1,1.0,50.0,
Sonu Yadav,1,4,1,1.0,25.0,PBKS
KR Sen,0,3,1,0.0,0.0,
AU Rashid,0,1,1,0.0,0.0,
Mohit Redkar,0,3,2,0.0,0.0,CSK
M Shahrukh Khan,0,3,1,0.0,0.0,
VS Halambage,0,6,1,0.0,0.0,RCB
Shivank Vashisth,0,1,0,,0.0,
Mayank Dagar,0,6,2,0.0,0.0,LSG
CV Milind,0,1,0,,0.0,SRH
DA Payne,0,3,2,0.0,0.0,PBKS
Cheepurapalli Stephen,0,3,2,0.0,0.0,CSK
