striker,pitch,phase,innings,num_inn,runs,balls_faced,outs,avg,SR,Curr_Tm
V Kohli,spin,PP,1,5,147,73,1,147.0,201.37,RR
Abishek Porel,pace,Middle,1,9,147,95,6,24.5,154.74,RR
Nithish Kumar Reddy,spin,Middle,1,10,144,108,3,48.0,133.33,SRH
Tilak Varma,spin,Middle,2,8,144,103,6,24.0,139.81,CSK
Sameer Rizvi,spin,Middle,1,7,143,90,2,71.5,158.89,LSG
Sameer Rizvi,pace,Death,2,7,143,59,3,47.67,242.37,LSG
RD Gaikwad,pace,PP,2,8,142,94,4,35.5,151.06,GT
Tilak Varma,pace,PP,2,8,142,103,3,47.33,137.86,CSK
V Kohli,pace,Middle,2,4,142,100,2,71.0,142.0,RR
TM Head,pace,PP,2,9,140,84,3,46.67,166.67,
RG Sharma,pace,Middle,2,9,140,92,4,35.0,152.17,KKR
H Klaasen,spin,Middle,2,9,139,97,4,34.75,143.3,CSK
RM Patidar,spin,Middle,2,8,138,98,6,23.0,140.82,KKR
JM Sharma,pace,Middle,1,8,137,101,3,45.67,135.64,RCB
Abishek Porel,neutralish,Middle,1,5,137,84,3,45.67,163.1,RR
Shashank Singh,pace,Death,2,7,137,55,1,137.0,249.09,PBKS
SS Iyer,spin,Middle,2,6,136,82,3,45.33,165.85,LSG
Shubman Gill,pace,Middle,1,5,136,73,3,45.33,186.3,LSG
KA Pollard,pace,Death,1,7,136,60,1,136.0,226.67,CSK
JM Sharma,pace,Middle,2,8,135,88,3,45.0,153.41,RCB
KL Rahul,spin,Middle,2,6,135,95,3,45.0,142.11,SRH
MW Short,pace,Middle,2,7,135,89,6,22.5,151.69,MI
BJ McMullen,pace,Middle,2,6,135,76,5,27.0,177.63,RR
JP Inglis,spin,Middle,1,4,134,77,0,,174.03,GT
C Green,pace,Death,2,7,134,61,4,33.5,219.67,KKR
RD Gaikwad,pace,Middle,1,6,134,80,4,33.5,167.5,GT
BJ McMullen,spin,PP,1,9,134,101,4,33.5,132.67,RR
J Fraser-McGurk,spin,PP,2,5,133,66,2,66.5,201.52,KKR
SV Samson,spin,Middle,1,6,132,79,4,33.0,167.09,GT
Tilak Varma,neutralish,PP,1,6,132,96,2,66.0,137.5,CSK
B Sai Sudharsan,spin,PP,1,10,131,100,2,65.5,131.0,PBKS
JP Inglis,pace,Middle,1,4,131,87,0,,150.57,GT
Shubman Gill,neutralish,PP,1,5,131,71,3,43.67,184.51,LSG
Chirag Jani,pace,Middle,1,8,130,84,4,32.5,154.76,CSK
PWH de Silva,spin,PP,2,7,130,69,2,65.0,188.41,RCB
B Sai Sudharsan,spin,PP,2,7,129,75,2,64.5,172.0,PBKS
C Green,pace,Middle,1,8,129,78,6,21.5,165.38,KKR
GJ Maxwell,pace,Middle,1,4,129,79,3,43.0,163.29,DC
N Rana,pace,Middle,2,5,129,97,2,64.5,132.99,PBKS
Tarang Gohel,spin,Middle,2,7,129,76,5,25.8,169.74,DC
T Stubbs,pace,Middle,1,7,129,82,5,25.8,157.32,CSK
Shashank Singh,pace,Death,1,8,128,71,2,64.0,180.28,PBKS
MP Stoinis,pace,PP,2,6,128,69,3,42.67,185.51,KKR
D Wiese,pace,Death,1,5,128,46,2,64.0,278.26,GT
TP Ura,spin,Middle,1,7,127,77,2,63.5,164.94,PBKS
Aniket Verma,spin,PP,1,7,126,77,3,42.0,163.64,RR
Jay Gohil,pace,Death,1,7,125,67,2,62.5,186.57,LSG
Dhruv Jurel,spin,Middle,2,6,125,89,2,62.5,140.45,KKR
RD Gaikwad,neutralish,Middle,1,5,125,81,3,41.67,154.32,GT
B Sai Sudharsan,pace,Middle,2,5,125,99,3,41.67,126.26,PBKS
Naman Dhir,pace,Death,1,5,125,55,2,62.5,227.27,GT
N Pooran,pace,Death,2,7,124,45,6,20.67,275.56,MI
R Parag,spin,Death,2,10,124,56,5,24.8,221.43,GT
V Kohli,spin,Middle,2,7,124,89,5,24.8,139.33,RR
T Stubbs,neutralish,Middle,1,5,124,81,2,62.0,153.09,CSK
SP Narine,pace,Middle,2,6,123,92,5,24.6,133.7,KKR
V Suryavanshi,neutralish,PP,1,5,122,70,1,122.0,174.29,PBKS
Tilak Varma,neutralish,PP,2,7,122,64,3,40.67,190.62,CSK
FH Allen,neutralish,PP,1,6,122,73,5,24.4,167.12,PBKS
P Simran Singh,pace,Middle,2,3,122,74,2,61.0,164.86,SRH
V Suryavanshi,pace,Middle,1,7,122,85,5,24.4,143.53,PBKS
SV Samson,pace,Middle,2,7,121,89,5,24.2,135.96,GT
WL Madsen,spin,Middle,2,4,121,71,0,,170.42,MI
Shubman Gill,spin,Middle,1,5,121,78,4,30.25,155.13,LSG
VR Iyer,spin,Middle,2,5,121,81,1,121.0,149.38,SRH
FH Allen,pace,PP,2,8,120,71,6,20.0,169.01,PBKS
CH Gayle,pace,Middle,1,7,120,85,4,30.0,141.18,CSK
KL Rahul,pace,PP,2,6,120,79,2,60.0,151.9,SRH
RD Gaikwad,spin,PP,2,10,120,87,5,24.0,137.93,GT
CH Gayle,neutralish,Middle,2,4,120,79,2,60.0,151.9,CSK
RG Sharma,spin,Middle,1,7,120,71,5,24.0,169.01,KKR
Abhishek Sharma,pace,PP,1,5,120,64,4,30.0,187.5,MI
WG Jacks,spin,PP,2,8,120,75,4,30.0,160.0,LSG
KL Rahul,neutralish,Middle,2,6,120,100,3,40.0,120.0,SRH
GJ Maxwell,neutralish,Middle,1,3,120,61,3,40.0,196.72,DC
AD Russell,pace,Death,1,4,119,52,2,59.5,228.85,DC
KA Pollard,neutralish,Death,1,5,118,48,1,118.0,245.83,CSK
C Green,spin,Middle,1,8,118,75,6,19.67,157.33,KKR
KA Pollard,neutralish,Middle,2,6,118,81,5,23.6,145.68,CSK
MP Stoinis,pace,PP,1,5,117,76,2,58.5,153.95,KKR
JM Sharma,spin,Middle,1,5,117,69,2,58.5,169.57,RCB
Naman Dhir,spin,Middle,1,6,117,76,4,29.25,153.95,GT
Sameer Rizvi,spin,Death,2,7,117,57,0,,205.26,LSG
C Green,neutralish,Middle,2,3,117,76,2,58.5,153.95,KKR
Priyansh Arya,spin,Middle,2,5,116,73,3,38.67,158.9,RCB
N Sindhu,pace,Death,2,5,116,44,4,29.0,263.64,DC
PHKD Mendis,pace,Death,2,6,116,52,4,29.0,223.08,DC
WG Jacks,spin,Middle,2,5,115,82,4,28.75,140.24,LSG
KA Pollard,pace,Middle,2,7,114,73,5,22.8,156.16,CSK
R Parag,pace,Death,2,9,114,48,8,14.25,237.5,GT
Kartik Sharma,neutralish,Middle,2,5,114,66,3,38.0,172.73,SRH
Shubman Gill,spin,Middle,2,5,114,84,4,28.5,135.71,LSG
B Sai Sudharsan,pace,Middle,1,5,114,87,2,57.0,131.03,PBKS
KL Rahul,pace,Middle,2,7,114,90,3,38.0,126.67,SRH
R Parag,pace,Middle,2,7,113,82,1,113.0,137.8,GT
PD Salt,neutralish,PP,2,6,113,68,4,28.25,166.18,RCB
V Suryavanshi,pace,PP,2,8,113,68,5,22.6,166.18,PBKS
AB de Villiers,neutralish,Death,1,3,113,40,1,113.0,282.5,RR
V Nigam,spin,Death,1,5,112,49,1,112.0,228.57,GT
SP Narine,spin,Middle,1,7,112,76,7,16.0,147.37,KKR
MJ Owen,spin,Middle,2,8,112,76,6,18.67,147.37,DC
S Dube,spin,Middle,2,4,112,81,3,37.33,138.27,RR
Aniket Verma,spin,Death,1,5,112,42,2,56.0,266.67,RR
SS Iyer,spin,Middle,1,6,111,70,3,37.0,158.57,LSG
Tilak Varma,neutralish,Middle,1,4,111,64,2,55.5,173.44,CSK
Priyansh Arya,pace,PP,1,5,111,72,1,111.0,154.17,RCB
C Green,pace,PP,1,10,111,76,6,18.5,146.05,KKR
Aniket Verma,pace,Middle,1,6,110,77,4,27.5,142.86,RR
KL Rahul,neutralish,Death,2,5,110,56,3,36.67,196.43,SRH
PHKD Mendis,pace,Middle,2,4,110,60,1,110.0,183.33,DC
BJ McMullen,pace,PP,2,7,110,77,4,27.5,142.86,RR
N Wadhera,pace,Middle,1,6,110,92,0,,119.57,KKR
Arshad Khan,pace,Death,2,9,109,54,3,36.33,201.85,DC
BJ McMullen,neutralish,Middle,2,4,109,63,2,54.5,173.02,RR
JC Buttler,spin,Middle,2,6,109,68,3,36.33,160.29,LSG
MJ Owen,pace,PP,2,4,109,70,3,36.33,155.71,DC
V Suryavanshi,spin,Middle,2,6,108,71,5,21.6,152.11,PBKS
PWH de Silva,pace,PP,2,5,108,55,1,108.0,196.36,RCB
PD Salt,pace,Middle,2,6,108,67,5,21.6,161.19,RCB
SA Yadav,pace,PP,2,7,108,58,2,54.0,186.21,DC
N Pooran,neutralish,Middle,1,4,108,68,1,108.0,158.82,MI
HH Pandya,spin,Death,1,7,108,57,4,27.0,189.47,MI
WL Madsen,spin,Death,1,8,108,66,4,27.0,163.64,MI
SP Narine,spin,Middle,2,6,108,83,5,21.6,130.12,KKR
CH Gayle,spin,PP,1,6,108,66,4,27.0,163.64,CSK
BJ McMullen,neutralish,PP,2,6,107,73,2,53.5,146.58,RR
Chirag Jani,neutralish,Middle,1,4,107,70,1,107.0,152.86,CSK
T Stubbs,spin,Middle,1,6,107,78,2,53.5,137.18,CSK
WG Jacks,spin,PP,1,8,107,82,5,21.4,130.49,LSG
PD Salt,neutralish,Middle,2,2,107,58,0,,184.48,RCB
Tanush Kotian,spin,Death,2,6,107,45,3,35.67,237.78,CSK
Urvil Patel,neutralish,PP,1,5,107,59,2,53.5,181.36,MI
VR Iyer,pace,Middle,2,6,107,88,3,35.67,121.59,SRH
P Simran Singh,pace,PP,1,5,106,65,4,26.5,163.08,SRH
WG Jacks,pace,PP,2,8,106,70,3,35.33,151.43,LSG
JM Sharma,pace,Death,2,6,106,50,4,26.5,212.0,RCB
Ishaan Gadekar,spin,Middle,2,5,106,58,4,26.5,182.76,SRH
