striker,bowl_type,phase,innings,num_inn,runs,balls_faced,outs,avg,SR,Curr_Tm
CH Gayle,Pace,Middle,2,10,176,111,1,176.0,158.56,CSK
R Parag,Pace,Middle,1,10,175,99,6,29.17,176.77,GT
P Simran Singh,Spin,Middle,1,8,175,110,3,58.33,159.09,SRH
TP Ura,Spin,Middle,1,9,175,100,2,87.5,175.0,PBKS
C Green,Spin,Middle,1,13,174,115,7,24.86,151.3,KKR
MR Marsh,Pace,PP,2,10,174,97,0,,179.38,SRH
SV Samson,Spin,Middle,1,11,174,102,4,43.5,170.59,GT
RM Patidar,Spin,Middle,2,11,173,131,7,24.71,132.06,KKR
H Klaasen,Spin,Middle,2,12,173,118,3,57.67,146.61,CSK
GJ Maxwell,Spin,PP,1,17,173,111,5,34.6,155.86,DC
JC Buttler,Spin,Middle,2,10,171,103,4,42.75,166.02,LSG
Shubman Gill,Spin,Middle,2,11,171,121,6,28.5,141.32,LSG
KA Pollard,Pace,Death,1,10,171,77,2,85.5,222.08,CSK
CH Gayle,Spin,Middle,1,10,169,101,5,33.8,167.33,CSK
KA Pollard,Pace,Middle,2,12,168,104,7,24.0,161.54,CSK
RD Rickelton,Pace,PP,1,12,167,107,5,33.4,156.07,LSG
KL Rahul,Spin,Death,1,9,167,83,4,41.75,201.2,SRH
KL Rahul,Spin,PP,1,15,167,110,3,55.67,151.82,SRH
GJ Maxwell,Pace,Middle,2,8,166,94,2,83.0,176.6,DC
P Simran Singh,Spin,Middle,2,8,166,105,3,55.33,158.1,SRH
Aniket Verma,Pace,Middle,2,13,165,97,4,41.25,170.1,RR
Shashank Singh,Spin,Middle,1,17,164,125,9,18.22,131.2,PBKS
YBK Jaiswal,Spin,Death,1,7,163,57,2,81.5,285.96,RR
Tarang Gohel,Spin,Middle,2,9,163,93,5,32.6,175.27,DC
H Klaasen,Spin,Middle,1,6,161,108,4,40.25,149.07,CSK
FH Allen,Spin,PP,2,10,160,98,3,53.33,163.27,PBKS
Abhishek Sharma,Spin,Middle,2,10,160,102,5,32.0,156.86,MI
SP Narine,Spin,Middle,1,10,159,100,9,17.67,159.0,KKR
