striker,bowl_type,phase,innings,num_inn,runs,balls_faced,outs,avg,SR,Curr_Tm
Sakibul Gani,Spin,Death,1,3,34,14,1,34.0,242.86,RCB
RG Sharma,Spin,PP,1,3,34,19,0,,178.95,KKR
HC Brook,Pace,Death,1,1,34,16,0,,212.5,
JG Bethell,Pace,Death,2,3,33,15,2,16.5,220.0,RR
D Ferreira,Pace,Middle,1,2,33,25,2,16.5,132.0,GT
Washington Sundar,Spin,Death,2,6,33,26,2,16.5,126.92,PBKS
D Brevis,Spin,Death,2,4,33,21,2,16.5,157.14,LSG
Hassan Nawaz,Pace,PP,1,3,33,18,1,33.0,183.33,RCB
N Wadhera,Pace,Middle,2,3,33,40,3,11.0,82.5,KKR
Abdul Samad,Spin,Middle,2,5,33,41,2,16.5,80.49,LSG
SPD Smith,Pace,PP,1,2,33,34,1,33.0,97.06,CSK
V Nigam,Pace,Death,1,1,33,9,0,,366.67,GT
Salil Arora,Spin,Death,2,3,33,10,0,,330.0,RCB
Dhruv Jurel,Pace,PP,1,2,33,16,1,33.0,206.25,KKR
V Kohli,Spin,Death,1,2,33,11,1,33.0,300.0,RR
RR Rossouw,Pace,Death,1,1,33,12,0,,275.0,SRH
RR Rossouw,Spin,PP,1,3,33,22,2,16.5,150.0,SRH
LUVNITH SISODIA,Spin,PP,1,1,33,19,0,,173.68,LSG
FH Allen,Spin,Death,2,2,32,18,0,,177.78,PBKS
MJ Owen,Spin,Death,1,2,32,16,2,16.0,200.0,DC
Shadab Khan,Pace,Death,1,2,32,24,0,,133.33,SRH
Sakibul Gani,Spin,Middle,2,3,32,16,0,,200.0,RCB
Abishek Porel,Spin,PP,2,3,32,28,0,,114.29,RR
AHT Donald,Spin,PP,2,3,32,17,2,16.0,188.24,
R Shepherd,Pace,Death,1,6,32,18,3,10.67,177.78,GT
Tanush Kotian,Pace,Death,1,6,32,16,3,10.67,200.0,CSK
Yuvraj Chaudhary,Pace,Middle,1,1,32,26,0,,123.08,
C Connolly,Spin,Middle,2,1,31,21,0,,147.62,PBKS
Mohammad Nabi,Spin,Middle,2,3,31,19,1,31.0,163.16,LSG
SR Hain,Spin,Middle,1,1,31,15,0,,206.67,
HS Desai,Spin,Middle,2,3,31,23,2,15.5,134.78,CSK
Hassan Nawaz,Spin,Death,2,3,31,14,1,31.0,221.43,RCB
AB de Villiers,Pace,PP,1,2,31,21,1,31.0,147.62,RR
RG Sharma,Pace,PP,1,8,31,22,2,15.5,140.91,KKR
AK Markram,Spin,Middle,2,6,30,26,1,30.0,115.38,DC
RA Tripathi,Spin,PP,1,2,30,25,1,30.0,120.0,
Dhruv Jurel,Pace,Death,2,6,30,12,3,10.0,250.0,KKR
DP Conway,Pace,PP,1,1,30,15,1,30.0,200.0,PBKS
T Stubbs,Pace,PP,1,3,30,22,0,,136.36,CSK
Abdul Samad,Spin,PP,1,3,30,24,1,30.0,125.0,LSG
PP Shaw,Spin,Death,1,2,30,17,2,15.0,176.47,MI
JN Loftie-Eaton,Spin,Death,2,4,30,20,1,30.0,150.0,RR
Salil Arora,Spin,PP,1,2,30,14,0,,214.29,RCB
Ashutosh Sharma,Pace,Middle,1,2,30,27,1,30.0,111.11,RCB
JC Buttler,Spin,Death,2,6,30,24,4,7.5,125.0,LSG
SPD Smith,Pace,Middle,1,1,29,17,1,29.0,170.59,CSK
Karan Lal,Spin,Death,2,3,29,21,1,29.0,138.1,RR
S Dube,Spin,Death,2,4,29,13,2,14.5,223.08,RR
Akash Vasisht,Spin,Middle,2,3,29,22,0,,131.82,SRH
Shaheen Shah Afridi,Pace,Death,2,4,29,27,2,14.5,107.41,MI
RA Tripathi,Pace,PP,2,1,29,15,0,,193.33,
AM Rahane,Pace,PP,1,9,29,26,2,14.5,111.54,MI
JG Bethell,Pace,Death,1,2,29,14,2,14.5,207.14,RR
KA Pollard,Spin,PP,2,2,29,18,0,,161.11,CSK
SPD Smith,Spin,PP,2,3,29,28,3,9.67,103.57,CSK
SP Narine,Spin,Death,2,1,29,12,1,29.0,241.67,KKR
Chirag Jani,Spin,Middle,2,6,29,22,4,7.25,131.82,CSK
BJ McMullen,Pace,Middle,1,8,28,29,3,9.33,96.55,RR
AR Patel,Spin,Death,2,5,28,13,4,7.0,215.38,CSK
T Banton,Spin,Death,1,3,28,13,1,28.0,215.38,MI
Ishaan Gadekar,Pace,Middle,2,5,28,19,2,14.0,147.37,SRH
RD Rickelton,Pace,Death,2,1,28,13,0,,215.38,LSG
AB de Villiers,Pace,PP,2,5,28,24,3,9.33,116.67,RR
Smaran Ravichandran,Spin,Death,2,5,28,13,4,7.0,215.38,PBKS
AHT Donald,Pace,PP,2,3,28,13,2,14.0,215.38,
Tarang Gohel,Spin,Death,2,3,28,13,3,9.33,215.38,DC
D Padikkal,Spin,Death,1,2,28,16,0,,175.0,KKR
JM Sharma,Pace,PP,2,2,28,11,1,28.0,254.55,RCB
AM Hardie,Pace,PP,2,3,28,23,1,28.0,121.74,CSK
RA Bawa,Spin,Death,2,3,28,12,3,9.33,233.33,SRH
BA Stokes,Pace,Death,2,3,28,17,3,9.33,164.71,RR
Karan Shinde,Pace,Middle,2,3,28,24,1,28.0,116.67,RCB
GD Phillips,Pace,Middle,2,3,27,17,0,,158.82,GT
Bilal Zalmai,Spin,Death,2,2,27,6,0,,450.0,
Priyansh Arya,Spin,Death,2,4,27,13,2,13.5,207.69,RCB
DP Conway,Spin,PP,2,3,27,33,2,13.5,81.82,PBKS
JC Archer,Pace,Death,1,5,27,28,3,9.0,96.43,LSG
Babar Azam,Spin,Middle,2,2,27,19,1,27.0,142.11,
D Wiese,Spin,Death,1,5,27,13,3,9.0,207.69,GT
Smaran Ravichandran,Spin,PP,2,8,27,21,2,13.5,128.57,PBKS
MA Starc,Pace,Death,2,5,27,26,2,13.5,103.85,KKR
AM Rahane,Pace,Death,1,3,27,18,2,13.5,150.0,MI
FH Allen,Pace,Death,2,2,27,14,1,27.0,192.86,PBKS
Atharva Taide,Spin,Death,2,2,27,15,1,27.0,180.0,MI
Shakib Al Hasan,Spin,Death,1,4,26,29,0,,89.66,
TP Ura,Spin,PP,2,3,26,17,1,26.0,152.94,PBKS
AM Hardie,Pace,Death,1,2,26,15,0,,173.33,CSK
TM Head,Spin,PP,1,3,26,13,2,13.0,200.0,
Abishek Porel,Pace,PP,2,4,26,22,1,26.0,118.18,RR
R Powell,Pace,PP,1,2,26,20,0,,130.0,LSG
Smaran Ravichandran,Pace,Death,2,2,26,13,2,13.0,200.0,PBKS
YBK Jaiswal,Spin,PP,1,4,26,18,3,8.67,144.44,RR
R Sai Kishore,Spin,Death,1,4,26,18,2,13.0,144.44,MI
PD Salt,Spin,Death,2,3,26,14,2,13.0,185.71,RCB
Aniket Verma,Spin,Death,2,6,26,12,1,26.0,216.67,RR
AR Ramjani,Spin,Death,2,6,26,32,1,26.0,81.25,PBKS
TP Ura,Pace,Middle,2,1,26,11,1,26.0,236.36,PBKS
Arshad Khan,Pace,Middle,2,2,26,10,0,,260.0,DC
CH Morris,Pace,Death,2,2,26,11,2,13.0,236.36,
KD Karthik,Pace,Middle,2,2,26,18,0,,144.44,RR
Dhruv Jurel,Pace,Death,1,3,26,13,3,8.67,200.0,KKR
JM Vince,Spin,Middle,2,1,26,16,0,,162.5,
Faisal Khan,Spin,Death,1,1,26,13,1,26.0,200.0,RCB
RR Pant,Spin,Death,1,3,26,12,0,,216.67,GT
Ishaan Gadekar,Pace,PP,2,5,26,27,1,26.0,96.3,SRH
RK Singh,Spin,Death,2,6,26,15,1,26.0,173.33,MI
Khrievitso Kense,Spin,Death,2,6,25,19,2,12.5,131.58,RCB
Hassan Nawaz,Pace,Death,2,2,25,8,0,,312.5,RCB
Abhishek Sharma,Spin,Death,1,1,25,11,1,25.0,227.27,MI
Bilal Zalmai,Pace,Death,1,2,25,11,0,,227.27,
DAJ Bracewell,Pace,Middle,1,3,25,16,3,8.33,156.25,
Rahul Singh,Pace,Death,2,4,25,18,3,8.33,138.89,RCB
R Parag,Pace,PP,2,2,25,17,0,,147.06,GT
RD Gaikwad,Spin,Death,1,4,25,21,1,25.0,119.05,GT
V Nigam,Spin,Middle,1,3,25,22,0,,113.64,GT
TH David,Pace,Middle,2,3,25,15,1,25.0,166.67,PBKS
R Parag,Pace,PP,1,3,25,23,1,25.0,108.7,GT
Usman Khan (2),Spin,Middle,1,1,25,19,1,25.0,131.58,
KD Karthik,Pace,Death,2,3,25,11,2,12.5,227.27,RR
Ishan Kishan,Spin,Death,2,2,25,10,0,,250.0,MI
Azmatullah Omarzai,Pace,Death,1,2,25,16,2,12.5,156.25,
Salil Arora,Pace,Death,2,4,25,12,2,12.5,208.33,RCB
Nithish Kumar Reddy,Pace,Middle,2,4,25,19,3,8.33,131.58,SRH
Akshay Karnewar,Spin,Death,1,1,25,16,0,,156.25,PBKS
CH Morris,Pace,Middle,2,1,25,10,1,25.0,250.0,
BJ McMullen,Spin,Death,1,3,25,14,1,25.0,178.57,RR
MA Agarwal,Pace,Middle,2,2,24,22,0,,109.09,DC
D Wiese,Spin,Death,2,2,24,16,2,12.0,150.0,GT
Karan Lal,Spin,Death,1,6,24,18,2,12.0,133.33,RR
MS Pepper,Spin,Middle,1,2,24,12,1,24.0,200.0,
P Simran Singh,Spin,Death,2,4,24,19,2,12.0,126.32,SRH
Waseem Muhammad,Spin,Middle,2,2,24,17,0,,141.18,
Abishek Porel,Spin,PP,1,3,24,15,1,24.0,160.0,RR
Ankit Kumar,Spin,PP,1,2,24,18,1,24.0,133.33,RR
Anmolpreet Singh,Pace,PP,1,2,24,23,2,12.0,104.35,CSK
B Sai Sudharsan,Pace,Death,2,4,24,17,3,8.0,141.18,PBKS
N Pooran,Spin,PP,2,3,24,19,1,24.0,126.32,MI
TB Robinson,Pace,PP,1,1,24,16,1,24.0,150.0,RR
JJ Smit,Spin,Middle,1,4,24,19,0,,126.32,PBKS
RR Rossouw,Pace,Middle,2,3,24,9,0,,266.67,SRH
RM Patidar,Spin,PP,2,2,24,19,0,,126.32,KKR
DS Airee,Pace,Death,2,1,24,14,1,24.0,171.43,CSK
V Nigam,Pace,Death,2,3,24,14,1,24.0,171.43,GT
RR Pant,Pace,Death,1,4,24,12,1,24.0,200.0,GT
DP Conway,Spin,Middle,2,2,24,20,1,24.0,120.0,PBKS
SL Malinga,Pace,Death,2,3,23,12,0,,191.67,PBKS
Rashid Khan,Spin,Death,1,3,23,19,2,11.5,121.05,MI
Washington Sundar,Pace,Death,2,4,23,13,3,7.67,176.92,PBKS
KL Rahul,Pace,Death,1,3,23,11,0,,209.09,SRH
CH Morris,Spin,Middle,2,2,23,20,2,11.5,115.0,
PHKD Mendis,Spin,Death,1,4,23,14,2,11.5,164.29,DC
DS Airee,Pace,Death,1,2,23,8,1,23.0,287.5,CSK
V Puthur,Spin,Death,2,3,23,19,2,11.5,121.05,DC
PP Shaw,Spin,Middle,2,2,23,21,2,11.5,109.52,MI
AHT Donald,Spin,Middle,2,1,23,12,1,23.0,191.67,
RK Singh,Spin,Middle,1,3,23,19,1,23.0,121.05,MI
RS Hangargekar,Pace,Death,2,3,23,9,2,11.5,255.56,
Rahul Singh,Spin,PP,1,2,23,14,1,23.0,164.29,RCB
Ashutosh Aman,Spin,Death,2,2,23,12,2,11.5,191.67,
V Suryavanshi,Spin,Death,2,2,22,9,2,11.0,244.44,PBKS
Hemang Patel,Spin,Middle,1,3,22,15,2,11.0,146.67,
Jay Gohil,Pace,Middle,1,5,22,18,2,11.0,122.22,LSG
Sikandar Raza,Pace,Death,2,1,22,12,1,22.0,183.33,
N Wadhera,Spin,Death,2,4,22,14,3,7.33,157.14,KKR
RR Rossouw,Spin,Middle,2,3,22,12,1,22.0,183.33,SRH
JC Buttler,Spin,PP,2,3,22,14,1,22.0,157.14,LSG
AM Hardie,Spin,PP,2,3,22,24,1,22.0,91.67,CSK
Ishan Kishan,Spin,PP,2,4,22,21,2,11.0,104.76,MI
Bilal Zalmai,Pace,Death,2,3,22,14,2,11.0,157.14,
TP Ura,Pace,Middle,1,6,22,20,1,22.0,110.0,PBKS
KH Pandya,Pace,Death,1,2,22,10,0,,220.0,RR
J Fraser-McGurk,Pace,Middle,2,3,22,16,1,22.0,137.5,KKR
Ramandeep Singh,Pace,Middle,1,2,22,17,0,,129.41,LSG
PD Salt,Pace,Death,2,3,22,12,1,22.0,183.33,RCB
P Simran Singh,Pace,Death,1,1,22,11,0,,200.0,SRH
GF Linde,Pace,Middle,1,3,22,20,2,11.0,110.0,GT
H Klaasen,Pace,Death,2,2,22,10,2,11.0,220.0,CSK
D Brevis,Pace,Death,2,3,22,17,0,,129.41,LSG
TB Robinson,Spin,Death,2,1,21,7,1,21.0,300.0,RR
HS Desai,Pace,PP,1,3,21,12,0,,175.0,CSK
HS Desai,Pace,PP,2,2,21,23,1,21.0,91.3,CSK
Shaheen Shah Afridi,Pace,Death,1,4,21,30,3,7.0,70.0,MI
AM Rahane,Spin,Death,2,4,21,18,2,10.5,116.67,MI
AD Russell,Spin,Death,1,3,21,11,3,7.0,190.91,DC
Shubman Gill,Spin,Death,2,2,21,12,1,21.0,175.0,LSG
RR Pant,Spin,Middle,1,3,21,16,1,21.0,131.25,GT
R Sai Kishore,Pace,Death,2,4,21,11,0,,190.91,MI
Bilal Zalmai,Spin,Death,1,2,21,12,0,,175.0,
Tushar Raheja,Pace,Middle,2,1,21,8,1,21.0,262.5,SRH
M Siddharth,Spin,Death,2,4,21,9,2,10.5,233.33,CSK
AA Kulkarni,Spin,Middle,1,2,21,17,1,21.0,123.53,GT
DW Lawrence,Spin,Death,1,3,21,12,0,,175.0,DC
LS Livingstone,Pace,PP,2,1,21,15,0,,140.0,KKR
Ankit Kumar,Pace,PP,1,4,21,13,1,21.0,161.54,RR
A Nagwaswalla,Pace,Death,2,6,21,26,3,7.0,80.77,RR
MS Dhoni,Pace,Death,1,1,21,11,0,,190.91,CSK
YS Chahal,Pace,Death,2,2,21,13,1,21.0,161.54,RCB
Waseem Muhammad,Pace,Middle,2,3,21,15,2,10.5,140.0,
HS Desai,Pace,Middle,1,2,21,18,2,10.5,116.67,CSK
AK Markram,Pace,PP,1,1,21,10,0,,210.0,DC
HC Brook,Spin,Middle,1,1,21,19,1,21.0,110.53,
Suryansh Shedge,Spin,Death,2,3,21,8,2,10.5,262.5,CSK
WL Madsen,Spin,PP,1,4,21,27,0,,77.78,MI
Ravi Singh,Pace,Death,2,4,21,15,1,21.0,140.0,KKR
Sumit Kumar,Pace,Death,1,1,20,15,0,,133.33,
MA Starc,Pace,Death,1,9,20,33,8,2.5,60.61,KKR
Babar Azam,Pace,Middle,2,1,20,15,1,20.0,133.33,
LS Livingstone,Pace,Middle,2,3,20,11,2,10.0,181.82,KKR
Ankit Kumar,Spin,Middle,2,1,20,12,1,20.0,166.67,RR
AHT Donald,Pace,Middle,1,1,20,8,0,,250.0,
Ishaan Gadekar,Spin,Middle,1,2,20,12,2,10.0,166.67,SRH
T Banton,Pace,Death,1,2,20,16,1,20.0,125.0,MI
PHKD Mendis,Spin,PP,1,4,20,29,1,20.0,68.97,DC
Tarang Gohel,Pace,Death,1,3,20,10,2,10.0,200.0,DC
TP Ura,Pace,PP,2,2,20,8,1,20.0,250.0,PBKS
Kumar Kushagra,Pace,Death,2,2,20,7,1,20.0,285.71,GT
Anmolpreet Singh,Pace,Middle,2,2,20,13,0,,153.85,CSK
