bowler,inn,wkts,runs_conceded,balls,Eco,SR,Curr_Tm,3ws/5ws,BBI
Geet Puri,3,10,107,64,10.03,6.4,CSK,3/0,4-37 (18)
Avesh Khan,8,10,293,174,10.1,17.4,LSG,2/0,3-21 (12)
JN Loftie-Eaton,12,10,348,253,8.25,25.3,RR,0/0,2-30 (24)
M Siddharth,10,10,352,192,11.0,19.2,CSK,1/0,3-36 (24)
Abdul Samad,21,10,329,192,10.28,19.2,SRH,0/0,2-27 (12)
Yudhvir Singh,11,10,384,204,11.29,20.4,,0/0,2-21 (18)
AD Russell,24,9,834,414,12.09,46.0,DC,0/0,2-26 (18)
M Prasidh Krishna,12,9,480,270,10.67,30.0,KKR,1/0,3-49 (24)
Khrievitso Kense,12,9,427,282,9.09,31.33,MI,1/0,3-34 (24)
R Parag,20,9,262,150,10.48,16.67,GT,0/0,2-16 (12)
Atharva Ankolekar,9,9,290,179,9.72,19.89,RR,1/0,3-28 (20)
Ravi Bishnoi,9,9,329,185,10.67,20.56,,1/0,3-41 (24)
MR Marsh,11,8,283,168,10.11,21.0,MI,1/0,3-51 (24)
RA Jadeja,17,8,398,228,10.47,28.5,LSG,0/0,2-15 (12)
Nithish Kumar Reddy,22,8,522,299,10.47,37.38,GT,0/0,1-7 (6)
Zeeshan Ansari,7,8,229,136,10.1,17.0,RR,0/0,2-39 (24)
Cheepurapalli Stephen,8,8,273,153,10.71,19.12,RR,0/0,2-28 (18)
Mangesh Yadav,6,7,237,132,10.77,18.86,GT,0/0,2-22 (18)
RR Patel,8,7,298,180,9.93,25.71,,1/0,3-44 (24)
JDS Neesham,12,7,497,282,10.57,40.29,,0/0,1-29 (18)
RE van der Merwe,4,7,175,96,10.94,13.71,CSK,0/0,2-34 (24)
Sanvir Singh,6,7,123,78,9.46,11.14,PBKS,0/0,2-4 (6)
D Brevis,12,7,301,180,10.03,25.71,GT,0/0,2-25 (18)
VG Arora,5,7,154,111,8.32,15.86,,0/0,2-17 (15)
Ehsan Khan,7,7,273,156,10.5,22.29,MI,1/0,3-46 (24)
MG Erasmus,9,7,282,204,8.29,29.14,,0/0,2-39 (24)
Harsh Tyagi,7,7,182,114,9.58,16.29,,0/0,2-6 (12)
Tripuresh Singh,6,7,226,138,9.83,19.71,SRH,1/0,3-36 (24)
BA Stokes,12,7,424,246,10.34,35.14,RR,1/0,3-57 (24)
HV Patel,6,6,256,138,11.13,23.0,,0/0,2-38 (24)
DAJ Bracewell,6,6,222,134,9.94,22.33,,0/0,2-32 (20)
Swapnil Singh,6,6,240,132,10.91,22.0,,0/0,2-29 (18)
Mohammad Amir,5,6,155,117,7.95,19.5,LSG,1/0,3-27 (24)
Sikandar Raza,5,6,145,96,9.06,16.0,,0/0,2-26 (18)
PHKD Mendis,21,6,372,228,9.79,38.0,PBKS,0/0,2-9 (12)
Samant Jakhar,7,6,181,90,12.07,15.0,,0/0,2-17 (12)
V Puthur,9,6,297,190,9.38,31.67,SRH,0/0,2-26 (18)
VR Iyer,15,6,349,186,11.26,31.0,SRH,0/0,1-5 (6)
Rasikh Salam,8,6,349,192,10.91,32.0,SRH,0/0,2-21 (24)
Usman Khan (2),2,5,59,36,9.83,7.2,,1/0,4-23 (18)
C Sakariya,5,5,185,120,9.25,24.0,RR,0/0,2-24 (24)
Mayank Dagar,4,5,129,78,9.92,15.6,,0/0,2-28 (24)
Mohit Redkar,4,5,152,96,9.5,19.2,,0/0,2-36 (24)
AS Roy,5,5,192,108,10.67,21.6,RR,0/0,2-49 (24)
Azmatullah Omarzai,6,5,227,144,9.46,28.8,,0/0,2-19 (24)
K Kartikeya,5,5,151,102,8.88,20.4,KKR,0/0,2-37 (24)
Khushdil Shah,7,5,247,156,9.5,31.2,,0/0,1-26 (18)
Ramandeep Singh,15,5,318,180,10.6,36.0,KKR,0/0,2-29 (18)
Gurnoor Brar,5,5,194,120,9.7,24.0,DC,0/0,2-38 (24)
Shakib Al Hasan,10,4,214,174,7.38,43.5,,0/0,1-18 (18)
Sonu Yadav,5,4,186,108,10.33,27.0,CSK,0/0,2-33 (18)
PJ Cummins,4,4,160,90,10.67,22.5,,0/0,2-44 (24)
B Muzarabani,2,4,55,39,8.46,9.75,GT,0/0,2-11 (15)
KK Ahmed,5,4,175,102,10.29,25.5,,0/0,2-28 (18)
BJ McMullen,14,4,251,130,11.58,32.5,DC,0/0,2-26 (12)
KH Pandya,5,4,177,102,10.41,25.5,DC,0/0,2-41 (24)
Esakkimuthu A,2,4,54,48,6.75,12.0,RCB,0/0,2-27 (24)
DW Lawrence,7,4,168,102,9.88,25.5,DC,0/0,2-30 (18)
KA Pollard,6,4,62,54,6.89,13.5,CSK,0/0,2-9 (12)
MW Short,8,4,147,102,8.65,25.5,SRH,0/0,1-15 (12)
Jagjit Singh,5,4,190,108,10.56,27.0,MI,0/0,2-29 (24)
